// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62092		9.564568	0.298561	-1.840021	0.044918	-0.007218	-0.031797	-0.994629	0.155273	-0.393799	0.626341	-0.116125	-0.762163	-0.115407
62093		9.581698	0.297710	-1.813999	0.031073	-0.003907	-0.043841	-0.995117	0.172363	-0.388428	0.626304	-0.115688	-0.762256	-0.115434
62094		9.589131	0.264918	-1.780387	0.020210	-0.002005	-0.049656	-0.998779	0.160645	-0.385986	0.626260	-0.115293	-0.762334	-0.115556
62095		9.586017	0.260073	-1.845145	-0.010467	-0.004654	-0.050628	-0.999023	0.157959	-0.393066	0.626172	-0.115030	-0.762396	-0.115882
62096		9.579537	0.294352	-1.883593	-0.042805	-0.000113	-0.049232	-0.997314	0.168701	-0.392822	0.626084	-0.114942	-0.762402	-0.116409
62097		9.593938	0.197717	-1.883014	-0.042258	0.003186	-0.046841	-0.995117	0.159912	-0.382080	0.626018	-0.114864	-0.762389	-0.116923
62098		9.661639	0.140731	-1.892256	-0.031977	0.005289	-0.048321	-1.004395	0.164551	-0.383789	0.625973	-0.114724	-0.762377	-0.117376
62099		9.663964	0.104772	-1.948832	-0.020665	0.014171	-0.046293	-1.001953	0.157227	-0.391602	0.625998	-0.114537	-0.762328	-0.117747
62100		9.648357	0.104060	-1.978407	0.003614	0.004666	-0.044745	-0.998779	0.160400	-0.387207	0.625985	-0.114252	-0.762352	-0.117934
62101		9.625590	0.178669	-1.956086	0.013132	0.011083	-0.042318	-0.994141	0.157471	-0.387207	0.626020	-0.113939	-0.762354	-0.118039
62102		9.640562	0.176681	-1.973014	0.000620	0.015852	-0.036522	-1.007324	0.154541	-0.392334	0.626075	-0.113732	-0.762317	-0.118187
62103		9.645599	0.170181	-1.928063	0.000215	0.018912	-0.026252	-0.991211	0.157959	-0.392334	0.626153	-0.113599	-0.762259	-0.118274
62104		9.594478	0.139419	-1.883260	0.012212	0.014385	-0.013638	-1.001953	0.152344	-0.388428	0.626225	-0.113499	-0.762226	-0.118202
62105		9.536948	0.209677	-1.932687	-0.004053	0.008693	-0.004528	-1.003174	0.157227	-0.393555	0.626253	-0.113561	-0.762200	-0.118165
62106		9.571493	0.162243	-1.963579	-0.016672	0.005734	0.002174	-0.995850	0.160400	-0.388916	0.626253	-0.113743	-0.762173	-0.118161
62107		9.676145	0.158377	-1.959828	-0.023823	0.001712	0.012422	-0.997070	0.157471	-0.391357	0.626225	-0.114038	-0.762157	-0.118131
62108		9.642629	0.095959	-1.925949	-0.010413	0.007729	0.028395	-0.995605	0.155273	-0.387939	0.626258	-0.114371	-0.762112	-0.117924
62109		9.622280	0.104142	-1.980676	0.014095	-0.001559	0.035221	-0.996826	0.161621	-0.392334	0.626260	-0.114639	-0.762136	-0.117496
62110		9.642289	0.279689	-1.963732	0.008147	-0.000099	0.036337	-1.000000	0.150879	-0.385498	0.626263	-0.114969	-0.762146	-0.117091
62111		9.701399	0.210824	-1.880783	0.000630	-0.004787	0.037330	-0.994629	0.158203	-0.395020	0.626207	-0.115341	-0.762195	-0.116701
62112		9.724779	0.106347	-1.957032	-0.001089	-0.007492	0.038998	-0.992920	0.156006	-0.385742	0.626155	-0.115728	-0.762233	-0.116350
62113		9.579757	0.186765	-1.948636	-0.006418	0.000896	0.049560	-0.998291	0.159912	-0.389893	0.626161	-0.116184	-0.762221	-0.115947
62114		9.440915	0.250709	-1.883853	-0.000526	-0.005568	0.054966	-0.993164	0.156982	-0.381836	0.626121	-0.116709	-0.762246	-0.115472
