// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62092		6.278898	-0.817913	7.424916	-0.002653	-0.007884	0.006780	-1.194580	0.437256	-0.373535	0.226923	-0.343461	-0.039602	-0.910479
62093		6.297276	-0.831597	7.448644	-0.002653	-0.008024	0.004734	-1.193115	0.451904	-0.368652	0.226949	-0.343529	-0.039584	-0.910448
62094		6.281413	-0.813856	7.443125	-0.002732	-0.006912	0.003016	-1.196533	0.441162	-0.365723	0.226975	-0.343594	-0.039556	-0.910418
62095		6.281637	-0.820363	7.422329	-0.002546	-0.009600	0.005661	-1.195312	0.444336	-0.373291	0.227008	-0.343673	-0.039538	-0.910381
62096		6.284120	-0.828344	7.434119	-0.003712	-0.008073	0.004768	-1.194824	0.453613	-0.374023	0.227031	-0.343743	-0.039512	-0.910350
62097		6.266850	-0.803567	7.415805	-0.000530	-0.007927	0.004667	-1.192871	0.445312	-0.358643	0.227062	-0.343806	-0.039509	-0.910318
62098		6.286097	-0.829857	7.432278	-0.003579	-0.010112	0.004903	-1.200928	0.449951	-0.362549	0.227086	-0.343890	-0.039488	-0.910282
62099		6.273206	-0.845047	7.425143	-0.003788	-0.006681	0.007142	-1.197754	0.444580	-0.369873	0.227127	-0.343949	-0.039451	-0.910251
62100		6.285834	-0.812142	7.424811	-0.002517	-0.010064	0.004869	-1.199707	0.445801	-0.368408	0.227154	-0.344030	-0.039435	-0.910214
62101		6.272299	-0.814405	7.424782	-0.003735	-0.007609	0.005559	-1.188721	0.444824	-0.365479	0.227183	-0.344095	-0.039405	-0.910183
62102		6.276100	-0.829553	7.449445	-0.003735	-0.007609	0.005559	-1.205322	0.443359	-0.370605	0.227212	-0.344159	-0.039375	-0.910153
62103		6.273349	-0.803547	7.430234	-0.002676	-0.007700	0.003479	-1.189941	0.447754	-0.370605	0.227229	-0.344218	-0.039358	-0.910127
62104		6.278547	-0.843801	7.440665	-0.001669	-0.006864	0.002982	-1.198975	0.440186	-0.365967	0.227245	-0.344267	-0.039351	-0.910105
62105		6.276531	-0.811886	7.441404	-0.004824	-0.007472	0.002294	-1.202881	0.446533	-0.371826	0.227246	-0.344325	-0.039321	-0.910084
62106		6.278176	-0.825237	7.433396	0.001648	-0.008620	0.005059	-1.194092	0.447754	-0.370605	0.227288	-0.344377	-0.039335	-0.910054
62107		6.292351	-0.817499	7.418700	-0.003574	-0.010112	0.004903	-1.197510	0.446289	-0.370117	0.227313	-0.344449	-0.039313	-0.910021
62108		6.280196	-0.826701	7.431527	-0.001718	-0.005937	0.004564	-1.192627	0.440674	-0.363770	0.227340	-0.344485	-0.039299	-0.910001
62109		6.280292	-0.814557	7.437938	-0.001613	-0.007652	0.003445	-1.194824	0.446533	-0.367432	0.227357	-0.344537	-0.039293	-0.909978
62110		6.281809	-0.827837	7.430037	0.000458	-0.006629	0.004958	-1.196045	0.437744	-0.363770	0.227395	-0.344571	-0.039296	-0.909955
