// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
62092		5.349194	3.469404	7.188254	0.022131	0.066387	-0.010059	-0.824219	0.387695	-0.909912	0.559122	-0.123378	-0.332924	-0.749214
62093		5.386504	3.505877	7.169194	0.016856	0.049428	-0.010561	-0.823242	0.403320	-0.909912	0.559211	-0.122962	-0.332810	-0.749267
62094		5.476124	3.530965	7.167149	0.006447	0.035722	-0.017525	-0.826660	0.388672	-0.904541	0.559215	-0.122673	-0.332689	-0.749365
62095		5.561346	3.527723	7.198263	-0.001228	0.029546	-0.027477	-0.824219	0.392334	-0.912598	0.559124	-0.122419	-0.332573	-0.749526
62096		5.647457	3.518048	7.186516	-0.010279	0.036632	-0.031588	-0.821777	0.403564	-0.914307	0.559017	-0.122155	-0.332374	-0.749737
62097		5.656839	3.487887	7.186285	-0.013009	0.047413	-0.029507	-0.819336	0.395996	-0.900635	0.558950	-0.121848	-0.332112	-0.749953
62098		5.706880	3.515612	7.165128	-0.015123	0.049079	-0.026622	-0.825928	0.398193	-0.905762	0.558903	-0.121558	-0.331832	-0.750159
62099		5.744431	3.505314	7.169125	-0.020529	0.053176	-0.021957	-0.826172	0.394775	-0.914062	0.558891	-0.121294	-0.331504	-0.750356
62100		5.747120	3.516554	7.130186	-0.027488	0.060443	-0.013142	-0.820801	0.394775	-0.907227	0.558946	-0.121059	-0.331102	-0.750530
62101		5.694159	3.478036	7.042152	-0.028804	0.056911	-0.002935	-0.813965	0.394287	-0.911621	0.559053	-0.120900	-0.330715	-0.750646
62102		5.680634	3.537933	6.965335	-0.024426	0.042759	0.004412	-0.825928	0.391602	-0.915283	0.559171	-0.120852	-0.330432	-0.750692
