// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
59515		5.763552	-1.693592	7.532323	0.014522	-0.019933	0.002778	-1.098633	0.633057	-0.506348	0.322117	-0.329595	-0.020553	-0.887234
59516		5.690904	-1.641200	7.545036	-0.009869	-0.039438	0.000747	-1.095947	0.629395	-0.498291	0.322089	-0.329913	-0.020584	-0.887126
59517		5.859868	-1.694899	7.646181	-0.027823	-0.047969	-0.006446	-1.101807	0.628662	-0.502686	0.321954	-0.330347	-0.020525	-0.887015
59518		5.918461	-1.769051	7.713235	-0.026288	-0.036339	-0.008666	-1.102783	0.625244	-0.500977	0.321811	-0.330685	-0.020453	-0.886942
59519		5.815508	-1.743770	7.687415	-0.015228	-0.021058	-0.004667	-1.096924	0.635742	-0.503906	0.321731	-0.330880	-0.020409	-0.886900
59520		5.701363	-1.673049	7.669747	-0.009128	-0.022128	-0.002825	-1.096680	0.624268	-0.505615	0.321682	-0.331065	-0.020407	-0.886848
59521		5.700652	-1.589985	7.733202	-0.019628	-0.032602	-0.004149	-1.097656	0.628662	-0.492432	0.321593	-0.331349	-0.020360	-0.886776
59522		5.764791	-1.669011	7.782320	-0.026609	-0.032075	-0.006921	-1.097412	0.630127	-0.492676	0.321464	-0.331635	-0.020270	-0.886718
59523		5.800007	-1.705192	7.799135	-0.016716	-0.025027	-0.018785	-1.102539	0.632080	-0.492188	0.321277	-0.331829	-0.020269	-0.886713
59524		5.734526	-1.776610	7.758172	-0.004591	-0.012946	-0.020236	-1.098633	0.623047	-0.500732	0.321116	-0.331889	-0.020328	-0.886747
59525		5.719584	-1.752103	7.801194	0.010297	-0.018857	-0.013821	-1.107422	0.621826	-0.497803	0.321046	-0.331942	-0.020488	-0.886749
59526		5.852594	-1.845181	7.837353	0.025350	-0.017734	-0.008269	-1.107178	0.627197	-0.495117	0.321063	-0.331930	-0.020735	-0.886742
59527		5.917155	-1.882028	7.859413	0.042263	-0.001746	-0.006762	-1.101074	0.623779	-0.492188	0.321146	-0.331746	-0.021049	-0.886773
59528		5.905822	-1.843986	7.826336	0.042685	0.013077	-0.003533	-1.103516	0.624268	-0.499756	0.321259	-0.331450	-0.021304	-0.886837
59529		5.711344	-1.760560	7.751326	0.024213	0.014610	-0.002708	-1.107666	0.622314	-0.495605	0.321335	-0.331181	-0.021405	-0.886908
59530		5.706181	-1.804736	7.741904	0.008353	0.013785	-0.015065	-1.107666	0.620850	-0.506592	0.321277	-0.330945	-0.021417	-0.887017
59531		5.824358	-1.852769	7.685725	-0.005584	0.018964	-0.020877	-1.109619	0.618896	-0.497070	0.321148	-0.330682	-0.021307	-0.887164
