// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13074		9.246681	-0.412885	-3.528465	-0.103112	-0.031839	0.028234	-0.687500	0.450928	0.344482	0.372023	-0.645273	-0.511453	-0.428529
13075		9.181787	-0.740620	-3.495701	-0.100457	-0.017046	0.056406	-0.688232	0.446045	0.342041	0.371611	-0.645886	-0.510844	-0.428690
13076		9.242842	-0.942659	-3.455000	-0.058660	-0.014726	0.064894	-0.687988	0.448486	0.338623	0.371465	-0.646392	-0.510332	-0.428664
13077		9.316426	-1.212414	-3.195839	-0.024151	-0.014710	0.064301	-0.699463	0.455322	0.337891	0.371507	-0.646795	-0.509941	-0.428485
13078		9.366978	-1.372117	-3.182443	-0.026903	-0.009907	0.058477	-0.693359	0.455322	0.339355	0.371551	-0.647167	-0.509544	-0.428356
13079		9.125010	-1.417691	-3.172212	-0.031131	-0.008885	0.042868	-0.692627	0.452393	0.348389	0.371549	-0.647488	-0.509194	-0.428290
13080		9.063723	-1.529386	-3.047918	-0.032956	-0.014388	0.027995	-0.685547	0.462158	0.343750	0.371494	-0.647780	-0.508911	-0.428233
13081		9.130468	-1.457981	-2.885867	-0.033772	-0.019150	0.015091	-0.692627	0.452148	0.343750	0.371417	-0.648046	-0.508676	-0.428176
13082		9.254107	-1.183341	-3.033459	-0.083455	-0.013721	0.020147	-0.687988	0.449707	0.337402	0.371170	-0.648474	-0.508179	-0.428332
13083		9.303820	-1.508561	-3.136011	-0.094398	-0.010579	0.006005	-0.688721	0.461670	0.344727	0.370872	-0.648866	-0.507677	-0.428590
13084		9.064408	-1.788769	-3.126564	-0.006758	-0.018618	-0.027210	-0.690674	0.453613	0.349854	0.370960	-0.648889	-0.507648	-0.428514
13085		9.165888	-1.199844	-3.173360	0.040521	-0.024005	-0.034270	-0.693359	0.455322	0.343262	0.371334	-0.648780	-0.507788	-0.428191
13086		9.240149	-0.865189	-3.361944	-0.020009	-0.008727	-0.017562	-0.691650	0.452393	0.352051	0.371553	-0.648882	-0.507539	-0.428141
13087		9.096544	-1.217250	-3.223233	-0.004577	-0.002794	-0.017992	-0.692627	0.453613	0.342041	0.371898	-0.648915	-0.507320	-0.428051
13088		9.262746	-1.034544	-3.160681	0.035687	-0.023940	-0.010276	-0.689941	0.455078	0.340820	0.372439	-0.648947	-0.507228	-0.427640
13089		9.351031	-0.617202	-3.205012	-0.016993	-0.019567	0.004471	-0.697754	0.465332	0.341064	0.372800	-0.649187	-0.506835	-0.427429
13090		9.197749	-1.171853	-3.304782	-0.044450	-0.003677	-0.003887	-0.690674	0.450439	0.340088	0.373121	-0.649414	-0.506303	-0.427434
13091		9.056059	-1.683695	-3.191383	0.009731	-0.002101	-0.020857	-0.687256	0.444580	0.344727	0.373592	-0.649388	-0.506079	-0.427327
13092		9.200446	-1.188550	-3.072416	0.088363	-0.019622	-0.035806	-0.690430	0.453613	0.343994	0.374402	-0.649128	-0.506260	-0.426799
13093		9.336641	-0.567693	-3.107371	-0.008313	-0.014906	-0.016680	-0.694092	0.451904	0.346680	0.374916	-0.649249	-0.505906	-0.426582
13094		9.284749	-0.769837	-3.196024	-0.155940	0.005899	-0.000446	-0.693604	0.460449	0.342773	0.374822	-0.649795	-0.504860	-0.427073
13095		9.215954	-1.234491	-3.201936	-0.189042	0.025791	0.006663	-0.687012	0.453369	0.344971	0.374703	-0.650422	-0.503556	-0.427763
13096		9.207921	-1.440228	-3.108225	-0.149628	0.028115	-0.014855	-0.681152	0.452148	0.351562	0.374549	-0.650803	-0.502607	-0.428433
13097		9.256933	-1.189491	-3.243960	-0.118383	-0.001577	-0.025812	-0.690918	0.448486	0.351074	0.374370	-0.651113	-0.502042	-0.428781
13098		9.254787	-1.021415	-3.175334	-0.152435	0.004682	-0.026720	-0.688965	0.447021	0.342773	0.374233	-0.651543	-0.501133	-0.429310
13099		9.187888	-1.170603	-3.064776	-0.110759	-0.003041	-0.034731	-0.693115	0.449463	0.346924	0.374078	-0.651894	-0.500371	-0.429801
13100		9.141961	-1.036225	-2.989327	-0.099345	-0.014045	-0.036744	-0.685791	0.448242	0.356689	0.374173	-0.652229	-0.499638	-0.430063
13101		9.273510	-0.832981	-3.171539	-0.141925	-0.021050	-0.022178	-0.702148	0.442139	0.355469	0.373951	-0.652668	-0.499004	-0.430325
13102		9.185601	-0.922596	-3.273265	-0.177169	-0.028893	-0.024255	-0.692139	0.437744	0.347900	0.373869	-0.653296	-0.497858	-0.430771
13103		9.245219	-1.148605	-3.264423	-0.132502	-0.038748	-0.036183	-0.697998	0.441650	0.356201	0.373303	-0.653848	-0.497078	-0.431325
13104		9.337752	-0.945987	-3.264200	-0.108007	-0.041505	-0.033898	-0.686279	0.445312	0.359131	0.373357	-0.654272	-0.496371	-0.431449
13105		9.305771	-1.125215	-3.191463	-0.110620	-0.034266	-0.030664	-0.691650	0.442871	0.361328	0.373095	-0.654638	-0.496007	-0.431539
13106		9.291446	-1.114708	-3.467807	-0.106052	-0.029389	-0.024633	-0.691895	0.440430	0.360352	0.373108	-0.654995	-0.495469	-0.431605
13107		9.210913	-0.852871	-3.605059	-0.121999	-0.018917	-0.022311	-0.688721	0.439697	0.350586	0.372979	-0.655418	-0.494783	-0.431861
13108		9.103849	-1.072658	-3.479514	-0.093412	-0.007662	-0.025343	-0.695557	0.435059	0.360596	0.372611	-0.655878	-0.494025	-0.432348
13109		9.274597	-1.026591	-3.090782	-0.052237	-0.023920	-0.025884	-0.694092	0.443359	0.355957	0.372780	-0.656137	-0.493533	-0.432372
