// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13074		9.121628	0.683949	-3.581977	-0.013590	0.022562	-0.010210	-0.895020	-0.351562	0.155762	0.509154	0.408825	-0.717822	0.241569
13075		9.098456	0.856788	-3.612387	-0.004976	0.023804	-0.002297	-0.896240	-0.356934	0.154785	0.509318	0.408770	-0.717723	0.241610
13076		9.199326	0.974826	-3.423073	-0.029993	0.026755	0.006551	-0.898682	-0.354004	0.146484	0.509556	0.408574	-0.717692	0.241532
13077		9.294578	0.781342	-3.426894	-0.057876	0.026936	0.022794	-0.911133	-0.347168	0.147217	0.509914	0.408073	-0.717762	0.241416
13078		9.257795	0.650193	-3.446569	-0.045612	0.024971	0.024427	-0.901855	-0.346191	0.145264	0.510259	0.407556	-0.717811	0.241417
13079		9.143519	0.711830	-3.482295	-0.031300	0.027971	0.025817	-0.906006	-0.351074	0.154297	0.510557	0.407108	-0.717823	0.241504
13080		9.066784	0.707621	-3.493739	-0.027253	0.025844	0.029795	-0.896484	-0.341797	0.148193	0.510766	0.406747	-0.717858	0.241566
13081		9.114128	0.652855	-3.372987	-0.038507	0.020566	0.030729	-0.903809	-0.351318	0.150635	0.511013	0.406293	-0.717935	0.241580
13082		9.209884	0.516854	-3.378238	-0.030534	0.015217	0.027148	-0.902832	-0.350830	0.144775	0.511182	0.405952	-0.718008	0.241579
13083		9.286294	0.382496	-3.466539	-0.002361	0.009715	0.013916	-0.902832	-0.341309	0.146240	0.511275	0.405781	-0.717997	0.241704
13084		9.246691	0.397655	-3.630541	0.040768	0.014561	-0.002715	-0.904785	-0.348389	0.150879	0.511298	0.405845	-0.717820	0.242069
13085		9.137280	0.529642	-3.595636	0.044933	0.016846	-0.009035	-0.902832	-0.348145	0.145752	0.511286	0.406014	-0.717619	0.242411
13086		9.096919	0.376515	-3.549610	0.037034	0.018572	-0.012788	-0.906250	-0.347168	0.151611	0.511327	0.406141	-0.717414	0.242716
13087		9.207090	0.367303	-3.546043	0.056821	0.018848	-0.028685	-0.908203	-0.347412	0.142578	0.511305	0.406462	-0.717127	0.243073
13088		9.158956	0.500692	-3.383801	0.056059	0.020959	-0.043932	-0.902588	-0.344482	0.145996	0.511370	0.406803	-0.716773	0.243409
13089		9.127780	0.448665	-3.419036	0.053032	0.019855	-0.046832	-0.907715	-0.337646	0.144531	0.511409	0.407169	-0.716433	0.243719
13090		9.125972	0.361925	-3.539771	0.081922	0.021723	-0.066209	-0.901367	-0.354004	0.141113	0.511418	0.407708	-0.715963	0.244177
13091		9.196886	0.533737	-3.632380	0.106334	0.022611	-0.080768	-0.898193	-0.357422	0.145752	0.511401	0.408510	-0.715361	0.244635
13092		9.210389	0.653494	-3.587267	0.084423	0.023655	-0.078480	-0.900391	-0.351807	0.144775	0.511405	0.409246	-0.714826	0.244964
13093		9.158396	0.548478	-3.565100	0.061110	0.027058	-0.080776	-0.904541	-0.351562	0.146484	0.511505	0.409846	-0.714330	0.245196
13094		9.065442	0.456447	-3.621873	0.067163	0.027285	-0.093955	-0.901611	-0.346924	0.144043	0.511601	0.410536	-0.713786	0.245428
13095		9.113974	0.481089	-3.587483	0.091575	0.024561	-0.115855	-0.895508	-0.349609	0.141113	0.511627	0.411442	-0.713144	0.245720
13096		9.213447	0.560244	-3.573181	0.133320	0.021780	-0.140091	-0.891602	-0.356201	0.148682	0.511549	0.412695	-0.712340	0.246112
13097		9.194181	0.706975	-3.462044	0.154895	0.029001	-0.162574	-0.895508	-0.354736	0.147705	0.511434	0.414239	-0.711377	0.246545
13098		9.152060	0.919519	-3.400990	0.139893	0.033390	-0.163864	-0.897217	-0.362305	0.140137	0.511418	0.415664	-0.710426	0.246922
13099		9.230223	0.974672	-3.450415	0.073536	0.052421	-0.135452	-0.898682	-0.359375	0.141113	0.511774	0.416565	-0.709603	0.247032
13100		9.279194	0.929397	-3.516706	0.057206	0.047034	-0.119700	-0.891602	-0.356689	0.149902	0.512115	0.417300	-0.708898	0.247110
13101		9.296717	0.788490	-3.462850	0.047684	0.044815	-0.112938	-0.902100	-0.368164	0.145996	0.512377	0.418062	-0.708238	0.247168
13102		9.399692	0.788019	-3.494525	0.063062	0.046328	-0.107736	-0.892334	-0.371094	0.139404	0.512651	0.418791	-0.707556	0.247321
13103		9.477604	0.914806	-3.438680	0.082467	0.047061	-0.101288	-0.902344	-0.363770	0.145020	0.512895	0.419593	-0.706826	0.247543
13104		9.542305	1.165086	-3.533196	0.104734	0.054551	-0.089495	-0.888184	-0.362549	0.144043	0.513036	0.420345	-0.706090	0.248076
13105		9.530924	0.903582	-3.564780	0.150114	0.103947	-0.077357	-0.895996	-0.367188	0.147705	0.513278	0.421218	-0.705057	0.249030
13106		9.384244	0.466387	-3.330199	0.238065	0.090471	-0.072803	-0.894775	-0.367920	0.146973	0.513107	0.422455	-0.703921	0.250496
13107		9.271570	0.217119	-3.269898	0.405002	0.074442	-0.102263	-0.890137	-0.365967	0.134033	0.512316	0.424600	-0.702392	0.252770
13108		9.275176	0.632608	-3.303811	0.461984	0.097592	-0.170377	-0.897949	-0.370361	0.145996	0.511701	0.427227	-0.700391	0.255129
13109		9.210439	0.549981	-3.088071	0.468252	0.125045	-0.196195	-0.890381	-0.367676	0.140137	0.511195	0.429995	-0.698165	0.257584
13110		9.187349	1.253331	-2.851619	0.402337	0.098937	-0.229375	-0.888916	-0.366455	0.149170	0.510880	0.432701	-0.696049	0.259398
13111		9.368789	1.595519	-2.818791	0.258277	0.129027	-0.239699	-0.886963	-0.383545	0.136230	0.511219	0.434858	-0.694045	0.260490
13112		9.172377	1.316256	-2.786254	0.139644	0.104025	-0.183501	-0.887451	-0.374512	0.147217	0.511931	0.436184	-0.692555	0.260842
13113		9.436910	1.004252	-2.901075	0.093202	0.079879	-0.134650	-0.890381	-0.382568	0.142578	0.512433	0.437159	-0.691435	0.261195
13114		9.348204	0.770314	-2.636025	0.027787	0.144248	-0.081433	-0.889648	-0.380127	0.135986	0.513520	0.437355	-0.690358	0.261579
13115		9.116719	0.609115	-2.719569	0.068433	0.117307	-0.061724	-0.885986	-0.385010	0.142334	0.514302	0.437626	-0.689361	0.262216
13116		9.209872	0.722846	-2.948819	0.100889	0.116541	-0.053708	-0.884521	-0.384521	0.141113	0.514875	0.438087	-0.688315	0.263070
13117		9.238653	1.038103	-3.141587	0.058596	0.135107	0.001208	-0.885498	-0.381836	0.133301	0.515573	0.438017	-0.687482	0.263996
13118		9.215090	0.914165	-3.281137	-0.013679	0.137862	0.060814	-0.892334	-0.376221	0.135742	0.516467	0.437238	-0.687008	0.264774
13119		9.121257	0.595753	-3.373009	-0.027664	0.130348	0.071317	-0.890869	-0.375732	0.138672	0.517285	0.436349	-0.686644	0.265588
13120		9.137033	0.602421	-3.511191	0.030156	0.105434	0.041668	-0.889893	-0.376953	0.137695	0.517731	0.435993	-0.686175	0.266514
13121		9.163778	0.544552	-3.388990	0.040784	0.108264	0.039318	-0.894775	-0.382812	0.130615	0.518135	0.435704	-0.685685	0.267460
13122		9.078871	0.517720	-3.364855	0.054679	0.110906	0.016720	-0.892578	-0.374756	0.134766	0.518664	0.435506	-0.685082	0.268300
13123		9.093831	0.527614	-3.289357	0.084283	0.105785	-0.002431	-0.889893	-0.373535	0.124023	0.518952	0.435628	-0.684384	0.269325
13124		9.144051	0.811535	-3.201712	0.090177	0.104618	-0.012875	-0.894775	-0.370117	0.130615	0.519311	0.435774	-0.683637	0.270290
13125		9.084793	0.938952	-3.223142	0.098572	0.084567	-0.003328	-0.895508	-0.375977	0.127686	0.519409	0.435974	-0.683011	0.271364
13126		9.081814	0.892727	-3.179566	0.090017	0.075357	0.010388	-0.897461	-0.375244	0.119141	0.519521	0.436055	-0.682501	0.272299
13127		9.101266	1.048318	-3.150010	0.088020	0.054166	0.016058	-0.890137	-0.366455	0.118896	0.519609	0.436049	-0.682106	0.273128
13128		9.153405	0.925135	-3.227940	0.098570	0.063047	0.021537	-0.892334	-0.369141	0.127930	0.519597	0.436115	-0.681663	0.274149
13129		9.185719	0.810673	-3.175265	0.115130	0.058515	0.009955	-0.891846	-0.372803	0.126221	0.519431	0.436413	-0.681178	0.275194
13130		9.164090	0.872265	-3.117245	0.116575	0.057717	-0.013639	-0.894775	-0.374756	0.126953	0.519354	0.436841	-0.680612	0.276058
13131		9.192883	1.063482	-3.230280	0.084179	0.046127	-0.012192	-0.891113	-0.375000	0.122070	0.519339	0.437133	-0.680184	0.276681
13132		9.127681	1.100047	-3.258562	0.054834	0.034727	-0.013901	-0.885986	-0.373047	0.123535	0.519421	0.437319	-0.679860	0.277028
13133		9.062185	1.028792	-3.226369	0.018779	0.029826	-0.007244	-0.886230	-0.376221	0.128418	0.519532	0.437393	-0.679662	0.277188
13134		9.087027	0.997936	-3.185617	-0.009087	0.012964	-0.010814	-0.888184	-0.369629	0.118652	0.519604	0.437476	-0.679596	0.277085
13135		9.213074	0.818552	-3.098641	-0.018473	0.010385	-0.017092	-0.892090	-0.376709	0.127197	0.519814	0.437398	-0.679545	0.276937
13136		9.223972	0.755529	-2.993680	0.006196	0.019960	-0.021569	-0.898682	-0.377686	0.125732	0.519927	0.437528	-0.679389	0.276904
13137		9.180960	0.871347	-2.993935	0.018587	0.008323	-0.027015	-0.887939	-0.376465	0.123779	0.519987	0.437695	-0.679243	0.276885
13138		9.174686	0.986000	-2.968682	-0.002943	-0.005148	-0.007449	-0.888916	-0.371338	0.130127	0.519987	0.437757	-0.679255	0.276757
13139		9.239168	1.049465	-2.960956	-0.081105	0.005097	0.028522	-0.904053	-0.367188	0.130859	0.520125	0.437294	-0.679564	0.276472
13140		9.347540	1.015747	-2.876646	-0.179445	0.013892	0.057362	-0.895020	-0.373047	0.118408	0.520611	0.436077	-0.680218	0.275870
13141		9.410321	0.978700	-2.752069	-0.255165	0.003234	0.092149	-0.883301	-0.375977	0.112793	0.521421	0.434339	-0.681143	0.274797
13142		9.460817	0.993633	-2.638621	-0.316492	0.018577	0.130987	-0.902832	-0.375977	0.108887	0.522507	0.432160	-0.682216	0.273506
13143		9.468963	0.888317	-2.585555	-0.360322	0.017776	0.166247	-0.896729	-0.370850	0.115479	0.523747	0.429414	-0.683537	0.272156
13144		9.557391	0.513987	-2.716460	-0.356850	0.028552	0.179532	-0.900635	-0.366943	0.117432	0.524822	0.426741	-0.684853	0.270981
13145		9.609393	0.319250	-2.682404	-0.337658	0.046606	0.165835	-0.892578	-0.362793	0.109619	0.525880	0.424209	-0.686010	0.269977
13146		9.631991	0.376712	-2.733443	-0.302996	0.057021	0.150861	-0.899414	-0.361572	0.100098	0.526944	0.421876	-0.686960	0.269141
13147		9.584740	0.374218	-2.942625	-0.280380	0.050410	0.144760	-0.900879	-0.360107	0.104736	0.528024	0.419548	-0.687852	0.268383
13148		9.550048	0.203609	-3.009930	-0.216029	0.062683	0.143656	-0.900879	-0.360840	0.105225	0.528831	0.417573	-0.688559	0.268062
13149		9.417892	0.216078	-2.955321	-0.159534	0.052944	0.139962	-0.900879	-0.366699	0.106689	0.529357	0.415948	-0.689164	0.267996
13150		9.295632	0.079465	-3.054703	-0.062139	0.041553	0.124390	-0.897461	-0.355225	0.096680	0.529505	0.414970	-0.689520	0.268300
13151		9.308254	-0.204865	-3.196620	0.084108	0.035402	0.079927	-0.893555	-0.356445	0.102539	0.529273	0.414742	-0.689439	0.269319
13152		9.256092	-0.309320	-3.282841	0.212232	0.025379	0.022183	-0.905273	-0.349609	0.097168	0.528568	0.415566	-0.688915	0.270771
13153		9.173626	0.081166	-3.301255	0.293902	0.019780	-0.022239	-0.896729	-0.354004	0.103516	0.527720	0.416771	-0.688129	0.272565
13154		9.008314	0.283327	-3.432922	0.320170	-0.001727	-0.040586	-0.898438	-0.348633	0.105469	0.526615	0.418425	-0.687283	0.274296
