// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		8.267653	-4.837528	-2.141936	0.003292	0.003012	-0.007735	-0.661621	0.242188	0.655518	0.080713	-0.718856	0.303931	-0.619966
25673		8.245972	-4.851275	-2.179077	-0.005702	0.006809	-0.006937	-0.645996	0.252930	0.657227	0.080625	-0.718842	0.303923	-0.619997
25674		8.227663	-4.887430	-2.277523	0.003086	0.005967	-0.006530	-0.658936	0.254150	0.661133	0.080851	-0.718848	0.303912	-0.619966
25675		8.214403	-4.928472	-2.206050	0.008487	0.005537	-0.006514	-0.660645	0.251465	0.658936	0.081015	-0.718843	0.303860	-0.619976
25676		8.191525	-4.900592	-2.230103	0.007636	0.000968	-0.006558	-0.650146	0.245361	0.658203	0.081133	-0.718859	0.303801	-0.619971
25677		8.229637	-4.852914	-2.230659	0.007140	-0.001442	-0.004498	-0.648193	0.242676	0.659668	0.081266	-0.718884	0.303757	-0.619946
25678		8.242528	-4.870797	-2.201419	0.002651	0.009796	-0.004210	-0.650635	0.241699	0.655762	0.081331	-0.718854	0.303745	-0.619978
25679		8.249265	-4.878229	-2.155048	0.001131	0.005072	-0.008283	-0.655762	0.244873	0.658203	0.081338	-0.718858	0.303709	-0.619991
25680		8.254283	-4.835644	-2.190005	0.002001	0.004566	-0.010541	-0.660156	0.249023	0.654785	0.081346	-0.718869	0.303656	-0.620002
25681		8.170174	-4.961606	-2.196206	-0.003676	0.011157	-0.012313	-0.653320	0.253418	0.654297	0.081293	-0.718856	0.303627	-0.620038
25682		8.161842	-4.962208	-2.223315	0.002337	-0.002510	-0.010913	-0.654541	0.249512	0.659912	0.081401	-0.718912	0.303585	-0.619981
25683		8.236200	-4.855246	-2.194770	0.019995	-0.010172	-0.014521	-0.655029	0.240479	0.660400	0.081590	-0.719003	0.303427	-0.619928
25684		8.212696	-4.890670	-2.245409	0.017692	-0.008363	-0.010906	-0.658447	0.234619	0.667236	0.081696	-0.719072	0.303292	-0.619900
25685		8.209914	-4.900127	-2.227342	0.019390	-0.006382	-0.013212	-0.645264	0.257812	0.652588	0.081743	-0.719136	0.303136	-0.619895
25686		8.228943	-4.925733	-2.153262	0.021641	-0.009568	-0.009622	-0.652832	0.248535	0.663574	0.082061	-0.719206	0.303017	-0.619829
25687		8.236951	-4.873143	-2.206664	0.011294	-0.010468	-0.011888	-0.661133	0.249756	0.656006	0.082205	-0.719320	0.302930	-0.619722
