// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
25672		6.265610	-0.978991	7.414317	-0.002543	-0.010978	0.005638	-0.634033	0.170410	-0.542236	0.301390	-0.338860	-0.059532	-0.889266
25673		6.241779	-0.973809	7.461459	-0.004668	-0.010779	0.004628	-0.621094	0.182129	-0.543945	0.301399	-0.338962	-0.059522	-0.889225
25674		6.262024	-0.982655	7.457858	-0.004170	-0.010017	0.004527	-0.627686	0.185791	-0.533203	0.301416	-0.339049	-0.059503	-0.889187
25675		6.241588	-0.977139	7.444960	-0.003354	-0.007172	0.005301	-0.633545	0.180176	-0.538330	0.301442	-0.339114	-0.059481	-0.889155
25676		6.262536	-1.001929	7.413096	-0.001547	-0.009453	0.005435	-0.623535	0.174561	-0.542480	0.301473	-0.339191	-0.059477	-0.889115
25677		6.234379	-0.950397	7.456975	-0.000641	-0.007978	0.004139	-0.620850	0.173340	-0.540039	0.301499	-0.339257	-0.059478	-0.889081
25678		6.265741	-0.985619	7.454345	-0.001271	-0.005490	0.002821	-0.625244	0.173340	-0.538574	0.301514	-0.339304	-0.059474	-0.889058
25679		6.254972	-0.959213	7.453074	-0.002856	-0.007828	0.002037	-0.628418	0.175781	-0.540039	0.301518	-0.339374	-0.059464	-0.889031
25680		6.259153	-0.974428	7.438218	0.001713	-0.006146	0.004934	-0.629639	0.178223	-0.544922	0.301556	-0.339421	-0.059477	-0.888999
25681		6.240694	-0.966983	7.440160	-0.002400	-0.003764	0.001606	-0.627197	0.182861	-0.543457	0.301560	-0.339461	-0.059462	-0.888984
25682		6.246903	-0.980878	7.440009	-0.000184	-0.003914	0.003708	-0.627686	0.183594	-0.540283	0.301585	-0.339497	-0.059459	-0.888962
25683		6.230674	-0.971858	7.456528	0.000449	-0.002588	-0.000866	-0.625488	0.171875	-0.532471	0.301579	-0.339520	-0.059468	-0.888954
25684		6.241850	-0.967460	7.439129	0.001399	-0.002995	0.001328	-0.630615	0.167725	-0.533936	0.301592	-0.339543	-0.059480	-0.888940
25685		6.252865	-0.978280	7.467823	0.001760	-0.004214	0.002534	-0.617432	0.187500	-0.544678	0.301615	-0.339575	-0.059493	-0.888919
25686		6.218821	-0.977367	7.458120	0.001350	-0.006345	0.000566	-0.624268	0.177734	-0.536133	0.301623	-0.339620	-0.059510	-0.888898
25687		6.251757	-0.979440	7.452363	0.002438	-0.004770	0.001452	-0.634033	0.181885	-0.543213	0.301640	-0.339651	-0.059531	-0.888879
25688		6.252186	-0.979180	7.452037	0.003932	-0.002482	0.001143	-0.622559	0.183838	-0.537598	0.301661	-0.339662	-0.059555	-0.888866
25689		6.259948	-0.959831	7.448815	-0.000410	-0.002131	-0.001968	-0.618652	0.185547	-0.546387	0.301648	-0.339678	-0.059553	-0.888865
25690		6.228251	-0.957528	7.453571	-0.000007	-0.006651	-0.000433	-0.629150	0.177490	-0.547607	0.301647	-0.339723	-0.059560	-0.888848
25691		6.239556	-0.968427	7.482022	0.001353	-0.004927	0.003730	-0.629883	0.173584	-0.542480	0.301677	-0.339752	-0.059568	-0.888826
25692		6.224707	-0.960413	7.423685	-0.000186	-0.005333	0.000547	-0.622803	0.183105	-0.536621	0.301675	-0.339786	-0.059579	-0.888812
25693		6.227756	-0.959271	7.437521	-0.000004	-0.005233	0.002731	-0.616943	0.175781	-0.538086	0.301697	-0.339824	-0.059576	-0.888791
25694		6.228562	-0.959783	7.436780	-0.003263	-0.008540	0.003238	-0.625488	0.174316	-0.541992	0.301707	-0.339885	-0.059563	-0.888765
25695		6.242831	-0.954903	7.433075	-0.002404	-0.008997	0.004341	-0.633057	0.174316	-0.539307	0.301725	-0.339947	-0.059559	-0.888736
25696		6.248796	-0.953263	7.460784	-0.005343	-0.010222	0.005725	-0.624756	0.176758	-0.542236	0.301739	-0.340037	-0.059539	-0.888698
25697		6.240000	-0.974860	7.448334	-0.003487	-0.009154	0.006621	-0.632324	0.176270	-0.533936	0.301772	-0.340101	-0.059520	-0.888663
25698		6.230381	-0.980291	7.464327	-0.005165	-0.011541	0.004748	-0.619385	0.172607	-0.539551	0.301777	-0.340209	-0.059506	-0.888621
25699		6.239343	-0.962289	7.459929	-0.003267	-0.013774	0.005974	-0.630127	0.184326	-0.538574	0.301802	-0.340296	-0.059506	-0.888579
25700		6.240734	-0.963404	7.458622	-0.003124	-0.010374	0.007829	-0.625000	0.170410	-0.540527	0.301853	-0.340381	-0.059474	-0.888532
25701		6.242886	-0.980858	7.428868	-0.005387	-0.012155	0.008132	-0.628174	0.175537	-0.548828	0.301879	-0.340459	-0.059462	-0.888494
25702		6.230002	-0.971786	7.458926	-0.003892	-0.009867	0.007822	-0.627197	0.180420	-0.540771	0.301920	-0.340501	-0.059443	-0.888465
25703		6.252722	-0.964509	7.423514	-0.005250	-0.010173	0.006825	-0.628906	0.180420	-0.542725	0.301957	-0.340572	-0.059404	-0.888428
25704		6.232365	-0.974385	7.456613	-0.002854	-0.011644	0.007946	-0.630127	0.166016	-0.533936	0.302007	-0.340645	-0.059386	-0.888384
25705		6.236808	-0.990440	7.441357	-0.006380	-0.008446	0.005612	-0.614502	0.174316	-0.544189	0.301978	-0.340723	-0.059389	-0.888364
25706		6.253697	-0.984648	7.451820	-0.002271	-0.012250	0.005772	-0.622070	0.175537	-0.543945	0.302026	-0.340751	-0.059385	-0.888337
25707		6.262211	-0.966559	7.447814	-0.003525	-0.005854	0.006298	-0.625977	0.178955	-0.543701	0.302066	-0.340752	-0.059360	-0.888325
25708		6.257050	-0.954474	7.446897	-0.004422	-0.005912	0.010764	-0.632080	0.167969	-0.540039	0.302140	-0.340770	-0.059308	-0.888296
25709		6.223792	-0.986226	7.454663	-0.002802	-0.008294	0.008711	-0.625732	0.179688	-0.537354	0.302136	-0.340820	-0.059333	-0.888277
25710		6.230496	-1.000749	7.453963	-0.002312	-0.008949	0.005443	-0.625732	0.176270	-0.541016	0.302170	-0.340883	-0.059316	-0.888242
25711		6.229092	-1.002672	7.438612	-0.000463	-0.009299	0.003171	-0.625488	0.182129	-0.543701	0.302185	-0.340915	-0.059334	-0.888223
25712		6.247646	-0.963792	7.445971	-0.001543	-0.009456	0.005453	-0.627930	0.176270	-0.538574	0.302249	-0.340942	-0.059309	-0.888193
25713		6.281019	-0.966399	7.439643	0.001386	-0.009649	0.000900	-0.619873	0.185791	-0.534912	0.302240	-0.340991	-0.059351	-0.888174
25714		6.241618	-0.952314	7.429431	-0.001812	-0.008186	0.005341	-0.624023	0.174805	-0.535889	0.302325	-0.341051	-0.059295	-0.888126
25715		6.256452	-0.978967	7.443412	-0.004521	-0.007378	0.006513	-0.629883	0.175781	-0.541016	0.302335	-0.341102	-0.059280	-0.888104
25716		6.259032	-0.947395	7.439346	-0.001313	-0.007424	0.005237	-0.621826	0.173096	-0.535645	0.302344	-0.341130	-0.059298	-0.888089
25717		6.230768	-0.960521	7.429871	-0.002038	-0.004983	0.002824	-0.620361	0.182373	-0.541992	0.302329	-0.341143	-0.059316	-0.888088
25718		6.257645	-0.949939	7.423890	-0.003344	-0.001937	0.002589	-0.626221	0.173340	-0.537598	0.302394	-0.341098	-0.059260	-0.888087
25719		6.239537	-0.974147	7.443829	-0.003064	-0.001790	0.005867	-0.626221	0.170898	-0.550049	0.302385	-0.341095	-0.059266	-0.888090
25720		6.229777	-0.995633	7.432130	-0.003107	-0.003724	0.008272	-0.629395	0.186523	-0.544434	0.302409	-0.341003	-0.059288	-0.888116
25721		6.240130	-0.976492	7.443025	-0.004560	-0.004077	0.006183	-0.627686	0.175781	-0.545410	0.302506	-0.341005	-0.059209	-0.888088
25722		6.242971	-0.976369	7.456948	-0.004061	-0.003314	0.006079	-0.625000	0.173340	-0.541260	0.302525	-0.340964	-0.059200	-0.888098
25723		6.237668	-0.964135	7.456201	-0.006418	-0.005142	0.005293	-0.619385	0.176270	-0.538330	0.302507	-0.340959	-0.059190	-0.888107
25724		6.216935	-0.958791	7.443619	-0.002892	-0.008345	0.007626	-0.631348	0.177490	-0.544189	0.302560	-0.340972	-0.059178	-0.888084
25725		6.235076	-1.000542	7.443317	-0.005425	-0.008854	0.007821	-0.625000	0.173584	-0.541992	0.302577	-0.341001	-0.059166	-0.888068
25726		6.246025	-0.981398	7.453730	-0.003941	-0.007983	0.004340	-0.633545	0.175781	-0.539062	0.302560	-0.340997	-0.059187	-0.888074
25727		6.241802	-0.984669	7.424248	-0.002132	-0.005032	0.001733	-0.619385	0.171631	-0.537109	0.302493	-0.341043	-0.059220	-0.888077
25728		6.239877	-1.001688	7.455432	-0.003399	-0.005286	0.001831	-0.631592	0.176514	-0.542480	0.302458	-0.341025	-0.059247	-0.888094
25729		6.218358	-0.979816	7.471494	-0.004209	-0.006714	0.004228	-0.628174	0.176025	-0.542236	0.302436	-0.341047	-0.059255	-0.888092
25730		6.246721	-0.985785	7.436268	-0.004806	-0.012761	0.005978	-0.616699	0.174805	-0.544678	0.302439	-0.341096	-0.059266	-0.888072
25731		6.244151	-0.955981	7.477680	-0.002636	-0.011031	0.004577	-0.635986	0.179688	-0.534668	0.302519	-0.341025	-0.059284	-0.888071
25732		6.233049	-0.978659	7.450615	-0.006167	-0.013064	0.004985	-0.618164	0.177734	-0.545898	0.302457	-0.341214	-0.059267	-0.888020
25733		6.251109	-0.989079	7.432142	-0.004537	-0.014031	0.006095	-0.629395	0.183838	-0.541748	0.302573	-0.341165	-0.059255	-0.888000
25734		6.268377	-0.983253	7.442299	-0.003134	-0.011793	0.004686	-0.622070	0.176270	-0.533203	0.302653	-0.341228	-0.059220	-0.887951
25735		6.250601	-0.976164	7.443795	-0.003266	-0.008540	0.003261	-0.620605	0.181641	-0.547119	0.302639	-0.341294	-0.059222	-0.887931
25736		6.232787	-0.969306	7.445302	-0.004979	-0.011443	0.006965	-0.633057	0.173340	-0.534912	0.302794	-0.341230	-0.059170	-0.887906
25737		6.242462	-0.982559	7.458533	-0.002961	-0.013112	0.003708	-0.622314	0.177979	-0.537109	0.302667	-0.341377	-0.059237	-0.887888
25738		6.249098	-0.966102	7.439609	-0.008146	-0.014697	0.008584	-0.623779	0.177979	-0.536377	0.302718	-0.341457	-0.059193	-0.887843
25739		6.247825	-0.969082	7.423964	-0.005687	-0.007586	0.007721	-0.628906	0.172119	-0.542480	0.302757	-0.341494	-0.059157	-0.887818
25740		6.278384	-0.974181	7.403209	-0.006281	-0.008396	0.006735	-0.633057	0.178467	-0.541992	0.302696	-0.341486	-0.059194	-0.887840
25741		6.256458	-0.937305	7.447601	-0.007072	-0.008410	0.012303	-0.630371	0.176025	-0.541260	0.302726	-0.341538	-0.059160	-0.887811
25742		6.250498	-0.990079	7.467129	-0.008551	-0.009283	0.015791	-0.627441	0.175293	-0.538818	0.302761	-0.341582	-0.059126	-0.887784
25743		6.225044	-0.988945	7.425336	-0.010856	-0.012997	0.018513	-0.624756	0.174072	-0.536377	0.302808	-0.341664	-0.059076	-0.887741
25744		6.247435	-0.983366	7.463841	-0.015599	-0.017170	0.022530	-0.625244	0.178711	-0.534180	0.302859	-0.341792	-0.058996	-0.887679
25745		6.249299	-0.987671	7.461712	-0.011285	-0.019476	0.028038	-0.621094	0.183105	-0.536621	0.303006	-0.341971	-0.058892	-0.887567
25746		6.243582	-0.995638	7.416428	-0.014064	-0.018187	0.022556	-0.622803	0.172363	-0.534668	0.303223	-0.342088	-0.058734	-0.887458
25747		6.229724	-1.021423	7.448938	-0.010552	-0.017571	0.018977	-0.631104	0.176514	-0.537598	0.303230	-0.342190	-0.058726	-0.887417
25748		6.234003	-1.008379	7.415199	-0.012392	-0.017221	0.021265	-0.632568	0.180420	-0.530029	0.303252	-0.342337	-0.058678	-0.887356
25749		6.240982	-1.009442	7.441893	-0.011051	-0.018333	0.019093	-0.626953	0.189453	-0.536865	0.303246	-0.342609	-0.058600	-0.887258
25750		6.266663	-1.002805	7.419951	-0.010776	-0.014363	0.016468	-0.627686	0.178223	-0.533691	0.303458	-0.342735	-0.058424	-0.887149
25751		6.271058	-1.020313	7.404262	-0.008469	-0.010650	0.013745	-0.629639	0.187744	-0.531982	0.303469	-0.342831	-0.058390	-0.887110
25752		6.242423	-1.018781	7.423053	-0.005129	-0.008717	0.011139	-0.626221	0.178467	-0.545410	0.303571	-0.342976	-0.058280	-0.887026
25753		6.267041	-1.010347	7.402234	-0.004743	-0.004170	0.004025	-0.621338	0.182617	-0.534424	0.303619	-0.342835	-0.058299	-0.887063
25754		6.242922	-1.005116	7.450477	-0.001516	-0.002813	0.005903	-0.624023	0.190186	-0.534912	0.303719	-0.342797	-0.058260	-0.887046
25755		6.249370	-1.035023	7.421740	0.000629	-0.002495	0.001320	-0.624023	0.181641	-0.543213	0.303879	-0.342793	-0.058171	-0.886998
25756		6.252197	-1.033765	7.435899	0.001032	-0.001780	0.000118	-0.622559	0.174316	-0.538330	0.303949	-0.342640	-0.058192	-0.887032
25757		6.263007	-1.029142	7.418622	0.003202	-0.000053	-0.001294	-0.634033	0.181152	-0.537354	0.303881	-0.342499	-0.058302	-0.887103
25758		6.249612	-1.033758	7.421712	0.006178	0.003104	-0.005109	-0.627441	0.179443	-0.541016	0.303800	-0.342471	-0.058387	-0.887136
25759		6.243592	-1.018969	7.422045	0.006776	0.003912	-0.004122	-0.623291	0.184326	-0.534180	0.303787	-0.342320	-0.058476	-0.887193
25760		6.229569	-1.007453	7.453834	0.004872	0.000914	-0.002597	-0.623535	0.177002	-0.540771	0.303854	-0.342272	-0.058479	-0.887188
25761		6.263814	-0.976946	7.445082	0.001493	-0.002958	0.002421	-0.625977	0.171143	-0.537354	0.303864	-0.342151	-0.058541	-0.887227
