// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		5.015368	-6.448820	5.594312	-0.010990	0.004476	-0.002267	-0.515381	0.717529	-0.252197	0.426218	-0.428247	0.184615	-0.775152
18651		4.976420	-6.514169	5.482984	-0.012350	0.014895	0.008850	-0.513428	0.723389	-0.246826	0.426208	-0.428181	0.184779	-0.775155
18652		4.869059	-6.517214	5.399482	-0.006860	0.009539	0.011428	-0.507080	0.709961	-0.248535	0.426244	-0.428131	0.184906	-0.775132
18653		4.868146	-6.443215	5.463580	-0.002310	-0.003935	0.019622	-0.506348	0.716553	-0.255859	0.426369	-0.428135	0.184979	-0.775043
18654		4.887243	-6.401333	5.554390	-0.005080	-0.005959	0.017339	-0.512451	0.713135	-0.251709	0.426474	-0.428166	0.185058	-0.774950
18655		4.825360	-6.354810	5.567042	-0.014428	0.001199	0.011566	-0.506348	0.720215	-0.248291	0.426497	-0.428191	0.185203	-0.774888
18656		4.777849	-6.404278	5.511743	-0.021487	0.002427	-0.000479	-0.510010	0.718018	-0.245361	0.426419	-0.428248	0.185357	-0.774864
18657		4.810528	-6.449065	5.459168	-0.026225	-0.005342	-0.011035	-0.510742	0.719727	-0.252930	0.426271	-0.428383	0.185481	-0.774841
18658		4.897973	-6.485228	5.471746	-0.024634	-0.009472	-0.008957	-0.519287	0.715820	-0.251953	0.426151	-0.428534	0.185597	-0.774795
18659		4.941817	-6.452944	5.517341	-0.028383	-0.008298	-0.006003	-0.512939	0.718994	-0.243408	0.426037	-0.428688	0.185758	-0.774734
18660		4.883737	-6.466138	5.511896	-0.024850	0.001325	-0.010079	-0.507812	0.716064	-0.243652	0.425895	-0.428774	0.185918	-0.774726
18661		4.902121	-6.447391	5.528432	-0.029739	0.001863	-0.016700	-0.512207	0.709229	-0.243164	0.425695	-0.428883	0.186095	-0.774734
18662		4.980095	-6.484983	5.506582	-0.030403	0.002936	-0.014834	-0.511963	0.713867	-0.249512	0.425505	-0.428981	0.186290	-0.774737
18663		4.954373	-6.465643	5.516278	-0.031153	0.014754	-0.010628	-0.505859	0.718994	-0.248535	0.425321	-0.429001	0.186551	-0.774763
18664		4.855221	-6.472486	5.484919	-0.031326	0.012936	-0.015173	-0.504883	0.713623	-0.242676	0.425111	-0.429042	0.186793	-0.774798
18665		4.874284	-6.446254	5.525784	-0.037092	0.012159	-0.021773	-0.507080	0.718994	-0.239990	0.424841	-0.429117	0.187051	-0.774842
18666		4.904066	-6.428669	5.532769	-0.040694	0.010682	-0.022950	-0.511230	0.719238	-0.246582	0.424560	-0.429212	0.187330	-0.774876
18667		4.898695	-6.484173	5.502440	-0.042863	0.018322	-0.024763	-0.515625	0.714111	-0.244141	0.424250	-0.429259	0.187648	-0.774943
18668		4.870179	-6.488443	5.438525	-0.048207	0.009836	-0.021936	-0.512451	0.716309	-0.241211	0.423952	-0.429375	0.187979	-0.774962
