// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		9.061657	-0.783064	-3.779072	0.056618	-0.003127	-0.026136	-1.185303	0.183350	-0.113281	0.554716	-0.102845	-0.825394	-0.020945
18651		9.052945	-0.693530	-3.769110	0.041771	0.005714	-0.016966	-1.182373	0.184082	-0.109619	0.554788	-0.102534	-0.825389	-0.020741
18652		9.060353	-0.785216	-3.708008	0.031941	0.009128	-0.014961	-1.179199	0.171143	-0.109619	0.554871	-0.102284	-0.825368	-0.020597
18653		9.091371	-0.874414	-3.623578	0.029036	0.012719	-0.010790	-1.176758	0.181885	-0.117432	0.554982	-0.102073	-0.825322	-0.020459
18654		9.102819	-0.931027	-3.644743	0.036596	0.011036	-0.014964	-1.184326	0.177002	-0.114014	0.555091	-0.101800	-0.825288	-0.020284
18655		9.044939	-0.868302	-3.654977	0.032818	0.011245	-0.016749	-1.178223	0.181396	-0.112793	0.555201	-0.101534	-0.825250	-0.020139
18656		9.087924	-0.893116	-3.617827	0.024511	0.011537	-0.016253	-1.182129	0.177246	-0.110352	0.555311	-0.101312	-0.825206	-0.020047
18657		9.074790	-0.789402	-3.622478	0.015763	0.009389	-0.016857	-1.181641	0.184082	-0.116455	0.555404	-0.101130	-0.825166	-0.020012
18658		9.102698	-0.662941	-3.690634	-0.007503	0.014647	-0.006612	-1.190674	0.177979	-0.119385	0.555523	-0.101124	-0.825084	-0.020093
18659		9.083421	-0.834334	-3.563434	-0.024438	0.017535	-0.000459	-1.186279	0.179199	-0.112305	0.555652	-0.101233	-0.824980	-0.020273
18660		9.071063	-0.931327	-3.695870	-0.028997	0.022255	0.002929	-1.176270	0.176758	-0.110596	0.555822	-0.101387	-0.824842	-0.020469
18661		9.074608	-0.901542	-3.613781	-0.023400	0.021256	-0.000840	-1.181641	0.169434	-0.112549	0.555993	-0.101496	-0.824709	-0.020633
18662		9.117286	-0.857629	-3.630185	-0.031779	0.017680	0.000268	-1.185059	0.177002	-0.119629	0.556141	-0.101657	-0.824584	-0.020838
18663		9.079659	-0.876161	-3.633321	-0.043394	0.017244	0.006713	-1.176270	0.181152	-0.116699	0.556289	-0.101919	-0.824446	-0.021086
18664		9.119835	-0.817339	-3.734229	-0.026354	0.014856	0.006597	-1.178467	0.175293	-0.109619	0.556436	-0.102105	-0.824320	-0.021209
18665		9.101985	-0.743460	-3.552031	-0.026184	0.016460	0.008013	-1.178467	0.181152	-0.111572	0.556594	-0.102301	-0.824186	-0.021325
18666		9.092662	-0.799213	-3.665209	-0.035090	0.012713	0.005983	-1.180664	0.182617	-0.116943	0.556735	-0.102522	-0.824059	-0.021509
18667		9.095011	-0.896474	-3.663899	-0.017286	0.014699	0.002046	-1.185059	0.177734	-0.115967	0.556915	-0.102635	-0.823921	-0.021591
18668		9.114960	-0.797521	-3.570175	-0.011278	0.011887	-0.000871	-1.181396	0.181885	-0.115479	0.557089	-0.102710	-0.823792	-0.021640
18669		9.124183	-0.837229	-3.676229	-0.021987	0.010424	-0.001093	-1.185791	0.189209	-0.116455	0.557246	-0.102828	-0.823668	-0.021755
18670		9.073546	-0.959192	-3.722180	-0.002775	0.008564	-0.001054	-1.183105	0.185791	-0.113525	0.557433	-0.102865	-0.823539	-0.021708
18671		9.107299	-0.812794	-3.592193	0.020813	0.006519	-0.008458	-1.181885	0.181641	-0.115479	0.557598	-0.102747	-0.823447	-0.021526
18672		9.143306	-0.726896	-3.571039	0.013715	0.003244	-0.008304	-1.182373	0.184082	-0.112305	0.557731	-0.102662	-0.823370	-0.021413
18673		9.103019	-0.862185	-3.645844	-0.000777	0.003247	-0.002569	-1.187500	0.176758	-0.120117	0.557861	-0.102675	-0.823282	-0.021362
18674		9.053525	-1.039364	-3.697819	0.013318	-0.001071	-0.006520	-1.189453	0.178223	-0.118408	0.558013	-0.102624	-0.823187	-0.021279
18675		9.084710	-0.921283	-3.648275	0.046774	-0.002265	-0.015648	-1.186768	0.179199	-0.125488	0.558192	-0.102375	-0.823105	-0.020970
18676		9.131619	-0.852993	-3.562465	0.032510	-0.002304	-0.017113	-1.180420	0.177734	-0.121582	0.558360	-0.102189	-0.823019	-0.020774
18677		9.097152	-0.837654	-3.650693	0.041783	-0.002735	-0.017357	-1.176758	0.179932	-0.114014	0.558465	-0.101921	-0.822987	-0.020523
18678		9.110587	-0.892415	-3.742480	0.074240	-0.004873	-0.022088	-1.177490	0.190918	-0.119629	0.558520	-0.101429	-0.823023	-0.020026
18679		9.089157	-0.780653	-3.695197	0.075926	-0.001740	-0.021052	-1.168945	0.178467	-0.113525	0.558653	-0.100958	-0.823005	-0.019429
18680		9.125657	-0.744323	-3.575847	0.055164	0.004493	-0.011856	-1.180908	0.177734	-0.122803	0.558679	-0.100579	-0.823043	-0.019043
18681		9.106280	-0.750144	-3.571702	0.033079	0.013781	-0.008379	-1.184326	0.179932	-0.116943	0.558914	-0.100405	-0.822909	-0.018828
18682		9.085322	-0.803440	-3.689751	-0.000204	0.026549	-0.001144	-1.183350	0.177002	-0.120605	0.559210	-0.100443	-0.822704	-0.018776
18683		9.064427	-0.873266	-3.653804	-0.018190	0.036083	0.002944	-1.182861	0.172363	-0.119629	0.559551	-0.100585	-0.822453	-0.018883
18684		9.103604	-0.928735	-3.624590	-0.003561	0.024938	-0.002078	-1.186279	0.175293	-0.115967	0.559795	-0.100616	-0.822282	-0.018943
18685		9.138884	-0.787532	-3.596361	-0.013846	0.025897	-0.001215	-1.184570	0.179932	-0.122803	0.560043	-0.100720	-0.822099	-0.019012
