// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		9.028598	-2.661321	-2.846753	-0.013269	-0.007280	0.000223	-0.865234	0.109131	0.630371	-0.032564	-0.756612	0.268775	-0.595179
18651		9.042855	-2.715506	-2.823044	-0.014762	-0.007532	0.000694	-0.862305	0.110352	0.635498	-0.032636	-0.756644	0.268854	-0.595099
18652		9.013663	-2.659901	-2.799170	0.023783	-0.015535	-0.011447	-0.858398	0.099365	0.633789	-0.032505	-0.756757	0.268670	-0.595045
18653		8.991465	-2.586216	-2.781374	0.039452	-0.016441	-0.012081	-0.857422	0.106201	0.625732	-0.032279	-0.756876	0.268403	-0.595027
18654		8.969327	-2.665644	-2.830127	0.025095	-0.014353	-0.002998	-0.862061	0.104980	0.632080	-0.032130	-0.756956	0.268254	-0.595000
18655		8.948448	-2.709513	-2.777802	0.007470	-0.013045	0.002377	-0.857910	0.112549	0.634277	-0.032043	-0.757017	0.268235	-0.594936
18656		8.980368	-2.749831	-2.791296	0.004645	-0.013946	0.000025	-0.860352	0.107422	0.636230	-0.031980	-0.757084	0.268216	-0.594862
18657		8.977481	-2.712207	-2.818883	0.016127	-0.011263	0.000529	-0.860840	0.111816	0.631104	-0.031845	-0.757138	0.268145	-0.594833
18658		8.947424	-2.669933	-2.828694	0.010311	-0.014709	0.001574	-0.869629	0.106689	0.629150	-0.031731	-0.757203	0.268113	-0.594771
18659		8.991353	-2.623498	-2.847821	0.002250	-0.012400	0.002187	-0.865479	0.108398	0.637695	-0.031668	-0.757253	0.268124	-0.594706
18660		9.021849	-2.717004	-2.848791	-0.004019	-0.011117	0.002586	-0.857422	0.109863	0.639648	-0.031648	-0.757294	0.268168	-0.594634
