// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18650		4.987646	2.881399	7.909510	0.010931	-0.005720	0.001157	-0.390869	0.190186	-1.395264	0.818844	-0.002944	-0.309494	-0.483425
18651		4.997474	2.866020	7.939439	0.003244	-0.004060	0.001081	-0.389404	0.192139	-1.394043	0.818838	-0.002941	-0.309534	-0.483409
18652		4.963387	2.856872	7.937389	-0.000773	-0.004150	-0.002455	-0.383545	0.183105	-1.394043	0.818818	-0.002959	-0.309557	-0.483428
18653		4.969789	2.881480	7.934260	0.001139	-0.004042	0.000920	-0.384277	0.188232	-1.403320	0.818812	-0.002970	-0.309589	-0.483419
18654		4.960320	2.874442	7.926007	0.001829	-0.005019	-0.000401	-0.391846	0.185303	-1.397217	0.818797	-0.002976	-0.309629	-0.483417
18655		4.970991	2.886935	7.901097	0.001373	-0.001605	-0.000406	-0.385742	0.190918	-1.399658	0.818792	-0.002972	-0.309643	-0.483417
18656		4.975264	2.869696	7.911606	0.000180	0.000571	0.001260	-0.390625	0.183838	-1.393799	0.818799	-0.002971	-0.309637	-0.483408
18657		4.975236	2.869727	7.911612	0.001235	0.000388	0.000222	-0.385742	0.190918	-1.398926	0.818802	-0.002960	-0.309636	-0.483404
18658		4.960718	2.874759	7.925643	-0.002968	0.000075	-0.002337	-0.397705	0.185547	-1.399414	0.818794	-0.002974	-0.309619	-0.483429
18659		4.969798	2.863383	7.924167	-0.003286	0.001497	-0.002969	-0.390381	0.187988	-1.392334	0.818787	-0.002981	-0.309590	-0.483459
18660		4.979409	2.870486	7.932307	-0.002368	0.003306	-0.003380	-0.384766	0.188477	-1.392578	0.818785	-0.002975	-0.309549	-0.483490
18661		4.979661	2.893913	7.909877	-0.001637	0.004892	-0.002813	-0.388672	0.180420	-1.390625	0.818789	-0.002958	-0.309499	-0.483515
18662		4.977981	2.870290	7.933275	-0.002699	0.005424	0.000463	-0.390381	0.183838	-1.398926	0.818807	-0.002954	-0.309441	-0.483521
18663		4.977110	2.869984	7.933931	-0.001416	0.008027	0.000336	-0.384766	0.187988	-1.395996	0.818832	-0.002931	-0.309368	-0.483525
18664		4.956498	2.868734	7.960886	-0.001595	0.007456	-0.000924	-0.382812	0.183594	-1.391113	0.818852	-0.002910	-0.309296	-0.483538
18665		4.946625	2.884727	7.930759	-0.002561	0.003432	-0.000165	-0.383057	0.187988	-1.392578	0.818865	-0.002911	-0.309245	-0.483549
18666		4.940174	2.860344	7.933831	0.002028	0.003492	-0.004035	-0.384766	0.189941	-1.395508	0.818863	-0.002871	-0.309207	-0.483576
18667		4.960019	2.879960	7.917352	-0.001878	0.002804	0.000751	-0.391113	0.186035	-1.395508	0.818881	-0.002873	-0.309153	-0.483580
18668		4.963761	2.862479	7.928276	-0.000091	0.004207	0.000280	-0.385742	0.186279	-1.392578	0.818899	-0.002854	-0.309101	-0.483584
18669		4.939712	2.878897	7.944035	0.003340	0.000370	0.000384	-0.388428	0.194580	-1.396484	0.818907	-0.002827	-0.309087	-0.483579
18670		4.948450	2.849591	7.932638	0.001871	-0.002455	0.001487	-0.389160	0.193604	-1.396484	0.818919	-0.002836	-0.309075	-0.483567
18671		4.954681	2.874362	7.929562	0.003292	-0.001845	0.000732	-0.386963	0.187988	-1.398926	0.818930	-0.002831	-0.309062	-0.483557
18672		4.944830	2.862446	7.953731	0.002195	-0.004225	-0.000118	-0.387695	0.193359	-1.393066	0.818931	-0.002826	-0.309055	-0.483560
18673		4.954152	2.833540	7.941829	0.008096	-0.007288	0.000431	-0.392578	0.186035	-1.397705	0.818925	-0.002812	-0.309101	-0.483539
18674		4.991296	2.885548	7.929299	0.004983	-0.004871	0.000959	-0.395508	0.184570	-1.396729	0.818926	-0.002796	-0.309118	-0.483527
18675		4.956334	2.853330	7.949940	0.004665	-0.003450	0.000327	-0.389404	0.187012	-1.402588	0.818922	-0.002775	-0.309140	-0.483520
18676		4.947713	2.865092	7.950985	0.005300	-0.006292	0.001592	-0.385010	0.187012	-1.401123	0.818932	-0.002760	-0.309142	-0.483501
18677		4.938654	2.858726	7.942239	0.008598	-0.008487	0.000088	-0.380859	0.186035	-1.389893	0.818933	-0.002722	-0.309162	-0.483488
18678		4.961061	2.897756	7.933727	0.009419	-0.011107	0.000377	-0.380615	0.196289	-1.397217	0.818908	-0.002694	-0.309241	-0.483479
18679		4.952408	2.891590	7.924649	0.007860	-0.009724	0.001761	-0.376953	0.189453	-1.392090	0.818929	-0.002711	-0.309242	-0.483444
18680		4.972963	2.888510	7.929713	0.008453	-0.006144	0.002954	-0.384033	0.187012	-1.403809	0.818942	-0.002674	-0.309247	-0.483419
18681		4.978189	2.866904	7.971683	0.005569	-0.009927	0.002579	-0.390869	0.185791	-1.391602	0.818960	-0.002654	-0.309232	-0.483397
18682		4.973632	2.847694	7.941275	0.002140	-0.006090	0.002473	-0.391357	0.186279	-1.398193	0.818947	-0.002672	-0.309285	-0.483386
18683		4.985172	2.873122	7.958191	-0.003754	-0.003377	-0.000314	-0.389404	0.178467	-1.395264	0.818949	-0.002705	-0.309253	-0.483402
18684		4.975595	2.865325	7.950288	-0.004125	-0.003821	0.001641	-0.393066	0.185059	-1.393555	0.818931	-0.002698	-0.309255	-0.483431
18685		4.956668	2.868287	7.944253	-0.007242	-0.001055	0.004406	-0.390869	0.190430	-1.397217	0.818938	-0.002767	-0.309237	-0.483431
18686		4.971516	2.861279	7.930711	-0.014982	-0.001259	0.006920	-0.385498	0.188721	-1.393799	0.818982	-0.002921	-0.309137	-0.483419
18687		4.987151	2.866834	7.959219	-0.017639	-0.002256	0.007456	-0.385742	0.183105	-1.393066	0.819022	-0.003075	-0.309028	-0.483420
18688		4.977760	2.861837	7.919727	-0.015853	-0.000853	0.006984	-0.391602	0.181641	-1.395508	0.819045	-0.003161	-0.308945	-0.483434
18689		4.982376	2.842252	7.930859	-0.011819	-0.001810	0.003806	-0.390869	0.184326	-1.392822	0.819041	-0.003213	-0.308921	-0.483456
18690		4.978287	2.852250	7.953304	-0.014209	0.002890	0.009379	-0.382568	0.190918	-1.395996	0.819071	-0.003306	-0.308858	-0.483445
18691		4.982725	2.836998	7.932521	-0.021252	0.001013	0.006098	-0.384033	0.191406	-1.390869	0.819139	-0.003464	-0.308667	-0.483451
18692		4.974208	2.863039	7.945015	-0.021718	0.005124	0.010573	-0.385010	0.185547	-1.392334	0.819212	-0.003645	-0.308490	-0.483439
18693		4.991518	2.812949	7.966161	-0.029041	0.007581	0.010789	-0.385742	0.191406	-1.396973	0.819275	-0.003795	-0.308299	-0.483452
18694		4.990955	2.812886	7.936082	-0.034764	0.011219	0.011514	-0.385498	0.189697	-1.391357	0.819379	-0.004018	-0.308013	-0.483456
18695		4.987255	2.861192	7.947386	-0.037513	0.014431	0.012338	-0.391602	0.195068	-1.397217	0.819466	-0.004243	-0.307746	-0.483477
18696		4.960719	2.835265	7.946704	-0.031237	0.011464	0.008689	-0.384521	0.200439	-1.399658	0.819535	-0.004490	-0.307527	-0.483497
18697		4.954480	2.824894	7.961149	-0.021760	0.011199	0.008288	-0.381348	0.190430	-1.396484	0.819654	-0.004678	-0.307241	-0.483476
18698		4.959577	2.851257	7.927942	-0.017917	0.010366	0.008324	-0.390869	0.194336	-1.395508	0.819737	-0.004712	-0.307033	-0.483467
18699		4.924083	2.834196	7.959950	-0.011694	0.005528	0.007252	-0.383789	0.194336	-1.401855	0.819769	-0.004820	-0.306969	-0.483453
18700		4.961524	2.806693	7.963293	0.000281	0.004999	0.000573	-0.385254	0.197021	-1.395996	0.819824	-0.004763	-0.306849	-0.483435
18701		4.974534	2.778845	7.972093	0.007756	-0.000142	-0.004757	-0.389160	0.195557	-1.391846	0.819827	-0.004724	-0.306833	-0.483442
18702		4.956790	2.826280	7.952354	0.008446	-0.001117	-0.006082	-0.381836	0.196777	-1.393311	0.819784	-0.004708	-0.306901	-0.483471
18703		4.955760	2.809571	7.942343	0.009178	0.000468	-0.005512	-0.391602	0.188721	-1.395020	0.819791	-0.004647	-0.306863	-0.483484
18704		4.945232	2.799005	7.966378	0.009502	-0.001300	-0.007121	-0.391602	0.194580	-1.391846	0.819720	-0.004544	-0.306989	-0.483524
18705		4.956331	2.836759	7.918522	0.010737	-0.000914	-0.006898	-0.384521	0.203369	-1.396484	0.819660	-0.004524	-0.307091	-0.483563
18706		4.955001	2.810159	7.973011	0.010011	-0.002844	-0.009706	-0.385010	0.199707	-1.391846	0.819657	-0.004564	-0.307032	-0.483604
18707		4.945677	2.823028	7.974160	0.005785	-0.002113	-0.005546	-0.385498	0.193848	-1.395020	0.819646	-0.004611	-0.307007	-0.483637
18708		4.950806	2.830217	7.961543	0.002810	-0.001686	-0.005643	-0.378418	0.190186	-1.405273	0.819630	-0.004588	-0.306997	-0.483672
18709		4.959960	2.819566	7.959719	0.000740	0.001240	-0.001670	-0.382080	0.192139	-1.394287	0.819688	-0.004452	-0.306845	-0.483671
18710		4.959026	2.801547	7.950133	0.002113	-0.000365	-0.002079	-0.376953	0.196533	-1.400146	0.819695	-0.004401	-0.306806	-0.483684
18711		4.935260	2.818237	7.965687	0.003162	-0.000203	-0.000880	-0.385254	0.197510	-1.402832	0.819767	-0.004351	-0.306645	-0.483666
18712		4.953896	2.796381	7.962037	0.002616	-0.001564	-0.002426	-0.386230	0.199951	-1.399414	0.819804	-0.004362	-0.306570	-0.483650
18713		4.955681	2.838839	7.948571	0.004398	0.000184	-0.000658	-0.376953	0.195068	-1.394043	0.819850	-0.004405	-0.306505	-0.483613
18714		4.920130	2.807008	7.969314	0.008933	-0.001624	-0.001948	-0.381348	0.194824	-1.395020	0.819877	-0.004324	-0.306435	-0.483612
18715		4.954920	2.817554	7.970451	0.007510	-0.002234	-0.001192	-0.380127	0.195557	-1.402100	0.819893	-0.004281	-0.306410	-0.483602
18716		4.960898	2.842995	7.967376	0.004584	0.000407	-0.001635	-0.385010	0.193848	-1.394531	0.819944	-0.004223	-0.306295	-0.483588
18717		4.940516	2.829633	7.951494	0.005834	0.000102	-0.005891	-0.382568	0.191162	-1.392578	0.819926	-0.004186	-0.306303	-0.483613
18718		4.945417	2.831975	7.971148	0.007337	-0.003149	-0.004691	-0.388428	0.191895	-1.401367	0.819893	-0.004116	-0.306342	-0.483645
18719		4.950699	2.834429	7.990528	0.008523	-0.004977	-0.004122	-0.389648	0.197998	-1.390381	0.819871	-0.004060	-0.306408	-0.483641
