// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10197		6.665798	-4.144890	5.905223	0.011556	0.000553	0.001839	-0.229248	0.519775	-0.242432	0.711447	-0.417493	-0.158523	-0.542598
10198		6.623968	-4.113759	5.974276	0.008187	0.002924	0.002610	-0.226807	0.524170	-0.238525	0.711491	-0.417435	-0.158534	-0.542582
10199		6.650541	-4.116386	5.917334	0.002918	0.004536	0.002352	-0.233887	0.517578	-0.246826	0.711518	-0.417406	-0.158507	-0.542578
10200		6.622700	-4.133213	5.924478	0.003215	0.001640	0.003557	-0.234131	0.523193	-0.247070	0.711547	-0.417383	-0.158499	-0.542558
10201		6.654476	-4.118977	5.931957	0.001969	0.004209	0.000462	-0.226807	0.522461	-0.236816	0.711562	-0.417352	-0.158481	-0.542568
10202		6.629986	-4.121022	5.924766	-0.002198	0.002026	0.000521	-0.238770	0.519775	-0.233643	0.711561	-0.417354	-0.158457	-0.542576
10203		6.637863	-4.108962	5.924304	-0.001612	0.001908	-0.000980	-0.226807	0.523926	-0.240723	0.711554	-0.417350	-0.158441	-0.542592
10204		6.640975	-4.128798	5.919447	-0.002782	0.002362	-0.003485	-0.232910	0.517334	-0.241943	0.711534	-0.417345	-0.158425	-0.542627
10205		6.628435	-4.118393	5.957593	-0.003730	0.002145	-0.008129	-0.238525	0.514648	-0.244629	0.711489	-0.417340	-0.158423	-0.542690
10206		6.640133	-4.091143	5.942558	-0.008626	-0.001254	-0.006593	-0.228027	0.517578	-0.244141	0.711432	-0.417377	-0.158412	-0.542740
10207		6.640608	-4.145737	5.899667	-0.010084	-0.003577	-0.006393	-0.228271	0.517090	-0.235596	0.711368	-0.417429	-0.158408	-0.542785
10208		6.651152	-4.116654	5.916461	-0.010813	-0.004794	-0.004916	-0.242188	0.518799	-0.243408	0.711307	-0.417494	-0.158402	-0.542817
10209		6.642123	-4.146480	5.897440	-0.008403	-0.002036	-0.005979	-0.219727	0.523438	-0.229736	0.711253	-0.417528	-0.158395	-0.542863
10210		6.638207	-4.124196	5.934188	-0.008764	-0.002481	-0.009370	-0.235352	0.521729	-0.238281	0.711183	-0.417563	-0.158399	-0.542927
10211		6.653448	-4.116960	5.913665	-0.011105	-0.001791	-0.008872	-0.221924	0.520264	-0.243164	0.711108	-0.417605	-0.158386	-0.542996
10212		6.646027	-4.129205	5.913491	-0.007526	0.000513	-0.007430	-0.227783	0.517334	-0.241699	0.711057	-0.417616	-0.158371	-0.543059
10213		6.654484	-4.151586	5.921705	-0.007382	0.001846	-0.007405	-0.235596	0.518311	-0.236328	0.711008	-0.417618	-0.158348	-0.543128
10214		6.633819	-4.138286	5.900043	-0.003216	0.004143	-0.010217	-0.231934	0.518799	-0.240967	0.710963	-0.417582	-0.158340	-0.543217
10215		6.647161	-4.127523	5.913390	0.000885	0.002991	-0.012465	-0.233643	0.521729	-0.240723	0.710923	-0.417523	-0.158363	-0.543309
10216		6.650940	-4.145845	5.908841	0.000082	0.003998	-0.014330	-0.229004	0.523682	-0.247314	0.710873	-0.417460	-0.158383	-0.543416
10217		6.646872	-4.141350	5.895694	0.002286	0.002083	-0.017606	-0.231445	0.522949	-0.242676	0.710819	-0.417386	-0.158433	-0.543530
10218		6.644528	-4.153880	5.910503	0.005423	0.005949	-0.017390	-0.233887	0.517334	-0.243408	0.710778	-0.417281	-0.158473	-0.543652
10219		6.653315	-4.138824	5.911089	0.004995	0.007726	-0.024123	-0.229248	0.515869	-0.243896	0.710706	-0.417162	-0.158523	-0.543823
10220		6.650934	-4.115666	5.917411	0.009823	0.007573	-0.022339	-0.233887	0.517578	-0.241455	0.710661	-0.417020	-0.158587	-0.543973
10221		6.643745	-4.124547	5.919357	0.008514	0.006580	-0.022115	-0.231445	0.515625	-0.253418	0.710607	-0.416890	-0.158652	-0.544123
10222		6.641590	-4.136091	5.934653	0.008014	0.004689	-0.022778	-0.233643	0.520264	-0.249023	0.710558	-0.416755	-0.158728	-0.544268
10223		6.647540	-4.100731	5.940000	0.006342	0.003142	-0.023192	-0.226807	0.522949	-0.241455	0.710498	-0.416641	-0.158804	-0.544412
10224		6.640616	-4.075431	5.932007	0.002098	0.002954	-0.020971	-0.235352	0.521484	-0.238770	0.710432	-0.416572	-0.158846	-0.544538
10225		6.649773	-4.095433	5.941154	0.003628	0.003057	-0.017827	-0.236084	0.522705	-0.243408	0.710374	-0.416497	-0.158892	-0.544658
10226		6.657045	-4.098237	5.922634	0.003260	0.002395	-0.015712	-0.238281	0.509766	-0.249756	0.710330	-0.416418	-0.158935	-0.544763
10227		6.651144	-4.111057	5.891202	0.000169	0.007426	-0.014894	-0.239014	0.518555	-0.240723	0.710282	-0.416317	-0.158943	-0.544902
10228		6.650150	-4.106966	5.924387	-0.000614	0.002867	-0.015606	-0.230469	0.520020	-0.246582	0.710212	-0.416269	-0.158971	-0.545021
10229		6.675189	-4.103288	5.932002	-0.001847	-0.000239	-0.014793	-0.233643	0.507080	-0.243408	0.710161	-0.416233	-0.158997	-0.545107
10230		6.661837	-4.074400	5.942083	-0.002488	-0.003463	-0.015480	-0.232178	0.521729	-0.241211	0.710076	-0.416219	-0.159056	-0.545212
10231		6.661603	-4.090520	5.922844	-0.004761	-0.004998	-0.011641	-0.234375	0.518555	-0.239014	0.710012	-0.416242	-0.159086	-0.545268
10232		6.672340	-4.114839	5.898026	-0.006615	-0.002530	-0.007729	-0.228760	0.519775	-0.242676	0.709950	-0.416275	-0.159085	-0.545323
10233		6.658486	-4.087028	5.907927	-0.004569	-0.000322	-0.009429	-0.234619	0.519043	-0.235107	0.709911	-0.416278	-0.159076	-0.545375
10234		6.631909	-4.103367	5.914197	-0.003035	-0.000109	-0.009038	-0.228760	0.524658	-0.236816	0.709847	-0.416298	-0.159081	-0.545441
10235		6.650715	-4.095718	5.939958	-0.008694	-0.007977	-0.010971	-0.236328	0.516113	-0.247070	0.709768	-0.416387	-0.159090	-0.545474
10236		6.685819	-4.083453	5.912851	-0.009284	-0.007860	-0.009470	-0.234131	0.511719	-0.242676	0.709696	-0.416426	-0.159127	-0.545527
10237		6.672953	-4.090773	5.930737	-0.011906	-0.009846	-0.009023	-0.232910	0.518311	-0.244141	0.709602	-0.416505	-0.159163	-0.545579
10238		6.663166	-4.102742	5.883408	-0.008909	-0.007200	-0.011584	-0.233887	0.513184	-0.245850	0.709526	-0.416551	-0.159193	-0.545633
10239		6.675755	-4.090279	5.927923	-0.009883	-0.002077	-0.011873	-0.235107	0.519287	-0.237061	0.709449	-0.416567	-0.159203	-0.545719
10240		6.655888	-4.077305	5.905132	-0.011471	-0.005740	-0.011700	-0.242676	0.516846	-0.233887	0.709337	-0.416660	-0.159211	-0.545791
10241		6.678432	-4.089871	5.925189	-0.013720	-0.007067	-0.013366	-0.236572	0.511475	-0.233398	0.709168	-0.416784	-0.159247	-0.545904
10242		6.684988	-4.111885	5.885751	-0.012462	-0.009524	-0.013027	-0.228516	0.524170	-0.241699	0.709015	-0.416907	-0.159291	-0.545997
10243		6.676943	-4.087093	5.907917	-0.015837	-0.007168	-0.012254	-0.233643	0.512939	-0.247559	0.708931	-0.417015	-0.159258	-0.546033
10244		6.670586	-4.099650	5.906451	-0.015170	-0.009508	-0.010415	-0.226318	0.524902	-0.241943	0.708850	-0.417076	-0.159291	-0.546083
10245		6.708995	-4.107706	5.873883	-0.012337	-0.008407	-0.007496	-0.236328	0.513184	-0.239746	0.708813	-0.417174	-0.159253	-0.546065
10246		6.697387	-4.117596	5.859292	-0.009937	-0.005639	-0.008556	-0.238770	0.514404	-0.237061	0.708719	-0.417239	-0.159280	-0.546130
10247		6.687337	-4.090374	5.914788	-0.007813	-0.005540	-0.009668	-0.236572	0.513672	-0.238037	0.708606	-0.417313	-0.159323	-0.546208
10248		6.683607	-4.087632	5.900004	-0.009934	-0.005641	-0.008556	-0.232910	0.518799	-0.241455	0.708505	-0.417391	-0.159347	-0.546272
10249		6.692524	-4.075813	5.898053	-0.012436	-0.006512	-0.002578	-0.234863	0.519043	-0.249756	0.708463	-0.417481	-0.159320	-0.546267
10250		6.693599	-4.111795	5.905361	-0.014705	-0.008056	0.001260	-0.237305	0.517090	-0.242676	0.708460	-0.417534	-0.159308	-0.546233
10251		6.681454	-4.122647	5.890709	-0.011346	-0.004738	-0.003413	-0.238037	0.515625	-0.242188	0.708402	-0.417596	-0.159309	-0.546261
10252		6.666029	-4.113290	5.881279	-0.013233	-0.005511	-0.004441	-0.235596	0.518311	-0.236816	0.708324	-0.417670	-0.159315	-0.546303
10253		6.676468	-4.084346	5.897905	-0.012271	-0.004963	-0.008055	-0.240479	0.519043	-0.239990	0.708222	-0.417781	-0.159301	-0.546354
10254		6.700283	-4.134695	5.894390	-0.012650	-0.005737	-0.003189	-0.236816	0.520264	-0.243164	0.708132	-0.417882	-0.159305	-0.546394
10255		6.721845	-4.132905	5.854195	-0.012637	-0.005629	-0.005941	-0.234375	0.514160	-0.239258	0.708072	-0.417951	-0.159302	-0.546419
10256		6.711210	-4.125621	5.858832	-0.005380	0.000464	-0.005780	-0.230713	0.517578	-0.239502	0.708031	-0.417966	-0.159293	-0.546464
10257		6.672898	-4.135059	5.870876	-0.005192	0.005249	-0.006310	-0.236816	0.511230	-0.242432	0.708024	-0.417963	-0.159226	-0.546494
10258		6.661528	-4.073209	5.918590	-0.007710	0.001250	-0.008031	-0.231689	0.521729	-0.230957	0.707966	-0.417949	-0.159244	-0.546575
10259		6.705649	-4.120388	5.877241	-0.008573	-0.001307	-0.006585	-0.229004	0.512939	-0.236816	0.707884	-0.418091	-0.159161	-0.546596
10260		6.672050	-4.117477	5.842113	-0.007362	0.001695	-0.004640	-0.235596	0.514893	-0.229492	0.707867	-0.418124	-0.159096	-0.546612
10261		6.680010	-4.085985	5.892757	-0.004179	0.003355	-0.001083	-0.233643	0.519531	-0.229004	0.707783	-0.418225	-0.159031	-0.546663
10262		6.688249	-4.108869	5.900976	-0.007066	-0.001310	-0.000692	-0.228271	0.517578	-0.234863	0.707700	-0.418384	-0.158944	-0.546673
10263		6.696348	-4.116508	5.848581	-0.006252	-0.002204	-0.001582	-0.237549	0.519531	-0.236572	0.707697	-0.418464	-0.158861	-0.546640
10264		6.680265	-4.087323	5.891541	-0.002206	0.002012	0.000529	-0.240723	0.517334	-0.243896	0.707667	-0.418504	-0.158829	-0.546658
10265		6.678445	-4.104908	5.872953	-0.002575	0.001346	0.002642	-0.227539	0.518799	-0.237793	0.707673	-0.418465	-0.158853	-0.546673
10266		6.697444	-4.100613	5.866810	-0.005263	0.001578	-0.000248	-0.243408	0.517578	-0.243652	0.707716	-0.418495	-0.158745	-0.546626
10267		6.689165	-4.113669	5.867170	-0.005730	0.002916	0.004033	-0.234863	0.522705	-0.240723	0.707694	-0.418475	-0.158762	-0.546665
10268		6.696765	-4.102222	5.866460	-0.004018	-0.000987	0.002836	-0.234131	0.515625	-0.238281	0.707719	-0.418507	-0.158712	-0.546622
10269		6.699924	-4.122989	5.860949	-0.006951	-0.000196	0.004839	-0.241455	0.519287	-0.238525	0.707724	-0.418550	-0.158659	-0.546598
10270		6.693322	-4.119158	5.879577	-0.003217	-0.001992	0.004698	-0.236328	0.514648	-0.236572	0.707682	-0.418604	-0.158674	-0.546607
