// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10197		9.406138	-2.420415	-1.111489	0.096027	-0.015336	-0.001653	-0.838135	-0.068115	-0.208984	0.587832	0.174955	-0.725449	0.312358
10198		9.459447	-2.414604	-1.137164	0.119058	-0.017475	-0.010583	-0.838867	-0.065186	-0.204102	0.587580	0.175648	-0.725209	0.313000
10199		9.451275	-2.388772	-1.144169	0.132246	-0.011704	-0.013381	-0.844971	-0.070801	-0.215820	0.587345	0.176405	-0.724906	0.313717
10200		9.496544	-2.297840	-1.108896	0.129370	-0.007789	-0.012288	-0.842285	-0.068115	-0.209961	0.587139	0.177133	-0.724588	0.314427
10201		9.533217	-2.181587	-1.083200	0.096286	0.005427	0.004798	-0.838379	-0.064941	-0.205811	0.587019	0.177563	-0.724315	0.315037
10202		9.600255	-2.217955	-1.135018	0.068805	0.016605	0.025028	-0.847656	-0.068115	-0.202148	0.586956	0.177714	-0.724088	0.315590
10203		9.681066	-2.204048	-1.145851	0.057366	0.027838	0.031317	-0.838867	-0.064453	-0.207764	0.586965	0.177748	-0.723844	0.316114
10204		9.565355	-2.223440	-1.162353	0.058797	0.032474	0.036931	-0.843262	-0.070068	-0.208496	0.586989	0.177754	-0.723580	0.316670
10205		9.548069	-2.113247	-1.174007	0.036033	0.047659	0.049757	-0.849854	-0.073242	-0.210205	0.587106	0.177541	-0.723321	0.317163
10206		9.593736	-1.972016	-1.109835	-0.002987	0.050808	0.060974	-0.837891	-0.068359	-0.210693	0.587275	0.177078	-0.723166	0.317462
10207		9.606378	-2.054039	-1.131175	-0.043734	0.054728	0.069216	-0.841797	-0.069336	-0.206543	0.587517	0.176380	-0.723108	0.317535
