// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10198		9.604428	1.715351	-0.813923	0.105463	0.075359	0.046164	-0.667236	-0.486328	-0.155273	0.619014	0.411834	-0.610075	0.273902
10199		9.631996	1.660903	-0.935280	0.091153	0.051343	0.044535	-0.672607	-0.492676	-0.164551	0.618861	0.411960	-0.609755	0.274771
10200		9.651946	1.568331	-1.080197	0.085003	0.042122	0.048746	-0.675537	-0.489258	-0.162598	0.618679	0.412050	-0.609505	0.275597
10201		9.603464	1.489899	-1.099145	0.100682	0.026737	0.053831	-0.666748	-0.487061	-0.155029	0.618342	0.412234	-0.609324	0.276478
10202		9.639154	1.524805	-1.201023	0.085008	0.021540	0.061818	-0.677734	-0.489746	-0.150391	0.618007	0.412309	-0.609238	0.277304
10203		9.777869	1.735598	-1.269277	0.067320	0.030848	0.065985	-0.669189	-0.483643	-0.156494	0.617759	0.412251	-0.609169	0.278093
10204		9.806849	1.845930	-1.241967	0.070175	0.039131	0.079265	-0.672119	-0.489258	-0.157227	0.617499	0.412130	-0.609107	0.278985
10205		9.716319	1.778058	-1.129706	0.071485	0.044177	0.090923	-0.683105	-0.490723	-0.162354	0.617220	0.411957	-0.609064	0.279949
10206		9.637960	1.916893	-1.005284	0.043366	0.041676	0.092151	-0.671143	-0.489014	-0.156982	0.617011	0.411650	-0.609112	0.280757
10207		9.700190	1.972819	-0.964871	-0.061893	0.034819	0.100510	-0.675293	-0.485107	-0.153320	0.617105	0.410791	-0.609469	0.281033
10208		9.682854	1.918689	-1.021130	-0.154069	0.035497	0.115189	-0.687500	-0.479248	-0.164062	0.617485	0.409399	-0.610083	0.280898
10209		9.619668	1.815030	-1.264107	-0.190039	0.037012	0.127354	-0.667236	-0.472900	-0.149658	0.617961	0.407776	-0.610814	0.280624
10210		9.578373	1.659065	-1.260261	-0.182541	0.051480	0.126081	-0.682617	-0.476807	-0.161377	0.618465	0.406187	-0.611461	0.280406
10211		9.539054	1.522043	-1.068956	-0.138480	0.051845	0.103258	-0.668701	-0.474365	-0.167725	0.618846	0.404964	-0.611947	0.280277
10212		9.608503	1.578452	-0.907239	-0.090250	0.011351	0.078771	-0.677246	-0.474854	-0.168457	0.618902	0.404204	-0.612459	0.280131
10213		9.727501	1.693975	-0.935878	-0.108685	-0.014238	0.054029	-0.683350	-0.470947	-0.162354	0.618933	0.403551	-0.613069	0.279668
10214		9.684600	1.767970	-1.101474	-0.168077	-0.030827	0.015809	-0.683350	-0.472412	-0.165039	0.619162	0.402839	-0.613780	0.278628
10215		9.760712	1.844059	-1.181719	-0.267908	-0.036416	-0.025411	-0.683594	-0.468018	-0.169434	0.619780	0.401857	-0.614614	0.276829
10216		9.844687	1.973357	-1.259099	-0.369023	-0.068068	-0.078581	-0.675537	-0.466064	-0.175293	0.620680	0.400712	-0.615675	0.274100
10217		9.733149	2.086710	-1.263773	-0.457015	-0.100646	-0.100564	-0.681396	-0.465332	-0.177002	0.621764	0.399287	-0.617019	0.270680
10218		9.542897	2.033163	-1.097181	-0.483772	-0.105677	-0.095659	-0.681396	-0.470215	-0.177734	0.622850	0.397778	-0.618473	0.267063
