// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
10197		6.105374	2.242946	7.377752	0.059590	-0.004525	0.090730	-0.187256	-0.009033	-0.746338	0.903189	0.031337	-0.351985	-0.243669
10198		6.173508	2.277103	7.389850	0.063835	0.019558	0.101637	-0.184082	-0.007080	-0.745361	0.903435	0.031559	-0.351994	-0.242712
10199		6.098857	2.260580	7.206204	0.062462	0.031319	0.112797	-0.188477	-0.014893	-0.753174	0.903740	0.031759	-0.351910	-0.241671
10200		6.192968	2.370372	7.197391	0.063562	0.020362	0.115454	-0.188965	-0.008545	-0.751221	0.904014	0.031941	-0.351917	-0.240610
10201		6.304766	2.462819	7.292231	0.047985	0.025482	0.092255	-0.181641	-0.008301	-0.743164	0.904258	0.032086	-0.351852	-0.239768
10202		6.129539	2.414641	7.276696	0.000534	0.019751	0.083124	-0.193115	-0.010010	-0.740967	0.904475	0.031895	-0.351741	-0.239136
10203		6.125449	2.338856	7.232631	-0.016496	-0.008690	0.087393	-0.184570	-0.004883	-0.746582	0.904619	0.031513	-0.351815	-0.238531
10204		6.101883	2.514433	7.292015	-0.019072	-0.026404	0.073112	-0.188965	-0.010010	-0.747803	0.904680	0.031125	-0.352021	-0.238047
10205		6.074566	2.612024	7.266053	-0.045457	-0.039744	0.047165	-0.197998	-0.012451	-0.751465	0.904653	0.030605	-0.352274	-0.237845
10206		5.936208	2.566520	7.257184	-0.064623	-0.057079	0.024324	-0.185059	-0.007812	-0.748535	0.904528	0.030000	-0.352619	-0.237885
10207		5.864516	2.546660	7.372395	-0.061168	-0.078794	0.000963	-0.191406	-0.008301	-0.742432	0.904288	0.029476	-0.353129	-0.238107
10208		5.831225	2.582068	7.449806	-0.063345	-0.085884	-0.014894	-0.202148	-0.004883	-0.754150	0.903996	0.029000	-0.353670	-0.238470
10209		5.818332	2.610708	7.367360	-0.082436	-0.093796	-0.023869	-0.182861	-0.001465	-0.739746	0.903669	0.028428	-0.354212	-0.238974
10210		5.737301	2.608095	7.257990	-0.103038	-0.122363	-0.027554	-0.196289	-0.001465	-0.745117	0.903256	0.027687	-0.354908	-0.239588
10211		5.922678	2.723080	7.424188	-0.105371	-0.139594	-0.030266	-0.184814	-0.001709	-0.750977	0.902784	0.026961	-0.355713	-0.240255
10212		5.855990	2.720920	7.594781	-0.087397	-0.127090	-0.050164	-0.194336	-0.002197	-0.752197	0.902308	0.026500	-0.356436	-0.241022
10213		5.678596	2.607718	7.612109	-0.073695	-0.121390	-0.037873	-0.202393	-0.001221	-0.743652	0.901870	0.026185	-0.357115	-0.241689
10214		5.689201	2.630692	7.703419	-0.063712	-0.109561	-0.010004	-0.204346	-0.000488	-0.746826	0.901525	0.025907	-0.357689	-0.242158
10215		5.549397	2.771325	7.799502	-0.063001	-0.091637	0.018993	-0.202637	0.003662	-0.749268	0.901307	0.025651	-0.358077	-0.242421
10216		5.412867	2.828012	7.889778	-0.042123	-0.074435	0.023198	-0.197510	0.008789	-0.755615	0.901169	0.025636	-0.358311	-0.242591
10217		5.139389	2.846201	8.054647	-0.014498	-0.055449	0.010073	-0.202881	0.005371	-0.753418	0.901100	0.025995	-0.358357	-0.242739
10218		5.043236	2.836595	8.266750	-0.010305	-0.038433	0.004358	-0.205322	0.001953	-0.749268	0.901093	0.026528	-0.358162	-0.242996
10219		4.926021	2.935514	8.319377	-0.026964	-0.006466	-0.002233	-0.200684	-0.000244	-0.749512	0.901190	0.027047	-0.357576	-0.243444
10220		4.746274	3.020873	8.388329	-0.048804	0.020265	-0.022587	-0.205078	0.005371	-0.747803	0.901376	0.027547	-0.356596	-0.244133
10221		4.626837	3.106176	8.472787	-0.057159	0.048908	-0.067115	-0.204102	0.001953	-0.758789	0.901576	0.028251	-0.355294	-0.245213
10222		4.460565	2.995946	8.562251	-0.069857	0.077645	-0.120076	-0.205322	0.006104	-0.756836	0.901894	0.029451	-0.353352	-0.246701
10223		4.494471	2.831871	8.697320	-0.085869	0.112809	-0.145792	-0.198242	0.008301	-0.748779	0.902293	0.030709	-0.351015	-0.248419
10224		4.568258	2.744963	8.858687	-0.093765	0.175353	-0.157205	-0.201904	0.011230	-0.746338	0.902777	0.031663	-0.348362	-0.250272
10225		4.411874	2.606301	8.849335	-0.080611	0.253086	-0.164871	-0.200195	0.008789	-0.749023	0.903435	0.032903	-0.345140	-0.252195
10226		4.385836	2.529605	8.895800	-0.059850	0.303359	-0.151565	-0.201172	-0.001221	-0.757812	0.904302	0.034488	-0.341352	-0.254024
10227		4.575755	2.486342	9.076525	-0.030877	0.362702	-0.144970	-0.199219	0.007324	-0.749756	0.905456	0.036897	-0.336553	-0.255970
10228		4.496149	2.611717	9.018792	-0.044583	0.419070	-0.123472	-0.186523	0.008545	-0.755127	0.906634	0.038781	-0.331850	-0.257656
10229		4.404720	2.725268	9.063870	-0.069380	0.458206	-0.118489	-0.184570	-0.003418	-0.748047	0.908069	0.040508	-0.326577	-0.259072
10230		4.278820	3.063455	9.111675	-0.085666	0.506056	-0.156742	-0.178711	0.007324	-0.752930	0.909147	0.042027	-0.321146	-0.261824
10231		4.204091	3.265594	9.130788	-0.115269	0.549499	-0.217123	-0.173340	0.006348	-0.748291	0.910408	0.043756	-0.315237	-0.264327
10232		4.329413	3.159169	9.097788	-0.117825	0.603382	-0.278004	-0.163574	0.008057	-0.754639	0.911416	0.045501	-0.309254	-0.267607
10233		4.324560	3.112022	9.163060	-0.111417	0.659178	-0.312583	-0.166260	0.014160	-0.748535	0.912614	0.047706	-0.302522	-0.270816
10234		4.510618	3.059799	9.312549	-0.120868	0.713211	-0.311726	-0.153320	0.014404	-0.749023	0.913688	0.049854	-0.296034	-0.273959
10235		4.555644	3.134809	9.248438	-0.119687	0.780469	-0.304370	-0.150879	0.010498	-0.761475	0.914867	0.051941	-0.289067	-0.277059
10236		4.390466	3.095395	9.182002	-0.097080	0.828690	-0.304647	-0.140381	0.007568	-0.758545	0.916330	0.055086	-0.280996	-0.279903
10237		4.266574	3.250451	9.246082	-0.071276	0.888119	-0.329167	-0.133789	0.011230	-0.761963	0.917573	0.058339	-0.272828	-0.283232
10238		4.034116	3.218361	9.257629	-0.072490	0.927898	-0.353415	-0.128662	0.006104	-0.765869	0.918837	0.061871	-0.264391	-0.286371
10239		4.093453	3.157768	9.277687	-0.066378	0.950455	-0.367363	-0.116455	0.013428	-0.760498	0.919980	0.065780	-0.255630	-0.289764
10240		4.149076	3.137329	9.271714	-0.063001	0.973044	-0.377246	-0.117676	0.010010	-0.757324	0.920992	0.069219	-0.247241	-0.293009
10241		4.197041	3.145908	9.186086	-0.059459	0.981515	-0.387303	-0.104492	0.007324	-0.760742	0.921940	0.072682	-0.238631	-0.296308
10242		4.235875	3.084106	9.121225	-0.056556	0.987294	-0.396720	-0.089111	0.023682	-0.769287	0.923014	0.076055	-0.229562	-0.299268
10243		4.296945	2.856599	9.008762	-0.022722	0.980884	-0.409396	-0.086670	0.013428	-0.779297	0.923980	0.079619	-0.220623	-0.302073
10244		4.545292	2.683695	9.127189	-0.001257	0.965261	-0.399188	-0.073486	0.025146	-0.778076	0.924808	0.083236	-0.211945	-0.304763
10245		4.928437	2.669088	9.135398	-0.028220	0.976383	-0.366849	-0.074951	0.013672	-0.782959	0.925660	0.086536	-0.203237	-0.307181
10246		4.950760	2.523023	8.826670	-0.056377	0.973920	-0.333102	-0.068604	0.014893	-0.785645	0.926518	0.089478	-0.194616	-0.309327
10247		4.885414	2.639390	8.506638	-0.058927	0.925841	-0.322723	-0.059082	0.014404	-0.789307	0.927240	0.092179	-0.186490	-0.311369
10248		4.816961	2.676700	8.342537	-0.074044	0.864663	-0.328642	-0.052246	0.023926	-0.799561	0.927784	0.094549	-0.178922	-0.313470
