// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04827		9.546296	-1.452124	-1.167208	-0.110039	0.022115	0.011560	-0.607666	0.397217	0.474609	0.254243	-0.726471	-0.179621	-0.612647
04828		9.668447	-1.397155	-1.198644	-0.102679	0.020732	0.026186	-0.602783	0.390137	0.473145	0.253786	-0.726622	-0.178894	-0.612870
04829		9.702183	-1.382618	-1.159323	-0.115553	0.038618	0.026259	-0.608154	0.404785	0.479492	0.253273	-0.726709	-0.178064	-0.613221
04830		9.648542	-1.459693	-1.259169	-0.118492	0.028732	0.022398	-0.611572	0.394531	0.477539	0.252712	-0.726845	-0.177263	-0.613524
04831		9.580111	-1.543478	-1.181866	-0.077610	0.018697	0.010105	-0.610840	0.395508	0.470459	0.252319	-0.726928	-0.176767	-0.613729
04832		9.606275	-1.530169	-1.112010	-0.030276	0.011517	-0.001811	-0.603271	0.392578	0.476807	0.252144	-0.726932	-0.176598	-0.613846
04833		9.618019	-1.382618	-1.180506	-0.007907	0.003142	-0.006378	-0.612061	0.398926	0.477539	0.252070	-0.726924	-0.176587	-0.613889
04834		9.687207	-1.355473	-1.282739	0.000165	0.000278	-0.015347	-0.606445	0.394531	0.478271	0.251993	-0.726899	-0.176681	-0.613922
04835		9.715045	-1.424596	-1.231036	-0.012759	-0.014759	-0.022326	-0.605225	0.393799	0.469727	0.251772	-0.726972	-0.176789	-0.613896
04836		9.774154	-1.410525	-1.054359	0.011494	-0.006297	-0.017825	-0.603271	0.392822	0.475830	0.251730	-0.726959	-0.176978	-0.613874
04837		9.724340	-1.267954	-1.058140	0.023418	0.001814	-0.038982	-0.606445	0.389648	0.479004	0.251663	-0.726841	-0.177341	-0.613937
04838		9.744106	-1.037809	-1.021594	0.004277	0.005274	-0.083646	-0.606689	0.396240	0.473633	0.251248	-0.726669	-0.177878	-0.614155
