// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04827		9.254485	-1.016233	-3.302767	-0.052236	0.004816	0.021100	-0.854736	-0.133789	-0.050537	0.542412	0.192778	-0.793726	0.196531
04828		9.198430	-1.345887	-3.248382	-0.027453	0.001976	0.011159	-0.848389	-0.141602	-0.057861	0.542451	0.192577	-0.793780	0.196403
04829		9.239404	-1.224322	-3.140756	0.011700	-0.012924	-0.003817	-0.851562	-0.125488	-0.050049	0.542363	0.192683	-0.793806	0.196438
04830		9.214035	-0.842822	-3.286613	-0.018653	-0.009299	-0.008103	-0.855225	-0.133789	-0.049316	0.542346	0.192665	-0.793864	0.196267
04831		9.208862	-1.061776	-3.342502	-0.028651	-0.003443	-0.004128	-0.854004	-0.134277	-0.056152	0.542378	0.192568	-0.793919	0.196053
04832		9.216748	-0.985880	-3.279776	0.001491	-0.007625	-0.007017	-0.848877	-0.139160	-0.046875	0.542336	0.192633	-0.793940	0.196020
04833		9.265179	-0.788703	-3.223126	-0.001733	-0.011347	-0.007381	-0.857910	-0.132568	-0.047607	0.542277	0.192692	-0.793981	0.195958
04834		9.205637	-0.940594	-3.335324	-0.034257	-0.006869	0.008289	-0.848877	-0.134766	-0.049805	0.542280	0.192500	-0.794077	0.195750
04835		9.187647	-1.147593	-3.382204	-0.014889	-0.008601	0.000636	-0.852295	-0.134521	-0.057373	0.542252	0.192451	-0.794138	0.195629
04836		9.227320	-1.113452	-3.400270	-0.000712	-0.002789	-0.004327	-0.846680	-0.134766	-0.054199	0.542241	0.192484	-0.794146	0.195595
04837		9.182998	-1.058394	-3.309869	-0.000401	0.002975	-0.005598	-0.850098	-0.140137	-0.049561	0.542262	0.192514	-0.794130	0.195572
04838		9.170379	-1.000128	-3.227096	0.003215	-0.002542	-0.006651	-0.851318	-0.133057	-0.055908	0.542239	0.192573	-0.794133	0.195563
04839		9.232466	-0.963798	-3.263647	0.007188	-0.006664	-0.005539	-0.847656	-0.136963	-0.058105	0.542186	0.192649	-0.794147	0.195580
04840		9.174087	-0.969059	-3.310984	-0.009085	-0.003336	0.001443	-0.859619	-0.138672	-0.053467	0.542173	0.192602	-0.794181	0.195524
04841		9.232417	-1.021739	-3.203865	-0.017698	-0.009416	-0.000919	-0.850098	-0.130615	-0.046143	0.542137	0.192543	-0.794254	0.195388
04842		9.155601	-0.998238	-3.315701	-0.036266	-0.006846	0.003395	-0.851318	-0.142090	-0.053223	0.542147	0.192364	-0.794347	0.195157
04843		9.199521	-1.139810	-3.304855	-0.020467	-0.007428	0.000216	-0.851074	-0.135986	-0.055420	0.542132	0.192281	-0.794412	0.195013
04844		9.228474	-1.032795	-3.281595	-0.007061	-0.005917	-0.005723	-0.854492	-0.131592	-0.060059	0.542112	0.192285	-0.794441	0.194948
04845		9.175340	-1.168759	-3.361705	-0.008374	-0.008085	-0.007285	-0.852295	-0.127930	-0.053223	0.542086	0.192290	-0.794477	0.194867
04846		9.198789	-1.179427	-3.381953	0.003120	-0.008124	-0.012027	-0.850586	-0.129639	-0.046875	0.542034	0.192368	-0.794497	0.194856
04847		9.164179	-1.092658	-3.322699	0.018574	-0.011374	-0.023422	-0.852539	-0.132568	-0.058105	0.541937	0.192593	-0.794496	0.194904
04848		9.266603	-0.845057	-3.218627	0.013320	-0.005347	-0.017355	-0.850586	-0.130615	-0.049316	0.541888	0.192733	-0.794484	0.194955
04849		9.261798	-0.872443	-3.251287	-0.018515	-0.003463	-0.012090	-0.854248	-0.135498	-0.048340	0.541899	0.192709	-0.794517	0.194813
04850		9.158244	-1.174456	-3.275072	-0.011880	-0.006707	-0.012186	-0.850830	-0.143799	-0.046875	0.541885	0.192730	-0.794549	0.194701
04851		9.215023	-1.239100	-3.376693	0.011473	-0.013815	-0.024802	-0.849365	-0.133301	-0.047852	0.541801	0.192961	-0.794554	0.194683
04852		9.203003	-1.119002	-3.378202	0.020976	-0.015998	-0.032733	-0.857910	-0.134277	-0.054443	0.541693	0.193260	-0.794548	0.194711
04853		9.209260	-0.761359	-3.261016	0.006769	-0.012475	-0.030208	-0.852051	-0.135010	-0.057373	0.541628	0.193440	-0.794559	0.194670
04854		9.248594	-0.753341	-3.238008	-0.024281	-0.000066	-0.016970	-0.854736	-0.140869	-0.049805	0.541699	0.193400	-0.794570	0.194466
04855		9.189155	-0.784622	-3.358245	-0.050439	-0.000955	-0.005147	-0.854004	-0.135742	-0.052002	0.541779	0.193197	-0.794646	0.194132
04856		9.157728	-0.991250	-3.354089	-0.035136	-0.002477	0.000537	-0.850342	-0.130371	-0.052734	0.541825	0.193028	-0.794712	0.193904
04857		9.174101	-1.018429	-3.271199	-0.000553	-0.010009	-0.000818	-0.852783	-0.129395	-0.042969	0.541765	0.193031	-0.794756	0.193888
04858		9.258571	-0.876733	-3.336447	-0.005023	-0.008133	0.000919	-0.851562	-0.143555	-0.053711	0.541689	0.193004	-0.794817	0.193879
04859		9.235245	-1.040668	-3.362347	-0.025281	-0.000720	0.006836	-0.849121	-0.130127	-0.042725	0.541730	0.192869	-0.794859	0.193723
04860		9.158633	-1.121596	-3.349713	-0.008928	-0.004680	-0.001817	-0.849609	-0.137939	-0.041016	0.541683	0.192850	-0.794909	0.193670
04861		9.217626	-0.938447	-3.280787	0.003626	-0.006776	-0.007101	-0.850586	-0.130859	-0.057373	0.541597	0.192953	-0.794942	0.193672
04862		9.183163	-0.882112	-3.314828	-0.013166	-0.003537	0.001039	-0.850830	-0.135498	-0.054443	0.541624	0.192845	-0.794969	0.193594
04863		9.190892	-0.910048	-3.377888	-0.015875	-0.005936	0.005601	-0.847900	-0.136475	-0.056152	0.541622	0.192733	-0.795020	0.193504
04864		9.229087	-0.966079	-3.272616	-0.010248	-0.004311	0.008702	-0.845459	-0.129395	-0.056641	0.541625	0.192636	-0.795053	0.193455
04865		9.216635	-1.086238	-3.234736	-0.011720	-0.005144	0.010426	-0.846191	-0.137695	-0.056396	0.541627	0.192485	-0.795096	0.193420
04866		9.174283	-1.075474	-3.374162	-0.005184	-0.006797	0.004202	-0.855469	-0.129883	-0.047852	0.541627	0.192449	-0.795114	0.193386
04867		9.196374	-1.000244	-3.361880	0.013828	-0.008617	0.000362	-0.854004	-0.138184	-0.062012	0.541522	0.192478	-0.795149	0.193504
04868		9.215774	-0.881433	-3.369665	0.020694	-0.005428	0.000623	-0.856689	-0.147705	-0.060059	0.541524	0.192537	-0.795103	0.193628
04869		9.223215	-0.940565	-3.390819	-0.001267	0.001889	0.007164	-0.847656	-0.141602	-0.060059	0.541599	0.192503	-0.795065	0.193610
04870		9.133741	-1.039471	-3.326575	0.001937	0.000635	0.006549	-0.859131	-0.134277	-0.052979	0.541654	0.192482	-0.795030	0.193620
04871		9.227440	-0.899680	-3.243937	0.012190	0.000315	0.010665	-0.848145	-0.129639	-0.049561	0.541622	0.192428	-0.795029	0.193767
04872		9.230873	-1.049137	-3.235203	0.011389	-0.000527	0.014027	-0.843506	-0.125977	-0.053467	0.541555	0.192366	-0.795049	0.193933
04873		9.208136	-1.318894	-3.272129	0.033626	-0.007062	0.005259	-0.853027	-0.138916	-0.054688	0.541454	0.192439	-0.795033	0.194210
04874		9.213824	-1.143170	-3.311628	0.041086	-0.014187	-0.008561	-0.854736	-0.133545	-0.054199	0.541344	0.192696	-0.794993	0.194425
04875		9.137646	-1.121261	-3.308493	0.021457	-0.012106	-0.015756	-0.854736	-0.133301	-0.054443	0.541278	0.192859	-0.794976	0.194516
04876		9.226456	-1.037596	-3.353623	0.033999	-0.012929	-0.014991	-0.848145	-0.135010	-0.049561	0.541186	0.193065	-0.794944	0.194698
04877		9.277115	-0.678535	-3.273853	0.011875	-0.010526	-0.012192	-0.852539	-0.134277	-0.052002	0.541103	0.193208	-0.794955	0.194742
04878		9.196419	-0.935217	-3.378330	-0.019664	-0.006614	-0.003093	-0.855957	-0.136230	-0.052002	0.541112	0.193115	-0.795003	0.194613
04879		9.148180	-0.997548	-3.353134	-0.017214	-0.007189	-0.003698	-0.844727	-0.139404	-0.057861	0.541116	0.193044	-0.795050	0.194483
04880		9.230133	-0.973201	-3.368438	-0.005106	-0.008734	-0.003461	-0.847168	-0.140137	-0.046387	0.541154	0.193067	-0.795039	0.194396
04881		9.215814	-0.886415	-3.307401	-0.003242	-0.007424	0.004725	-0.856201	-0.133545	-0.061035	0.541071	0.193105	-0.795093	0.194372
04882		9.191331	-0.904033	-3.248494	-0.018448	-0.007477	0.005186	-0.853027	-0.135254	-0.050537	0.541148	0.192898	-0.795114	0.194275
04883		9.201224	-1.035027	-3.344514	-0.014780	-0.010192	0.006811	-0.851318	-0.131836	-0.048096	0.541099	0.192792	-0.795191	0.194201
04884		9.176147	-1.170078	-3.391370	0.000988	-0.008568	0.001870	-0.845459	-0.137695	-0.054688	0.541009	0.192777	-0.795247	0.194238
04885		9.153504	-1.172807	-3.373494	0.017066	-0.008343	-0.003593	-0.844238	-0.126221	-0.050537	0.540989	0.192902	-0.795213	0.194309
04886		9.193220	-1.065733	-3.359766	0.015899	-0.011845	-0.008422	-0.850830	-0.129395	-0.048584	0.540878	0.192968	-0.795241	0.194436
04887		9.197231	-0.887704	-3.379155	-0.010793	-0.004718	-0.003950	-0.848145	-0.141602	-0.047119	0.540834	0.192888	-0.795298	0.194405
04888		9.185278	-1.005730	-3.340470	-0.010565	0.001710	-0.003590	-0.854492	-0.131836	-0.044189	0.540845	0.192959	-0.795300	0.194297
04889		9.203614	-1.091930	-3.329950	0.015696	-0.004865	-0.002547	-0.844727	-0.139160	-0.045898	0.540706	0.193030	-0.795344	0.194433
04890		9.225098	-0.913203	-3.305534	0.010913	-0.002863	-0.006321	-0.853760	-0.130371	-0.048828	0.540638	0.193219	-0.795335	0.194469
04891		9.216170	-0.810805	-3.326145	-0.011375	-0.002833	0.004845	-0.841064	-0.135010	-0.051025	0.540605	0.193057	-0.795399	0.194462
04892		9.186600	-0.975225	-3.404051	-0.018786	-0.003893	0.004001	-0.857178	-0.128418	-0.053223	0.540628	0.192974	-0.795430	0.194352
04893		9.168125	-1.066079	-3.324388	0.008089	-0.006107	0.003240	-0.849365	-0.131104	-0.049561	0.540596	0.192846	-0.795457	0.194459
04894		9.211047	-0.974592	-3.330727	0.010519	-0.003227	0.006947	-0.854004	-0.133789	-0.057617	0.540536	0.192800	-0.795477	0.194590
04895		9.170123	-0.891969	-3.323097	-0.003234	-0.006149	0.010767	-0.845703	-0.133789	-0.053711	0.540587	0.192621	-0.795482	0.194605
04896		9.181381	-1.053891	-3.397704	-0.015879	-0.001198	0.015983	-0.853271	-0.120361	-0.043213	0.540637	0.192419	-0.795506	0.194569
04897		9.248581	-1.122048	-3.372670	-0.001695	0.001172	0.006644	-0.853027	-0.136719	-0.049316	0.540503	0.192219	-0.795609	0.194718
04898		9.217924	-1.184863	-3.303177	0.019895	-0.003831	-0.007128	-0.856934	-0.132812	-0.048828	0.540454	0.192391	-0.795579	0.194804
04899		9.204796	-1.038540	-3.323168	0.023859	-0.002059	-0.012818	-0.853027	-0.128906	-0.059326	0.540401	0.192540	-0.795549	0.194930
04900		9.204105	-1.184451	-3.387239	0.003208	0.001173	-0.011726	-0.856201	-0.130127	-0.050781	0.540549	0.192434	-0.795476	0.194921
04901		9.155397	-1.202951	-3.401136	0.038634	0.000980	-0.018868	-0.856934	-0.136719	-0.045410	0.540520	0.192627	-0.795395	0.195142
04902		9.192246	-0.904057	-3.321375	0.046643	-0.002022	-0.025075	-0.843506	-0.131592	-0.044434	0.540403	0.193042	-0.795321	0.195357
04903		9.218226	-0.841217	-3.328508	0.026001	0.002477	-0.017956	-0.852051	-0.132324	-0.047607	0.540321	0.193313	-0.795273	0.195513
04904		9.195592	-1.019113	-3.331215	0.026565	0.005325	-0.016397	-0.843994	-0.135986	-0.050293	0.540301	0.193497	-0.795204	0.195665
04905		9.169905	-1.182916	-3.313084	0.045723	0.000015	-0.021751	-0.849854	-0.133789	-0.046875	0.540281	0.193877	-0.795073	0.195875
04906		9.205941	-0.987518	-3.359851	0.070089	-0.006547	-0.022779	-0.849854	-0.128906	-0.050293	0.540116	0.194347	-0.794974	0.196265
04907		9.189256	-0.842816	-3.338795	0.059974	-0.001557	-0.013787	-0.850830	-0.134277	-0.047607	0.540031	0.194573	-0.794880	0.196656
04908		9.200826	-0.799697	-3.409276	0.038106	0.006118	0.006457	-0.853760	-0.130371	-0.046387	0.539971	0.194672	-0.794817	0.196978
04909		9.232477	-0.887486	-3.426438	0.026928	0.010596	0.003875	-0.852295	-0.131836	-0.053223	0.539933	0.194669	-0.794777	0.197246
04910		9.189471	-1.040950	-3.335360	0.021227	0.009621	0.002414	-0.858643	-0.135498	-0.046387	0.540014	0.194603	-0.794694	0.197424
