// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
04827		4.908529	2.854783	8.009731	-0.007015	0.007663	0.001260	-0.087891	-0.019531	-0.746094	0.907129	0.065012	-0.296480	-0.291531
04828		4.941661	2.828963	7.991426	-0.005339	0.004955	-0.001635	-0.080566	-0.025391	-0.749512	0.907140	0.064987	-0.296429	-0.291554
04829		4.935662	2.831424	7.956541	-0.000660	0.003760	-0.003007	-0.087158	-0.011475	-0.742676	0.907144	0.065009	-0.296390	-0.291575
04830		4.915232	2.836463	7.960111	0.001745	0.002454	-0.002517	-0.087891	-0.021484	-0.744385	0.907143	0.065034	-0.296375	-0.291588
04831		4.913662	2.871691	7.969120	0.002090	0.003944	-0.002675	-0.088623	-0.020508	-0.748779	0.907145	0.065065	-0.296350	-0.291600
04832		4.907141	2.838508	7.979608	0.002331	-0.002307	-0.003400	-0.082275	-0.017578	-0.743896	0.907129	0.065085	-0.296374	-0.291621
04833		4.914317	2.829038	7.971411	0.005245	-0.000958	-0.000527	-0.088867	-0.017334	-0.742676	0.907122	0.065123	-0.296397	-0.291612
04834		4.920706	2.854376	7.971883	0.003736	-0.005504	-0.002247	-0.083008	-0.020996	-0.743164	0.907100	0.065142	-0.296451	-0.291621
04835		4.921360	2.855159	7.971198	0.005266	-0.005957	-0.002254	-0.082031	-0.023193	-0.748779	0.907076	0.065171	-0.296513	-0.291627
04836		4.921589	2.837694	7.993468	0.004211	-0.005430	-0.000053	-0.084229	-0.020020	-0.746826	0.907058	0.065187	-0.296572	-0.291618
04837		4.942736	2.851747	7.966460	0.005085	-0.006283	0.000444	-0.084717	-0.022461	-0.741699	0.907039	0.065206	-0.296641	-0.291603
04838		4.943191	2.843116	7.977350	0.001805	-0.004125	-0.000543	-0.085449	-0.019287	-0.746826	0.907024	0.065206	-0.296689	-0.291602
04839		4.930936	2.847257	7.960953	0.004590	-0.001359	-0.000024	-0.081299	-0.021729	-0.750732	0.907015	0.065230	-0.296726	-0.291587
04840		4.937057	2.863145	7.973042	0.001405	-0.003197	0.001153	-0.093750	-0.026123	-0.744385	0.907005	0.065223	-0.296773	-0.291571
04841		4.918783	2.851539	7.944442	0.001964	0.001200	-0.001516	-0.082520	-0.015869	-0.738037	0.906998	0.065237	-0.296790	-0.291571
04842		4.931058	2.839042	7.971904	-0.000165	-0.001166	-0.002540	-0.085205	-0.027344	-0.747803	0.906985	0.065231	-0.296818	-0.291587
04843		4.936784	2.854799	7.984283	0.000745	0.000562	-0.001855	-0.084717	-0.021973	-0.747070	0.906975	0.065234	-0.296843	-0.291590
04844		4.930968	2.839588	7.971764	0.002495	-0.001144	-0.000860	-0.085449	-0.017334	-0.749268	0.906963	0.065242	-0.296886	-0.291584
04845		4.943910	2.845558	7.976033	0.004679	-0.001197	-0.001374	-0.083984	-0.014404	-0.747070	0.906947	0.065262	-0.296936	-0.291578
04846		4.924236	2.860142	7.967635	0.003894	-0.000182	-0.003221	-0.083984	-0.017334	-0.744873	0.906930	0.065280	-0.296974	-0.291587
04847		4.931036	2.850721	7.959651	0.004404	0.002475	-0.000839	-0.083252	-0.016846	-0.751221	0.906925	0.065306	-0.296995	-0.291574
04848		4.897740	2.841547	7.969949	0.002619	0.001600	-0.002022	-0.083984	-0.016357	-0.745850	0.906914	0.065316	-0.297025	-0.291576
04849		4.910412	2.838324	7.985766	0.001896	-0.003963	-0.001892	-0.086914	-0.023438	-0.741455	0.906893	0.065308	-0.297087	-0.291582
04850		4.923585	2.844338	7.989876	0.005555	-0.002050	-0.000877	-0.083496	-0.028564	-0.738770	0.906878	0.065337	-0.297146	-0.291561
04851		4.931147	2.844294	7.969976	0.007485	-0.003432	-0.002581	-0.080322	-0.019531	-0.741455	0.906858	0.065392	-0.297215	-0.291541
04852		4.962881	2.871826	7.990859	0.007174	-0.002342	-0.002235	-0.090576	-0.019531	-0.747803	0.906842	0.065432	-0.297265	-0.291531
04853		4.891750	2.855931	7.975660	0.005334	-0.000798	-0.001880	-0.084229	-0.017334	-0.754883	0.906821	0.065447	-0.297330	-0.291526
04854		4.911681	2.852160	7.971943	0.006299	-0.001490	-0.002733	-0.086670	-0.025391	-0.743408	0.906797	0.065469	-0.297391	-0.291532
04855		4.925074	2.876724	7.953068	0.005079	-0.002128	-0.003071	-0.089111	-0.020020	-0.746582	0.906777	0.065505	-0.297451	-0.291525
04856		4.919120	2.852721	7.951895	0.002185	-0.000054	-0.000514	-0.083984	-0.014648	-0.749756	0.906765	0.065501	-0.297496	-0.291518
04857		4.918426	2.825813	7.986265	0.002185	-0.000054	-0.000514	-0.085693	-0.013428	-0.736572	0.906755	0.065486	-0.297523	-0.291524
04858		4.944604	2.855591	7.972016	0.007264	-0.002182	-0.003586	-0.084229	-0.028809	-0.745117	0.906737	0.065512	-0.297559	-0.291538
04859		4.917889	2.862228	7.994151	0.002427	-0.006308	-0.001235	-0.083740	-0.015869	-0.737793	0.906715	0.065533	-0.297646	-0.291514
04860		4.925549	2.861545	7.974409	0.002749	0.000184	0.000329	-0.084717	-0.020508	-0.736572	0.906717	0.065527	-0.297652	-0.291504
04861		4.907026	2.831848	7.968659	0.002682	-0.004979	-0.000045	-0.085205	-0.017090	-0.753174	0.906704	0.065528	-0.297707	-0.291487
04862		4.919249	2.872354	7.981580	0.001840	-0.001545	-0.000355	-0.085693	-0.022705	-0.748047	0.906691	0.065498	-0.297747	-0.291493
04863		4.913465	2.847931	7.980466	0.001186	-0.001944	0.000151	-0.080566	-0.019775	-0.749512	0.906681	0.065493	-0.297792	-0.291479
04864		4.921075	2.846877	7.960884	-0.000688	-0.002981	0.000319	-0.079590	-0.013184	-0.750732	0.906678	0.065466	-0.297810	-0.291477
04865		4.928114	2.818732	7.975682	0.003026	-0.003489	-0.000205	-0.079834	-0.020996	-0.751953	0.906672	0.065433	-0.297822	-0.291491
04866		4.934714	2.852728	7.964752	0.002316	-0.001468	0.001838	-0.088135	-0.016113	-0.743408	0.906676	0.065432	-0.297832	-0.291468
04867		4.902160	2.843185	7.974764	0.000676	-0.004604	-0.002230	-0.086182	-0.023438	-0.756104	0.906654	0.065384	-0.297889	-0.291490
04868		4.921792	2.882699	7.968193	0.005597	-0.003628	0.002823	-0.092529	-0.029785	-0.753174	0.906641	0.065396	-0.297961	-0.291452
04869		4.916675	2.867511	7.955251	0.002027	-0.005380	0.000461	-0.080811	-0.024902	-0.751953	0.906610	0.065413	-0.298084	-0.291420
04870		4.942425	2.860383	7.986897	0.001751	-0.001706	0.000994	-0.092773	-0.021973	-0.747314	0.906613	0.065438	-0.298096	-0.291394
04871		4.910885	2.824838	7.976911	-0.001054	0.000531	0.002202	-0.081787	-0.017090	-0.747070	0.906604	0.065402	-0.298149	-0.291376
04872		4.930848	2.820148	7.973491	0.003060	-0.000908	-0.000018	-0.077148	-0.011719	-0.749512	0.906608	0.065392	-0.298138	-0.291377
04873		4.924546	2.848950	7.957995	0.003425	-0.004421	-0.001902	-0.087646	-0.025146	-0.750977	0.906608	0.065350	-0.298108	-0.291414
04874		4.937597	2.855331	7.962033	0.008172	-0.000456	-0.002905	-0.087158	-0.018799	-0.750732	0.906589	0.065424	-0.298164	-0.291401
04875		4.944651	2.846040	7.953849	0.001364	-0.001623	-0.002549	-0.086914	-0.019287	-0.751221	0.906573	0.065396	-0.298193	-0.291427
04876		4.909779	2.844406	8.007405	0.004181	0.003726	-0.001848	-0.080811	-0.020996	-0.745605	0.906571	0.065404	-0.298189	-0.291436
04877		4.897289	2.858026	7.979621	0.007394	-0.003600	-0.001236	-0.087891	-0.021484	-0.750977	0.906568	0.065456	-0.298202	-0.291420
04878		4.910893	2.873665	7.971879	0.008015	-0.005784	-0.001930	-0.086914	-0.021484	-0.746582	0.906538	0.065486	-0.298288	-0.291419
04879		4.925593	2.845431	7.966731	0.007581	-0.007436	-0.000420	-0.078369	-0.024658	-0.751465	0.906513	0.065514	-0.298376	-0.291401
04880		4.925351	2.871957	7.986064	0.003612	-0.008258	-0.001085	-0.081299	-0.026367	-0.742188	0.906506	0.065561	-0.298395	-0.291393
04881		4.900667	2.870784	7.964846	0.005686	-0.003468	0.001471	-0.091309	-0.018555	-0.755371	0.906512	0.065650	-0.298412	-0.291336
04882		4.914840	2.824024	7.982925	0.005486	-0.007222	-0.001255	-0.086670	-0.020508	-0.748047	0.906472	0.065611	-0.298520	-0.291360
04883		4.921917	2.849670	7.982770	0.008767	-0.009384	-0.000272	-0.084473	-0.020996	-0.743164	0.906443	0.065631	-0.298615	-0.291347
04884		4.956233	2.869463	7.959805	0.005707	-0.008476	-0.000252	-0.077637	-0.022949	-0.749756	0.906427	0.065648	-0.298675	-0.291331
04885		4.956636	2.852045	7.982065	0.004555	-0.003947	-0.000217	-0.077881	-0.010498	-0.746338	0.906441	0.065704	-0.298635	-0.291315
04886		4.937402	2.866422	7.973440	0.003680	-0.003094	-0.000714	-0.083740	-0.019043	-0.744141	0.906466	0.065625	-0.298549	-0.291343
04887		4.917723	2.871694	7.976492	0.003148	-0.000749	-0.001371	-0.079346	-0.026367	-0.743408	0.906471	0.065623	-0.298533	-0.291346
04888		4.931737	2.842828	7.972005	0.002804	-0.002241	-0.001210	-0.089111	-0.020508	-0.744629	0.906482	0.065716	-0.298505	-0.291320
04889		4.932046	2.843165	7.971693	0.000364	-0.003516	-0.001882	-0.079834	-0.022217	-0.742432	0.906460	0.065679	-0.298566	-0.291335
04890		4.919957	2.856131	7.943862	0.002716	-0.002401	0.000140	-0.087646	-0.016602	-0.747803	0.906477	0.065719	-0.298528	-0.291310
04891		4.906357	2.886077	7.947703	0.005553	-0.002058	-0.000885	-0.075928	-0.023682	-0.747803	0.906466	0.065675	-0.298558	-0.291322
04892		4.881107	2.866863	7.949590	0.004177	-0.008024	-0.000243	-0.092285	-0.016602	-0.750977	0.906481	0.065745	-0.298517	-0.291303
04893		4.921774	2.848860	7.953486	0.004655	-0.007945	0.001950	-0.083984	-0.017822	-0.749512	0.906446	0.065650	-0.298643	-0.291305
04894		4.942764	2.853593	7.937879	0.003813	-0.004508	0.001639	-0.086914	-0.021973	-0.755859	0.906450	0.065611	-0.298644	-0.291301
04895		4.928995	2.865217	7.964686	0.002716	-0.002402	0.000139	-0.078857	-0.023926	-0.749512	0.906439	0.065607	-0.298670	-0.291308
04896		4.916311	2.851022	7.971393	0.001496	-0.003039	-0.000197	-0.087402	-0.009521	-0.740723	0.906456	0.065660	-0.298613	-0.291303
04897		4.903748	2.836638	7.978096	0.001320	-0.003359	0.002503	-0.087646	-0.024414	-0.744629	0.906465	0.065484	-0.298620	-0.291306
04898		4.924434	2.823399	7.985419	0.007856	-0.011122	-0.000959	-0.092773	-0.022949	-0.748535	0.906423	0.065545	-0.298756	-0.291282
04899		4.892124	2.858636	7.991731	0.008988	-0.010646	0.000725	-0.087891	-0.018555	-0.757324	0.906368	0.065562	-0.298946	-0.291256
04900		4.974819	2.833243	7.933523	0.009607	-0.012833	0.000031	-0.089111	-0.020020	-0.747070	0.906330	0.065530	-0.299055	-0.291270
04901		4.942323	2.859436	7.951340	0.008368	-0.008462	0.001416	-0.093018	-0.022461	-0.740723	0.906302	0.065523	-0.299163	-0.291246
04902		4.903503	2.860652	7.968672	0.004743	-0.007790	0.000597	-0.077148	-0.019287	-0.742920	0.906260	0.065516	-0.299327	-0.291212
04903		4.911749	2.860181	7.948415	0.006529	-0.006914	0.001774	-0.087158	-0.020996	-0.739014	0.906290	0.065546	-0.299251	-0.291189
04904		4.925506	2.848223	7.974887	0.006717	-0.010753	0.002591	-0.080566	-0.022705	-0.746094	0.906269	0.065547	-0.299358	-0.291143
04905		4.946897	2.844227	7.970282	0.007370	-0.010356	0.002083	-0.087891	-0.020508	-0.744385	0.906275	0.065606	-0.299363	-0.291108
04906		4.967967	2.849506	7.954373	0.007701	-0.004708	-0.001598	-0.084473	-0.016113	-0.747314	0.906255	0.065619	-0.299422	-0.291104
04907		4.954496	2.870671	7.969448	0.004467	-0.004114	0.001127	-0.085938	-0.021484	-0.748047	0.906267	0.065547	-0.299395	-0.291113
04908		4.936443	2.859101	7.940709	0.001582	-0.002883	-0.001548	-0.087402	-0.018066	-0.743896	0.906263	0.065540	-0.299395	-0.291127
04909		4.902936	2.875467	7.970891	0.002903	-0.006244	0.000954	-0.087402	-0.017578	-0.747803	0.906254	0.065472	-0.299439	-0.291126
04910		4.911011	2.865446	7.962323	0.001252	-0.008533	0.002132	-0.093262	-0.024170	-0.743652	0.906243	0.065372	-0.299485	-0.291133
04911		4.971474	2.833370	7.974323	0.004655	-0.007954	0.001944	-0.087646	-0.017334	-0.744873	0.906199	0.065384	-0.299660	-0.291088
04912		4.980098	2.850724	7.931049	0.003779	-0.007100	0.001449	-0.090576	-0.022705	-0.744141	0.906189	0.065306	-0.299703	-0.291092
04913		4.973364	2.843257	7.961421	0.003935	-0.001768	0.000469	-0.093994	-0.023438	-0.747559	0.906172	0.065320	-0.299777	-0.291066
04914		4.934400	2.880163	7.933391	0.001185	-0.001949	0.000148	-0.078125	-0.023193	-0.744873	0.906138	0.065304	-0.299895	-0.291054
04915		4.940819	2.824971	7.982950	0.002319	-0.001471	0.001832	-0.086670	-0.020264	-0.744385	0.906185	0.065376	-0.299768	-0.291021
04916		4.934664	2.862603	7.955888	0.004811	-0.002623	0.000964	-0.087891	-0.027344	-0.742676	0.906187	0.065369	-0.299777	-0.291007
04917		4.967815	2.863772	7.956480	0.002457	-0.003740	-0.001053	-0.082764	-0.017578	-0.752686	0.906171	0.065465	-0.299843	-0.290968
04918		4.942419	2.853260	7.947264	0.002406	-0.001312	0.000482	-0.085938	-0.019775	-0.747314	0.906199	0.065410	-0.299745	-0.290994
04919		4.915474	2.859129	7.970015	-0.001049	0.000537	0.002205	-0.082520	-0.025146	-0.746094	0.906219	0.065355	-0.299698	-0.290993
04920		4.915853	2.867849	7.958469	-0.000517	-0.001810	0.002862	-0.082764	-0.021484	-0.740234	0.906246	0.065410	-0.299644	-0.290953
04921		4.930481	2.838208	7.953884	-0.000278	-0.008079	0.002145	-0.083008	-0.015625	-0.746582	0.906258	0.065395	-0.299635	-0.290928
04922		4.938413	2.837132	7.933999	0.002715	-0.002407	0.000135	-0.087891	-0.022949	-0.745117	0.906284	0.065312	-0.299552	-0.290951
04923		4.917245	2.840343	7.992032	-0.005621	-0.003107	0.000525	-0.086426	-0.021240	-0.744385	0.906279	0.065266	-0.299574	-0.290954
04924		4.916261	2.917478	7.997834	-0.010283	-0.005198	0.010672	-0.086182	-0.022949	-0.741211	0.906306	0.065135	-0.299574	-0.290899
