// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
65356		9.217530	-0.858342	-3.422876	0.008737	-0.016922	0.009227	-0.843994	-0.145264	-0.042725	0.539632	0.197447	-0.796461	0.188312
65357		9.173193	-1.025739	-3.403044	0.013004	-0.019527	0.004839	-0.843994	-0.141846	-0.040039	0.539473	0.197504	-0.796537	0.188388
65358		9.162279	-0.988905	-3.368454	0.018134	-0.023515	0.007972	-0.851318	-0.143066	-0.036865	0.539271	0.197567	-0.796630	0.188508
65359		9.177304	-0.726317	-3.469091	0.006904	-0.025014	0.011641	-0.849121	-0.141113	-0.041016	0.539075	0.197559	-0.796750	0.188566
65360		9.204508	-0.884734	-3.419067	-0.005770	-0.018656	0.024183	-0.851562	-0.132324	-0.035400	0.538923	0.197402	-0.796883	0.188605
65361		9.205863	-0.852592	-3.446663	0.000655	-0.014701	0.028545	-0.851318	-0.135010	-0.040283	0.538779	0.197239	-0.796995	0.188713
65362		9.152295	-0.915501	-3.418710	-0.007963	-0.011232	0.030233	-0.845215	-0.136475	-0.045654	0.538669	0.197021	-0.797108	0.188776
65363		9.145474	-1.016180	-3.396903	0.001745	-0.011151	0.028916	-0.847168	-0.137451	-0.035400	0.538546	0.196853	-0.797204	0.188900
65364		9.159478	-0.985057	-3.431333	0.011454	-0.010897	0.024938	-0.842285	-0.124756	-0.035645	0.538413	0.196750	-0.797277	0.189078
65365		9.188016	-1.030386	-3.411204	0.010251	-0.005277	0.021927	-0.843506	-0.141602	-0.035156	0.538321	0.196649	-0.797323	0.189250
65366		9.163923	-1.157658	-3.387146	0.001422	-0.005849	0.017448	-0.844971	-0.140381	-0.044189	0.538247	0.196532	-0.797378	0.189351
65367		9.130674	-1.242808	-3.270841	0.017563	-0.008301	0.005109	-0.850586	-0.133789	-0.031494	0.538145	0.196561	-0.797399	0.189519
