// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
65356		4.932303	2.912835	7.927836	0.005440	-0.004394	-0.005244	-0.105225	-0.035889	-0.724609	0.906084	0.068140	-0.300105	-0.290354
65357		4.909964	2.907481	7.936639	0.007059	-0.002910	-0.001148	-0.103271	-0.032471	-0.726318	0.906070	0.068189	-0.300143	-0.290347
65358		4.952944	2.909891	7.925846	0.006792	-0.002700	-0.003370	-0.111084	-0.032227	-0.723145	0.906053	0.068239	-0.300174	-0.290358
65359		4.922315	2.912726	7.943569	0.004958	-0.001966	0.000286	-0.107422	-0.034668	-0.725098	0.906046	0.068271	-0.300201	-0.290344
65360		4.936373	2.885037	7.934179	0.004957	-0.001966	0.000286	-0.112061	-0.025391	-0.720215	0.906039	0.068302	-0.300228	-0.290331
65361		4.929147	2.937280	7.950885	0.006008	-0.002439	-0.000432	-0.111084	-0.026611	-0.726562	0.906028	0.068342	-0.300260	-0.290320
65362		4.943339	2.909715	7.941368	0.003943	-0.004612	-0.001952	-0.103027	-0.027588	-0.729492	0.906010	0.068365	-0.300302	-0.290328
65363		4.926753	2.883917	7.950070	0.002403	-0.004273	-0.002168	-0.104004	-0.030518	-0.719727	0.905993	0.068377	-0.300338	-0.290340
65364		4.936078	2.918868	7.949290	0.000231	-0.002588	0.001850	-0.104248	-0.016846	-0.720459	0.905993	0.068365	-0.300356	-0.290327
65365		4.944706	2.910475	7.940238	0.000792	-0.003194	0.000200	-0.104248	-0.034668	-0.725342	0.905986	0.068360	-0.300379	-0.290325
65366		4.948924	2.922147	7.956628	0.001397	-0.004354	0.002058	-0.105469	-0.034424	-0.729248	0.905981	0.068351	-0.300412	-0.290308
65367		4.956853	2.870769	7.939174	0.001878	-0.001289	-0.000147	-0.107422	-0.028320	-0.717773	0.905978	0.068358	-0.300422	-0.290305
65368		4.931459	2.896241	7.939899	0.003756	-0.002578	-0.000294	-0.103271	-0.030518	-0.719482	0.905972	0.068373	-0.300447	-0.290298
65369		4.940625	2.931691	7.939027	0.005029	-0.002708	-0.002300	-0.106689	-0.021973	-0.718018	0.905960	0.068400	-0.300472	-0.290302
65370		4.951884	2.892645	7.938281	0.004575	-0.000464	-0.002863	-0.103516	-0.026855	-0.723877	0.905952	0.068431	-0.300479	-0.290311
