// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		3.560383	-8.783834	-1.880155	-0.002204	-0.006214	-0.004780	-0.423096	0.842773	0.509521	0.285138	-0.581155	0.509441	-0.566943
17326		3.610831	-8.753981	-1.898498	-0.017738	0.005575	-0.001298	-0.426025	0.829346	0.510742	0.285022	-0.581177	0.509532	-0.566898
17327		3.626122	-8.885148	-1.972542	-0.021681	0.007793	-0.003296	-0.419922	0.832764	0.520996	0.284781	-0.581224	0.509600	-0.566909
17328		3.617790	-8.942802	-1.850353	-0.011385	0.015965	-0.009719	-0.428711	0.831299	0.505371	0.284642	-0.581213	0.509659	-0.566938
17329		3.618570	-8.948663	-1.827835	-0.021479	0.001978	-0.005675	-0.421387	0.838379	0.514160	0.284405	-0.581294	0.509689	-0.566946
17330		3.552035	-8.974562	-1.962905	-0.016319	-0.001346	-0.004711	-0.424316	0.841553	0.515869	0.284334	-0.581353	0.509750	-0.566867
17331		3.603015	-8.993181	-1.925044	-0.006534	-0.008298	-0.004290	-0.426514	0.837646	0.512695	0.284321	-0.581424	0.509741	-0.566809
17332		3.621884	-9.016961	-2.063195	0.010952	-0.009659	0.003184	-0.423096	0.840332	0.508301	0.284435	-0.581426	0.509684	-0.566800
17333		3.579246	-8.948828	-1.988926	0.034664	0.007587	-0.001081	-0.428711	0.832520	0.511230	0.284567	-0.581311	0.509538	-0.566983
17334		3.571183	-8.848769	-1.833180	0.024379	0.005923	-0.002018	-0.432861	0.833740	0.513428	0.284585	-0.581244	0.509403	-0.567164
17335		3.508792	-8.763105	-1.842268	0.017107	0.016467	-0.007641	-0.427734	0.840332	0.505615	0.284568	-0.581155	0.509332	-0.567328
17336		3.522410	-8.690196	-1.769314	-0.030041	0.007810	-0.007144	-0.433105	0.833740	0.517090	0.284322	-0.581220	0.509447	-0.567282
17337		3.592366	-8.854399	-1.871431	-0.046654	0.013294	-0.001199	-0.423828	0.829834	0.511230	0.284041	-0.581267	0.509701	-0.567146
