// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		2.504380	-8.316514	4.536625	-0.004471	-0.002280	-0.007858	-0.272949	1.122559	-0.336670	0.588241	-0.449685	0.257443	-0.620870
17326		2.534729	-8.317343	4.535561	0.000063	0.001449	-0.007246	-0.271973	1.110840	-0.336670	0.588200	-0.449693	0.257423	-0.620911
17327		2.551515	-8.313578	4.593826	0.001021	0.004353	-0.003744	-0.268555	1.117188	-0.322266	0.588176	-0.449671	0.257422	-0.620950
17328		2.462426	-8.327066	4.568173	0.000235	0.008000	-0.002882	-0.277100	1.114014	-0.341553	0.588144	-0.449635	0.257448	-0.620995
17329		2.476022	-8.315910	4.523172	-0.000785	0.003647	0.000862	-0.272217	1.120117	-0.330566	0.588139	-0.449617	0.257473	-0.621003
17330		2.448296	-8.270259	4.535371	-0.001800	-0.000887	0.001004	-0.275391	1.125244	-0.330811	0.588140	-0.449627	0.257482	-0.620991
17331		2.479216	-8.267578	4.592463	-0.005449	-0.004557	0.001250	-0.273682	1.118164	-0.335693	0.588138	-0.449672	0.257494	-0.620956
17332		2.552210	-8.298757	4.606115	-0.011334	0.005792	-0.006807	-0.271729	1.123291	-0.338135	0.588051	-0.449706	0.257556	-0.620988
17333		2.504306	-8.361981	4.522880	-0.004065	0.012275	-0.006378	-0.278809	1.116943	-0.337158	0.587980	-0.449668	0.257609	-0.621060
17334		2.443892	-8.364918	4.451369	-0.001457	0.010465	-0.007364	-0.278809	1.116211	-0.331543	0.587917	-0.449631	0.257638	-0.621134
17335		2.430270	-8.335811	4.435599	0.006136	-0.002794	-0.003833	-0.276123	1.120117	-0.340332	0.587929	-0.449620	0.257583	-0.621153
17336		2.477002	-8.345026	4.524326	0.012319	-0.003690	-0.005904	-0.281250	1.113281	-0.331299	0.587955	-0.449591	0.257492	-0.621188
17337		2.481488	-8.267930	4.564538	0.011325	-0.007184	-0.003081	-0.275146	1.110840	-0.334473	0.588000	-0.449579	0.257403	-0.621191
17338		2.556387	-8.280921	4.608856	0.008951	0.002451	-0.008585	-0.273193	1.112793	-0.333740	0.587989	-0.449536	0.257350	-0.621254
17339		2.573640	-8.247599	4.665891	0.001998	0.008209	0.000636	-0.270752	1.119873	-0.335693	0.587988	-0.449476	0.257389	-0.621283
17340		2.513526	-8.261457	4.653848	-0.006736	0.012455	-0.001755	-0.276611	1.117432	-0.336182	0.587934	-0.449434	0.257474	-0.621329
17341		2.422289	-8.293384	4.584223	-0.011192	0.011393	-0.003331	-0.274414	1.118164	-0.338623	0.587860	-0.449415	0.257561	-0.621377
17342		2.421643	-8.268970	4.522277	-0.015746	0.006626	-0.006631	-0.282715	1.115234	-0.334961	0.587769	-0.449441	0.257639	-0.621412
17343		2.420406	-8.315488	4.494281	-0.012345	0.001081	-0.010280	-0.276855	1.118408	-0.332275	0.587679	-0.449488	0.257664	-0.621453
17344		2.508271	-8.362552	4.493630	-0.010547	0.001971	-0.011286	-0.274414	1.124756	-0.336670	0.587595	-0.449524	0.257691	-0.621495
17345		2.539454	-8.348157	4.505444	-0.006148	0.001403	-0.006063	-0.273682	1.119873	-0.339355	0.587563	-0.449526	0.257715	-0.621514
17346		2.554937	-8.333986	4.503923	0.001901	0.004418	-0.002886	-0.265869	1.117432	-0.333008	0.587565	-0.449473	0.257725	-0.621546
17347		2.538040	-8.391519	4.509340	0.009133	0.010221	0.002074	-0.282471	1.133057	-0.330811	0.587605	-0.449364	0.257750	-0.621577
17348		2.447751	-8.405581	4.470417	0.012505	0.003992	0.002952	-0.283203	1.119873	-0.335693	0.587669	-0.449270	0.257728	-0.621593
17349		2.478896	-8.331567	4.481446	0.018430	-0.005591	0.008296	-0.272705	1.116943	-0.335693	0.587787	-0.449194	0.257649	-0.621570
17350		2.439818	-8.220781	4.565544	0.019393	-0.003037	0.004585	-0.269287	1.118896	-0.330322	0.587893	-0.449108	0.257577	-0.621561
17351		2.483783	-8.260623	4.628533	0.017018	0.006426	-0.004533	-0.272949	1.127441	-0.339600	0.587929	-0.449007	0.257539	-0.621615
17352		2.496476	-8.278444	4.573028	0.011722	0.007290	-0.003407	-0.281006	1.117188	-0.336426	0.587966	-0.448892	0.257533	-0.621666
17353		2.480790	-8.306401	4.576922	0.006352	0.005484	-0.001316	-0.270996	1.115234	-0.339355	0.587968	-0.448829	0.257519	-0.621715
17354		2.481485	-8.290190	4.591661	0.008835	-0.000713	0.000509	-0.280029	1.109863	-0.341553	0.588023	-0.448757	0.257484	-0.621730
17355		2.425053	-8.228572	4.604143	-0.000026	-0.000860	0.000922	-0.277344	1.115723	-0.335205	0.588023	-0.448730	0.257461	-0.621759
17356		2.453929	-8.258797	4.605099	-0.006113	0.002164	-0.008787	-0.278076	1.116211	-0.340088	0.587954	-0.448752	0.257473	-0.621803
17357		2.467934	-8.277157	4.560968	-0.009635	0.003055	-0.007742	-0.282227	1.119385	-0.345947	0.587887	-0.448757	0.257500	-0.621852
17358		2.482436	-8.308227	4.546736	-0.011377	0.003709	-0.012189	-0.281250	1.117432	-0.334473	0.587793	-0.448751	0.257507	-0.621943
17359		2.482441	-8.338789	4.532837	-0.009636	0.002969	-0.009548	-0.273193	1.125732	-0.338379	0.587693	-0.448794	0.257533	-0.621995
17360		2.542343	-8.326403	4.529243	-0.008018	-0.002163	-0.004097	-0.278076	1.118164	-0.336426	0.587697	-0.448808	0.257578	-0.621962
17361		2.527690	-8.340920	4.529684	-0.004430	-0.000118	-0.000697	-0.270264	1.111328	-0.331787	0.587683	-0.448815	0.257602	-0.621961
17362		2.469776	-8.324669	4.529589	-0.003418	0.004244	-0.004448	-0.273438	1.113281	-0.328125	0.587649	-0.448826	0.257654	-0.621963
17363		2.440874	-8.337377	4.545634	-0.001742	0.000655	-0.004447	-0.274414	1.117188	-0.335449	0.587610	-0.448875	0.257684	-0.621952
17364		2.455806	-8.297736	4.484050	0.005273	-0.001809	-0.002007	-0.279297	1.115234	-0.337891	0.587642	-0.448844	0.257665	-0.621952
17365		2.515179	-8.297939	4.498188	0.008006	0.000862	-0.003996	-0.277832	1.117432	-0.328125	0.587646	-0.448789	0.257606	-0.622013
17366		2.530632	-8.336323	4.575425	0.012481	0.002878	-0.001539	-0.282471	1.121338	-0.332275	0.587653	-0.448772	0.257587	-0.622026
17367		2.487255	-8.318364	4.591981	0.012573	0.006586	0.000179	-0.275879	1.122559	-0.335693	0.587658	-0.448719	0.257564	-0.622070
17368		2.444851	-8.257616	4.590775	0.010757	0.004571	-0.003305	-0.269287	1.125488	-0.333984	0.587691	-0.448643	0.257556	-0.622097
17369		2.459255	-8.285566	4.608223	0.004435	-0.000057	-0.002911	-0.276855	1.121582	-0.339844	0.587748	-0.448608	0.257613	-0.622044
17370		2.445360	-8.271158	4.593211	-0.000014	-0.001215	-0.006291	-0.279297	1.116943	-0.331543	0.587747	-0.448585	0.257597	-0.622068
