// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
17325		4.267695	-8.619570	-1.646709	0.012912	-0.000823	-0.009594	-0.642578	0.921875	0.572266	0.213188	-0.546646	0.534416	-0.608382
17326		4.294207	-8.577598	-1.689032	0.009247	-0.003924	-0.007649	-0.643555	0.906250	0.575928	0.213209	-0.546683	0.534327	-0.608419
17327		4.310989	-8.604697	-1.705284	-0.002326	0.004484	-0.002510	-0.636963	0.913086	0.587402	0.213153	-0.546686	0.534337	-0.608428
17328		4.293349	-8.704683	-1.674982	-0.016541	0.001656	0.000539	-0.644531	0.910645	0.569580	0.213072	-0.546705	0.534426	-0.608360
17329		4.264801	-8.685324	-1.645353	-0.003306	-0.003662	0.000007	-0.638672	0.916016	0.578125	0.213073	-0.546730	0.534437	-0.608328
17330		4.258058	-8.601367	-1.648126	0.005253	-0.002776	-0.004783	-0.642822	0.921387	0.578857	0.213086	-0.546756	0.534384	-0.608347
17331		4.262459	-8.676352	-1.687337	0.012614	-0.003794	-0.009685	-0.644043	0.916992	0.577393	0.213111	-0.546796	0.534270	-0.608402
17332		4.295985	-8.718298	-1.726396	0.015843	0.001559	-0.007157	-0.638672	0.919189	0.569580	0.213142	-0.546792	0.534162	-0.608490
17333		4.232158	-8.673331	-1.681269	-0.005524	0.002815	-0.006054	-0.647217	0.913818	0.575928	0.213075	-0.546815	0.534172	-0.608483
17334		4.236620	-8.720819	-1.677143	-0.010889	0.002922	-0.007450	-0.648193	0.911133	0.578613	0.212978	-0.546853	0.534206	-0.608454
17335		4.185485	-8.706888	-1.685088	0.010282	-0.000231	-0.011940	-0.643066	0.917725	0.573242	0.212973	-0.546887	0.534110	-0.608509
17336		4.197405	-8.520503	-1.656276	0.029254	-0.005293	-0.013266	-0.647217	0.913086	0.579834	0.213077	-0.546915	0.533908	-0.608624
17337		4.281069	-8.425197	-1.691643	0.011156	-0.004309	-0.001172	-0.642334	0.910156	0.575195	0.213157	-0.546918	0.533857	-0.608640
17338		4.339504	-8.560063	-1.659161	-0.023428	0.005699	0.009427	-0.638184	0.910645	0.578369	0.213078	-0.546891	0.534046	-0.608525
17339		4.377146	-8.723691	-1.678064	-0.022752	-0.000955	0.007078	-0.638184	0.917480	0.576904	0.213015	-0.546912	0.534205	-0.608389
17340		4.317707	-8.904789	-1.671300	-0.006510	0.004651	-0.003286	-0.643799	0.915283	0.578369	0.212944	-0.546923	0.534244	-0.608370
17341		4.234098	-8.861459	-1.629683	0.019461	-0.001538	-0.017306	-0.641846	0.914062	0.574463	0.212955	-0.546977	0.534077	-0.608464
17342		4.227885	-8.601055	-1.649316	0.024971	-0.006872	-0.020473	-0.651855	0.914062	0.578125	0.213013	-0.547051	0.533861	-0.608566
17343		4.206979	-8.516146	-1.679429	-0.004451	0.000201	-0.011611	-0.643311	0.913818	0.580811	0.212948	-0.547104	0.533849	-0.608552
17344		4.243521	-8.643338	-1.693710	-0.009715	0.002055	-0.006575	-0.642090	0.921143	0.575195	0.212880	-0.547137	0.533895	-0.608505
17345		4.269259	-8.626272	-1.722880	0.001658	0.002414	-0.005123	-0.641846	0.918213	0.573242	0.212878	-0.547132	0.533898	-0.608508
17346		4.310756	-8.622293	-1.714672	0.008921	0.000328	-0.006727	-0.634277	0.912354	0.580078	0.212904	-0.547135	0.533855	-0.608535
17347		4.273667	-8.776350	-1.716066	0.006008	-0.000215	-0.009671	-0.648193	0.930908	0.581299	0.212896	-0.547177	0.533811	-0.608538
17348		4.262716	-8.796568	-1.693214	0.010062	-0.005817	-0.014309	-0.649902	0.916748	0.571533	0.212943	-0.547249	0.533738	-0.608521
17349		4.234178	-8.601111	-1.679825	0.026617	-0.006538	-0.015102	-0.639160	0.912109	0.577637	0.213034	-0.547289	0.533554	-0.608614
17350		4.213127	-8.476925	-1.670642	0.016107	-0.000750	-0.015524	-0.636230	0.914307	0.581787	0.213046	-0.547337	0.533434	-0.608673
17351		4.266192	-8.592014	-1.661823	-0.001009	-0.001609	-0.006197	-0.644287	0.922852	0.572021	0.213042	-0.547387	0.533453	-0.608612
17352		4.298784	-8.619180	-1.650753	-0.008381	-0.001515	-0.001041	-0.649414	0.912354	0.577637	0.213040	-0.547389	0.533539	-0.608535
17353		4.310513	-8.713104	-1.666133	-0.003796	0.003285	-0.003730	-0.637451	0.911621	0.576172	0.212989	-0.547415	0.533564	-0.608508
17354		4.278382	-8.760648	-1.631479	0.020485	0.000991	-0.011362	-0.647705	0.910156	0.565186	0.213028	-0.547423	0.533441	-0.608595
17355		4.269083	-8.640975	-1.629018	0.021730	-0.003404	-0.012511	-0.642822	0.916748	0.579346	0.213061	-0.547422	0.533271	-0.608734
17356		4.230780	-8.594030	-1.664969	0.001813	-0.001901	-0.009937	-0.647217	0.914062	0.572510	0.213061	-0.547479	0.533253	-0.608697
17357		4.264612	-8.570800	-1.683416	-0.003187	-0.000757	-0.003796	-0.652100	0.916260	0.567139	0.213039	-0.547492	0.533271	-0.608678
17358		4.252051	-8.616413	-1.647212	-0.008984	0.003442	-0.001231	-0.649414	0.915283	0.579102	0.212974	-0.547459	0.533328	-0.608680
17359		4.280226	-8.672969	-1.656285	-0.000274	-0.000209	-0.000852	-0.639160	0.922119	0.572266	0.212980	-0.547484	0.533352	-0.608635
17360		4.281146	-8.674904	-1.716089	0.009178	-0.002226	-0.005110	-0.644775	0.912109	0.577637	0.213078	-0.547456	0.533332	-0.608644
17361		4.273937	-8.680900	-1.725408	0.010175	-0.003146	-0.008131	-0.640869	0.905762	0.582764	0.213099	-0.547511	0.533264	-0.608646
17362		4.278933	-8.716107	-1.726675	0.006010	-0.000221	-0.009671	-0.642578	0.911621	0.584473	0.213061	-0.547615	0.533219	-0.608605
17363		4.223213	-8.729596	-1.694189	0.001279	-0.000480	-0.012150	-0.643799	0.915527	0.577881	0.213026	-0.547732	0.533206	-0.608523
17364		4.217558	-8.605459	-1.658354	0.013284	-0.001383	-0.011528	-0.647217	0.912598	0.572266	0.213071	-0.547773	0.533133	-0.608535
17365		4.272895	-8.542691	-1.693597	0.017540	-0.005082	-0.012775	-0.646240	0.910400	0.582520	0.213108	-0.547809	0.532998	-0.608608
17366		4.278005	-8.577792	-1.695104	-0.002469	-0.002812	-0.007412	-0.648926	0.916748	0.579346	0.213071	-0.547931	0.533007	-0.608503
17367		4.252620	-8.733951	-1.644896	-0.011294	-0.002072	-0.003983	-0.641357	0.918457	0.580811	0.213036	-0.548012	0.533080	-0.608378
17368		4.273620	-8.731385	-1.642837	-0.008204	-0.003073	-0.006616	-0.637695	0.922363	0.581055	0.213052	-0.548074	0.533165	-0.608242
17369		4.275072	-8.718070	-1.651037	0.001273	-0.001403	-0.011895	-0.642334	0.916992	0.574219	0.213121	-0.548101	0.533211	-0.608154
17370		4.252942	-8.683614	-1.651418	0.014639	-0.003786	-0.016231	-0.643799	0.914551	0.581055	0.213169	-0.548114	0.533113	-0.608212
17371		4.259950	-8.590982	-1.666447	0.021191	-0.003815	-0.014216	-0.641357	0.916748	0.579346	0.213261	-0.548191	0.532978	-0.608229
17372		4.274285	-8.492405	-1.671460	0.007095	-0.001224	-0.005753	-0.643555	0.914795	0.581787	0.213339	-0.548206	0.532977	-0.608187
17373		4.265635	-8.561292	-1.644241	-0.007001	0.001368	0.002710	-0.651611	0.913330	0.583252	0.213367	-0.548246	0.533069	-0.608061
17374		4.292911	-8.720539	-1.652863	0.005177	-0.002000	-0.001990	-0.642334	0.915527	0.580566	0.213409	-0.548362	0.533016	-0.607988
17375		4.318064	-8.741448	-1.657790	0.013561	-0.001172	-0.010677	-0.651855	0.917969	0.581299	0.213478	-0.548406	0.532949	-0.607983
17376		4.315987	-8.680187	-1.669747	-0.000906	-0.000554	-0.009493	-0.646240	0.914307	0.580811	0.213478	-0.548514	0.532909	-0.607921
17377		4.268640	-8.649638	-1.651038	-0.015642	0.000772	-0.009417	-0.651367	0.909668	0.576416	0.213391	-0.548624	0.532966	-0.607802
17378		4.188945	-8.656432	-1.667157	-0.008424	0.005917	-0.010019	-0.652100	0.918457	0.585205	0.213237	-0.548700	0.532938	-0.607812
17379		4.251788	-8.624767	-1.670635	0.012047	0.004858	-0.010892	-0.639648	0.913086	0.580322	0.213291	-0.548789	0.532843	-0.607795
17380		4.229312	-8.605548	-1.722716	0.014930	-0.000114	-0.006417	-0.645020	0.918701	0.577393	0.213375	-0.548777	0.532814	-0.607803
17381		4.262699	-8.647470	-1.762425	0.001645	0.000565	-0.004615	-0.642578	0.913574	0.576660	0.213418	-0.548746	0.532844	-0.607789
17382		4.250542	-8.680582	-1.733107	-0.003827	-0.001331	-0.002455	-0.645508	0.910645	0.573486	0.213417	-0.548738	0.532906	-0.607743
17383		4.246408	-8.759556	-1.724599	-0.011217	-0.005625	-0.006003	-0.638428	0.917969	0.577148	0.213333	-0.548779	0.532948	-0.607699
17384		4.235338	-8.714872	-1.680331	0.012451	-0.005693	-0.013062	-0.641113	0.913574	0.579834	0.213441	-0.548762	0.532920	-0.607700
17385		4.237844	-8.611775	-1.678474	0.018828	-0.004862	-0.015198	-0.650635	0.911621	0.565918	0.213529	-0.548820	0.532815	-0.607708
17386		4.301259	-8.542596	-1.703085	0.015110	-0.001667	-0.011993	-0.643799	0.917480	0.581787	0.213463	-0.548739	0.532674	-0.607928
17387		4.310377	-8.573364	-1.669485	-0.008455	0.000382	-0.008487	-0.645752	0.915527	0.568359	0.213475	-0.548815	0.532740	-0.607798
17388		4.310263	-8.700416	-1.655523	-0.009907	0.002648	-0.000744	-0.642822	0.911621	0.581299	0.213412	-0.548693	0.532830	-0.607852
17389		4.278243	-8.710480	-1.644273	0.015568	-0.000464	-0.007502	-0.641357	0.918213	0.572998	0.213488	-0.548754	0.532763	-0.607829
17390		4.288535	-8.539010	-1.668646	0.027300	-0.002481	-0.007477	-0.642578	0.917480	0.579590	0.213668	-0.548648	0.532656	-0.607955
17391		4.298043	-8.534975	-1.715857	0.012554	-0.003008	-0.006889	-0.645020	0.905762	0.571533	0.213801	-0.548678	0.532611	-0.607920
17392		4.269208	-8.695535	-1.700294	-0.021018	0.001544	-0.001086	-0.650146	0.915527	0.573975	0.213597	-0.548694	0.532732	-0.607871
17393		4.252709	-8.757584	-1.693995	-0.020743	0.001754	-0.000234	-0.649414	0.910889	0.575195	0.213486	-0.548691	0.532843	-0.607816
17394		4.212928	-8.760893	-1.702796	-0.001800	0.002345	-0.010027	-0.647217	0.920898	0.578613	0.213370	-0.548730	0.532815	-0.607847
17395		4.210611	-8.737261	-1.691741	0.019385	-0.003515	-0.013749	-0.645508	0.919189	0.582031	0.213512	-0.548755	0.532681	-0.607892
17396		4.205595	-8.590493	-1.728920	0.034502	-0.002633	-0.016527	-0.638672	0.915283	0.577393	0.213715	-0.548812	0.532470	-0.607953
17397		4.223663	-8.475281	-1.705194	0.010448	-0.006612	-0.006251	-0.650879	0.922607	0.572510	0.213868	-0.548830	0.532458	-0.607894
17398		4.251853	-8.544363	-1.706402	-0.011844	-0.001812	0.004043	-0.650391	0.913574	0.574219	0.213904	-0.548754	0.532549	-0.607870
17399		4.291249	-8.822658	-1.715078	-0.006544	0.001856	-0.002525	-0.643066	0.910645	0.578369	0.213822	-0.548754	0.532580	-0.607872
17400		4.267365	-8.864100	-1.669731	0.025939	-0.003533	-0.011735	-0.645752	0.916504	0.570312	0.213918	-0.548812	0.532435	-0.607913
17401		4.270207	-8.618834	-1.628769	0.028587	-0.003899	-0.019368	-0.650391	0.914062	0.577637	0.213996	-0.548769	0.532232	-0.608102
17402		4.269085	-8.519868	-1.662042	0.009191	-0.004775	-0.014318	-0.640381	0.915283	0.578125	0.213986	-0.548875	0.532120	-0.608108
