// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14215		6.778491	-4.052194	5.823008	-0.003822	-0.000404	-0.001684	-0.350586	0.703125	-0.382812	0.724181	-0.413912	-0.178720	-0.521822
14216		6.784857	-4.054706	5.809648	-0.004055	-0.000320	-0.000654	-0.344727	0.703857	-0.392822	0.724164	-0.413937	-0.178707	-0.521831
14217		6.778000	-4.067880	5.808128	-0.004440	-0.001590	-0.000453	-0.348145	0.700195	-0.391357	0.724153	-0.413959	-0.178695	-0.521832
14218		6.785143	-4.055214	5.808960	-0.004613	0.001810	-0.004475	-0.340820	0.701172	-0.385742	0.724120	-0.413973	-0.178679	-0.521872
14219		6.779482	-4.065943	5.775020	-0.003250	0.000157	-0.000613	-0.347412	0.697754	-0.388672	0.724107	-0.413991	-0.178666	-0.521881
14220		6.779650	-4.066220	5.774628	-0.005012	-0.002151	-0.001525	-0.339844	0.704590	-0.387207	0.724079	-0.414030	-0.178663	-0.521889
14221		6.774285	-4.049059	5.801559	-0.002632	0.001344	-0.001844	-0.341064	0.704102	-0.383301	0.724062	-0.414041	-0.178651	-0.521907
14222		6.789924	-4.075135	5.813513	-0.001934	0.001093	-0.004934	-0.349854	0.703613	-0.396729	0.724035	-0.414045	-0.178653	-0.521942
14223		6.756304	-4.054583	5.793995	-0.000744	0.002841	-0.005094	-0.349609	0.705078	-0.390381	0.724012	-0.414035	-0.178651	-0.521982
14224		6.783883	-4.072003	5.826935	-0.000558	0.002130	-0.003821	-0.343262	0.705322	-0.391602	0.723995	-0.414029	-0.178649	-0.522010
14225		6.767771	-4.060412	5.800912	-0.002120	0.001803	-0.006209	-0.344482	0.706787	-0.391357	0.723962	-0.414032	-0.178650	-0.522054
14226		6.779212	-4.066652	5.807574	-0.001548	0.002364	-0.005137	-0.346680	0.699951	-0.391113	0.723937	-0.414031	-0.178645	-0.522092
14227		6.781383	-4.049027	5.789115	-0.001329	-0.000411	-0.003418	-0.352295	0.702148	-0.393799	0.723915	-0.414045	-0.178652	-0.522109
14228		6.790867	-4.072622	5.814174	-0.000326	0.002047	-0.004851	-0.344482	0.706299	-0.384033	0.723893	-0.414042	-0.178655	-0.522141
14229		6.773540	-4.063164	5.820811	-0.002120	0.001803	-0.006209	-0.341309	0.706787	-0.391357	0.723859	-0.414050	-0.178654	-0.522182
14230		6.799429	-4.056686	5.782894	-0.001781	0.002448	-0.004107	-0.343018	0.704590	-0.391113	0.723837	-0.414056	-0.178643	-0.522211
14231		6.792013	-4.056378	5.828675	-0.002166	0.001177	-0.003906	-0.342773	0.696533	-0.394775	0.723810	-0.414073	-0.178640	-0.522235
14232		6.792208	-4.056034	5.828688	-0.000711	0.000776	-0.004650	-0.349365	0.709961	-0.393799	0.723786	-0.414078	-0.178651	-0.522262
14233		6.787369	-4.051244	5.809128	-0.002585	0.001970	-0.004150	-0.343506	0.700684	-0.389893	0.723756	-0.414097	-0.178643	-0.522291
14234		6.791762	-4.070449	5.814650	-0.001548	0.002364	-0.005138	-0.339600	0.694580	-0.393555	0.723728	-0.414101	-0.178641	-0.522327
14235		6.781381	-4.048316	5.822341	-0.003156	0.001410	-0.005222	-0.343750	0.698730	-0.392822	0.723696	-0.414114	-0.178639	-0.522361
14236		6.792124	-4.069769	5.814704	-0.002352	0.001887	-0.005180	-0.347656	0.698242	-0.392090	0.723665	-0.414124	-0.178638	-0.522397
14237		6.782236	-4.060679	5.775490	-0.003622	0.001577	-0.003162	-0.336182	0.697266	-0.388184	0.723635	-0.414148	-0.178630	-0.522422
14238		6.781757	-4.047722	5.822316	-0.001176	0.000944	-0.002590	-0.342285	0.697754	-0.398193	0.723622	-0.414163	-0.178622	-0.522431
14239		6.798627	-4.071561	5.801683	-0.001595	0.001737	-0.002834	-0.345947	0.697510	-0.392090	0.723608	-0.414166	-0.178619	-0.522450
14240		6.769904	-4.055696	5.801723	-0.001362	0.001654	-0.003864	-0.341553	0.701904	-0.388428	0.723581	-0.414178	-0.178624	-0.522476
14241		6.810703	-4.062606	5.822699	-0.000977	0.002925	-0.004066	-0.343994	0.702393	-0.394287	0.723559	-0.414192	-0.178609	-0.522501
14242		6.763698	-4.052838	5.815140	-0.003004	0.002764	-0.004395	-0.335205	0.700928	-0.395508	0.723529	-0.414210	-0.178594	-0.522533
14243		6.781298	-4.061451	5.808777	-0.001548	0.002365	-0.005139	-0.347656	0.703369	-0.395752	0.723517	-0.414206	-0.178575	-0.522559
14244		6.791935	-4.083124	5.801116	-0.003250	0.000155	-0.000615	-0.342285	0.699219	-0.392822	0.723495	-0.414243	-0.178567	-0.522563
14245		6.775216	-4.059414	5.821477	-0.005847	-0.000567	-0.002017	-0.343018	0.700928	-0.394043	0.723464	-0.414293	-0.178550	-0.522572
14246		6.792886	-4.068607	5.814626	-0.004239	0.000388	-0.001932	-0.338623	0.701172	-0.392578	0.723441	-0.414328	-0.178533	-0.522582
14247		6.776717	-4.057647	5.788228	-0.004239	0.000388	-0.001932	-0.349854	0.706787	-0.390625	0.723426	-0.414363	-0.178502	-0.522585
14248		6.769878	-4.070669	5.786809	-0.003820	-0.000405	-0.001688	-0.344482	0.708740	-0.389404	0.723382	-0.414432	-0.178494	-0.522594
14249		6.788286	-4.064490	5.794316	-0.001747	0.000384	-0.003664	-0.338867	0.705078	-0.388916	0.723347	-0.414486	-0.178475	-0.522606
14250		6.793422	-4.068825	5.813847	-0.003621	0.001577	-0.003163	-0.350342	0.703857	-0.389648	0.723324	-0.414532	-0.178430	-0.522617
