// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14215		7.996976	-5.553081	-1.024903	0.002651	0.004841	-0.001805	-0.405029	0.732666	-0.034912	0.629981	-0.604722	-0.432065	-0.225291
14216		7.948606	-5.659207	-0.999793	-0.008633	0.012825	0.004594	-0.400391	0.735840	-0.041992	0.629992	-0.604760	-0.431958	-0.225362
14217		7.916666	-5.643824	-0.993537	0.002487	0.007266	0.001331	-0.401123	0.730225	-0.040527	0.630042	-0.604735	-0.431912	-0.225378
14218		8.008590	-5.616757	-1.007063	-0.004171	0.017117	0.004384	-0.395752	0.727295	-0.036621	0.630091	-0.604741	-0.431791	-0.225455
14219		7.915905	-5.720062	-0.930596	-0.009061	0.018474	0.006595	-0.401855	0.725098	-0.037842	0.630126	-0.604778	-0.431642	-0.225544
14220		7.890190	-5.759138	-0.927337	0.005859	0.011173	0.001089	-0.391357	0.730225	-0.039062	0.630203	-0.604732	-0.431582	-0.225568
14221		7.852301	-5.738081	-0.892430	0.012553	-0.000379	-0.004508	-0.395508	0.731689	-0.032959	0.630267	-0.604653	-0.431616	-0.225533
14222		7.925317	-5.681842	-0.946496	0.005135	0.004239	-0.007763	-0.401123	0.731201	-0.048340	0.630312	-0.604595	-0.431620	-0.225558
14223		7.963476	-5.655999	-0.957306	-0.007045	0.007712	-0.007088	-0.405273	0.735596	-0.040039	0.630314	-0.604597	-0.431572	-0.225636
14224		7.889903	-5.727635	-0.944704	-0.004504	0.008012	-0.006236	-0.395508	0.732910	-0.040771	0.630337	-0.604589	-0.431519	-0.225698
14225		7.910865	-5.728441	-0.939167	0.014969	-0.005440	-0.012662	-0.396484	0.735352	-0.040527	0.630404	-0.604484	-0.431595	-0.225647
