// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
05288		3.831232	0.126799	5.491281	-0.541382	-4.155877	-0.258345	-0.553223	-0.404297	-0.290283	-0.431616	-0.258055	0.117510	-0.856333
05289		13.947505	-11.455500	14.062555	-0.087603	-3.986870	-0.103469	-0.578857	-0.405518	-0.248779	-0.428400	-0.286144	0.132185	-0.846830
05290		14.534207	-6.471433	15.189038	0.897394	-3.244837	0.264818	-0.612549	-0.399414	-0.210693	-0.419024	-0.311981	0.141599	-0.840854
05291		12.362314	8.000525	10.094296	0.716059	-2.482017	0.009315	-0.633301	-0.412354	-0.175049	-0.410634	-0.330027	0.155671	-0.835600
05292		12.075009	8.585682	11.263157	-0.108757	-1.839878	0.100523	-0.642090	-0.412842	-0.149658	-0.408817	-0.351306	0.160466	-0.826863
05293		9.790187	3.202953	10.378100	-0.662338	-1.053479	0.317662	-0.643066	-0.409180	-0.141602	-0.414344	-0.372767	0.150104	-0.816598
05294		6.855104	3.282204	8.645560	-0.541719	-0.581178	0.287593	-0.645264	-0.410645	-0.125732	-0.420971	-0.387409	0.135688	-0.808880
05295		6.680772	3.043993	8.098153	-0.474094	-0.289751	0.315961	-0.640381	-0.411133	-0.123291	-0.427879	-0.394236	0.119220	-0.804540
05296		6.685749	1.508399	7.993735	-0.279367	-0.091183	0.240654	-0.653320	-0.412598	-0.117676	-0.434063	-0.396174	0.102955	-0.802518
05297		5.910420	1.064372	8.230232	-0.152147	-0.029128	0.144020	-0.642822	-0.414795	-0.122559	-0.438431	-0.394248	0.091765	-0.802450
05298		5.839004	0.798950	7.972424	-0.077723	-0.024833	0.072566	-0.650391	-0.418701	-0.120117	-0.441631	-0.388953	0.084680	-0.804057
05299		5.296837	1.517696	8.205292	-0.023863	-0.034279	0.020159	-0.646240	-0.429199	-0.119141	-0.443972	-0.382333	0.080911	-0.806327
05300		5.500571	2.191920	7.857257	0.001908	-0.044603	0.009606	-0.644043	-0.432861	-0.118164	-0.446229	-0.375105	0.078023	-0.808757
05301		5.275789	2.580516	7.874975	-0.013568	-0.045710	0.030564	-0.632324	-0.434326	-0.115234	-0.448375	-0.368649	0.075467	-0.810779
05302		5.570544	2.525825	7.656178	-0.049220	-0.042853	0.071975	-0.638184	-0.439453	-0.116699	-0.450422	-0.362859	0.072979	-0.812483
05303		5.182637	2.025439	8.054205	-0.065307	-0.033219	0.087455	-0.640625	-0.433105	-0.119629	-0.452208	-0.358029	0.070784	-0.813826
05304		5.470520	1.574044	8.003016	-0.045299	-0.032844	0.069379	-0.645752	-0.442627	-0.117432	-0.453934	-0.353478	0.068862	-0.815019
05305		5.332460	1.613363	8.037857	-0.016389	-0.033115	0.045033	-0.637207	-0.439941	-0.124512	-0.455514	-0.349359	0.067528	-0.816024
05306		5.560373	1.771900	7.836807	-0.008892	-0.035063	0.044153	-0.641602	-0.442139	-0.119385	-0.456937	-0.345551	0.066675	-0.816919
