// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30588		6.146233	-1.424385	7.518973	0.005676	-0.002074	-0.001559	-0.895996	0.864014	-0.400391	0.474592	-0.326574	-0.101607	-0.811041
30589		6.141182	-1.460660	7.481932	0.007103	-0.000722	-0.002223	-0.891357	0.869385	-0.392090	0.474596	-0.326549	-0.101664	-0.811042
30590		6.152179	-1.410418	7.488902	0.006275	-0.002850	-0.003658	-0.888672	0.852051	-0.393066	0.474589	-0.326550	-0.101720	-0.811038
30591		6.153318	-1.419793	7.499066	0.005112	-0.002943	-0.001751	-0.896729	0.865967	-0.399170	0.474589	-0.326549	-0.101771	-0.811033
30592		6.147756	-1.433120	7.484999	0.004848	-0.004201	-0.002993	-0.891357	0.861084	-0.399658	0.474578	-0.326556	-0.101829	-0.811029
30593		6.149128	-1.442863	7.494909	0.002259	-0.005647	-0.000423	-0.887207	0.864014	-0.405029	0.474576	-0.326587	-0.101868	-0.811013
30594		6.148800	-1.431971	7.484362	0.005271	-0.000362	-0.000767	-0.891113	0.858154	-0.404785	0.474585	-0.326570	-0.101907	-0.811009
30595		6.156107	-1.427369	7.508225	0.003827	-0.007263	-0.003119	-0.883301	0.866943	-0.396240	0.474568	-0.326605	-0.101970	-0.810997
30596		6.155874	-1.416314	7.497626	0.004971	0.000026	0.000282	-0.883301	0.862549	-0.402832	0.474583	-0.326590	-0.102002	-0.810990
30597		6.157606	-1.449046	7.484702	0.005783	-0.003394	-0.001299	-0.887695	0.856445	-0.395996	0.474587	-0.326595	-0.102058	-0.810979
30598		6.150382	-1.428945	7.483640	0.005006	-0.001620	-0.002008	-0.888428	0.862061	-0.392822	0.474585	-0.326592	-0.102102	-0.810976
30599		6.165225	-1.456287	7.474997	0.005219	-0.004264	-0.001491	-0.882812	0.867188	-0.401123	0.474586	-0.326609	-0.102157	-0.810962
30600		6.131427	-1.423745	7.488256	0.006048	-0.002135	-0.000057	-0.894775	0.859375	-0.404053	0.474600	-0.326614	-0.102203	-0.810946
30601		6.151668	-1.426259	7.483096	0.008585	-0.004591	-0.003351	-0.885742	0.861572	-0.392334	0.474597	-0.326622	-0.102285	-0.810934
30602		6.159644	-1.444636	7.483877	0.003545	-0.001325	0.000947	-0.894043	0.858643	-0.397949	0.474612	-0.326635	-0.102306	-0.810917
30603		6.140089	-1.440195	7.488845	0.008743	-0.002010	-0.002368	-0.886475	0.861572	-0.398682	0.474618	-0.326631	-0.102375	-0.810906
30604		6.166370	-1.428368	7.497533	0.005711	-0.003718	-0.003846	-0.880371	0.862061	-0.391846	0.474607	-0.326650	-0.102430	-0.810899
30605		6.160018	-1.431069	7.473251	0.006839	-0.001977	-0.003461	-0.885986	0.862061	-0.398438	0.474603	-0.326654	-0.102483	-0.810892
30606		6.140493	-1.426406	7.478236	0.006241	-0.001200	-0.001363	-0.886963	0.857910	-0.401123	0.474612	-0.326661	-0.102524	-0.810879
30607		6.153690	-1.420251	7.482576	0.004442	-0.002489	-0.002198	-0.891113	0.867432	-0.394775	0.474608	-0.326680	-0.102564	-0.810869
30608		6.141700	-1.434997	7.488521	0.005762	0.000185	-0.003122	-0.887207	0.868652	-0.403809	0.474603	-0.326692	-0.102595	-0.810862
30609		6.154778	-1.429022	7.492923	0.002982	-0.002194	0.000756	-0.886719	0.862549	-0.398193	0.474622	-0.326723	-0.102600	-0.810838
30610		6.163367	-1.458040	7.504105	0.005677	-0.002070	-0.001554	-0.887451	0.861816	-0.395264	0.474628	-0.326740	-0.102639	-0.810823
30611		6.142495	-1.432853	7.488279	0.004742	-0.002877	-0.003246	-0.894287	0.869385	-0.394043	0.474618	-0.326771	-0.102678	-0.810812
30612		6.148984	-1.417879	7.501868	0.003580	-0.002970	-0.001340	-0.882568	0.862305	-0.396729	0.474618	-0.326836	-0.102691	-0.810784
30613		6.143284	-1.431471	7.487897	0.004814	-0.002551	-0.000697	-0.896484	0.862061	-0.398438	0.474633	-0.326848	-0.102716	-0.810767
30614		6.163455	-1.434423	7.482704	0.004251	-0.003421	-0.000889	-0.887451	0.871094	-0.395752	0.474628	-0.326898	-0.102755	-0.810745
30615		6.151705	-1.449304	7.488442	0.004742	-0.002877	-0.003245	-0.887695	0.866455	-0.395508	0.474631	-0.326944	-0.102762	-0.810724
30616		6.157502	-1.424180	7.491607	0.001855	-0.003934	0.000374	-0.879150	0.864502	-0.395020	0.474644	-0.327003	-0.102757	-0.810693
30617		6.145251	-1.428973	7.486760	0.004392	-0.006390	-0.002917	-0.891357	0.858643	-0.405029	0.474650	-0.327035	-0.102783	-0.810673
30618		6.153580	-1.447381	7.487274	0.005892	-0.004711	-0.001034	-0.886963	0.865479	-0.393311	0.474653	-0.327040	-0.102848	-0.810662
30619		6.160220	-1.432349	7.500741	0.004550	-0.003809	-0.001936	-0.884521	0.857178	-0.398682	0.474657	-0.327093	-0.102866	-0.810635
30620		6.153253	-1.425428	7.465873	0.001963	-0.005254	0.000635	-0.886719	0.872070	-0.395508	0.474663	-0.327113	-0.102898	-0.810619
30621		6.148599	-1.436900	7.495429	0.003603	-0.006544	0.000490	-0.890869	0.859131	-0.401123	0.474703	-0.327203	-0.102881	-0.810562
30622		6.162289	-1.431106	7.499278	0.003795	-0.005612	-0.000818	-0.890137	0.864746	-0.396729	0.474695	-0.327228	-0.102936	-0.810550
30623		6.169778	-1.439573	7.489449	0.002154	-0.004321	-0.000673	-0.885498	0.861084	-0.394531	0.474697	-0.327288	-0.102945	-0.810523
30624		6.162709	-1.419939	7.488129	0.003389	-0.003901	-0.000030	-0.884033	0.872559	-0.396240	0.474705	-0.327326	-0.102966	-0.810500
30625		6.163850	-1.442727	7.464730	0.002983	-0.002191	0.000758	-0.898193	0.858643	-0.398682	0.474769	-0.327377	-0.102908	-0.810449
30626		6.150462	-1.424743	7.483286	0.000886	-0.003093	0.000972	-0.897949	0.851562	-0.395508	0.474734	-0.327431	-0.102959	-0.810442
30627		6.163895	-1.432049	7.453791	0.002825	-0.004772	-0.000221	-0.891602	0.869141	-0.396729	0.474655	-0.327481	-0.103076	-0.810453
30628		6.158195	-1.433151	7.473264	0.002312	-0.001741	0.000306	-0.886475	0.876465	-0.391357	0.474673	-0.327544	-0.103047	-0.810421
30629		6.153068	-1.444626	7.503227	0.002983	-0.002191	0.000758	-0.884277	0.869385	-0.395508	0.474730	-0.327653	-0.102955	-0.810355
30630		6.164063	-1.420815	7.442854	0.003654	-0.002642	0.001210	-0.885254	0.860840	-0.401855	0.474787	-0.327693	-0.102909	-0.810311
30631		6.139949	-1.439098	7.488139	0.001450	-0.002222	0.001164	-0.883545	0.868652	-0.402344	0.474815	-0.327659	-0.102916	-0.810308
30632		6.159112	-1.432372	7.472657	0.001044	-0.000512	0.001951	-0.883301	0.864258	-0.396729	0.474895	-0.327636	-0.102850	-0.810279
30633		6.160066	-1.442448	7.482891	0.003580	-0.002969	-0.001338	-0.891113	0.862549	-0.399902	0.474923	-0.327646	-0.102850	-0.810258
30634		6.160567	-1.441969	7.482570	0.002825	-0.004771	-0.000220	-0.886230	0.862793	-0.399170	0.474919	-0.327668	-0.102892	-0.810246
30635		6.141171	-1.437772	7.487391	0.006613	-0.001258	0.000137	-0.890625	0.864258	-0.397949	0.474954	-0.327638	-0.102923	-0.810234
30636		6.154504	-1.431726	7.491572	0.005030	-0.005190	-0.000173	-0.888184	0.866455	-0.405273	0.474961	-0.327676	-0.102966	-0.810209
30637		6.147458	-1.424729	7.456764	0.004624	-0.003480	0.000614	-0.895996	0.860107	-0.402832	0.475025	-0.327630	-0.102978	-0.810188
30638		6.148600	-1.434564	7.466893	0.003953	-0.003030	0.000163	-0.888672	0.850342	-0.395752	0.474989	-0.327611	-0.103059	-0.810207
30639		6.155041	-1.419865	7.480448	0.003282	-0.002579	-0.000289	-0.895020	0.866211	-0.396484	0.474892	-0.327597	-0.103165	-0.810256
30640		6.150877	-1.454311	7.487148	0.004060	-0.004350	0.000424	-0.886475	0.866699	-0.399658	0.474873	-0.327675	-0.103193	-0.810232
30641		6.156727	-1.429413	7.490187	0.001856	-0.003931	0.000378	-0.887939	0.862061	-0.390625	0.474933	-0.327692	-0.103173	-0.810192
30642		6.152041	-1.453634	7.486323	0.003231	-0.006480	-0.001004	-0.892334	0.865967	-0.405273	0.474898	-0.327808	-0.103197	-0.810163
30643		6.157982	-1.428805	7.489271	0.000886	-0.003091	0.000975	-0.882324	0.867920	-0.399902	0.474937	-0.327775	-0.103206	-0.810152
30644		6.151561	-1.432507	7.464849	0.003389	-0.003899	-0.000027	-0.885498	0.867676	-0.395752	0.475046	-0.327766	-0.103171	-0.810096
30645		6.153547	-1.452848	7.485238	0.001856	-0.003931	0.000379	-0.884033	0.871094	-0.402344	0.475109	-0.327826	-0.103134	-0.810040
30646		6.166107	-1.437024	7.478957	0.001077	-0.002160	-0.000334	-0.884521	0.865479	-0.396484	0.475233	-0.327803	-0.103067	-0.809985
30647		6.159593	-1.427891	7.488120	0.002420	-0.003060	0.000569	-0.884766	0.861084	-0.394287	0.475289	-0.327832	-0.103047	-0.809943
30648		6.159149	-1.417415	7.477531	0.001450	-0.002221	0.001165	-0.891602	0.869141	-0.400146	0.475292	-0.327870	-0.103044	-0.809927
30649		6.147441	-1.433215	7.483118	-0.002338	-0.005734	0.000812	-0.883057	0.862549	-0.391357	0.475329	-0.327930	-0.103016	-0.809884
30650		6.142570	-1.445263	7.512800	0.000291	-0.002313	0.003071	-0.889160	0.860596	-0.391846	0.475359	-0.328009	-0.102979	-0.809839
30651		6.154118	-1.432568	7.462730	-0.000305	-0.001534	0.005167	-0.885254	0.868896	-0.388184	0.475330	-0.328095	-0.102972	-0.809822
30652		6.161980	-1.452276	7.463388	-0.000166	-0.004503	0.003144	-0.888672	0.875977	-0.398193	0.475389	-0.328265	-0.102895	-0.809729
30653		6.141191	-1.415644	7.480727	-0.002370	-0.004084	0.003098	-0.891357	0.862305	-0.395508	0.475518	-0.328346	-0.102787	-0.809633
30654		6.149990	-1.446085	7.491518	-0.003720	-0.005107	0.006315	-0.889893	0.856689	-0.391113	0.475501	-0.328426	-0.102785	-0.809611
30655		6.143699	-1.438142	7.500281	-0.003796	-0.005435	0.003767	-0.885498	0.862793	-0.393555	0.475400	-0.328533	-0.102817	-0.809623
30656		6.144392	-1.439258	7.499499	-0.005038	-0.007778	0.007246	-0.890381	0.865967	-0.387695	0.475426	-0.328634	-0.102772	-0.809572
30657		6.151187	-1.439375	7.478857	-0.005633	-0.006999	0.009344	-0.886719	0.858643	-0.393311	0.475425	-0.328845	-0.102702	-0.809496
30658		6.134250	-1.481221	7.480652	-0.007349	-0.006036	0.006941	-0.887207	0.872559	-0.400879	0.475392	-0.328921	-0.102680	-0.809487
30659		6.179959	-1.465279	7.472999	-0.005007	-0.009424	0.004962	-0.886719	0.870605	-0.395020	0.475513	-0.328964	-0.102603	-0.809409
30660		6.155130	-1.464553	7.496697	-0.007996	-0.009156	0.008326	-0.889648	0.865234	-0.398438	0.475605	-0.329088	-0.102497	-0.809318
30661		6.161396	-1.441971	7.498976	-0.007918	-0.008827	0.010876	-0.888916	0.860840	-0.390137	0.475651	-0.329148	-0.102454	-0.809272
30662		6.169641	-1.476000	7.465414	-0.007538	-0.006964	0.008257	-0.884277	0.871338	-0.396484	0.475600	-0.329283	-0.102424	-0.809251
30663		6.156787	-1.459921	7.483247	-0.006759	-0.008734	0.008971	-0.888672	0.862305	-0.393555	0.475734	-0.329359	-0.102317	-0.809155
30664		6.150798	-1.465497	7.458065	-0.006462	-0.009122	0.007924	-0.895752	0.864502	-0.395752	0.475712	-0.329453	-0.102305	-0.809130
30665		6.171479	-1.458156	7.485468	-0.007352	-0.007953	0.011072	-0.884766	0.871826	-0.394287	0.475684	-0.329547	-0.102304	-0.809109
30666		6.159106	-1.465434	7.480261	-0.007940	-0.005251	0.009049	-0.889893	0.864990	-0.395752	0.475803	-0.329627	-0.102176	-0.809022
30667		6.167256	-1.499368	7.446723	-0.007323	-0.009599	0.008787	-0.892578	0.864014	-0.385254	0.475811	-0.329702	-0.102158	-0.808989
30668		6.147546	-1.474354	7.474059	-0.007078	-0.004769	0.008192	-0.890869	0.871582	-0.381592	0.475726	-0.329892	-0.102113	-0.808968
30669		6.160920	-1.470658	7.477741	-0.004874	-0.005191	0.008234	-0.885498	0.866699	-0.389648	0.475710	-0.330143	-0.102005	-0.808889
30670		6.155952	-1.496663	7.473673	-0.004874	-0.005190	0.008235	-0.880127	0.865479	-0.390625	0.475748	-0.330234	-0.101938	-0.808838
30671		6.144148	-1.513542	7.479095	-0.003152	-0.004231	0.006515	-0.888428	0.873047	-0.389648	0.475823	-0.330269	-0.101869	-0.808788
30672		6.154594	-1.455006	7.475108	-0.002666	-0.003689	0.004155	-0.887939	0.871826	-0.383789	0.475866	-0.330368	-0.101793	-0.808732
30673		6.150928	-1.513539	7.458432	0.001070	-0.004083	0.003787	-0.878418	0.865234	-0.386475	0.475874	-0.330525	-0.101735	-0.808670
30674		6.139404	-1.516394	7.497510	0.002629	-0.005702	0.001089	-0.893066	0.870605	-0.386719	0.475908	-0.330582	-0.101709	-0.808630
30675		6.177200	-1.492210	7.455934	0.003198	-0.002910	-0.002845	-0.885742	0.869873	-0.400879	0.475845	-0.330682	-0.101732	-0.808623
30676		6.157804	-1.487833	7.460879	0.006047	-0.002137	-0.000065	-0.890381	0.866699	-0.390137	0.475948	-0.330544	-0.101774	-0.808614
30677		6.152961	-1.498640	7.490823	0.006369	-0.004173	-0.003402	-0.876465	0.865723	-0.391602	0.475901	-0.330569	-0.101850	-0.808622
30678		6.151212	-1.466400	7.459603	0.008171	-0.002886	-0.002573	-0.887939	0.868896	-0.396240	0.475983	-0.330507	-0.101863	-0.808597
30679		6.172112	-1.479132	7.464777	0.007500	-0.002435	-0.003023	-0.882324	0.861816	-0.392822	0.476019	-0.330434	-0.101928	-0.808598
30680		6.148136	-1.509002	7.476736	0.007420	-0.002763	-0.005572	-0.880859	0.865234	-0.396729	0.475994	-0.330368	-0.102006	-0.808630
30681		6.160756	-1.491681	7.470710	0.011425	-0.001897	-0.004701	-0.883057	0.870117	-0.385010	0.476067	-0.330236	-0.102088	-0.808630
30682		6.154260	-1.481049	7.480228	0.008926	-0.001085	-0.003693	-0.888916	0.872070	-0.392334	0.476091	-0.330299	-0.102081	-0.808591
30683		6.147239	-1.460246	7.479161	0.007258	-0.005339	-0.006545	-0.888916	0.876465	-0.393799	0.476104	-0.330318	-0.102133	-0.808569
30684		6.149243	-1.492193	7.466148	0.009704	-0.002854	-0.002978	-0.885010	0.869873	-0.388184	0.476207	-0.330308	-0.102160	-0.808509
30685		6.149068	-1.467580	7.489226	0.007796	-0.002822	-0.004069	-0.882812	0.871582	-0.395264	0.476225	-0.330345	-0.102179	-0.808481
30686		6.150158	-1.489337	7.465964	0.008468	-0.003272	-0.003617	-0.883301	0.867920	-0.386963	0.476321	-0.330288	-0.102202	-0.808445
30687		6.156763	-1.473890	7.479581	0.005968	-0.002461	-0.002610	-0.884521	0.870361	-0.389893	0.476329	-0.330337	-0.102203	-0.808420
