// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28000		9.584781	0.225797	-2.213049	0.003997	-0.002433	-0.004010	-0.872803	0.047607	-0.347900	0.620293	-0.048040	-0.781114	-0.052822
28001		9.542441	0.237607	-2.234837	0.004260	-0.005049	-0.001947	-0.873779	0.044189	-0.347900	0.620261	-0.048007	-0.781143	-0.052802
28002		9.562173	0.208334	-2.230510	0.001710	-0.005181	-0.000918	-0.875000	0.042480	-0.353271	0.620229	-0.047946	-0.781171	-0.052809
28003		9.565030	0.215656	-2.243837	0.001737	-0.006826	-0.001096	-0.873047	0.042725	-0.342529	0.620189	-0.047860	-0.781207	-0.052821
28004		9.549851	0.186208	-2.231240	0.006840	-0.006563	-0.003155	-0.875732	0.051758	-0.351807	0.620150	-0.047759	-0.781246	-0.052805
28005		9.566219	0.196431	-2.239574	0.009364	-0.004786	-0.004008	-0.880615	0.039795	-0.348877	0.620116	-0.047738	-0.781278	-0.052746
28006		9.573928	0.191535	-2.258523	0.012784	-0.000987	-0.005329	-0.879639	0.050781	-0.354004	0.620115	-0.047550	-0.781292	-0.052714
28007		9.586585	0.234784	-2.230746	0.010509	-0.003414	-0.005558	-0.876221	0.049072	-0.347656	0.620089	-0.047502	-0.781320	-0.052658
28008		9.586463	0.235314	-2.231213	0.004923	-0.002059	-0.004658	-0.875732	0.050781	-0.345703	0.620070	-0.047476	-0.781338	-0.052637
28009		9.561403	0.217247	-2.283747	-0.003103	-0.007419	-0.003436	-0.873291	0.044678	-0.347900	0.620011	-0.047523	-0.781380	-0.052654
28010		9.544504	0.208003	-2.277583	-0.003779	-0.008445	-0.003873	-0.870117	0.056152	-0.345703	0.619947	-0.047501	-0.781430	-0.052698
28011		9.582144	0.216354	-2.299587	-0.000112	-0.005294	-0.006275	-0.873779	0.044189	-0.351807	0.619891	-0.047568	-0.781470	-0.052694
28012		9.548789	0.197343	-2.285479	0.004495	-0.003733	-0.006177	-0.872803	0.044434	-0.347656	0.619857	-0.047478	-0.781502	-0.052697
28013		9.595321	0.220610	-2.295882	0.011187	-0.002388	-0.005128	-0.874268	0.048340	-0.346436	0.619820	-0.047371	-0.781542	-0.052647
28014		9.569109	0.236054	-2.276745	0.012360	-0.002661	-0.006855	-0.884033	0.051025	-0.345947	0.619776	-0.047289	-0.781585	-0.052586
28015		9.573748	0.224045	-2.283284	0.006085	-0.002652	-0.003065	-0.875000	0.042969	-0.340332	0.619736	-0.047292	-0.781621	-0.052539
