// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		9.688489	1.630373	-0.088114	0.039452	-0.016664	-0.014028	-0.771729	0.224854	0.024170	0.435399	-0.477517	-0.525705	-0.553208
48700		9.702631	1.673430	-0.125417	0.026064	-0.019603	-0.013522	-0.768311	0.220215	0.029541	0.435355	-0.477454	-0.525950	-0.553065
48701		9.665402	1.638842	-0.139341	0.011546	-0.029109	-0.012792	-0.770996	0.224121	0.026367	0.435207	-0.477492	-0.526164	-0.552945
48702		9.682823	1.628159	-0.120213	0.011957	-0.033680	-0.009678	-0.766113	0.225098	0.020264	0.435062	-0.477562	-0.526380	-0.552793
48703		9.686029	1.619172	-0.099307	0.013095	-0.039119	-0.009426	-0.767334	0.214600	0.031006	0.434898	-0.477654	-0.526620	-0.552613
48704		9.701791	1.613304	-0.095169	0.004414	-0.042087	-0.007294	-0.771729	0.212402	0.025146	0.434697	-0.477801	-0.526822	-0.552452
48705		9.701586	1.614118	-0.102013	-0.002805	-0.042296	-0.002788	-0.774902	0.223633	0.029541	0.434488	-0.477994	-0.526973	-0.552305
48706		9.706822	1.598902	-0.068291	-0.006294	-0.045152	-0.003688	-0.764160	0.219482	0.025391	0.434250	-0.478210	-0.527120	-0.552165
48707		9.712088	1.583843	-0.034598	-0.003063	-0.042575	-0.004803	-0.772705	0.218506	0.035645	0.434034	-0.478397	-0.527275	-0.552026
48708		9.729037	1.595777	-0.039131	-0.000065	-0.041141	0.000515	-0.774170	0.224609	0.033936	0.433865	-0.478588	-0.527411	-0.551862
48709		9.759324	1.586941	-0.037149	-0.000721	-0.035567	-0.004383	-0.766357	0.216553	0.034912	0.433702	-0.478733	-0.527537	-0.551744
48710		9.754575	1.579426	-0.060691	0.002574	-0.027106	-0.005106	-0.770996	0.222412	0.030762	0.433592	-0.478823	-0.527645	-0.551650
48711		9.769557	1.554525	-0.045536	0.016724	-0.023749	-0.008292	-0.771484	0.218018	0.033203	0.433545	-0.478832	-0.527811	-0.551521
48712		9.788152	1.605250	-0.065265	0.039879	-0.022512	-0.011270	-0.775879	0.220947	0.028320	0.433591	-0.478738	-0.528082	-0.551306
48713		9.807633	1.632107	-0.063225	0.052360	-0.023060	-0.010395	-0.775391	0.220459	0.031982	0.433696	-0.478603	-0.528401	-0.551034
48714		9.803184	1.713772	-0.068354	0.054805	-0.018852	-0.009174	-0.767334	0.227051	0.034912	0.433838	-0.478443	-0.528708	-0.550767
48715		9.798242	1.707048	-0.090871	0.042169	-0.014749	-0.011378	-0.767090	0.226318	0.035400	0.433934	-0.478295	-0.528954	-0.550584
48716		9.747832	1.692062	-0.109397	0.034411	-0.014321	-0.002723	-0.770020	0.223877	0.031494	0.434040	-0.478206	-0.529128	-0.550411
48717		9.753271	1.719517	-0.102489	0.021038	-0.009344	-0.002064	-0.780518	0.220947	0.036865	0.434119	-0.478138	-0.529216	-0.550323
48718		9.696130	1.727716	-0.093292	0.015243	-0.004647	-0.003400	-0.766846	0.216797	0.029541	0.434195	-0.478049	-0.529263	-0.550295
48719		9.670230	1.745874	-0.084319	0.017179	-0.005076	-0.005620	-0.765625	0.230957	0.026123	0.434240	-0.477951	-0.529338	-0.550272
48720		9.658548	1.762329	-0.078133	0.020436	-0.004540	-0.006453	-0.769775	0.216797	0.034912	0.434314	-0.477830	-0.529434	-0.550227
48721		9.677598	1.742674	-0.121543	0.009207	-0.005595	-0.006383	-0.774170	0.228271	0.036377	0.434312	-0.477738	-0.529484	-0.550260
48722		9.688818	1.728672	-0.129965	-0.006241	-0.005227	-0.012331	-0.764160	0.227783	0.032715	0.434242	-0.477662	-0.529492	-0.550374
48723		9.718294	1.675926	-0.171883	-0.013241	-0.010945	-0.014097	-0.772949	0.222168	0.030762	0.434091	-0.477652	-0.529505	-0.550489
48724		9.709176	1.665166	-0.129952	-0.006292	-0.011026	-0.020640	-0.770264	0.224609	0.030762	0.433947	-0.477563	-0.529567	-0.550620
