// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
48699		6.135945	-1.701689	7.410748	0.005859	-0.006109	-0.004281	-0.760010	0.080811	-0.435059	-0.074488	-0.326406	0.119207	-0.934719
48700		6.176631	-1.672937	7.454422	0.006830	-0.004015	-0.003923	-0.752930	0.075684	-0.429199	-0.074496	-0.326446	0.119146	-0.934713
48701		6.157845	-1.673318	7.423990	0.005024	-0.007110	-0.004051	-0.756836	0.079834	-0.431885	-0.074510	-0.326511	0.119096	-0.934695
48702		6.184296	-1.695983	7.415180	0.006688	-0.005611	-0.003303	-0.753662	0.083252	-0.438232	-0.074512	-0.326562	0.119038	-0.934684
48703		6.182228	-1.702850	7.402717	0.003074	-0.004736	-0.003427	-0.753174	0.074707	-0.430176	-0.074526	-0.326605	0.119007	-0.934672
48704		6.186049	-1.682050	7.406396	0.003903	-0.004239	-0.002451	-0.759033	0.067383	-0.435547	-0.074531	-0.326646	0.118972	-0.934662
48705		6.160747	-1.657698	7.414633	0.005273	0.000120	0.002078	-0.760010	0.079102	-0.432861	-0.074501	-0.326650	0.118936	-0.934668
48706		6.177846	-1.663391	7.432462	0.003074	-0.004736	-0.003427	-0.752197	0.077637	-0.438721	-0.074516	-0.326697	0.118902	-0.934654
48707		6.172735	-1.678512	7.408036	0.001949	-0.002372	-0.000622	-0.760986	0.075928	-0.428467	-0.074516	-0.326723	0.118882	-0.934648
48708		6.169455	-1.710436	7.411880	0.003477	-0.001965	-0.000462	-0.760742	0.080811	-0.430664	-0.074511	-0.326748	0.118849	-0.934644
48709		6.161630	-1.667995	7.422048	0.003613	-0.000873	0.000125	-0.756592	0.078369	-0.429688	-0.074502	-0.326766	0.118816	-0.934642
48710		6.173268	-1.677403	7.407843	0.002216	-0.000693	0.001757	-0.755371	0.077637	-0.434570	-0.074485	-0.326781	0.118797	-0.934641
48711		6.161375	-1.679798	7.430073	0.002915	-0.000783	0.000941	-0.757812	0.077148	-0.434326	-0.074473	-0.326799	0.118769	-0.934639
48712		6.155877	-1.695329	7.405881	0.001382	-0.001695	0.001986	-0.763428	0.075684	-0.436768	-0.074457	-0.326823	0.118755	-0.934634
48713		6.154894	-1.731989	7.429859	0.003603	-0.001883	0.002537	-0.761230	0.076660	-0.435059	-0.074430	-0.326850	0.118725	-0.934630
48714		6.159462	-1.674684	7.409711	0.004873	-0.002145	-0.002093	-0.755127	0.083740	-0.428223	-0.074434	-0.326883	0.118678	-0.934624
48715		6.142442	-1.691997	7.407585	0.005987	-0.005518	-0.002484	-0.752686	0.081055	-0.435547	-0.074433	-0.326943	0.118624	-0.934610
48716		6.177323	-1.679077	7.427203	0.004878	-0.001639	-0.003299	-0.754639	0.078613	-0.434082	-0.074446	-0.326969	0.118572	-0.934607
48717		6.174854	-1.686149	7.415033	0.004863	-0.003154	0.000320	-0.766357	0.081543	-0.428467	-0.074431	-0.327007	0.118529	-0.934600
48718		6.175672	-1.673255	7.406777	0.004731	-0.003740	-0.001472	-0.755127	0.072998	-0.435547	-0.074431	-0.327063	0.118485	-0.934586
48719		6.161397	-1.682933	7.416728	0.004038	-0.003145	-0.001862	-0.753174	0.084229	-0.441406	-0.074438	-0.327104	0.118434	-0.934577
48720		6.158967	-1.690157	7.404493	0.004170	-0.002558	-0.000070	-0.758057	0.071533	-0.431152	-0.074426	-0.327130	0.118397	-0.934574
48721		6.165262	-1.661818	7.420418	0.003471	-0.002468	0.000746	-0.760498	0.083008	-0.431641	-0.074418	-0.327171	0.118357	-0.934566
48722		6.177204	-1.671468	7.405904	-0.001117	-0.004195	0.001472	-0.750732	0.082031	-0.434326	-0.074408	-0.327222	0.118368	-0.934547
48723		6.176567	-1.696370	7.421791	-0.001958	0.001362	0.003033	-0.759521	0.079346	-0.432861	-0.074391	-0.327211	0.118385	-0.934550
48724		6.173691	-1.704433	7.409736	0.001387	-0.001189	0.000781	-0.756592	0.079102	-0.433350	-0.074386	-0.327242	0.118368	-0.934542
48725		6.150762	-1.684784	7.438051	0.003476	-0.001963	-0.000460	-0.753906	0.083984	-0.431396	-0.074382	-0.327276	0.118333	-0.934535
48726		6.148282	-1.692116	7.425835	0.003339	-0.003055	-0.001046	-0.760254	0.086182	-0.440186	-0.074372	-0.327312	0.118312	-0.934526
48727		6.146316	-1.686997	7.405511	0.005429	-0.003829	-0.002287	-0.751709	0.075439	-0.432129	-0.074366	-0.327348	0.118269	-0.934519
48728		6.163633	-1.692370	7.423236	0.004735	-0.003234	-0.002677	-0.761963	0.082764	-0.431885	-0.074379	-0.327382	0.118211	-0.934513
48729		6.164136	-1.691596	7.422995	0.003207	-0.003642	-0.002837	-0.758789	0.083984	-0.435059	-0.074386	-0.327438	0.118186	-0.934496
48730		6.164873	-1.678689	7.414801	0.005003	-0.001555	-0.000300	-0.755859	0.071045	-0.432617	-0.074366	-0.327458	0.118155	-0.934495
48731		6.168348	-1.658007	7.418705	0.004862	-0.003151	0.000321	-0.751953	0.070801	-0.442139	-0.074370	-0.327496	0.118087	-0.934490
48732		6.147527	-1.707894	7.420794	0.003485	-0.000953	-0.002873	-0.757324	0.069580	-0.435059	-0.074409	-0.327477	0.118007	-0.934503
48733		6.167744	-1.693294	7.442740	0.005701	-0.001644	-0.001115	-0.756836	0.072021	-0.433594	-0.074434	-0.327502	0.117921	-0.934503
48734		6.150824	-1.698402	7.432823	0.004875	-0.001637	-0.003297	-0.761475	0.086426	-0.425537	-0.074470	-0.327528	0.117847	-0.934501
48735		6.151416	-1.685138	7.424825	0.007233	-0.000731	-0.002161	-0.758545	0.078613	-0.432617	-0.074440	-0.327582	0.117830	-0.934486
48736		6.154821	-1.664033	7.428873	0.004875	-0.001637	-0.003297	-0.758789	0.081055	-0.435059	-0.074452	-0.327609	0.117785	-0.934482
48737		6.171532	-1.681731	7.454824	0.003480	-0.001457	-0.001665	-0.757080	0.077393	-0.428467	-0.074445	-0.327617	0.117763	-0.934482
48738		6.129004	-1.716291	7.398884	0.007793	-0.001911	-0.003561	-0.754883	0.074951	-0.439209	-0.074453	-0.327661	0.117693	-0.934475
48739		6.152395	-1.681172	7.424914	0.006539	-0.000135	-0.002552	-0.761475	0.078613	-0.438721	-0.074469	-0.327627	0.117611	-0.934496
48740		6.167098	-1.681798	7.422761	0.006826	-0.003500	-0.005121	-0.761475	0.082275	-0.433594	-0.074490	-0.327644	0.117542	-0.934497
48741		6.178745	-1.702481	7.416524	0.005572	-0.001725	-0.004111	-0.752686	0.075928	-0.429932	-0.074484	-0.327670	0.117513	-0.934492
48742		6.167445	-1.691585	7.430781	0.007929	-0.000817	-0.002976	-0.757812	0.081055	-0.435059	-0.074489	-0.327683	0.117442	-0.934496
48743		6.170866	-1.670134	7.434872	0.007796	-0.001404	-0.004766	-0.762207	0.084229	-0.433594	-0.074482	-0.327686	0.117390	-0.934502
48744		6.134139	-1.676454	7.395220	0.008201	0.001369	-0.001806	-0.756592	0.071777	-0.434814	-0.074435	-0.327690	0.117362	-0.934508
48745		6.165186	-1.695540	7.419169	0.006128	-0.003409	-0.004303	-0.757324	0.077148	-0.441406	-0.074488	-0.327712	0.117270	-0.934508
48746		6.194991	-1.673766	7.398680	0.006529	-0.001139	-0.000137	-0.752441	0.078613	-0.435547	-0.074477	-0.327661	0.117211	-0.934533
48747		6.162071	-1.672783	7.477625	0.005275	0.000635	0.000871	-0.761230	0.079346	-0.432617	-0.074444	-0.327617	0.117182	-0.934555
48748		6.134364	-1.684886	7.403659	0.007234	-0.000221	-0.003365	-0.754883	0.083252	-0.427734	-0.074434	-0.327645	0.117135	-0.934552
48749		6.177600	-1.689178	7.397378	0.007234	-0.000220	-0.003365	-0.755127	0.083252	-0.432861	-0.074380	-0.327678	0.117123	-0.934546
48750		6.139812	-1.678991	7.436190	0.007366	0.000369	-0.001574	-0.755127	0.072266	-0.432861	-0.074318	-0.327664	0.117110	-0.934558
48751		6.171825	-1.661582	7.435992	0.005703	-0.001133	-0.002318	-0.759766	0.082520	-0.433594	-0.074364	-0.327674	0.117028	-0.934561
48752		6.168893	-1.680699	7.432049	0.006396	-0.001726	-0.001926	-0.757080	0.082275	-0.441162	-0.074308	-0.327693	0.117019	-0.934560
48753		6.154686	-1.677802	7.434305	0.008059	-0.000223	-0.001182	-0.757080	0.079834	-0.436523	-0.074261	-0.327615	0.116989	-0.934595
48754		6.146648	-1.688265	7.390313	0.005142	0.000049	-0.000918	-0.757080	0.087158	-0.433838	-0.074233	-0.327580	0.116968	-0.934612
48755		6.154165	-1.700193	7.450759	0.009317	-0.001493	-0.003395	-0.761963	0.079834	-0.435303	-0.074126	-0.327580	0.116970	-0.934620
48756		6.155348	-1.674325	7.434541	0.005994	-0.003995	-0.006089	-0.765137	0.082764	-0.432129	-0.074122	-0.327621	0.116933	-0.934611
48757		6.173414	-1.654705	7.436206	0.008483	-0.002494	-0.003162	-0.753662	0.069336	-0.432861	-0.074041	-0.327696	0.116910	-0.934594
48758		6.156155	-1.671560	7.434495	0.007929	-0.000306	-0.004177	-0.759766	0.077637	-0.434570	-0.074143	-0.327697	0.116776	-0.934602
48759		6.156305	-1.670258	7.434663	0.005709	-0.000124	-0.004729	-0.752686	0.076172	-0.438721	-0.074156	-0.327702	0.116727	-0.934605
