// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
46518		9.598588	-2.492079	-0.757053	0.029959	-0.146837	-0.007154	-0.804443	-0.070801	0.329834	-0.184331	-0.633110	0.369691	-0.654616
46519		9.574644	-2.448438	-0.773223	0.010778	-0.135509	-0.007509	-0.808594	-0.070312	0.327881	-0.183898	-0.633889	0.369801	-0.653922
46520		9.533589	-2.470961	-0.806436	-0.010740	-0.109808	-0.013140	-0.809326	-0.069824	0.332764	-0.183689	-0.634506	0.369958	-0.653293
46521		9.511386	-2.428310	-0.832424	-0.028679	-0.097364	-0.014818	-0.802734	-0.067139	0.330078	-0.183621	-0.635038	0.370184	-0.652667
46522		9.439444	-2.464637	-0.756721	-0.061563	-0.076558	-0.020282	-0.810059	-0.070801	0.329346	-0.183822	-0.635424	0.370529	-0.652039
46523		9.334757	-2.548106	-0.748674	-0.084941	-0.074374	-0.030288	-0.804443	-0.074707	0.337158	-0.184206	-0.635791	0.370944	-0.651336
46524		9.288318	-2.619772	-0.739810	-0.106618	-0.084044	-0.042436	-0.797363	-0.063477	0.322266	-0.184738	-0.636211	0.371429	-0.650498
46525		9.220775	-2.649358	-0.743528	-0.131864	-0.113842	-0.052901	-0.804199	-0.079346	0.328613	-0.185360	-0.636778	0.372046	-0.649412
46526		9.219307	-2.711876	-0.757301	-0.176515	-0.136667	-0.066472	-0.809570	-0.070801	0.334229	-0.186210	-0.637432	0.372875	-0.648052
46527		9.239275	-2.802824	-0.800280	-0.213248	-0.161605	-0.075754	-0.806152	-0.078369	0.336182	-0.187212	-0.638176	0.373902	-0.646437
46528		9.243467	-2.882529	-0.866117	-0.239610	-0.178689	-0.082201	-0.804443	-0.075928	0.332764	-0.188311	-0.638973	0.375078	-0.644647
46529		9.184176	-2.940762	-0.926732	-0.250987	-0.175263	-0.079554	-0.799316	-0.081299	0.346924	-0.189437	-0.639704	0.376344	-0.642852
46530		9.190726	-2.948179	-1.022787	-0.262808	-0.190301	-0.072174	-0.801514	-0.086670	0.339844	-0.190500	-0.640450	0.377763	-0.640959
46531		9.273332	-2.971496	-1.114803	-0.286223	-0.192415	-0.062147	-0.793945	-0.082275	0.348633	-0.191586	-0.641117	0.379395	-0.639001
46532		9.418480	-2.929544	-1.243527	-0.316818	-0.173365	-0.045998	-0.793213	-0.083252	0.350342	-0.192766	-0.641567	0.381273	-0.637075
46533		9.359831	-2.988653	-1.501362	-0.355770	-0.164675	-0.020059	-0.795410	-0.099609	0.348877	-0.194001	-0.641811	0.383513	-0.635106
46534		9.275920	-2.943890	-1.611254	-0.365769	-0.149081	0.032013	-0.792969	-0.084229	0.348633	-0.195010	-0.641777	0.386110	-0.633255
46535		9.095058	-2.868327	-1.771195	-0.380807	-0.132197	0.069631	-0.787598	-0.096924	0.352295	-0.195912	-0.641526	0.389000	-0.631460
46536		9.161931	-2.712754	-1.735985	-0.371043	-0.128874	0.099405	-0.789795	-0.100342	0.352539	-0.196591	-0.641192	0.392005	-0.629728
46537		9.168600	-2.638895	-1.750350	-0.347031	-0.122821	0.118805	-0.786133	-0.094238	0.356934	-0.197009	-0.640807	0.395015	-0.628106
46538		9.178418	-2.674956	-1.781610	-0.280923	-0.150964	0.131583	-0.795898	-0.090088	0.364258	-0.196911	-0.640678	0.397783	-0.626520
46539		9.289389	-2.530825	-1.798680	-0.207709	-0.154502	0.132597	-0.788086	-0.092285	0.352783	-0.196205	-0.640705	0.400254	-0.625138
46540		9.358048	-2.301987	-1.909953	-0.169670	-0.134585	0.132584	-0.788574	-0.085693	0.362793	-0.195599	-0.640659	0.402507	-0.623927
46541		9.488725	-2.166282	-2.002856	-0.187505	-0.075717	0.128104	-0.788086	-0.087158	0.361816	-0.195226	-0.640385	0.404692	-0.622911
46542		9.473374	-2.308584	-1.946336	-0.208905	-0.012654	0.126744	-0.790527	-0.084961	0.360352	-0.195252	-0.639781	0.406856	-0.622113
46543		9.463223	-2.386933	-1.844351	-0.193753	0.025666	0.123751	-0.783936	-0.092529	0.362061	-0.195338	-0.639035	0.408896	-0.621515
46544		9.481647	-2.368089	-1.686393	-0.186702	0.050765	0.130447	-0.785400	-0.087158	0.358154	-0.195604	-0.638173	0.410696	-0.621131
46545		9.463296	-2.484542	-1.617531	-0.162872	0.061751	0.132776	-0.791260	-0.079102	0.362793	-0.195814	-0.637256	0.412436	-0.620853
46546		9.449439	-2.631745	-1.559410	-0.119583	0.058058	0.124274	-0.795410	-0.083252	0.360840	-0.195651	-0.636536	0.413979	-0.620615
46547		9.470895	-2.717999	-1.549726	-0.047124	0.030504	0.110624	-0.790283	-0.079590	0.361572	-0.195009	-0.636132	0.415085	-0.620493
46548		9.548742	-2.690498	-1.534414	0.025123	-0.002612	0.092668	-0.793945	-0.082520	0.360352	-0.194129	-0.636031	0.415727	-0.620443
46549		9.538700	-2.765461	-1.529245	0.085287	-0.022889	0.078595	-0.796387	-0.072510	0.356201	-0.192854	-0.636193	0.415977	-0.620507
46550		9.570776	-2.728025	-1.502195	0.142516	-0.031090	0.071121	-0.780762	-0.074463	0.360596	-0.191336	-0.636417	0.416095	-0.620668
46551		9.526248	-2.766929	-1.527881	0.177788	-0.024910	0.073165	-0.798340	-0.071533	0.351807	-0.190060	-0.636562	0.415764	-0.621134
46552		9.550024	-2.666253	-1.575824	0.184039	-0.005482	0.086633	-0.783447	-0.071289	0.361816	-0.188354	-0.636591	0.415676	-0.621682
46553		9.413885	-2.692120	-1.583895	0.157065	0.032101	0.108635	-0.788574	-0.068359	0.362061	-0.187115	-0.636321	0.415513	-0.622441
46554		9.324960	-2.741112	-1.569629	0.143143	0.061409	0.122667	-0.793457	-0.064941	0.355225	-0.185832	-0.635879	0.415480	-0.623298
46555		9.307626	-2.666526	-1.591614	0.116606	0.085479	0.138076	-0.792236	-0.073486	0.358398	-0.184670	-0.635149	0.415720	-0.624227
46556		9.379013	-2.582880	-1.639593	0.080806	0.105928	0.134677	-0.791260	-0.058105	0.350342	-0.183780	-0.634365	0.415842	-0.625205
46557		9.304147	-2.622545	-1.561313	0.078040	0.103783	0.108094	-0.791748	-0.064209	0.353027	-0.183211	-0.633505	0.416109	-0.626066
46558		9.333048	-2.658598	-1.482814	0.119421	0.054590	0.078653	-0.789307	-0.059326	0.351807	-0.182356	-0.633174	0.415887	-0.626797
46559		9.454137	-2.482106	-1.517589	0.164599	-0.002629	0.046500	-0.789795	-0.063965	0.352783	-0.181313	-0.633277	0.415383	-0.627330
46560		9.465963	-2.380166	-1.467280	0.154187	-0.045947	0.019437	-0.789307	-0.055664	0.358643	-0.180314	-0.633739	0.414738	-0.627578
46561		9.417071	-2.352836	-1.534708	0.138219	-0.072500	-0.017008	-0.790283	-0.052734	0.358398	-0.179451	-0.634496	0.414067	-0.627503
46562		9.392570	-2.496862	-1.615003	0.103979	-0.080978	-0.040350	-0.791504	-0.051025	0.354492	-0.178868	-0.635314	0.413490	-0.627222
46563		9.303427	-2.596417	-1.660854	0.081315	-0.107363	-0.063811	-0.790527	-0.053955	0.355713	-0.178469	-0.636253	0.412994	-0.626712
46564		9.285356	-2.668603	-1.710018	0.054084	-0.106547	-0.074552	-0.786865	-0.049561	0.358398	-0.178288	-0.637197	0.412534	-0.626106
46565		9.262546	-2.811614	-1.737171	0.034754	-0.108517	-0.077232	-0.791260	-0.062012	0.358643	-0.178228	-0.638108	0.412226	-0.625399
46566		9.289151	-2.772811	-1.798985	0.037307	-0.107527	-0.078579	-0.795410	-0.053223	0.359375	-0.178128	-0.639100	0.411735	-0.624736
46567		9.274916	-2.766419	-1.709413	0.026384	-0.090737	-0.076404	-0.787598	-0.052002	0.357666	-0.178031	-0.639960	0.411407	-0.624100
46568		9.181437	-2.822770	-1.671756	0.027238	-0.084890	-0.070248	-0.788330	-0.058105	0.358887	-0.178034	-0.640660	0.411156	-0.623546
46569		9.191114	-2.876189	-1.602463	0.034898	-0.091736	-0.073056	-0.781006	-0.055664	0.360840	-0.177978	-0.641455	0.410783	-0.622990
46570		9.204143	-2.847818	-1.602792	0.043639	-0.104761	-0.073549	-0.779053	-0.055420	0.357910	-0.177878	-0.642275	0.410440	-0.622400
46571		9.167610	-2.887777	-1.494207	0.035025	-0.111450	-0.073204	-0.793701	-0.055908	0.368652	-0.177822	-0.643044	0.410180	-0.621793
46572		9.172162	-3.005949	-1.465729	0.051940	-0.129400	-0.072084	-0.781738	-0.063721	0.371094	-0.177347	-0.644139	0.409765	-0.621069
46573		9.306282	-2.999669	-1.421349	0.058788	-0.125475	-0.061260	-0.780273	-0.058350	0.374756	-0.176949	-0.645148	0.409334	-0.620418
46574		9.314493	-2.948959	-1.456269	0.041972	-0.100513	-0.046547	-0.779297	-0.061035	0.374023	-0.176582	-0.645935	0.409090	-0.619865
46575		9.347106	-2.867310	-1.491340	0.016527	-0.064556	-0.027292	-0.779297	-0.063965	0.377686	-0.176409	-0.646401	0.409011	-0.619481
46576		9.359459	-2.851681	-1.528825	-0.002814	-0.023276	-0.008344	-0.786133	-0.051025	0.370850	-0.176371	-0.646607	0.409032	-0.619262
46577		9.351397	-2.900388	-1.554800	-0.008243	-0.002850	0.008627	-0.783203	-0.063965	0.374512	-0.176234	-0.646499	0.409264	-0.619261
46578		9.326542	-2.940862	-1.594370	0.007968	0.006507	0.018467	-0.778320	-0.059326	0.371582	-0.176098	-0.646431	0.409320	-0.619333
