// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
41360		9.613952	2.480083	-0.601312	0.046705	0.006594	-0.036634	-0.631592	-0.556396	-0.174072	0.634302	0.435328	-0.583690	0.259725
41361		9.601139	2.557709	-0.587403	0.026914	0.010165	-0.032573	-0.633057	-0.558594	-0.177002	0.634324	0.435606	-0.583460	0.259720
41362		9.611547	2.570296	-0.570964	0.002137	0.011948	-0.029511	-0.636230	-0.556885	-0.170898	0.634441	0.435734	-0.583284	0.259618
41363		9.630635	2.523145	-0.501874	-0.019768	0.010433	-0.020985	-0.631592	-0.554932	-0.168213	0.634609	0.435709	-0.583194	0.259448
41364		9.606604	2.485184	-0.489197	-0.037918	0.000685	-0.017916	-0.637939	-0.552246	-0.175537	0.634792	0.435594	-0.583205	0.259171
41365		9.581226	2.451821	-0.520432	-0.056913	-0.002488	-0.010399	-0.634277	-0.554932	-0.168945	0.635013	0.435347	-0.583299	0.258830
41366		9.514284	2.422498	-0.563654	-0.063431	0.004093	-0.007659	-0.616455	-0.570557	-0.168945	0.635286	0.435036	-0.583381	0.258499
41367		9.481540	2.365679	-0.576558	-0.049818	0.005406	-0.005380	-0.638672	-0.556152	-0.166748	0.635511	0.434781	-0.583435	0.258252
41368		9.449741	2.332456	-0.532640	-0.035565	0.007911	0.000493	-0.629883	-0.553467	-0.173584	0.635682	0.434564	-0.583469	0.258119
41369		9.453827	2.317376	-0.497396	-0.025176	0.012113	0.007236	-0.625488	-0.556641	-0.171875	0.635821	0.434355	-0.583485	0.258094
41370		9.502462	2.338833	-0.542354	-0.004972	0.019009	0.016266	-0.635010	-0.556396	-0.169922	0.635901	0.434186	-0.583455	0.258249
41371		9.486492	2.402137	-0.559986	0.014738	0.020942	0.025011	-0.633301	-0.560547	-0.177246	0.635899	0.434068	-0.583407	0.258559
41372		9.508819	2.474319	-0.597815	0.027174	0.021743	0.028305	-0.636230	-0.558105	-0.174072	0.635848	0.433997	-0.583342	0.258953
41373		9.511909	2.515971	-0.634114	0.029097	0.021639	0.028592	-0.634766	-0.559570	-0.180664	0.635786	0.433937	-0.583274	0.259355
41374		9.474642	2.530890	-0.598352	0.017028	0.021795	0.030906	-0.636963	-0.560547	-0.169434	0.635761	0.433809	-0.583242	0.259703
41375		9.469116	2.554015	-0.562275	0.007473	0.020842	0.028037	-0.633789	-0.560059	-0.166016	0.635771	0.433655	-0.583223	0.259980
41376		9.492312	2.570264	-0.571965	-0.006570	0.019933	0.029484	-0.640625	-0.553223	-0.178223	0.635826	0.433432	-0.583239	0.260182
41377		9.494304	2.536431	-0.582361	-0.012088	0.015161	0.022584	-0.641113	-0.557617	-0.178955	0.635899	0.433225	-0.583264	0.260293
41378		9.531223	2.578515	-0.629531	-0.019041	0.008155	0.017264	-0.636963	-0.555664	-0.174072	0.635975	0.433031	-0.583318	0.260308
41379		9.498633	2.547662	-0.629589	-0.040803	0.006511	0.016982	-0.634033	-0.548828	-0.177246	0.636118	0.432742	-0.583426	0.260196
41380		9.498111	2.469438	-0.602278	-0.044903	0.000837	0.013530	-0.635986	-0.550293	-0.171875	0.636255	0.432465	-0.583562	0.260018
41381		9.516849	2.421842	-0.577618	-0.044002	-0.004553	0.009643	-0.640625	-0.554199	-0.175049	0.636362	0.432231	-0.583716	0.259800
41382		9.544694	2.391504	-0.527519	-0.030332	-0.007746	0.007623	-0.626953	-0.551514	-0.178955	0.636408	0.432088	-0.583849	0.259626
41383		9.563053	2.426330	-0.572433	-0.031581	-0.003297	0.005905	-0.641602	-0.551025	-0.181152	0.636496	0.431919	-0.583950	0.259463
41384		9.567875	2.407208	-0.593922	-0.046815	-0.007359	0.006338	-0.644531	-0.547852	-0.171387	0.636607	0.431678	-0.584116	0.259216
41385		9.583843	2.370294	-0.559253	-0.057117	-0.011831	-0.001288	-0.640137	-0.550293	-0.178711	0.636729	0.431434	-0.584321	0.258863
41386		9.585740	2.335703	-0.528713	-0.059527	-0.007879	-0.001992	-0.636963	-0.550537	-0.185791	0.636892	0.431160	-0.584498	0.258517
41387		9.573789	2.302718	-0.501458	-0.060680	0.000418	-0.001099	-0.635498	-0.552490	-0.179688	0.637112	0.430838	-0.584630	0.258213
41388		9.574343	2.274038	-0.512735	-0.047740	0.005150	-0.005982	-0.640381	-0.550537	-0.171875	0.637311	0.430603	-0.584695	0.257968
41389		9.550208	2.290321	-0.527114	-0.038073	0.007446	-0.010438	-0.637695	-0.546875	-0.182617	0.637468	0.430436	-0.584734	0.257770
41390		9.524012	2.260406	-0.504030	-0.021448	0.002292	-0.014357	-0.633789	-0.550293	-0.180420	0.637574	0.430346	-0.584748	0.257627
41391		9.529754	2.264753	-0.523338	0.004431	-0.002186	-0.013391	-0.636230	-0.547363	-0.173584	0.637563	0.430407	-0.584726	0.257603
41392		9.540831	2.274415	-0.508196	0.020051	0.004485	-0.014669	-0.635986	-0.553955	-0.175537	0.637504	0.430546	-0.584649	0.257690
41393		9.531635	2.312090	-0.615688	0.022876	0.016085	-0.011456	-0.633789	-0.555420	-0.174316	0.637489	0.430667	-0.584504	0.257853
41394		9.538248	2.339847	-0.576180	0.032518	0.019871	-0.014467	-0.633789	-0.550049	-0.172119	0.637457	0.430858	-0.584306	0.258062
41395		9.576541	2.375776	-0.536892	0.040071	0.017077	-0.014479	-0.632324	-0.553223	-0.169678	0.637374	0.431087	-0.584121	0.258305
41396		9.607186	2.415240	-0.522122	0.033385	0.012818	-0.011901	-0.635498	-0.555176	-0.179688	0.637280	0.431303	-0.583969	0.258518
41397		9.561196	2.410335	-0.525543	0.015107	0.011013	-0.008740	-0.638184	-0.546387	-0.175049	0.637272	0.431362	-0.583882	0.258636
41398		9.537007	2.426339	-0.541470	0.007343	0.009097	-0.011047	-0.629150	-0.548340	-0.185791	0.637269	0.431374	-0.583844	0.258710
41399		9.480694	2.408464	-0.516876	0.012102	0.006159	-0.012350	-0.628662	-0.546875	-0.180908	0.637318	0.431402	-0.583760	0.258733
41400		9.563142	2.376497	-0.548215	0.010696	0.002432	-0.012217	-0.644287	-0.549805	-0.182617	0.637330	0.431457	-0.583699	0.258749
41401		9.564413	2.398435	-0.544781	0.000039	0.010467	-0.006586	-0.637695	-0.545654	-0.182373	0.637369	0.431349	-0.583709	0.258811
41402		9.518734	2.392539	-0.547149	-0.012632	0.011610	0.001181	-0.646240	-0.548828	-0.177979	0.637462	0.431144	-0.583746	0.258838
41403		9.528931	2.379190	-0.532374	-0.008744	0.007925	0.005918	-0.641846	-0.557861	-0.178223	0.637455	0.430958	-0.583844	0.258944
41404		9.522915	2.376262	-0.511616	-0.005418	0.002747	0.006191	-0.635010	-0.548828	-0.176514	0.637422	0.430856	-0.583919	0.259025
41405		9.525531	2.366042	-0.522538	-0.008178	-0.003531	0.007033	-0.635986	-0.549316	-0.175781	0.637383	0.430765	-0.584013	0.259064
41406		9.523718	2.400312	-0.552818	-0.016838	-0.008862	0.008739	-0.635010	-0.551270	-0.174561	0.637335	0.430635	-0.584163	0.259058
41407		9.489874	2.400441	-0.541833	-0.032945	-0.004397	0.008031	-0.633301	-0.551514	-0.173584	0.637360	0.430445	-0.584307	0.258986
41408		9.561694	2.356205	-0.489616	-0.044958	-0.002563	0.003865	-0.628662	-0.551025	-0.178955	0.637443	0.430235	-0.584438	0.258839
41409		9.625082	2.345605	-0.447306	-0.053346	-0.006154	0.005003	-0.633545	-0.548828	-0.169922	0.637596	0.429952	-0.584585	0.258597
41410		9.665477	2.319287	-0.436052	-0.063290	-0.008707	0.011467	-0.641113	-0.544922	-0.171875	0.637660	0.429648	-0.584820	0.258413
41411		9.698643	2.322622	-0.489345	-0.069918	-0.007137	0.011048	-0.637207	-0.541504	-0.185547	0.637749	0.429211	-0.585130	0.258217
41412		9.664348	2.298892	-0.533358	-0.083976	-0.000415	0.011812	-0.637207	-0.548828	-0.174561	0.638066	0.428529	-0.585435	0.257878
41413		9.546689	2.203210	-0.534680	-0.091289	-0.001186	0.007214	-0.630859	-0.554199	-0.183594	0.638284	0.428037	-0.585693	0.257569
41414		9.552105	2.208426	-0.497406	-0.082063	-0.011448	0.003118	-0.641113	-0.538574	-0.185791	0.638529	0.427620	-0.585908	0.257164
41415		9.555740	2.193446	-0.464749	-0.067903	-0.018467	0.001480	-0.637451	-0.546875	-0.179443	0.638685	0.427077	-0.586284	0.256823
41416		9.570787	2.186362	-0.417930	-0.059677	-0.022530	-0.004884	-0.636719	-0.546875	-0.179932	0.638735	0.426807	-0.586559	0.256520
41417		9.558524	2.181507	-0.435535	-0.043226	-0.027468	-0.022633	-0.639160	-0.545898	-0.177734	0.638746	0.426721	-0.586755	0.256185
41418		9.592977	2.205691	-0.446854	-0.022847	-0.026146	-0.035158	-0.643799	-0.543701	-0.175781	0.638683	0.426802	-0.586879	0.255922
41419		9.600597	2.175893	-0.495767	-0.006204	-0.029561	-0.045568	-0.632324	-0.546387	-0.185791	0.638528	0.426993	-0.587002	0.255710
41420		9.642002	2.198943	-0.484387	-0.006340	-0.025761	-0.048838	-0.634521	-0.549316	-0.179932	0.638570	0.427142	-0.587003	0.255355
41421		9.637773	2.242720	-0.516911	-0.008179	-0.017155	-0.050047	-0.632568	-0.545410	-0.174805	0.638575	0.427360	-0.586955	0.255086
41422		9.569032	2.246862	-0.453066	-0.003023	-0.010150	-0.053730	-0.636475	-0.556885	-0.177490	0.638547	0.427662	-0.586847	0.254900
41423		9.569962	2.296547	-0.448553	0.015842	-0.002475	-0.056861	-0.639893	-0.549316	-0.173584	0.638505	0.428085	-0.586627	0.254800
41424		9.581682	2.330621	-0.486022	0.034061	0.000860	-0.058594	-0.628906	-0.547119	-0.175781	0.638367	0.428541	-0.586428	0.254838
41425		9.565386	2.368082	-0.532736	0.047539	-0.004320	-0.060966	-0.636475	-0.553955	-0.174316	0.638242	0.429120	-0.586136	0.254850
41426		9.533420	2.387143	-0.587479	0.058133	-0.004666	-0.067312	-0.636963	-0.553467	-0.176270	0.638035	0.429792	-0.585840	0.254914
41427		9.433322	2.459492	-0.602931	0.061716	0.000298	-0.083232	-0.627686	-0.554443	-0.170410	0.637909	0.430479	-0.585481	0.254894
41428		9.387163	2.557395	-0.587889	0.071046	-0.005019	-0.098807	-0.632812	-0.551514	-0.182129	0.637711	0.431497	-0.584964	0.254857
41429		9.403449	2.725056	-0.557624	0.069269	-0.015073	-0.123007	-0.638184	-0.553467	-0.180176	0.637696	0.432295	-0.584550	0.254490
41430		9.459623	2.969118	-0.540492	0.037652	-0.032644	-0.149476	-0.632080	-0.551758	-0.177490	0.637724	0.433059	-0.584261	0.253787
41431		9.499117	3.295330	-0.704578	-0.055611	-0.051672	-0.169742	-0.627686	-0.555664	-0.170898	0.638033	0.433531	-0.584150	0.252454
41432		9.457142	3.415040	-0.827869	-0.148009	-0.069807	-0.172565	-0.627930	-0.546387	-0.178467	0.638498	0.433780	-0.584231	0.250658
41433		9.624567	3.487493	-0.649353	-0.225599	-0.092941	-0.231437	-0.631836	-0.557617	-0.167236	0.639374	0.433667	-0.584507	0.247962
41434		9.493049	3.651014	-0.841377	-0.488460	-0.131051	-0.286563	-0.627930	-0.557861	-0.181641	0.640883	0.432835	-0.585247	0.243739
41435		9.204684	3.570276	-1.105338	-0.702800	-0.183873	-0.272653	-0.622070	-0.561523	-0.184570	0.643060	0.430654	-0.586770	0.238144
