// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
43929		5.337150	1.365671	7.989346	0.032613	0.005763	0.024533	-0.183838	-0.118896	-0.562988	0.951427	0.097542	-0.280810	0.080117
43930		5.373981	1.404762	7.978350	0.035629	-0.003473	0.027485	-0.191895	-0.119629	-0.569580	0.951371	0.097762	-0.280836	0.080415
43931		5.354382	1.443389	8.012075	0.033440	-0.008711	0.027003	-0.182373	-0.122070	-0.570557	0.951303	0.097969	-0.280912	0.080701
43932		5.305129	1.438183	7.992563	0.019849	-0.014916	0.021104	-0.183350	-0.124268	-0.569580	0.951238	0.098088	-0.281034	0.080902
43933		5.318742	1.443115	8.042087	0.016924	-0.020788	0.008189	-0.183838	-0.124512	-0.573486	0.951170	0.098220	-0.281193	0.080989
43934		5.354957	1.410270	8.077022	0.008592	-0.021128	0.001854	-0.177246	-0.126221	-0.572266	0.951113	0.098302	-0.281353	0.081005
43935		5.359231	1.335154	8.038658	0.001219	-0.021194	-0.004046	-0.179199	-0.120117	-0.571777	0.951066	0.098341	-0.281511	0.080956
43936		5.357981	1.310356	8.035016	-0.003789	-0.031036	-0.002097	-0.187744	-0.125488	-0.565430	0.950999	0.098339	-0.281752	0.080904
43937		5.376731	1.339615	8.064373	-0.009229	-0.036691	0.000575	-0.180176	-0.122803	-0.571045	0.950923	0.098288	-0.282042	0.080857
43938		5.339931	1.381829	8.046000	-0.003148	-0.041555	0.002652	-0.189697	-0.127441	-0.573730	0.950829	0.098280	-0.282367	0.080837
43939		5.364173	1.435878	8.076211	-0.009996	-0.037157	-0.002083	-0.191406	-0.118896	-0.559082	0.950755	0.098226	-0.282653	0.080767
43940		5.305724	1.455468	8.068468	-0.013114	-0.041478	-0.004977	-0.187500	-0.118408	-0.571777	0.950677	0.098160	-0.282968	0.080662
43941		5.260872	1.446540	8.068274	-0.013366	-0.038828	-0.014268	-0.187500	-0.129639	-0.571533	0.950615	0.098118	-0.283244	0.080482
43942		5.265924	1.446250	8.065030	-0.011493	-0.041972	-0.017223	-0.182129	-0.117188	-0.574219	0.950549	0.098105	-0.283527	0.080278
43943		5.299534	1.432212	8.068999	-0.008923	-0.040867	-0.021247	-0.186768	-0.125977	-0.574463	0.950490	0.098125	-0.283782	0.080047
43944		5.316881	1.360764	8.080740	-0.009207	-0.038072	-0.020763	-0.192139	-0.129395	-0.575195	0.950441	0.098145	-0.284003	0.079818
43945		5.302437	1.321939	8.076108	-0.005816	-0.042631	-0.014435	-0.193848	-0.120850	-0.563232	0.950378	0.098176	-0.284252	0.079643
43946		5.321343	1.293913	8.079995	0.001311	-0.038588	-0.010061	-0.192383	-0.115479	-0.570801	0.950317	0.098238	-0.284467	0.079528
43947		5.300297	1.350668	8.082495	-0.001856	-0.035300	-0.003080	-0.188721	-0.122070	-0.570801	0.950268	0.098244	-0.284647	0.079471
43948		5.299379	1.400986	8.114450	-0.007590	-0.039353	0.002076	-0.189209	-0.118408	-0.572998	0.950214	0.098193	-0.284853	0.079432
43949		5.291395	1.458132	8.189332	-0.013221	-0.033736	-0.002639	-0.192383	-0.130371	-0.566895	0.950188	0.098102	-0.284997	0.079350
43950		5.300221	1.452209	8.248839	-0.020328	-0.027922	-0.010877	-0.187256	-0.134766	-0.572754	0.950189	0.097984	-0.285083	0.079170
43951		5.238661	1.427594	8.250606	-0.026775	-0.023969	-0.016261	-0.186768	-0.125000	-0.573975	0.950221	0.097830	-0.285098	0.078923
43952		5.227099	1.395432	8.216949	-0.026595	-0.024162	-0.018487	-0.189453	-0.125488	-0.571289	0.950261	0.097674	-0.285086	0.078678
43953		5.261416	1.360747	8.231939	-0.025013	-0.013368	-0.017039	-0.191162	-0.122559	-0.583252	0.950328	0.097519	-0.284978	0.078454
43954		5.154964	1.320715	8.195507	-0.018451	-0.011243	-0.011802	-0.187012	-0.123779	-0.571533	0.950415	0.097388	-0.284775	0.078301
43955		5.190787	1.344109	8.256368	-0.011056	-0.011187	-0.005943	-0.187988	-0.125977	-0.566650	0.950477	0.097300	-0.284622	0.078205
43956		5.205293	1.388878	8.320817	-0.008207	0.003203	-0.008463	-0.190186	-0.124512	-0.564209	0.950570	0.097229	-0.284365	0.078096
