// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
38386		7.547005	-0.247263	6.189218	0.001970	-0.010174	-0.001444	-0.608887	-0.480469	-0.185059	-0.480982	-0.354542	0.239392	-0.765276
38387		7.554230	-0.223972	6.196939	-0.001300	-0.013726	-0.004739	-0.610352	-0.477051	-0.187012	-0.480989	-0.354634	0.239441	-0.765214
38388		7.528698	-0.189011	6.196506	-0.001639	-0.013727	-0.002173	-0.612305	-0.475586	-0.179932	-0.480978	-0.354716	0.239503	-0.765163
38389		7.543800	-0.214947	6.180268	-0.005242	-0.011566	-0.002173	-0.608398	-0.478760	-0.191895	-0.480985	-0.354773	0.239576	-0.765110
38390		7.525283	-0.212228	6.184151	-0.007783	-0.012541	-0.004284	-0.605225	-0.468750	-0.180908	-0.481011	-0.354831	0.239662	-0.765040
38391		7.520475	-0.222740	6.165627	-0.007981	-0.013831	-0.006156	-0.600342	-0.474854	-0.181885	-0.481047	-0.354900	0.239747	-0.764958
38392		7.501670	-0.202828	6.197129	-0.009610	-0.016131	-0.006870	-0.609131	-0.475342	-0.179688	-0.481089	-0.354979	0.239849	-0.764863
38393		7.523275	-0.218263	6.197335	-0.011637	-0.014772	-0.011533	-0.614746	-0.476562	-0.183105	-0.481170	-0.355050	0.239942	-0.764750
38394		7.512037	-0.234241	6.197400	-0.012545	-0.013971	-0.011995	-0.603516	-0.481445	-0.192383	-0.481260	-0.355112	0.240034	-0.764636
38395		7.546073	-0.221091	6.188208	-0.015769	-0.014428	-0.009902	-0.604736	-0.470947	-0.184570	-0.481346	-0.355158	0.240152	-0.764523
38396		7.574140	-0.230741	6.169749	-0.013102	-0.014217	-0.013159	-0.609375	-0.476562	-0.189697	-0.481446	-0.355220	0.240241	-0.764403
38397		7.582137	-0.245523	6.200146	-0.015947	-0.011051	-0.009180	-0.610840	-0.479004	-0.190674	-0.481536	-0.355244	0.240346	-0.764303
38398		7.588916	-0.210877	6.200500	-0.016999	-0.008441	-0.006134	-0.608643	-0.473633	-0.188965	-0.481615	-0.355240	0.240457	-0.764220
38399		7.603564	-0.250291	6.192572	-0.016984	-0.003250	-0.004473	-0.611572	-0.477539	-0.188721	-0.481694	-0.355201	0.240549	-0.764159
38400		7.596944	-0.257209	6.211370	-0.013015	0.004978	-0.003723	-0.609375	-0.479004	-0.192383	-0.481774	-0.355125	0.240586	-0.764132
38401		7.622174	-0.242716	6.180570	-0.013363	0.011737	-0.002286	-0.608887	-0.475830	-0.181396	-0.481859	-0.355000	0.240603	-0.764132
38402		7.607772	-0.226820	6.125680	-0.011736	0.014037	-0.001569	-0.612061	-0.481689	-0.181641	-0.481936	-0.354872	0.240605	-0.764142
38403		7.593556	-0.231321	6.121484	-0.007768	0.010311	-0.001350	-0.613037	-0.476074	-0.185303	-0.481992	-0.354790	0.240599	-0.764146
38404		7.566142	-0.226710	6.103996	-0.007057	0.013937	-0.002027	-0.608398	-0.477295	-0.183105	-0.482057	-0.354692	0.240575	-0.764159
38405		7.539886	-0.276424	6.081400	-0.000355	0.012997	0.001244	-0.607178	-0.481445	-0.184570	-0.482078	-0.354628	0.240523	-0.764191
38406		7.558347	-0.300254	6.128410	0.005647	0.013622	0.006857	-0.616699	-0.469971	-0.188721	-0.482048	-0.354577	0.240450	-0.764257
38407		7.582790	-0.305862	6.149529	0.008211	0.019262	0.011563	-0.608643	-0.479004	-0.180908	-0.481978	-0.354484	0.240370	-0.764369
38408		7.573275	-0.270388	6.183393	0.007487	0.016159	0.011312	-0.601807	-0.482422	-0.182861	-0.481910	-0.354417	0.240303	-0.764465
38409		7.570141	-0.204344	6.183051	0.000821	0.015002	0.011758	-0.614258	-0.480957	-0.184326	-0.481865	-0.354323	0.240277	-0.764544
38410		7.601052	-0.192507	6.177711	-0.000086	0.015803	0.011297	-0.609863	-0.473633	-0.189697	-0.481818	-0.354233	0.240257	-0.764622
38411		7.599531	-0.206779	6.187363	-0.003677	0.016912	0.013163	-0.602295	-0.481689	-0.181152	-0.481775	-0.354103	0.240264	-0.764707
38412		7.585540	-0.242211	6.163405	-0.009275	0.018338	0.012227	-0.615967	-0.471680	-0.183350	-0.481772	-0.353963	0.240276	-0.764770
38413		7.577601	-0.255129	6.148609	-0.005994	0.015125	0.016651	-0.613770	-0.474121	-0.190674	-0.481694	-0.353852	0.240322	-0.764856
38414		7.575772	-0.245569	6.142926	-0.007234	0.015396	0.019686	-0.607422	-0.485352	-0.185547	-0.481612	-0.353714	0.240380	-0.764953
38415		7.561034	-0.239815	6.131435	-0.007432	0.014109	0.017812	-0.604736	-0.475586	-0.186768	-0.481560	-0.353610	0.240410	-0.765025
38416		7.539638	-0.227105	6.130917	-0.003286	0.012713	0.018051	-0.604004	-0.465332	-0.178467	-0.481487	-0.353511	0.240438	-0.765107
38417		7.532474	-0.239791	6.115174	-0.000592	0.005643	0.016844	-0.610596	-0.475586	-0.185303	-0.481379	-0.353480	0.240495	-0.765172
38418		7.538092	-0.231384	6.132657	0.002455	0.003765	0.014741	-0.604004	-0.476318	-0.193115	-0.481279	-0.353491	0.240515	-0.765223
38419		7.524200	-0.232165	6.162996	0.005348	0.003690	0.016151	-0.609131	-0.473145	-0.187744	-0.481193	-0.353472	0.240512	-0.765287
38420		7.510937	-0.237173	6.157551	0.005514	0.000837	0.014499	-0.614014	-0.478516	-0.187500	-0.481084	-0.353500	0.240526	-0.765339
38421		7.536883	-0.230594	6.169019	0.012702	-0.001915	0.011702	-0.611816	-0.471680	-0.185547	-0.480964	-0.353601	0.240483	-0.765381
38422		7.523492	-0.217086	6.191034	0.010845	-0.002875	0.004452	-0.601318	-0.470947	-0.183350	-0.480885	-0.353701	0.240450	-0.765395
38423		7.531060	-0.248249	6.194541	0.008124	-0.006177	0.002320	-0.611572	-0.478027	-0.179932	-0.480857	-0.353794	0.240424	-0.765378
38424		7.530810	-0.205324	6.206571	0.006268	-0.007138	-0.004931	-0.612793	-0.478516	-0.191895	-0.480850	-0.353960	0.240378	-0.765320
38425		7.505885	-0.224422	6.201650	-0.003279	-0.009255	-0.004041	-0.612305	-0.469727	-0.182373	-0.480882	-0.354041	0.240405	-0.765254
38426		7.526367	-0.235441	6.238227	-0.006717	-0.009946	-0.005691	-0.608643	-0.467041	-0.187012	-0.480894	-0.354134	0.240481	-0.765179
38427		7.527823	-0.265203	6.216975	-0.010305	-0.002597	-0.004018	-0.613037	-0.480713	-0.182617	-0.480939	-0.354113	0.240560	-0.765136
38428		7.522233	-0.288620	6.207141	-0.013932	-0.005098	-0.006613	-0.607666	-0.475098	-0.186035	-0.481017	-0.354175	0.240608	-0.765043
38429		7.515423	-0.232431	6.187140	-0.015569	-0.006871	-0.008262	-0.609375	-0.473633	-0.187012	-0.481122	-0.354188	0.240688	-0.764946
38430		7.555266	-0.221925	6.203226	-0.019401	-0.010133	-0.013662	-0.607422	-0.483643	-0.186035	-0.481256	-0.354208	0.240798	-0.764817
38431		7.543603	-0.263506	6.219231	-0.024297	-0.004029	-0.017129	-0.607422	-0.476807	-0.177490	-0.481483	-0.354212	0.240852	-0.764655
38432		7.543681	-0.251134	6.211346	-0.023599	0.000643	-0.019657	-0.611572	-0.470459	-0.183594	-0.481677	-0.354230	0.240907	-0.764508
38433		7.531241	-0.292572	6.228302	-0.026848	0.001231	-0.019422	-0.606201	-0.474609	-0.186035	-0.481850	-0.354174	0.241026	-0.764388
38434		7.504265	-0.283218	6.245338	-0.021966	0.008122	-0.017253	-0.613281	-0.477051	-0.190674	-0.482061	-0.354069	0.241060	-0.764292
38435		7.491041	-0.291351	6.204824	-0.017608	0.006961	-0.013283	-0.601807	-0.473145	-0.190186	-0.482221	-0.353966	0.241090	-0.764229
38436		7.502758	-0.258275	6.231585	-0.017630	0.002299	-0.015884	-0.607910	-0.471191	-0.195557	-0.482432	-0.353858	0.241125	-0.764135
38437		7.508777	-0.239390	6.205839	-0.015486	0.006938	-0.017706	-0.615479	-0.476318	-0.189941	-0.482633	-0.353691	0.241153	-0.764077
38438		7.514700	-0.245599	6.195775	-0.018369	0.011667	-0.016502	-0.612305	-0.472900	-0.186768	-0.482799	-0.353565	0.241172	-0.764024
38439		7.539720	-0.250859	6.216165	-0.019254	0.010890	-0.014174	-0.609619	-0.471680	-0.184326	-0.482929	-0.353449	0.241212	-0.763983
38440		7.558213	-0.253729	6.212333	-0.017663	0.015289	-0.017161	-0.610840	-0.477051	-0.186523	-0.483073	-0.353334	0.241213	-0.763945
38441		7.544295	-0.274033	6.180503	-0.019287	0.018172	-0.016201	-0.612061	-0.474365	-0.188232	-0.483257	-0.353195	0.241194	-0.763899
38442		7.562186	-0.264041	6.169671	-0.016238	0.016301	-0.018306	-0.603516	-0.464600	-0.187500	-0.483421	-0.353062	0.241180	-0.763861
38443		7.592279	-0.220689	6.184999	-0.015877	0.014732	-0.018083	-0.603516	-0.479980	-0.190918	-0.483565	-0.352899	0.241201	-0.763839
38444		7.565543	-0.244296	6.147286	-0.013145	0.016984	-0.014087	-0.601074	-0.477051	-0.189209	-0.483810	-0.352754	0.241128	-0.763773
38445		7.525026	-0.242270	6.124240	-0.013507	0.012841	-0.015058	-0.603027	-0.483154	-0.186035	-0.484036	-0.352645	0.241080	-0.763696
38446		7.524639	-0.279401	6.148052	-0.009510	0.008071	-0.012997	-0.611816	-0.477051	-0.193115	-0.484231	-0.352648	0.241000	-0.763596
38447		7.512186	-0.324469	6.130048	-0.006586	0.006425	-0.008809	-0.611572	-0.472656	-0.194092	-0.484316	-0.352572	0.241000	-0.763577
38448		7.510161	-0.290692	6.186887	-0.003642	0.003727	-0.002768	-0.601318	-0.475586	-0.186768	-0.484315	-0.352484	0.241040	-0.763606
38449		7.555326	-0.273278	6.185980	0.004306	0.002529	-0.002528	-0.607910	-0.469238	-0.188721	-0.484340	-0.352522	0.240970	-0.763595
38450		7.547989	-0.253642	6.189979	0.003065	0.002792	0.000502	-0.605225	-0.483643	-0.191895	-0.484246	-0.352508	0.240979	-0.763658
38451		7.573714	-0.246175	6.201762	0.002000	0.000207	0.001872	-0.610107	-0.481445	-0.191650	-0.484329	-0.352515	0.240925	-0.763618
38452		7.541386	-0.272266	6.216368	-0.000891	-0.000252	0.001394	-0.616699	-0.479492	-0.195312	-0.484356	-0.352518	0.240920	-0.763602
