// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		9.660511	-1.385832	-1.201391	-0.028293	0.016698	0.008608	-0.613037	0.388428	0.501709	0.240288	-0.729581	-0.169859	-0.617350
35466		9.639863	-1.407074	-1.195367	-0.033171	0.011990	0.011340	-0.608154	0.383545	0.511963	0.240161	-0.729602	-0.169595	-0.617447
35467		9.629574	-1.422788	-1.212279	-0.036332	0.011937	0.010938	-0.604004	0.381348	0.504150	0.240003	-0.729639	-0.169316	-0.617541
35468		9.641214	-1.457658	-1.214274	-0.024576	0.010433	0.010145	-0.606201	0.380127	0.507568	0.239921	-0.729649	-0.169107	-0.617619
35469		9.648418	-1.463849	-1.201582	-0.009765	0.006758	0.010161	-0.614014	0.378418	0.507080	0.239925	-0.729649	-0.168980	-0.617652
35470		9.655660	-1.474786	-1.209206	0.004272	0.004949	0.009849	-0.613770	0.385010	0.506836	0.240012	-0.729630	-0.168929	-0.617655
35471		9.643770	-1.438292	-1.184908	0.012610	0.004915	0.010191	-0.598389	0.377441	0.509521	0.240154	-0.729596	-0.168916	-0.617644
35472		9.596668	-1.416953	-1.199967	0.017939	0.002435	0.011472	-0.606689	0.383301	0.508545	0.240333	-0.729565	-0.168927	-0.617607
35473		9.624690	-1.412390	-1.232347	0.015156	0.001739	0.006681	-0.600830	0.391357	0.514160	0.240471	-0.729538	-0.168953	-0.617578
35474		9.616912	-1.395780	-1.183116	0.015707	-0.002550	0.011512	-0.606201	0.387207	0.502930	0.240631	-0.729541	-0.168960	-0.617511
35475		9.644950	-1.395683	-1.236451	0.010129	-0.001245	0.006845	-0.609131	0.383545	0.500977	0.240735	-0.729541	-0.168965	-0.617469
35476		9.641623	-1.412071	-1.222719	0.012558	-0.004622	0.007429	-0.604736	0.380859	0.511963	0.240850	-0.729556	-0.168986	-0.617400
35477		9.641240	-1.409077	-1.203060	0.019650	-0.007066	0.007327	-0.605225	0.385498	0.498779	0.241004	-0.729571	-0.169049	-0.617305
35478		9.651299	-1.400415	-1.206090	0.028509	-0.010150	0.004612	-0.603027	0.387939	0.508301	0.241194	-0.729581	-0.169180	-0.617183
35479		9.625894	-1.393009	-1.187960	0.034202	-0.011933	0.003953	-0.603027	0.389160	0.504883	0.241412	-0.729589	-0.169349	-0.617043
35480		9.660968	-1.388267	-1.190208	0.034568	-0.011236	0.002013	-0.598145	0.383301	0.505371	0.241622	-0.729587	-0.169531	-0.616912
35481		9.682716	-1.412786	-1.196355	0.032657	-0.010231	-0.000401	-0.611084	0.388184	0.501465	0.241807	-0.729580	-0.169718	-0.616797
35482		9.685634	-1.398230	-1.211266	0.032400	-0.010738	-0.002560	-0.603271	0.384766	0.501709	0.241980	-0.729570	-0.169918	-0.616685
35483		9.645725	-1.370640	-1.176259	0.032402	-0.012092	-0.005018	-0.603760	0.392090	0.495850	0.242135	-0.729564	-0.170137	-0.616571
35484		9.620619	-1.370908	-1.199004	0.035085	-0.016319	-0.004732	-0.604492	0.389404	0.506104	0.242306	-0.729570	-0.170378	-0.616430
35485		9.630824	-1.360523	-1.202898	0.030381	-0.013314	-0.007023	-0.612793	0.393799	0.508789	0.242432	-0.729571	-0.170606	-0.616316
35486		9.624588	-1.389678	-1.176376	0.023810	-0.013241	-0.008738	-0.609619	0.388672	0.504150	0.242507	-0.729580	-0.170814	-0.616219
35487		9.636126	-1.422880	-1.180671	0.021784	-0.011072	-0.004604	-0.608154	0.392334	0.496338	0.242591	-0.729584	-0.170984	-0.616135
35488		9.647511	-1.447392	-1.144399	0.023433	-0.011228	-0.001900	-0.606201	0.384766	0.502686	0.242711	-0.729580	-0.171144	-0.616047
35489		9.628399	-1.413752	-1.174966	0.025233	-0.014453	0.000922	-0.604248	0.393799	0.500977	0.242842	-0.729598	-0.171298	-0.615932
35490		9.650106	-1.438300	-1.181382	0.028855	-0.009455	0.002633	-0.605957	0.392334	0.500977	0.243030	-0.729581	-0.171448	-0.615835
