// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		9.701853	0.391360	-1.646141	-0.000763	0.006039	-0.009230	-0.769287	-0.313721	-0.175781	0.605008	0.297520	-0.702500	0.227905
35466		9.684523	0.411624	-1.645285	-0.000965	0.001938	-0.012377	-0.761475	-0.317383	-0.171875	0.605048	0.297570	-0.702463	0.227848
35467		9.680775	0.411170	-1.716768	-0.000243	-0.000310	-0.014733	-0.760986	-0.315918	-0.177246	0.605074	0.297656	-0.702429	0.227771
35468		9.682541	0.414777	-1.680814	0.001436	0.002154	-0.013699	-0.760254	-0.320068	-0.174316	0.605107	0.297740	-0.702383	0.227715
35469		9.684351	0.418464	-1.644570	0.000264	0.003304	-0.015801	-0.766602	-0.321289	-0.174072	0.605152	0.297830	-0.702330	0.227642
35470		9.686602	0.388611	-1.643274	0.000064	-0.000797	-0.018950	-0.767578	-0.316650	-0.174072	0.605179	0.297946	-0.702290	0.227542
35471		9.690854	0.372224	-1.636872	0.002156	-0.000094	-0.016060	-0.755127	-0.323486	-0.172852	0.605198	0.298054	-0.702251	0.227470
35472		9.693296	0.354234	-1.666251	0.012634	-0.000004	-0.017737	-0.763184	-0.317139	-0.176270	0.605193	0.298224	-0.702189	0.227452
35473		9.686823	0.362550	-1.677919	0.020925	0.003743	-0.020365	-0.756348	-0.308838	-0.166260	0.605191	0.298442	-0.702089	0.227480
35474		9.697018	0.374360	-1.624675	0.025509	0.000305	-0.020745	-0.761963	-0.316650	-0.178955	0.605153	0.298691	-0.702001	0.227526
35475		9.695105	0.375809	-1.660327	0.019871	0.003389	-0.021827	-0.761719	-0.315430	-0.176025	0.605148	0.298911	-0.701905	0.227544
35476		9.706020	0.365833	-1.672274	0.021000	-0.000503	-0.019621	-0.760498	-0.321289	-0.168457	0.605111	0.299130	-0.701836	0.227571
35477		9.705905	0.368565	-1.672346	0.021925	0.001235	-0.021548	-0.760986	-0.318115	-0.180420	0.605079	0.299360	-0.701756	0.227600
35478		9.677834	0.356582	-1.663937	0.029616	0.005618	-0.023889	-0.762451	-0.319580	-0.173584	0.605055	0.299632	-0.701636	0.227674
35479		9.677384	0.405564	-1.659200	0.032719	0.003821	-0.022161	-0.756592	-0.316650	-0.174072	0.605004	0.299911	-0.701529	0.227775
35480		9.661841	0.440193	-1.653522	0.027295	0.001154	-0.021817	-0.754395	-0.320312	-0.176514	0.604949	0.300166	-0.701446	0.227838
