// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
35465		4.987908	2.149574	8.136367	-0.000528	-0.006220	0.004330	-0.136719	-0.141357	-0.564941	0.956583	0.122218	-0.262831	0.030517
35466		4.998532	2.140190	8.129324	-0.001054	-0.005854	0.005463	-0.132812	-0.144775	-0.558594	0.956570	0.122187	-0.262890	0.030553
35467		4.974616	2.135056	8.130840	-0.003485	-0.005783	0.007286	-0.129395	-0.143799	-0.565430	0.956559	0.122145	-0.262944	0.030597
35468		4.981317	2.156130	8.141688	-0.003600	-0.006262	0.004345	-0.128662	-0.149414	-0.564453	0.956548	0.122109	-0.262999	0.030617
35469		4.973510	2.143162	8.112183	-0.002746	-0.005237	0.005922	-0.137939	-0.149170	-0.564209	0.956537	0.122077	-0.263047	0.030653
35470		4.977608	2.132500	8.129679	-0.001587	-0.006825	0.004791	-0.137695	-0.140625	-0.563721	0.956523	0.122057	-0.263106	0.030680
35471		4.984390	2.153921	8.140392	-0.001587	-0.006825	0.004791	-0.122070	-0.147461	-0.562500	0.956509	0.122039	-0.263164	0.030707
35472		4.976198	2.151566	8.128687	-0.002745	-0.005237	0.005922	-0.131592	-0.146973	-0.561523	0.956499	0.122009	-0.263209	0.030741
35473		4.961164	2.148348	8.141621	0.000324	-0.002570	0.003406	-0.122314	-0.135986	-0.559326	0.956492	0.122011	-0.263229	0.030764
35474		4.980860	2.140788	8.145870	-0.000429	-0.008413	0.003661	-0.129639	-0.143066	-0.569580	0.956474	0.122009	-0.263294	0.030781
35475		4.991572	2.131508	8.138727	0.000327	-0.005196	0.005908	-0.133545	-0.146240	-0.567627	0.956462	0.122009	-0.263333	0.030820
35476		4.977192	2.118029	8.133598	-0.000645	-0.006700	0.001391	-0.127930	-0.150146	-0.559814	0.956449	0.122011	-0.263379	0.030819
