// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
14999		8.518658	-4.525384	-1.883636	0.011715	0.000923	-0.012667	-0.462891	0.719971	0.608643	0.362438	-0.766526	-0.091058	-0.522289
15000		8.513681	-4.496589	-1.852259	0.010984	-0.001007	-0.012255	-0.463867	0.721436	0.606445	0.362454	-0.766488	-0.091187	-0.522311
15001		8.500435	-4.524162	-1.843209	0.009779	-0.005918	-0.004028	-0.454102	0.715820	0.606445	0.362528	-0.766467	-0.091275	-0.522275
15002		8.481284	-4.542901	-1.886238	0.010817	-0.006717	-0.004493	-0.461914	0.719727	0.609863	0.362577	-0.766458	-0.091371	-0.522237
15003		8.465722	-4.547377	-1.927669	0.004258	-0.011075	-0.006231	-0.460938	0.716064	0.610107	0.362554	-0.766494	-0.091462	-0.522184
15004		8.451168	-4.584676	-1.855235	0.001564	-0.007979	-0.006720	-0.466064	0.720703	0.613770	0.362483	-0.766538	-0.091532	-0.522157
15005		8.464025	-4.610567	-1.899920	0.003742	-0.010109	-0.011011	-0.455811	0.720459	0.611816	0.362407	-0.766581	-0.091644	-0.522127
15006		8.466513	-4.655155	-1.901403	0.009193	-0.014019	-0.015961	-0.458008	0.718994	0.601318	0.362390	-0.766604	-0.091820	-0.522073
15007		8.481708	-4.619565	-1.943824	0.006444	-0.012072	-0.020546	-0.450439	0.712646	0.610596	0.362406	-0.766600	-0.092006	-0.522036
15008		8.412446	-4.628561	-1.947874	-0.000771	-0.008163	-0.024741	-0.465088	0.707764	0.603027	0.362258	-0.766639	-0.092167	-0.522052
15009		8.414776	-4.619988	-1.981067	0.007787	-0.007118	-0.030081	-0.461914	0.718750	0.608398	0.362131	-0.766653	-0.092390	-0.522081
15010		8.394777	-4.621071	-2.009141	0.010108	-0.009204	-0.035679	-0.465332	0.712158	0.607422	0.362053	-0.766650	-0.092660	-0.522092
15011		8.420155	-4.605978	-2.013904	0.021354	-0.007861	-0.041048	-0.458740	0.713867	0.607666	0.361978	-0.766623	-0.093003	-0.522122
