// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		-2.854834	-7.204414	5.893983	0.002656	-0.013233	-0.007661	0.334229	0.889404	-0.151367	0.726396	-0.239002	0.374455	-0.524413
13169		-2.804567	-7.282724	5.942869	-0.011460	-0.003563	-0.011478	0.343506	0.893066	-0.155029	0.726334	-0.239123	0.374461	-0.524440
13170		-2.787647	-7.243438	5.874057	-0.019698	0.000057	-0.022060	0.338867	0.888184	-0.154541	0.726255	-0.239253	0.374539	-0.524435
13171		-2.792281	-7.181811	5.788659	-0.014664	-0.000260	-0.027792	0.332764	0.887939	-0.160156	0.726137	-0.239398	0.374569	-0.524511
13172		-2.834160	-7.232445	5.795764	-0.001005	-0.007716	-0.029453	0.330566	0.885254	-0.159668	0.726026	-0.239535	0.374466	-0.524676
13173		-2.885013	-7.262386	5.846083	-0.012723	-0.014549	-0.033018	0.339844	0.893311	-0.158691	0.725893	-0.239790	0.374364	-0.524816
13174		-2.877530	-7.246353	5.895409	-0.030841	-0.020490	-0.030024	0.339111	0.886230	-0.162598	0.725793	-0.240131	0.374343	-0.524813
13175		-2.842669	-7.098755	5.945257	-0.045181	-0.015774	-0.019321	0.330078	0.894043	-0.153320	0.725708	-0.240493	0.374443	-0.524694
13176		-2.764048	-7.065601	5.866338	-0.027289	-0.040774	-0.010220	0.338379	0.889160	-0.149658	0.725718	-0.240885	0.374284	-0.524614
13177		-2.803603	-7.333329	5.896693	0.021461	-0.045616	0.006961	0.337646	0.882080	-0.153564	0.725973	-0.240892	0.373951	-0.524495
13178		-2.908487	-7.585975	6.022474	-0.005258	-0.042912	0.014852	0.339600	0.885010	-0.150391	0.726206	-0.241022	0.373771	-0.524241
13179		-2.957736	-7.694068	5.903331	-0.014936	-0.050448	0.021021	0.328613	0.889648	-0.153320	0.726467	-0.241231	0.373606	-0.523900
13180		-2.815221	-7.386209	6.104566	-0.002041	-0.069233	0.034120	0.331787	0.890869	-0.147705	0.726798	-0.241478	0.373266	-0.523571
13181		-2.643128	-7.263070	6.132857	-0.006473	-0.060474	0.067399	0.334961	0.890137	-0.155029	0.727247	-0.241603	0.373073	-0.523026
