// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
13168		6.021935	-1.543633	7.371619	-0.022950	-0.067023	0.001345	-0.843506	0.774170	-0.362793	0.458052	-0.331512	-0.087654	-0.820125
13169		6.021769	-1.346354	7.509930	-0.022637	-0.055179	0.010895	-0.836182	0.775391	-0.362549	0.458024	-0.331984	-0.087680	-0.819947
13170		5.965965	-1.173940	7.546793	-0.037475	-0.038690	-0.020005	-0.840088	0.771240	-0.363770	0.457761	-0.332373	-0.087624	-0.819942
13171		5.900540	-1.296827	7.606975	-0.049790	-0.015306	-0.041376	-0.843994	0.771729	-0.368408	0.457328	-0.332633	-0.087460	-0.820096
13172		5.795264	-1.478673	7.595062	-0.028705	0.001084	-0.035969	-0.845703	0.769775	-0.365967	0.457002	-0.332696	-0.087367	-0.820262
13173		5.797602	-1.578980	7.634771	-0.004528	0.015917	-0.004784	-0.838135	0.775146	-0.365234	0.456969	-0.332578	-0.087292	-0.820336
13174		5.697877	-1.563579	7.644842	0.014793	0.028497	0.015424	-0.836670	0.769531	-0.373535	0.457141	-0.332302	-0.087239	-0.820358
13175		5.617718	-1.623354	7.915502	0.014127	0.050786	0.012924	-0.848389	0.775635	-0.365234	0.457315	-0.331855	-0.087093	-0.820457
13176		5.410508	-1.841457	8.133052	0.007105	0.089840	0.011863	-0.839844	0.773438	-0.362305	0.457500	-0.331134	-0.086733	-0.820683
13177		5.234046	-2.151549	8.414143	0.009438	0.123910	0.036577	-0.836670	0.769775	-0.368164	0.457904	-0.330141	-0.086149	-0.820920
13178		5.128930	-2.221845	8.725487	0.011834	0.181575	0.072509	-0.834717	0.770508	-0.367676	0.458633	-0.328708	-0.085188	-0.821188
13179		5.010482	-2.225637	8.934257	-0.006001	0.256137	0.078736	-0.843262	0.780518	-0.374512	0.459443	-0.326753	-0.083713	-0.821667
13180		4.900702	-2.510496	9.328692	-0.028284	0.337339	0.087577	-0.838867	0.785645	-0.375977	0.460354	-0.324228	-0.081650	-0.822365
13181		4.543727	-2.777692	9.717565	-0.042785	0.429399	0.127848	-0.830322	0.793945	-0.386719	0.461608	-0.321040	-0.078897	-0.823181
13182		4.146299	-3.101504	10.134216	-0.050434	0.527692	0.188398	-0.825439	0.793457	-0.402588	0.463392	-0.317096	-0.075373	-0.824037
13183		3.655225	-3.418137	10.561487	-0.063407	0.650945	0.284259	-0.813232	0.801758	-0.403320	0.465953	-0.312203	-0.070777	-0.824868
13184		3.168225	-3.761146	10.929404	-0.053453	0.785492	0.422821	-0.801758	0.812012	-0.415283	0.469609	-0.306270	-0.065178	-0.825480
13185		2.802401	-3.623678	11.359526	-0.021865	0.926706	0.588715	-0.793213	0.824707	-0.435059	0.474691	-0.299043	-0.058492	-0.825724
13186		2.647331	-3.012300	11.885891	-0.018324	1.108803	0.690483	-0.775879	0.846680	-0.453125	0.480850	-0.290063	-0.050410	-0.825897
13187		2.623649	-2.400132	12.185165	-0.057516	1.320810	0.692704	-0.753906	0.859863	-0.472412	0.487266	-0.279354	-0.040961	-0.826350
13188		2.807762	-2.237424	12.296198	-0.115166	1.538148	0.641113	-0.719238	0.872070	-0.494873	0.492949	-0.267102	-0.030316	-0.827489
13189		3.026345	-2.400232	12.213141	-0.136280	1.734589	0.621381	-0.703857	0.887451	-0.520508	0.498093	-0.253392	-0.018813	-0.829061
13190		3.195016	-2.260153	12.216033	-0.137706	1.891354	0.614374	-0.677246	0.901611	-0.537109	0.503040	-0.238274	-0.006672	-0.830741
13191		3.423786	-2.245060	12.201956	-0.141430	2.041117	0.590770	-0.639648	0.909180	-0.568848	0.507593	-0.221947	0.006006	-0.832498
13192		3.482174	-2.492877	12.098490	-0.128419	2.163993	0.572419	-0.611816	0.927246	-0.595215	0.511783	-0.204586	0.018964	-0.834184
13193		3.620759	-2.823197	12.006802	-0.079738	2.254224	0.601430	-0.569092	0.935059	-0.625244	0.515964	-0.186343	0.031880	-0.835488
13194		3.658667	-2.890015	11.966304	-0.040572	2.316017	0.637690	-0.532715	0.951660	-0.649414	0.520139	-0.167544	0.044688	-0.836294
13195		3.543003	-2.745570	11.915697	-0.055052	2.363406	0.631767	-0.497559	0.949219	-0.671143	0.523918	-0.148600	0.057604	-0.836726
13196		3.429532	-2.894345	11.853049	-0.090246	2.424124	0.602874	-0.441650	0.945801	-0.692871	0.527098	-0.129558	0.070766	-0.836884
13197		3.224573	-3.010703	11.545680	-0.103285	2.466670	0.595260	-0.396973	0.945312	-0.714600	0.529860	-0.110489	0.083963	-0.836655
13198		3.229158	-3.197614	11.345807	-0.107282	2.479405	0.612568	-0.342773	0.946045	-0.720703	0.532407	-0.091583	0.097024	-0.835908
13199		2.980479	-3.093785	11.211897	-0.123114	2.494230	0.621346	-0.282471	0.935791	-0.737793	0.534670	-0.072935	0.110031	-0.834687
