// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
30064		6.098918	-1.817024	7.426944	0.005119	-0.005884	-0.004241	-0.736572	0.026367	-0.481934	-0.191657	-0.305146	0.164901	-0.918129
30065		6.106875	-1.820426	7.438559	0.008159	-0.000977	-0.003070	-0.733154	0.015869	-0.486328	-0.191658	-0.305171	0.164833	-0.918133
30066		6.120528	-1.834787	7.442386	0.003842	-0.002001	-0.001484	-0.748291	0.015625	-0.479004	-0.191666	-0.305191	0.164791	-0.918132
30067		6.107576	-1.818828	7.438375	0.005103	-0.004894	0.000156	-0.738281	0.020264	-0.478027	-0.191645	-0.305237	0.164760	-0.918127
30068		6.106732	-1.824454	7.418278	0.002599	-0.004626	-0.001085	-0.736084	0.016357	-0.481934	-0.191640	-0.305278	0.164745	-0.918117
30069		6.099935	-1.850911	7.448551	0.002875	-0.004797	-0.000101	-0.740967	0.019287	-0.481201	-0.191627	-0.305319	0.164731	-0.918108
30070		6.096791	-1.832364	7.421105	0.003505	-0.003981	-0.002498	-0.736084	0.024414	-0.480469	-0.191631	-0.305358	0.164706	-0.918099
30071		6.082634	-1.853719	7.439699	0.005533	-0.005011	-0.004373	-0.745117	0.021240	-0.489014	-0.191643	-0.305410	0.164664	-0.918087
30072		6.111500	-1.845628	7.424340	0.006639	-0.003432	-0.003655	-0.748291	0.020996	-0.481201	-0.191647	-0.305449	0.164614	-0.918082
30073		6.098729	-1.828850	7.420380	0.008390	-0.004291	-0.006512	-0.739502	0.028564	-0.484619	-0.191667	-0.305502	0.164547	-0.918072
30074		6.096311	-1.804498	7.467579	0.006010	-0.004248	-0.001256	-0.739014	0.020996	-0.473877	-0.191652	-0.305542	0.164512	-0.918068
30075		6.101260	-1.820654	7.439722	0.003842	-0.002002	-0.001483	-0.736328	0.023926	-0.488281	-0.191648	-0.305560	0.164488	-0.918067
30076		6.107610	-1.830742	7.431614	0.004196	-0.003277	-0.001646	-0.745605	0.016357	-0.479736	-0.191643	-0.305587	0.164464	-0.918064
30077		6.122920	-1.838931	7.455012	0.007053	-0.002558	-0.003787	-0.744141	0.029297	-0.486816	-0.191646	-0.305617	0.164413	-0.918062
30078		6.097275	-1.837092	7.435168	0.009555	-0.000563	-0.005764	-0.745850	0.014893	-0.481445	-0.191660	-0.305636	0.164337	-0.918067
30079		6.095281	-1.811068	7.427989	0.011369	-0.001535	-0.005373	-0.743896	0.023438	-0.483154	-0.191666	-0.305665	0.164249	-0.918072
30080		6.104557	-1.807323	7.459680	0.014365	-0.002032	-0.005411	-0.745361	0.022705	-0.481689	-0.191662	-0.305700	0.164142	-0.918080
30081		6.107097	-1.797754	7.424912	0.012411	0.000154	-0.007903	-0.742920	0.020508	-0.489502	-0.191685	-0.305718	0.164038	-0.918088
30082		6.106173	-1.833336	7.447786	0.012003	-0.005243	-0.001329	-0.741943	0.029297	-0.477295	-0.191655	-0.305764	0.163961	-0.918092
30083		6.090958	-1.791728	7.436669	0.017007	-0.001256	-0.005285	-0.746338	0.020508	-0.480713	-0.191639	-0.305799	0.163835	-0.918106
30084		6.091299	-1.789530	7.436919	0.013522	-0.002789	-0.000745	-0.737305	0.021973	-0.475830	-0.191601	-0.305832	0.163744	-0.918120
30085		6.127293	-1.785765	7.433587	0.009898	-0.003106	0.001692	-0.739258	0.010742	-0.477051	-0.191556	-0.305860	0.163683	-0.918131
30086		6.082693	-1.887575	7.458557	0.014568	-0.003360	-0.000055	-0.740723	0.019043	-0.483643	-0.191524	-0.305904	0.163572	-0.918142
30087		6.124563	-1.795689	7.449018	0.015905	-0.005099	-0.002776	-0.738770	0.015869	-0.474854	-0.191493	-0.305949	0.163465	-0.918153
30088		6.108657	-1.724092	7.449900	0.012066	-0.005354	0.001925	-0.742676	0.015381	-0.478516	-0.191440	-0.306001	0.163394	-0.918160
30089		6.091907	-1.855944	7.427494	0.010256	-0.006641	0.004755	-0.736328	0.024170	-0.479980	-0.191371	-0.306052	0.163337	-0.918167
30090		6.121774	-1.744007	7.433443	0.007597	-0.004163	0.005804	-0.739746	0.020020	-0.487305	-0.191290	-0.306063	0.163319	-0.918183
30091		6.078550	-1.876486	7.391313	0.005983	-0.002254	0.007541	-0.737061	0.016846	-0.489014	-0.191214	-0.306045	0.163302	-0.918208
30092		6.114716	-1.837639	7.419944	0.005275	0.000298	0.007863	-0.743164	0.027832	-0.479492	-0.191149	-0.305997	0.163289	-0.918240
30093		6.082620	-1.924462	7.406734	0.009309	0.003743	0.002070	-0.746338	0.014160	-0.492432	-0.191080	-0.305966	0.163255	-0.918271
30094		6.094531	-1.840803	7.467828	0.016557	0.004370	-0.002802	-0.742188	0.014160	-0.478271	-0.191073	-0.305914	0.163136	-0.918311
30095		6.069669	-1.800417	7.425885	0.016648	0.002261	-0.008339	-0.737549	0.016602	-0.474854	-0.191100	-0.305930	0.163003	-0.918323
30096		6.095986	-1.896037	7.444913	0.016233	0.001385	-0.008203	-0.740234	0.017822	-0.482910	-0.191120	-0.305957	0.162876	-0.918333
30097		6.099241	-1.849265	7.442151	0.017096	-0.003382	-0.010810	-0.744873	0.028564	-0.491455	-0.191145	-0.305991	0.162758	-0.918337
30098		6.113673	-1.726741	7.479575	0.011595	-0.002619	-0.012016	-0.737793	0.025635	-0.482910	-0.191147	-0.305972	0.162720	-0.918350
30099		6.118183	-1.810119	7.462595	0.002937	-0.002649	-0.000060	-0.743652	0.012207	-0.480713	-0.191100	-0.305954	0.162752	-0.918360
30100		6.110468	-1.841992	7.418692	0.002032	-0.003291	0.001355	-0.743408	0.021729	-0.482910	-0.191093	-0.305971	0.162755	-0.918355
30101		6.105441	-1.794205	7.458326	0.003842	-0.002007	-0.001475	-0.741211	0.022949	-0.481689	-0.191058	-0.305966	0.162772	-0.918361
30102		6.077736	-1.867075	7.429453	0.007602	-0.000653	-0.005029	-0.741455	0.022461	-0.480713	-0.191040	-0.305962	0.162749	-0.918370
30103		6.100177	-1.847678	7.422434	0.010457	0.000060	-0.007168	-0.736328	0.019531	-0.484375	-0.191030	-0.305965	0.162700	-0.918380
30104		6.074662	-1.875776	7.445556	0.016673	0.000247	-0.017117	-0.745605	0.022217	-0.485352	-0.191122	-0.305957	0.162566	-0.918387
30105		6.077930	-1.895440	7.453424	0.024021	-0.005754	-0.021068	-0.737305	0.020508	-0.490967	-0.191163	-0.306023	0.162404	-0.918385
30106		6.103012	-1.767831	7.467054	0.023995	-0.012174	-0.026643	-0.740723	0.015625	-0.479736	-0.191292	-0.306082	0.162234	-0.918369
30107		6.098035	-1.825055	7.410774	0.021476	-0.010907	-0.023491	-0.736816	0.016846	-0.482178	-0.191398	-0.306219	0.162054	-0.918333
30108		6.154399	-1.678438	7.448053	0.020159	-0.012426	-0.021936	-0.743408	0.019287	-0.485840	-0.191505	-0.306331	0.161900	-0.918301
30109		6.124472	-1.829143	7.445086	0.019156	-0.008699	-0.018212	-0.742676	0.011230	-0.486572	-0.191549	-0.306399	0.161774	-0.918291
30110		6.095454	-1.807776	7.452528	0.017753	-0.006857	-0.018741	-0.742920	0.018311	-0.480713	-0.191678	-0.306452	0.161615	-0.918274
30111		6.105233	-1.703694	7.484981	0.018175	-0.008233	-0.015649	-0.743896	0.020752	-0.477539	-0.191694	-0.306552	0.161496	-0.918258
30112		6.108382	-1.828896	7.471174	0.014775	-0.010862	-0.012250	-0.733643	0.019287	-0.483398	-0.191650	-0.306689	0.161424	-0.918235
30113		6.081139	-1.703328	7.444150	0.012837	-0.011950	-0.015910	-0.749756	0.016602	-0.487549	-0.191726	-0.306739	0.161351	-0.918215
30114		6.131518	-1.818020	7.422667	0.008814	-0.015384	-0.010113	-0.747314	0.011475	-0.480469	-0.191712	-0.306834	0.161328	-0.918190
30115		6.163824	-1.699055	7.446604	-0.002216	-0.011845	-0.003758	-0.739502	0.011963	-0.482910	-0.191722	-0.306939	0.161362	-0.918147
30116		6.115426	-1.656589	7.456779	-0.009724	-0.014547	0.003352	-0.743164	0.015137	-0.482422	-0.191748	-0.306986	0.161469	-0.918107
30117		6.115805	-1.696729	7.477930	-0.018089	-0.014725	0.016284	-0.739014	0.009277	-0.484863	-0.191642	-0.307020	0.161689	-0.918079
30118		6.066468	-1.895646	7.434054	-0.006673	-0.012892	0.003338	-0.743652	0.022217	-0.480225	-0.191715	-0.307038	0.161737	-0.918049
30119		6.076373	-1.898165	7.389846	0.014575	-0.012822	-0.018766	-0.741943	0.017334	-0.489990	-0.191706	-0.307164	0.161662	-0.918022
