// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		8.676165	-4.257813	-1.349807	0.012084	0.006582	-0.018699	-0.802002	-0.084717	0.129639	-0.330488	-0.417716	0.628268	-0.567072
28281		8.692265	-4.270902	-1.275388	0.032186	-0.008916	-0.026071	-0.802979	-0.090332	0.128906	-0.330452	-0.417983	0.628050	-0.567137
28282		8.765212	-4.256560	-1.258040	0.029441	-0.024928	-0.020463	-0.803955	-0.085693	0.134521	-0.330321	-0.418292	0.627905	-0.567146
28283		8.771348	-4.244882	-1.141539	0.029926	-0.031364	-0.018542	-0.802490	-0.091553	0.129883	-0.330141	-0.418619	0.627785	-0.567143
28284		8.826424	-4.161807	-1.140494	0.026667	-0.031484	-0.009512	-0.796875	-0.086914	0.124512	-0.329932	-0.418890	0.627707	-0.567151
28285		8.849312	-4.061137	-1.195018	0.009922	-0.036933	-0.005510	-0.800537	-0.087891	0.124512	-0.329741	-0.419118	0.627732	-0.567065
28286		8.878819	-3.998829	-1.205085	-0.010224	-0.037633	-0.003166	-0.808105	-0.090088	0.128174	-0.329615	-0.419286	0.627854	-0.566880
28287		8.849638	-4.018490	-1.153900	-0.032007	-0.025954	0.002085	-0.800781	-0.087402	0.127197	-0.329615	-0.419318	0.628054	-0.566635
28288		8.832188	-4.069879	-1.168764	-0.054935	-0.030671	0.005872	-0.805664	-0.086182	0.131592	-0.329670	-0.419293	0.628375	-0.566265
28289		8.813401	-4.115373	-1.198361	-0.071465	-0.028430	0.014825	-0.795898	-0.090576	0.126709	-0.329767	-0.419168	0.628785	-0.565845
28290		8.782812	-4.158270	-1.308398	-0.071731	-0.036270	0.018318	-0.797607	-0.088623	0.126465	-0.329820	-0.419063	0.629219	-0.565410
28291		8.757400	-4.150975	-1.215450	-0.067387	-0.045147	0.015605	-0.797363	-0.081543	0.127686	-0.329832	-0.419028	0.629640	-0.564960
28292		8.805071	-4.166717	-1.236197	-0.049730	-0.040247	0.017984	-0.801270	-0.083008	0.124268	-0.329808	-0.419005	0.629962	-0.564632
28293		8.844003	-4.211872	-1.236512	-0.028356	-0.041664	0.013208	-0.800537	-0.088867	0.131104	-0.329738	-0.419072	0.630157	-0.564405
28294		8.815718	-4.233546	-1.218929	-0.008198	-0.036004	0.012663	-0.793945	-0.087402	0.130615	-0.329640	-0.419168	0.630233	-0.564307
28295		8.856624	-4.211312	-1.280739	-0.004342	-0.030228	0.013900	-0.809082	-0.087158	0.127441	-0.329553	-0.419237	0.630271	-0.564264
28296		8.887027	-4.164065	-1.264220	0.003963	-0.042198	0.005458	-0.795898	-0.082031	0.130371	-0.329454	-0.419428	0.630246	-0.564208
28297		8.978861	-4.053202	-1.270937	0.010667	-0.047965	-0.001347	-0.809326	-0.083008	0.137695	-0.329305	-0.419704	0.630187	-0.564155
28298		9.067303	-4.002061	-1.193691	0.000691	-0.045205	-0.018771	-0.795410	-0.086426	0.137939	-0.329364	-0.420030	0.630073	-0.564006
28299		9.166519	-3.912248	-1.181103	-0.017653	-0.032560	-0.032356	-0.801025	-0.089600	0.133545	-0.329583	-0.420338	0.629975	-0.563757
28300		9.362223	-3.855589	-1.079045	-0.027060	-0.035992	-0.056199	-0.802490	-0.094482	0.135498	-0.330008	-0.420783	0.629794	-0.563379
28301		9.569264	-3.812127	-1.068904	-0.035284	-0.027787	-0.088749	-0.809082	-0.092285	0.139648	-0.330732	-0.421353	0.629479	-0.562881
28302		9.634517	-3.677678	-1.038061	-0.056802	-0.014259	-0.123987	-0.797119	-0.090332	0.138184	-0.331895	-0.421995	0.629028	-0.562218
28303		9.753572	-3.583521	-0.885118	-0.058942	0.004688	-0.173878	-0.804932	-0.097168	0.140137	-0.333311	-0.422835	0.628364	-0.561491
28304		9.935031	-3.546222	-0.667548	-0.039422	0.020682	-0.228876	-0.797852	-0.101074	0.133301	-0.335216	-0.423956	0.627276	-0.560729
28305		10.058133	-3.419924	-0.529668	-0.018453	0.079292	-0.290989	-0.804688	-0.092773	0.138184	-0.337588	-0.425228	0.625653	-0.560155
28306		10.274529	-3.414272	-0.270163	-0.020528	0.174429	-0.346834	-0.799805	-0.104980	0.136475	-0.340935	-0.426317	0.623404	-0.559808
28307		10.257793	-3.511481	-0.110708	-0.023474	0.300897	-0.390350	-0.804443	-0.107910	0.129883	-0.345161	-0.427017	0.620660	-0.559734
28308		10.405523	-3.603793	-0.057696	0.024768	0.412038	-0.425398	-0.801514	-0.120605	0.121338	-0.350136	-0.427513	0.617041	-0.560266
28309		10.553732	-3.715982	-0.023364	0.096611	0.558451	-0.468237	-0.802979	-0.131104	0.114502	-0.355783	-0.427745	0.612479	-0.561536
28310		10.894818	-3.768062	0.008919	0.130989	0.733466	-0.516732	-0.810303	-0.135498	0.102295	-0.362547	-0.427438	0.607000	-0.563388
28311		11.344049	-3.710492	0.141812	0.136318	0.930589	-0.565982	-0.808594	-0.140137	0.085938	-0.370811	-0.426418	0.600413	-0.565837
