// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
28280		5.060543	1.920868	8.127699	0.001235	-0.006012	0.003481	-0.695312	-0.475098	-0.333984	-0.355514	-0.289485	0.005131	-0.888697
28281		5.071140	1.951870	8.122406	0.002435	-0.007919	0.001905	-0.695557	-0.473877	-0.333740	-0.355493	-0.289551	0.005141	-0.888683
28282		5.053135	1.977407	8.113880	0.001303	-0.006100	0.002568	-0.692871	-0.469971	-0.328857	-0.355470	-0.289600	0.005156	-0.888677
28283		5.056722	1.952263	8.133670	0.005247	-0.007747	0.001145	-0.694580	-0.474854	-0.333984	-0.355449	-0.289673	0.005142	-0.888662
28284		5.055266	1.977863	8.112441	-0.000377	-0.008092	0.002665	-0.688965	-0.475586	-0.339111	-0.355430	-0.289732	0.005174	-0.888650
28285		5.075246	1.963429	8.102289	-0.000377	-0.008092	0.002665	-0.694092	-0.473877	-0.338867	-0.355412	-0.289792	0.005204	-0.888637
28286		5.057850	1.966114	8.128430	0.001453	-0.007918	0.002766	-0.699951	-0.480469	-0.339111	-0.355388	-0.289857	0.005218	-0.888625
28287		5.046856	1.960487	8.111897	0.001385	-0.007829	0.003678	-0.692383	-0.475098	-0.338379	-0.355359	-0.289921	0.005233	-0.888616
28288		5.055579	1.993815	8.120769	-0.002334	-0.008909	0.005400	-0.696777	-0.471191	-0.333496	-0.355327	-0.289983	0.005280	-0.888608
28289		5.065590	1.970495	8.080647	-0.002551	-0.007003	0.006114	-0.690186	-0.480957	-0.338379	-0.355291	-0.290030	0.005320	-0.888607
28290		5.064968	1.949691	8.129155	-0.003682	-0.005183	0.006778	-0.691162	-0.477295	-0.340332	-0.355254	-0.290064	0.005361	-0.888611
28291		5.075268	1.979694	8.124281	-0.002924	-0.002457	0.005620	-0.690430	-0.468018	-0.338379	-0.355224	-0.290079	0.005384	-0.888617
28292		5.094990	1.953948	8.131755	0.004895	-0.005665	0.003681	-0.694336	-0.470947	-0.341797	-0.355191	-0.290143	0.005350	-0.888610
28293		5.098037	1.940225	8.134358	0.004739	-0.003026	0.002472	-0.693604	-0.477051	-0.337891	-0.355167	-0.290189	0.005305	-0.888605
28294		5.091033	1.983229	8.124767	0.005475	0.002161	-0.001720	-0.687012	-0.478760	-0.335449	-0.355173	-0.290201	0.005228	-0.888599
28295		5.092567	1.970186	8.128153	0.006069	0.008346	-0.005100	-0.701172	-0.474854	-0.344238	-0.355204	-0.290171	0.005116	-0.888597
28296		5.092879	1.968203	8.114872	0.000622	0.016359	-0.003506	-0.689453	-0.469971	-0.342529	-0.355237	-0.290068	0.005022	-0.888618
28297		5.038106	1.917948	8.133600	-0.003059	0.018474	-0.006743	-0.699219	-0.473877	-0.334961	-0.355300	-0.289936	0.004942	-0.888636
28298		5.030624	2.033086	8.112071	-0.011794	0.021595	-0.004858	-0.688232	-0.479736	-0.337158	-0.355373	-0.289762	0.004924	-0.888664
28299		4.977919	1.977204	8.117250	-0.025887	0.016719	0.004909	-0.695557	-0.477539	-0.343506	-0.355412	-0.289577	0.005031	-0.888708
28300		4.992842	1.961424	8.124124	-0.032053	0.011743	0.006870	-0.695068	-0.481201	-0.342529	-0.355455	-0.289405	0.005195	-0.888746
28301		4.994460	1.941933	8.128986	-0.036227	0.003480	0.011150	-0.699219	-0.476562	-0.333740	-0.355482	-0.289281	0.005416	-0.888774
28302		5.013142	1.932663	8.103646	-0.042820	0.001495	0.015548	-0.688232	-0.475098	-0.335938	-0.355487	-0.289157	0.005717	-0.888811
28303		5.050649	1.907929	8.204585	-0.042737	-0.000235	0.016655	-0.696289	-0.476074	-0.333740	-0.355476	-0.289030	0.006023	-0.888855
28304		5.067682	1.900374	8.193370	-0.046462	-0.000492	0.017360	-0.689209	-0.477539	-0.346436	-0.355474	-0.288904	0.006363	-0.888894
28305		5.025053	1.994350	8.138706	-0.050550	0.002976	0.018588	-0.692871	-0.466064	-0.340088	-0.355480	-0.288709	0.006706	-0.888952
28306		5.074827	1.962362	8.137691	-0.057720	0.006619	0.024225	-0.689453	-0.467285	-0.337891	-0.355436	-0.288471	0.007134	-0.889044
28307		5.100559	1.960332	8.158099	-0.063805	0.015030	0.021122	-0.694092	-0.467041	-0.339600	-0.355430	-0.288165	0.007568	-0.889142
28308		5.060818	1.988833	8.163903	-0.072406	0.025777	0.025026	-0.692139	-0.471680	-0.339355	-0.355420	-0.287762	0.008039	-0.889272
28309		5.073983	1.987374	8.139149	-0.083595	0.033626	0.029975	-0.691895	-0.476074	-0.339844	-0.355417	-0.287280	0.008559	-0.889424
28310		5.076319	1.953700	8.119788	-0.087410	0.044547	0.031409	-0.696533	-0.469727	-0.344238	-0.355431	-0.286722	0.009056	-0.889594
28311		5.013753	1.928739	8.119811	-0.084953	0.049272	0.030176	-0.693848	-0.466064	-0.349365	-0.355438	-0.286129	0.009531	-0.889777
28312		5.012614	1.875312	8.149727	-0.078547	0.050694	0.029537	-0.691162	-0.472412	-0.354248	-0.355427	-0.285521	0.009950	-0.889972
28313		4.975596	1.749965	8.217127	-0.064616	0.045587	0.021720	-0.690918	-0.465332	-0.350342	-0.355474	-0.284987	0.010225	-0.890122
28314		4.954694	1.862932	8.167180	-0.050957	0.033033	0.013683	-0.691162	-0.464111	-0.344971	-0.355505	-0.284583	0.010464	-0.890235
28315		4.964561	1.795026	8.153946	-0.028093	0.023718	0.002268	-0.688477	-0.462646	-0.341309	-0.355551	-0.284343	0.010549	-0.890293
28316		4.936784	1.837563	8.173864	-0.010565	0.008767	-0.005269	-0.687012	-0.465088	-0.350342	-0.355591	-0.284277	0.010544	-0.890298
28317		4.881968	1.900591	8.154366	0.005275	-0.002883	-0.005837	-0.683838	-0.461182	-0.351807	-0.355632	-0.284294	0.010419	-0.890277
28318		4.952314	1.905961	8.193621	0.006840	-0.013478	-0.001937	-0.692139	-0.460449	-0.358154	-0.355621	-0.284362	0.010328	-0.890261
28319		4.964364	1.936601	8.188217	-0.007423	-0.018223	0.009565	-0.685791	-0.462402	-0.344971	-0.355576	-0.284399	0.010387	-0.890267
28320		4.967047	1.845946	8.202629	-0.019433	-0.024946	0.017711	-0.693604	-0.459229	-0.350586	-0.355473	-0.284529	0.010568	-0.890264
28321		4.966973	1.870227	8.195024	-0.018790	-0.032309	0.017533	-0.693115	-0.468506	-0.344971	-0.355366	-0.284682	0.010786	-0.890255
28322		5.001768	1.804019	8.163638	-0.022020	-0.030331	0.021749	-0.693604	-0.464600	-0.348145	-0.355294	-0.284875	0.010988	-0.890220
28323		4.999829	1.806925	8.204650	-0.021387	-0.027435	0.022439	-0.692383	-0.460449	-0.350098	-0.355197	-0.285012	0.011197	-0.890212
28324		5.045715	1.758154	8.172368	-0.010290	-0.022455	0.016240	-0.695801	-0.463623	-0.355957	-0.355093	-0.285112	0.011315	-0.890220
28325		5.021310	1.791522	8.220589	-0.009736	-0.016162	0.013829	-0.685791	-0.463379	-0.350830	-0.355059	-0.285137	0.011393	-0.890225
28326		5.006345	1.735766	8.196368	-0.015292	-0.015747	0.013415	-0.687744	-0.467041	-0.351074	-0.355022	-0.285154	0.011498	-0.890233
28327		5.000882	1.853497	8.202734	-0.018242	-0.014922	0.014988	-0.700195	-0.458252	-0.352783	-0.355025	-0.285167	0.011616	-0.890226
28328		5.023078	1.756705	8.176724	-0.021404	-0.011366	0.016289	-0.690430	-0.461182	-0.347412	-0.354929	-0.285139	0.011826	-0.890271
28329		4.981152	1.823364	8.187052	-0.020209	-0.014095	0.015701	-0.694824	-0.459473	-0.344971	-0.354852	-0.285167	0.012001	-0.890290
28330		4.981580	1.821934	8.200635	-0.019860	-0.016987	0.014147	-0.696289	-0.457031	-0.349854	-0.354753	-0.285249	0.012197	-0.890300
28331		5.030934	1.709514	8.226072	-0.020906	-0.017738	0.016921	-0.692383	-0.459473	-0.344971	-0.354631	-0.285280	0.012423	-0.890336
28332		5.041509	1.761998	8.201103	-0.021679	-0.019640	0.017048	-0.697021	-0.462402	-0.348389	-0.354526	-0.285366	0.012638	-0.890347
28333		5.038073	1.800187	8.191500	-0.021608	-0.020549	0.017137	-0.688721	-0.462158	-0.338623	-0.354473	-0.285447	0.012852	-0.890339
28334		5.016782	1.796716	8.141602	-0.025945	-0.017585	0.023045	-0.692139	-0.462891	-0.343994	-0.354357	-0.285571	0.013072	-0.890342
28335		5.032857	1.871397	8.159051	-0.037095	-0.011389	0.030050	-0.689697	-0.451172	-0.349609	-0.354255	-0.285568	0.013378	-0.890379
28336		5.052748	1.737983	8.199311	-0.043336	-0.005182	0.032757	-0.689941	-0.459473	-0.347656	-0.354025	-0.285393	0.013784	-0.890521
28337		5.002654	1.755189	8.218084	-0.040797	-0.003038	0.033649	-0.692383	-0.463135	-0.345215	-0.353910	-0.285264	0.014107	-0.890603
28338		5.017298	1.685237	8.201485	-0.036012	-0.006198	0.035179	-0.692627	-0.457520	-0.343994	-0.353813	-0.285227	0.014385	-0.890648
28339		4.976956	1.757528	8.182089	-0.038120	-0.001051	0.032715	-0.685547	-0.465820	-0.344727	-0.353650	-0.285147	0.014692	-0.890734
28340		4.968090	1.541704	8.202379	-0.024301	-0.007765	0.027769	-0.695312	-0.456787	-0.346436	-0.353679	-0.285142	0.014818	-0.890722
28341		5.033026	1.607144	8.199162	-0.009109	-0.013284	0.014483	-0.694580	-0.460938	-0.345215	-0.353585	-0.285216	0.014922	-0.890734
28342		5.051227	1.660670	8.235869	-0.000923	-0.016994	0.007040	-0.695557	-0.458984	-0.348633	-0.353601	-0.285365	0.014928	-0.890679
28343		5.030927	1.915888	8.171838	-0.001059	-0.015172	0.006864	-0.689941	-0.460693	-0.342773	-0.353601	-0.285447	0.014954	-0.890653
28344		5.004058	1.720284	8.200151	-0.001128	-0.014261	0.006776	-0.693604	-0.459717	-0.353516	-0.353632	-0.285581	0.014928	-0.890598
28345		5.040001	1.617963	8.191425	0.002016	-0.016157	0.003458	-0.687988	-0.463135	-0.345215	-0.353700	-0.285597	0.014913	-0.890566
28346		5.034786	1.751610	8.180903	0.008741	-0.014327	-0.002742	-0.690918	-0.460205	-0.347168	-0.353854	-0.285717	0.014776	-0.890469
28347		5.009763	1.799985	8.212313	0.002998	-0.016155	0.002597	-0.692139	-0.461914	-0.350586	-0.353915	-0.285807	0.014737	-0.890416
28348		5.007817	1.852133	8.170968	0.003406	-0.020786	0.002123	-0.689209	-0.459961	-0.347412	-0.354024	-0.285890	0.014703	-0.890347
28349		5.010103	1.686164	8.167856	0.006868	-0.020234	0.005069	-0.695557	-0.457275	-0.347168	-0.354060	-0.286003	0.014643	-0.890297
28350		5.027821	1.600333	8.168287	0.020448	-0.018398	-0.007164	-0.697998	-0.453125	-0.340332	-0.354067	-0.286168	0.014496	-0.890244
28351		5.076089	1.685925	8.158868	0.029898	-0.013003	-0.017219	-0.686523	-0.460449	-0.345215	-0.353987	-0.286424	0.014274	-0.890197
28352		5.061445	1.778730	8.155006	0.024171	-0.001248	-0.014971	-0.694092	-0.455078	-0.348389	-0.354150	-0.286448	0.013976	-0.890129
28353		5.036618	1.804779	8.206799	0.023269	-0.003823	-0.012019	-0.697510	-0.456299	-0.346191	-0.354125	-0.286464	0.013777	-0.890137
28354		5.004805	1.730129	8.214933	0.021379	-0.004735	-0.010208	-0.690430	-0.458252	-0.340820	-0.354088	-0.286537	0.013604	-0.890131
28355		5.004630	1.847652	8.178370	0.020502	-0.014315	-0.013076	-0.695068	-0.457031	-0.342773	-0.354139	-0.286725	0.013406	-0.890053
28356		4.994596	1.822957	8.194621	0.021508	-0.019301	-0.007928	-0.697510	-0.462402	-0.342529	-0.354091	-0.286937	0.013261	-0.890006
28357		4.999563	1.768846	8.127752	0.021643	-0.020291	-0.008752	-0.696777	-0.466309	-0.341797	-0.354159	-0.287181	0.013093	-0.889903
28358		5.044846	1.834595	8.180529	0.015648	-0.021796	0.000250	-0.690430	-0.456787	-0.345459	-0.354267	-0.287426	0.012968	-0.889782
28359		5.038010	1.805366	8.182287	0.012652	-0.022548	0.004751	-0.694336	-0.463379	-0.343750	-0.354169	-0.287539	0.012918	-0.889786
28360		5.059825	1.803641	8.153039	0.007047	-0.024530	0.008279	-0.692627	-0.461670	-0.341553	-0.354195	-0.287712	0.012898	-0.889720
28361		5.073914	1.732697	8.165253	0.003748	-0.017487	0.007413	-0.691406	-0.461670	-0.343262	-0.354197	-0.287840	0.012877	-0.889678
28362		5.072778	1.671418	8.159099	0.010460	-0.015666	0.001195	-0.703857	-0.460205	-0.350342	-0.354245	-0.287935	0.012787	-0.889630
28363		5.075722	1.761276	8.142122	0.016309	-0.012344	-0.007993	-0.692383	-0.465576	-0.335693	-0.354251	-0.287971	0.012710	-0.889617
28364		5.053641	1.817868	8.128029	0.010867	-0.005891	-0.003391	-0.697266	-0.455566	-0.339844	-0.354394	-0.288129	0.012548	-0.889511
