// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58930		9.486837	-0.402761	-2.505622	0.072129	-0.030803	-0.036497	-0.795166	-0.027588	0.767578	-0.027568	-0.789076	0.069423	-0.609737
58931		9.483868	-0.419198	-2.450882	0.085301	-0.028866	-0.045589	-0.801514	-0.023193	0.773438	-0.027222	-0.789268	0.068696	-0.609586
58932		9.500555	-0.344927	-2.431595	0.078635	-0.035898	-0.049694	-0.808105	-0.025635	0.771729	-0.026931	-0.789496	0.067979	-0.609385
58933		9.481755	-0.430660	-2.445377	0.076044	-0.034571	-0.050596	-0.792480	-0.018799	0.767334	-0.026669	-0.789716	0.067267	-0.609190
58934		9.501435	-0.343485	-2.509702	0.080384	-0.032252	-0.053365	-0.809570	-0.020508	0.768311	-0.026393	-0.789926	0.066515	-0.609013
58935		9.522390	-0.064730	-2.499483	0.050373	-0.021695	-0.041391	-0.797119	-0.012207	0.777100	-0.026260	-0.790068	0.065991	-0.608891
58936		9.513478	0.022627	-2.616329	-0.011708	-0.005162	-0.020123	-0.797363	-0.020020	0.770264	-0.026450	-0.790100	0.065909	-0.608850
58937		9.463945	-0.074932	-2.597066	-0.058479	-0.002044	-0.007592	-0.798340	-0.028564	0.774658	-0.026902	-0.790104	0.066133	-0.608801
58938		9.509934	-0.228814	-2.582052	-0.079582	0.002037	0.004143	-0.797363	-0.029053	0.774170	-0.027450	-0.790079	0.066530	-0.608765
58939		9.469658	-0.363964	-2.497312	-0.086581	0.008600	0.009293	-0.795654	-0.029541	0.768799	-0.028029	-0.790018	0.066989	-0.608767
58940		9.480306	-0.426028	-2.440349	-0.086055	0.017746	0.009062	-0.795654	-0.026123	0.769287	-0.028609	-0.789910	0.067443	-0.608831
58941		9.465335	-0.556175	-2.461146	-0.060113	0.013605	0.002454	-0.808838	-0.019287	0.774414	-0.029045	-0.789827	0.067726	-0.608887
