// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58930		6.081148	-1.717855	7.493020	0.008504	0.010319	0.005196	-0.543701	0.739258	-0.444092	0.599193	-0.313890	-0.138861	-0.723297
58931		6.083155	-1.718611	7.514954	0.010328	0.016379	0.005671	-0.553223	0.747070	-0.441162	0.599273	-0.313746	-0.138827	-0.723300
58932		6.057686	-1.713181	7.489984	0.009161	0.018403	0.005585	-0.559082	0.741211	-0.440674	0.599266	-0.313671	-0.138819	-0.723340
58933		6.065256	-1.723726	7.521266	0.011516	0.020712	0.004848	-0.539307	0.747559	-0.447510	0.599209	-0.313609	-0.138849	-0.723408
58934		5.994736	-1.701066	7.474362	0.012501	0.017018	0.002169	-0.557129	0.746826	-0.449219	0.599343	-0.313389	-0.138797	-0.723402
58935		5.958042	-1.720785	7.502223	0.009499	0.008346	0.000478	-0.546631	0.751709	-0.437988	0.599317	-0.313342	-0.138844	-0.723435
58936		6.018262	-1.712301	7.491957	0.004509	-0.000494	-0.000156	-0.545654	0.745850	-0.444824	0.599294	-0.313347	-0.138888	-0.723444
58937		6.042884	-1.731952	7.475449	0.005508	-0.002462	-0.004883	-0.547363	0.741211	-0.441895	0.599275	-0.313325	-0.138942	-0.723458
58938		6.048997	-1.698447	7.507975	0.007295	-0.007405	-0.004621	-0.546387	0.740479	-0.441162	0.599222	-0.313354	-0.139048	-0.723469
58939		6.032694	-1.728124	7.508889	0.010939	-0.001119	-0.010022	-0.543213	0.742188	-0.444336	0.599158	-0.313316	-0.139156	-0.723518
58940		6.052559	-1.728712	7.515798	0.016080	-0.002807	-0.012049	-0.546875	0.743652	-0.446289	0.599135	-0.313225	-0.139284	-0.723552
58941		6.063557	-1.710264	7.525707	0.016901	-0.000613	-0.013195	-0.556396	0.750244	-0.440186	0.599098	-0.313124	-0.139412	-0.723601
58942		6.034484	-1.691891	7.490490	0.020965	0.000557	-0.013925	-0.549072	0.739502	-0.442139	0.598995	-0.313056	-0.139596	-0.723681
58943		6.045035	-1.699184	7.520106	0.020686	-0.000751	-0.012856	-0.550781	0.746826	-0.443604	0.598934	-0.312955	-0.139769	-0.723741
58944		6.048013	-1.704202	7.508963	0.016443	-0.000676	-0.011718	-0.551025	0.741455	-0.446289	0.598882	-0.312884	-0.139890	-0.723792
58945		6.045908	-1.692621	7.520885	0.014989	-0.001678	-0.008696	-0.552490	0.744873	-0.440674	0.598843	-0.312804	-0.140014	-0.723835
58946		6.054015	-1.715955	7.486270	0.009937	-0.002076	-0.008458	-0.548340	0.746338	-0.454346	0.598770	-0.312795	-0.140098	-0.723883
58947		6.049430	-1.697031	7.509446	0.008028	-0.003131	-0.003969	-0.550781	0.740723	-0.441895	0.598801	-0.312728	-0.140134	-0.723879
58948		6.062849	-1.689326	7.507319	0.005319	-0.002939	-0.002424	-0.550293	0.732910	-0.444824	0.598757	-0.312725	-0.140188	-0.723906
58949		6.042988	-1.669595	7.543636	0.000881	-0.007973	0.000037	-0.550537	0.743896	-0.445801	0.598710	-0.312733	-0.140263	-0.723927
58950		6.060666	-1.687647	7.485762	-0.001017	-0.007307	0.002478	-0.541016	0.747070	-0.442383	0.598705	-0.312791	-0.140253	-0.723908
58951		6.043463	-1.677494	7.510182	-0.001472	-0.007362	0.003947	-0.548584	0.737549	-0.443604	0.598755	-0.312843	-0.140199	-0.723855
58952		6.036532	-1.701640	7.488163	-0.001917	-0.008617	0.000199	-0.548096	0.740479	-0.443115	0.598716	-0.312880	-0.140229	-0.723865
58953		6.041542	-1.703063	7.507501	0.000781	-0.010530	0.000702	-0.554443	0.742676	-0.448486	0.598696	-0.312930	-0.140261	-0.723854
58954		6.053368	-1.661392	7.496687	0.000256	-0.007978	-0.003308	-0.550781	0.754395	-0.438477	0.598647	-0.312966	-0.140289	-0.723874
58955		6.036490	-1.677374	7.540214	-0.004823	-0.013538	0.003075	-0.553955	0.739502	-0.443848	0.598623	-0.313153	-0.140231	-0.723823
58956		6.065004	-1.707018	7.510722	-0.001118	-0.012786	-0.000023	-0.561279	0.741699	-0.439697	0.598562	-0.313221	-0.140288	-0.723834
58957		6.019038	-1.708288	7.518224	-0.002563	-0.014987	-0.002217	-0.547852	0.749023	-0.447021	0.598428	-0.313363	-0.140357	-0.723870
58958		6.051997	-1.712614	7.489297	-0.004372	-0.016408	-0.001558	-0.544678	0.744385	-0.448730	0.598417	-0.313468	-0.140336	-0.723837
58959		6.070949	-1.707671	7.505769	-0.004731	-0.016828	-0.003920	-0.556152	0.745361	-0.441406	0.598412	-0.313529	-0.140338	-0.723815
58960		6.070820	-1.672859	7.496096	-0.003199	-0.016716	-0.003510	-0.545654	0.741943	-0.441895	0.598316	-0.313665	-0.140375	-0.723828
58961		6.048121	-1.728625	7.474238	-0.006635	-0.017888	0.000575	-0.549561	0.745605	-0.442139	0.598292	-0.313774	-0.140375	-0.723801
