// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
56495		7.455136	0.616052	6.291263	-0.013670	-0.031820	-0.008461	-0.468262	-0.452881	-0.707764	0.798970	0.229395	-0.354198	0.428450
56496		7.479390	0.628915	6.271815	-0.006785	-0.031845	-0.002859	-0.471436	-0.462158	-0.703125	0.798899	0.229472	-0.354429	0.428350
56497		7.458206	0.635308	6.269009	-0.006642	-0.028278	0.003695	-0.467529	-0.458496	-0.708008	0.798757	0.229644	-0.354684	0.428312
56498		7.441380	0.653847	6.282173	0.001699	-0.033621	0.007345	-0.467041	-0.449951	-0.699951	0.798619	0.229772	-0.354921	0.428303
56499		7.439056	0.668327	6.227575	0.004196	-0.037536	0.012036	-0.475342	-0.447021	-0.705322	0.798447	0.229921	-0.355185	0.428325
56500		7.469047	0.667173	6.202414	0.001886	-0.041306	0.014404	-0.457275	-0.455078	-0.704346	0.798267	0.230047	-0.355482	0.428347
56501		7.481760	0.632470	6.207228	0.005972	-0.043419	0.012521	-0.472412	-0.450195	-0.702393	0.798107	0.230159	-0.355758	0.428356
56502		7.535637	0.650002	6.201514	0.009875	-0.038276	0.014181	-0.468262	-0.447510	-0.707031	0.797914	0.230344	-0.356011	0.428404
56503		7.557606	0.648143	6.219859	0.015655	-0.033128	0.013536	-0.473633	-0.451660	-0.702881	0.797764	0.230478	-0.356187	0.428466
56504		7.547058	0.662370	6.208907	0.026727	-0.027818	0.014165	-0.478271	-0.458496	-0.706055	0.797568	0.230744	-0.356316	0.428580
56505		7.552777	0.677633	6.166569	0.024785	-0.025922	0.017757	-0.473877	-0.449707	-0.701416	0.797353	0.231014	-0.356458	0.428717
56506		7.548775	0.651260	6.185382	0.032278	-0.029439	0.019753	-0.465576	-0.447998	-0.699219	0.797125	0.231301	-0.356592	0.428874
56507		7.564060	0.630723	6.208136	0.032039	-0.020278	0.024576	-0.460205	-0.450928	-0.697998	0.796928	0.231502	-0.356663	0.429073
56508		7.509955	0.653198	6.176592	0.033650	-0.017345	0.028296	-0.469727	-0.454834	-0.704102	0.796728	0.231689	-0.356713	0.429303
56509		7.474206	0.674340	6.167771	0.032065	-0.023729	0.023632	-0.478271	-0.459473	-0.692139	0.796519	0.231928	-0.356807	0.429483
56510		7.485783	0.699620	6.196286	0.027427	-0.027727	0.017193	-0.469727	-0.457031	-0.707031	0.796261	0.232291	-0.356985	0.429618
56511		7.523335	0.699711	6.183889	0.024024	-0.023211	0.012712	-0.474609	-0.455322	-0.698486	0.796125	0.232506	-0.357058	0.429692
56512		7.575308	0.743999	6.200193	0.012648	-0.028281	0.008129	-0.479004	-0.456055	-0.697998	0.795969	0.232717	-0.357253	0.429706
56513		7.614140	0.750775	6.168479	-0.002034	-0.024513	-0.003436	-0.476807	-0.465332	-0.702393	0.795884	0.232881	-0.357459	0.429603
56514		7.615804	0.776424	6.186547	-0.007695	-0.015975	-0.007065	-0.477539	-0.457520	-0.698486	0.795871	0.233037	-0.357558	0.429458
56515		7.655050	0.823147	6.138945	-0.016276	-0.004180	-0.015928	-0.473145	-0.455566	-0.701660	0.795929	0.233080	-0.357648	0.429253
56516		7.641962	0.776664	6.165445	-0.029443	0.006322	-0.021236	-0.476074	-0.447510	-0.697510	0.796089	0.232983	-0.357686	0.428979
56517		7.600556	0.731727	6.158866	-0.042091	0.013672	-0.028547	-0.467285	-0.454346	-0.699219	0.796298	0.232773	-0.357775	0.428630
56518		7.580499	0.732419	6.138317	-0.053337	0.014151	-0.037466	-0.469238	-0.456299	-0.695312	0.796599	0.232536	-0.357800	0.428178
56519		7.581643	0.711203	6.155995	-0.065117	0.020903	-0.044949	-0.470459	-0.455078	-0.701904	0.796948	0.232267	-0.357823	0.427655
56520		7.618553	0.754606	6.168354	-0.073433	0.027478	-0.050411	-0.471924	-0.451416	-0.703125	0.797361	0.231921	-0.357818	0.427077
56521		7.605858	0.753884	6.161512	-0.083166	0.029681	-0.053692	-0.467041	-0.452881	-0.701416	0.797804	0.231498	-0.357856	0.426446
56522		7.552398	0.675397	6.144744	-0.088109	0.028625	-0.054051	-0.472168	-0.451172	-0.700195	0.798264	0.231054	-0.357895	0.425792
56523		7.580657	0.634879	6.102615	-0.086514	0.014078	-0.048591	-0.472412	-0.446533	-0.696045	0.798631	0.230684	-0.358078	0.425151
56524		7.563927	0.638654	6.117232	-0.074767	0.005778	-0.040775	-0.478516	-0.447998	-0.703125	0.798908	0.230378	-0.358337	0.424579
56525		7.534875	0.605616	6.082826	-0.067515	0.006729	-0.033074	-0.471191	-0.456787	-0.700684	0.799133	0.230131	-0.358584	0.424079
56526		7.507855	0.569882	6.102583	-0.054884	-0.000294	-0.024247	-0.463135	-0.447266	-0.694336	0.799302	0.230008	-0.358756	0.423682
56527		7.465581	0.575939	6.080649	-0.045737	-0.008695	-0.017132	-0.480225	-0.449463	-0.697266	0.799430	0.229825	-0.359004	0.423330
56528		7.450420	0.615738	6.039076	-0.035428	-0.014351	-0.017423	-0.470459	-0.450439	-0.706055	0.799445	0.229862	-0.359330	0.423004
56529		7.521668	0.671834	6.041990	-0.034412	-0.021854	-0.019616	-0.470459	-0.446289	-0.708252	0.799503	0.229856	-0.359614	0.422657
56530		7.552009	0.758827	6.097996	-0.040163	-0.027338	-0.020505	-0.466553	-0.446289	-0.700684	0.799566	0.229788	-0.359983	0.422260
56531		7.619078	0.826907	6.104958	-0.056248	-0.024044	-0.021643	-0.471191	-0.446777	-0.703857	0.799685	0.229605	-0.360364	0.421810
56532		7.638011	0.872491	6.167844	-0.069394	-0.020754	-0.030302	-0.461914	-0.452148	-0.705322	0.799851	0.229390	-0.360769	0.421266
56533		7.634759	0.823917	6.148304	-0.088365	-0.021054	-0.038545	-0.471680	-0.444580	-0.702881	0.800129	0.229075	-0.361109	0.420616
56534		7.614475	0.830691	6.184221	-0.110099	-0.011736	-0.047513	-0.466797	-0.449951	-0.703369	0.800459	0.228622	-0.361573	0.419836
56535		7.567513	0.789364	6.144446	-0.119225	-0.012062	-0.057706	-0.471680	-0.441650	-0.705322	0.800863	0.228179	-0.361960	0.418973
56536		7.536779	0.763809	6.167963	-0.132442	-0.010611	-0.067488	-0.464111	-0.438477	-0.703613	0.801312	0.227624	-0.362460	0.417982
56537		7.554398	0.768013	6.117712	-0.143151	-0.005297	-0.074035	-0.469971	-0.445557	-0.703613	0.801862	0.226931	-0.362913	0.416909
56538		7.539241	0.744462	6.110432	-0.153022	-0.003450	-0.092298	-0.465332	-0.441650	-0.713867	0.802451	0.226369	-0.363324	0.415723
56539		7.527863	0.734282	6.119838	-0.160707	-0.000566	-0.110704	-0.474121	-0.441162	-0.710693	0.803170	0.225700	-0.363684	0.414382
56540		7.516835	0.700383	6.108254	-0.166896	0.002729	-0.121651	-0.466309	-0.445801	-0.711182	0.803880	0.225104	-0.364096	0.412965
56541		7.541926	0.631330	6.139940	-0.164099	0.002260	-0.132026	-0.464844	-0.433105	-0.712158	0.804653	0.224574	-0.364373	0.411501
56542		7.557063	0.621416	6.184281	-0.164787	0.009203	-0.135177	-0.458740	-0.444580	-0.712891	0.805474	0.223868	-0.364709	0.409979
56543		7.555240	0.641811	6.263737	-0.164189	0.014938	-0.136178	-0.466797	-0.437500	-0.708252	0.806328	0.223267	-0.364838	0.408510
56544		7.545046	0.626299	6.215506	-0.162768	0.019127	-0.134008	-0.460693	-0.432861	-0.716797	0.807119	0.222662	-0.365092	0.407049
56545		7.574273	0.545563	6.243056	-0.157628	0.017813	-0.132277	-0.460693	-0.430664	-0.717285	0.807938	0.221967	-0.365309	0.405606
56546		7.551435	0.507083	6.240643	-0.144274	0.027996	-0.123620	-0.460205	-0.435791	-0.725342	0.808723	0.221287	-0.365452	0.404281
56547		7.498363	0.467682	6.168386	-0.133117	0.022683	-0.105940	-0.459473	-0.433350	-0.717773	0.809411	0.220693	-0.365552	0.403138
56548		7.484803	0.419152	6.194895	-0.112156	0.010223	-0.091559	-0.450195	-0.440918	-0.713867	0.809952	0.220249	-0.365737	0.402125
56549		7.567277	0.393783	6.259242	-0.091762	0.018602	-0.069391	-0.461182	-0.433838	-0.724121	0.810444	0.219915	-0.365694	0.401356
56550		7.598997	0.425947	6.256880	-0.079475	0.026967	-0.047426	-0.445557	-0.429199	-0.725342	0.810806	0.219502	-0.365743	0.400806
56551		7.559554	0.394739	6.212219	-0.069991	0.029992	-0.033901	-0.451904	-0.434082	-0.718506	0.811230	0.218927	-0.365660	0.400337
56552		7.480617	0.480583	6.171877	-0.058924	0.023362	-0.020164	-0.459229	-0.439697	-0.719238	0.811485	0.218574	-0.365656	0.400016
56553		7.422535	0.506641	6.128179	-0.053295	0.013976	-0.003960	-0.447998	-0.434570	-0.726074	0.811580	0.218377	-0.365743	0.399853
56554		7.421792	0.502591	6.129412	-0.042386	-0.000546	-0.009585	-0.458740	-0.428711	-0.727783	0.811735	0.218138	-0.365792	0.399622
56555		7.401777	0.484969	6.144094	-0.037621	-0.008468	-0.011633	-0.458740	-0.433105	-0.725586	0.811791	0.217940	-0.366037	0.399393
56556		7.483436	0.479204	6.190892	-0.027334	-0.019623	-0.013620	-0.460205	-0.426514	-0.725830	0.811787	0.217936	-0.366280	0.399180
56557		7.505060	0.609657	6.260129	-0.023656	-0.020400	-0.014858	-0.453857	-0.432129	-0.731201	0.811777	0.217868	-0.366590	0.398953
56558		7.472479	0.630561	6.174631	-0.017829	-0.016725	-0.015249	-0.449219	-0.427246	-0.724365	0.811831	0.217842	-0.366705	0.398751
56559		7.453379	0.589214	6.128458	-0.005558	-0.038165	-0.014697	-0.455322	-0.436279	-0.721436	0.811821	0.217912	-0.366947	0.398511
56560		7.469938	0.587726	6.226405	0.005904	-0.019845	-0.017232	-0.448486	-0.434570	-0.726074	0.811784	0.218200	-0.367007	0.398375
56561		7.353122	0.485092	6.158885	0.019445	-0.005410	-0.026275	-0.463379	-0.429688	-0.733154	0.811874	0.218453	-0.366832	0.398212
56562		7.367000	0.427611	6.197602	0.031078	-0.020632	-0.024117	-0.453125	-0.430908	-0.728760	0.811795	0.218774	-0.366911	0.398123
56563		7.449794	0.456727	6.301958	0.030436	-0.000100	-0.017732	-0.463379	-0.434082	-0.722900	0.811832	0.218981	-0.366760	0.398074
56564		7.589910	0.534344	6.309151	0.023788	0.015060	-0.002645	-0.458008	-0.431885	-0.724121	0.811763	0.219180	-0.366664	0.398193
56565		7.714671	0.582742	6.326447	0.034405	0.008358	0.013608	-0.452393	-0.429688	-0.726807	0.811654	0.219344	-0.366568	0.398414
56566		7.764895	0.607050	6.364036	0.043018	0.022149	0.035958	-0.453613	-0.431885	-0.715332	0.811562	0.219361	-0.366340	0.398801
56567		7.679790	0.592650	6.356971	0.052810	0.036869	0.063305	-0.452637	-0.426025	-0.724365	0.811345	0.219441	-0.366068	0.399450
56568		7.589207	0.523543	6.350103	0.055311	0.042374	0.081405	-0.448486	-0.432861	-0.716553	0.811137	0.219288	-0.365793	0.400206
56569		7.473501	0.459490	6.345179	0.052332	0.046303	0.085101	-0.458984	-0.433594	-0.724854	0.810927	0.219246	-0.365422	0.400993
56570		7.364356	0.450674	6.377674	0.046038	0.057634	0.088001	-0.461670	-0.433838	-0.720215	0.810690	0.219102	-0.365083	0.401859
56571		7.321937	0.513981	6.345000	0.037892	0.061489	0.082475	-0.456787	-0.442383	-0.719482	0.810449	0.218964	-0.364773	0.402701
56572		7.341231	0.608189	6.341260	0.032257	0.063626	0.070711	-0.453125	-0.440186	-0.731934	0.810290	0.218937	-0.364309	0.403454
56573		7.367134	0.633294	6.307538	0.019001	0.064556	0.057970	-0.443359	-0.438232	-0.721436	0.810295	0.218695	-0.363795	0.404039
56574		7.480852	0.644792	6.353156	0.007084	0.064258	0.047313	-0.447510	-0.430908	-0.730713	0.810396	0.218431	-0.363248	0.404471
56575		7.526873	0.637912	6.376156	-0.007086	0.074456	0.043715	-0.452148	-0.434814	-0.726562	0.810574	0.217878	-0.362760	0.404850
56576		7.511502	0.672870	6.358424	-0.023900	0.077032	0.042354	-0.449219	-0.427979	-0.716309	0.810719	0.217342	-0.362353	0.405212
56577		7.530761	0.596774	6.396901	-0.035760	0.078022	0.029857	-0.453613	-0.440430	-0.729492	0.810908	0.216754	-0.362025	0.405443
