// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		9.374014	0.508199	-2.948690	-0.009295	-0.004302	-0.021667	-0.620605	0.356934	0.509521	0.238968	-0.718832	-0.364825	-0.541366
23876		9.367481	0.481811	-2.966839	-0.015070	-0.003526	-0.025043	-0.625977	0.357910	0.502197	0.238754	-0.718802	-0.364914	-0.541441
23877		9.366036	0.444905	-2.931170	-0.025041	-0.000859	-0.020368	-0.624023	0.360352	0.498047	0.238517	-0.718786	-0.364926	-0.541558
23878		9.366533	0.388375	-2.959476	-0.034408	-0.000482	-0.015853	-0.624268	0.354248	0.508545	0.238238	-0.718809	-0.364866	-0.541691
23879		9.354191	0.331205	-2.994668	-0.038772	-0.000289	-0.013061	-0.619629	0.352051	0.506836	0.237949	-0.718849	-0.364767	-0.541832
23880		9.347807	0.260351	-3.009132	-0.026164	-0.000561	-0.012165	-0.617432	0.355469	0.503418	0.237743	-0.718870	-0.364718	-0.541927
23881		9.354437	0.247274	-3.021483	0.005635	-0.006617	-0.013034	-0.628418	0.350830	0.505371	0.237713	-0.718858	-0.364824	-0.541885
23882		9.379107	0.295537	-2.979220	0.027475	-0.006375	-0.013131	-0.620605	0.354980	0.508545	0.237823	-0.718807	-0.365022	-0.541770
23883		9.377599	0.225648	-2.942244	0.007627	-0.004248	-0.008536	-0.616943	0.361572	0.509277	0.237852	-0.718805	-0.365092	-0.541713
23884		9.423507	0.091976	-2.958295	0.031187	-0.003770	-0.000724	-0.625732	0.364746	0.508057	0.238073	-0.718783	-0.365210	-0.541566
23885		9.388814	-0.129095	-2.911445	0.097067	-0.006255	0.016097	-0.622803	0.357666	0.505615	0.238782	-0.718701	-0.365511	-0.541160
23886		9.439137	-0.152900	-3.101755	0.101413	-0.025037	0.044282	-0.626221	0.364502	0.505127	0.239626	-0.718792	-0.365672	-0.540557
23887		9.478980	0.023050	-2.914645	0.143583	-0.018711	0.062726	-0.625000	0.364258	0.507812	0.240864	-0.718847	-0.365872	-0.539798
23888		9.422397	0.131071	-3.006998	0.104082	-0.006496	0.081972	-0.616943	0.362793	0.505127	0.242018	-0.718989	-0.365732	-0.539187
23889		9.270887	0.320719	-3.173063	0.047928	0.001213	0.107648	-0.622070	0.366943	0.507324	0.242983	-0.719292	-0.365162	-0.538735
23890		9.342870	0.557346	-3.073563	0.009742	0.001108	0.138455	-0.609131	0.365234	0.505127	0.243867	-0.719783	-0.364234	-0.538307
23891		9.402268	0.656692	-3.003727	-0.074464	-0.014638	0.180208	-0.618408	0.361572	0.502197	0.244323	-0.720628	-0.362746	-0.537976
23892		9.502373	0.657686	-3.004640	-0.158358	-0.017898	0.236976	-0.613281	0.363770	0.497314	0.244512	-0.721819	-0.360545	-0.537773
23893		9.485416	0.457318	-2.900933	-0.227763	-0.014404	0.292323	-0.616699	0.370361	0.504395	0.244490	-0.723277	-0.357710	-0.537716
23894		9.320647	0.224474	-2.991387	-0.290062	-0.029050	0.370541	-0.607422	0.370361	0.510742	0.244425	-0.725158	-0.354149	-0.537569
23895		9.246867	0.307741	-3.294546	-0.380592	-0.036025	0.444072	-0.612305	0.365234	0.507812	0.244094	-0.727451	-0.349774	-0.537485
23896		9.218929	0.233091	-3.243761	-0.412619	-0.021608	0.481593	-0.610840	0.364014	0.512939	0.243749	-0.729842	-0.344991	-0.537492
23897		9.387471	0.029366	-3.161781	-0.378351	-0.020268	0.488117	-0.606934	0.370850	0.516113	0.243619	-0.732169	-0.340335	-0.537355
23898		9.284846	-0.247578	-3.268325	-0.288708	-0.022004	0.472549	-0.607178	0.380371	0.521973	0.243963	-0.734279	-0.336163	-0.536946
23899		9.184452	-0.421715	-3.382255	-0.163101	-0.036457	0.438501	-0.598877	0.383301	0.518555	0.244924	-0.736141	-0.332754	-0.536081
23900		9.216788	-0.881941	-3.404675	-0.036910	-0.049342	0.420382	-0.591797	0.380127	0.519775	0.246524	-0.737754	-0.330029	-0.534814
23901		9.212701	-0.857578	-3.351475	0.065576	-0.065964	0.428493	-0.597656	0.378174	0.527100	0.248750	-0.739249	-0.327753	-0.533116
23902		9.259897	-0.697986	-3.284721	0.137680	-0.071792	0.464326	-0.603027	0.402832	0.516846	0.251621	-0.740760	-0.325587	-0.530994
