// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		8.252425	-2.460644	4.721253	-0.003662	0.001405	0.000052	-0.470947	0.416260	-0.195801	0.577359	-0.459741	-0.219700	-0.637987
23876		8.246985	-2.478452	4.690621	-0.001557	0.000339	-0.003659	-0.476562	0.418945	-0.204346	0.577334	-0.459740	-0.219704	-0.638008
23877		8.250871	-2.464022	4.688713	-0.000880	-0.000562	-0.003334	-0.475342	0.423584	-0.206787	0.577314	-0.459734	-0.219716	-0.638026
23878		8.239730	-2.457507	4.714764	-0.005302	-0.000622	-0.001266	-0.474609	0.419922	-0.196289	0.577286	-0.459761	-0.219696	-0.638039
23879		8.271704	-2.487215	4.669972	-0.003568	-0.001691	-0.001625	-0.469482	0.412842	-0.200928	0.577261	-0.459784	-0.219692	-0.638047
23880		8.260782	-2.501678	4.652254	-0.001557	0.000339	-0.003659	-0.466064	0.420166	-0.201416	0.577235	-0.459786	-0.219696	-0.638068
23881		8.238190	-2.460997	4.682138	-0.002430	0.006699	-0.002972	-0.477295	0.411621	-0.201904	0.577222	-0.459761	-0.219662	-0.638109
23882		8.254580	-2.476733	4.710150	0.001140	0.002198	-0.003025	-0.473633	0.420654	-0.197266	0.577213	-0.459745	-0.219670	-0.638126
23883		8.246952	-2.449480	4.668608	-0.002143	0.010526	-0.002304	-0.468262	0.425781	-0.197510	0.577210	-0.459703	-0.219616	-0.638178
23884		8.255861	-2.513830	4.657228	0.007474	0.006653	-0.007793	-0.472656	0.426758	-0.196289	0.577207	-0.459626	-0.219655	-0.638222
23885		8.255506	-2.484382	4.636061	0.007254	0.016109	-0.012134	-0.470947	0.420410	-0.199219	0.577197	-0.459498	-0.219663	-0.638320
23886		8.235900	-2.503496	4.668866	0.011098	0.020162	-0.014528	-0.476562	0.422607	-0.198486	0.577195	-0.459332	-0.219682	-0.638435
23887		8.214509	-2.476878	4.690319	0.017639	0.019150	-0.020309	-0.475830	0.418945	-0.198242	0.577186	-0.459134	-0.219760	-0.638559
23888		8.249126	-2.466940	4.691438	0.019857	0.021901	-0.021681	-0.471191	0.419434	-0.197998	0.577184	-0.458909	-0.219841	-0.638695
23889		8.307994	-2.465798	4.672853	0.021797	0.021557	-0.021377	-0.473633	0.419678	-0.195801	0.577189	-0.458681	-0.219932	-0.638823
23890		8.286130	-2.465179	4.718664	0.026517	0.030886	-0.023456	-0.463135	0.418457	-0.197998	0.577216	-0.458383	-0.220015	-0.638984
23891		8.271690	-2.429705	4.694878	0.027688	0.033796	-0.024152	-0.471191	0.410400	-0.205322	0.577250	-0.458061	-0.220092	-0.639158
23892		8.230150	-2.374385	4.769336	0.023174	0.036082	-0.022766	-0.468750	0.413574	-0.205811	0.577274	-0.457753	-0.220136	-0.639341
23893		8.206405	-2.426150	4.762872	0.025996	0.029380	-0.023136	-0.475098	0.420410	-0.203613	0.577295	-0.457461	-0.220228	-0.639500
23894		8.164664	-2.471879	4.762258	0.020904	0.022550	-0.027757	-0.466309	0.416016	-0.199463	0.577258	-0.457226	-0.220340	-0.639662
23895		8.262053	-2.577616	4.689594	0.017926	0.028777	-0.045157	-0.475098	0.410156	-0.204834	0.577138	-0.456931	-0.220463	-0.639939
23896		8.262276	-2.589348	4.651679	0.029833	0.040272	-0.065777	-0.478760	0.404541	-0.202148	0.576973	-0.456494	-0.220672	-0.640327
23897		8.223007	-2.446821	4.757157	0.031455	0.045615	-0.079912	-0.476807	0.411133	-0.200928	0.576748	-0.456013	-0.220917	-0.640788
23898		8.227007	-2.418524	4.761936	0.034961	0.031926	-0.089334	-0.479492	0.417969	-0.199707	0.576464	-0.455577	-0.221268	-0.641233
23899		8.285732	-2.517031	4.706984	0.041843	0.035517	-0.099862	-0.475586	0.414551	-0.203857	0.576155	-0.455083	-0.221668	-0.641723
23900		8.225526	-2.398827	4.777205	0.044295	0.044463	-0.109034	-0.473633	0.405762	-0.203613	0.575828	-0.454510	-0.222066	-0.642285
23901		8.242397	-2.320174	4.809079	0.041260	0.033248	-0.108002	-0.480713	0.399902	-0.198975	0.575476	-0.453993	-0.222511	-0.642812
23902		8.240843	-2.343604	4.839615	0.036679	0.023089	-0.108291	-0.491211	0.415283	-0.209473	0.575079	-0.453553	-0.223007	-0.643305
23903		8.203786	-2.297682	4.867670	0.028803	0.010358	-0.106507	-0.480225	0.410156	-0.203125	0.574636	-0.453264	-0.223468	-0.643745
23904		8.235523	-2.248662	4.824080	0.021028	-0.004716	-0.104030	-0.481689	0.403809	-0.205566	0.574159	-0.453055	-0.223956	-0.644148
23905		8.243685	-2.219384	4.821183	0.009542	-0.017654	-0.099164	-0.486816	0.398193	-0.203613	0.573638	-0.452958	-0.224446	-0.644510
23906		8.300205	-2.293190	4.715891	0.004801	-0.014659	-0.093786	-0.483887	0.402344	-0.215332	0.573125	-0.452869	-0.224904	-0.644868
23907		8.330919	-2.140064	4.676989	0.006525	0.009738	-0.086917	-0.476074	0.407959	-0.213379	0.572708	-0.452645	-0.225196	-0.645295
23908		8.278816	-2.131677	4.787716	0.005329	0.022883	-0.065137	-0.485352	0.404785	-0.206787	0.572429	-0.452399	-0.225322	-0.645671
23909		8.260859	-2.087313	4.806980	-0.005497	0.026760	-0.043516	-0.485596	0.398926	-0.215088	0.572215	-0.452243	-0.225328	-0.645967
23910		8.267335	-2.110695	4.852733	-0.015344	0.022672	-0.011752	-0.489990	0.404297	-0.197998	0.572126	-0.452173	-0.225202	-0.646139
23911		8.333746	-2.187010	4.757247	-0.013931	0.033136	0.006004	-0.481689	0.401611	-0.215332	0.572138	-0.452129	-0.224979	-0.646237
23912		8.262542	-2.108728	4.793853	-0.013261	0.041391	0.023442	-0.480713	0.406982	-0.213135	0.572286	-0.451999	-0.224639	-0.646315
23913		8.192219	-2.142887	4.922664	-0.022034	0.023242	0.048198	-0.477051	0.407959	-0.204590	0.572501	-0.452070	-0.224232	-0.646216
23914		8.113662	-2.024642	4.954647	-0.042038	-0.019444	0.075210	-0.480957	0.401123	-0.204102	0.572705	-0.452526	-0.223816	-0.645861
23915		8.172034	-2.082011	4.982567	-0.071084	-0.067842	0.116406	-0.481689	0.414551	-0.205322	0.572916	-0.453425	-0.223362	-0.645199
23916		8.446783	-2.517245	4.767688	-0.070574	-0.051725	0.110862	-0.475342	0.409912	-0.208008	0.573141	-0.454239	-0.222805	-0.644619
23917		8.425674	-2.525370	4.568486	-0.043531	-0.017116	0.080147	-0.483398	0.409668	-0.205811	0.573388	-0.454655	-0.222345	-0.644265
23918		8.335123	-2.539535	4.610462	-0.022598	0.013953	0.045534	-0.472412	0.406006	-0.204834	0.573556	-0.454783	-0.222004	-0.644143
23919		8.262902	-2.394479	4.709119	-0.012279	0.025616	0.030602	-0.475098	0.417969	-0.208496	0.573731	-0.454764	-0.221701	-0.644105
23920		8.150636	-2.332558	4.892409	-0.012494	0.010279	0.021246	-0.483398	0.411865	-0.203857	0.573841	-0.454840	-0.221462	-0.644036
23921		8.138434	-2.302700	4.894279	-0.023495	-0.016496	0.014719	-0.481201	0.409180	-0.210938	0.573781	-0.455109	-0.221363	-0.643933
23922		8.219259	-2.307989	4.795087	-0.022511	-0.025078	0.007006	-0.471680	0.412598	-0.209717	0.573695	-0.455344	-0.221339	-0.643851
23923		8.301398	-2.467920	4.668368	-0.016875	-0.018144	-0.001131	-0.475830	0.406006	-0.207031	0.573639	-0.455497	-0.221300	-0.643807
23924		8.268897	-2.469937	4.700625	-0.011382	-0.008743	-0.017667	-0.473877	0.399902	-0.205322	0.573498	-0.455550	-0.221351	-0.643877
23925		8.229502	-2.390278	4.744567	-0.007323	-0.005339	-0.031824	-0.477539	0.408936	-0.206787	0.573295	-0.455532	-0.221479	-0.644027
23926		8.243955	-2.360837	4.727198	-0.004580	-0.000271	-0.038922	-0.479736	0.417725	-0.209473	0.573086	-0.455489	-0.221589	-0.644206
23927		8.231668	-2.332167	4.764239	-0.006652	-0.001448	-0.042264	-0.477783	0.411377	-0.206055	0.572872	-0.455472	-0.221668	-0.644381
23928		8.228661	-2.292709	4.786284	-0.009659	-0.000231	-0.039556	-0.478760	0.406738	-0.202393	0.572646	-0.455465	-0.221737	-0.644562
23929		8.227728	-2.243611	4.773749	-0.012249	-0.003726	-0.037177	-0.484619	0.403076	-0.200195	0.572389	-0.455501	-0.221827	-0.644734
23930		8.191721	-2.177123	4.839219	-0.012089	-0.006294	-0.021045	-0.481934	0.405029	-0.201416	0.572168	-0.455588	-0.221912	-0.644840
23931		8.268828	-2.271865	4.714057	-0.013970	-0.006194	-0.005902	-0.481201	0.413330	-0.199951	0.572045	-0.455697	-0.221909	-0.644872
23932		8.270191	-2.241350	4.722647	-0.011511	0.001031	0.003472	-0.480957	0.406006	-0.207764	0.572016	-0.455817	-0.221800	-0.644852
23933		8.239048	-2.283869	4.702508	-0.007486	0.006468	0.011826	-0.480957	0.408203	-0.205811	0.572070	-0.455808	-0.221700	-0.644845
23934		8.223847	-2.210843	4.794063	-0.009628	0.012118	0.020239	-0.478027	0.406738	-0.204590	0.572167	-0.455820	-0.221519	-0.644812
23935		8.227199	-2.277405	4.795109	-0.014876	0.001943	0.032737	-0.472900	0.411865	-0.205322	0.572297	-0.455930	-0.221312	-0.644690
23936		8.178104	-2.235244	4.842869	-0.021493	-0.011042	0.039869	-0.478271	0.412842	-0.204102	0.572467	-0.456157	-0.221052	-0.644467
23937		8.211637	-2.241015	4.805044	-0.029297	-0.020780	0.049351	-0.480713	0.406982	-0.201660	0.572604	-0.456507	-0.220783	-0.644190
23938		8.195614	-2.238713	4.871729	-0.043286	-0.033525	0.066608	-0.480713	0.407959	-0.207764	0.572705	-0.457017	-0.220488	-0.643840
23939		8.304224	-2.376534	4.696426	-0.045546	-0.042646	0.075669	-0.474854	0.419678	-0.199219	0.572865	-0.457535	-0.220189	-0.643432
23940		8.249067	-2.342941	4.719283	-0.045656	-0.032693	0.081342	-0.477295	0.414062	-0.204834	0.573107	-0.458131	-0.219723	-0.642951
23941		8.273892	-2.442284	4.695327	-0.046343	-0.030247	0.077957	-0.475830	0.412354	-0.191650	0.573322	-0.458625	-0.219312	-0.642548
23942		8.198267	-2.361492	4.813331	-0.050676	-0.035844	0.080641	-0.476074	0.412354	-0.197021	0.573447	-0.459295	-0.218904	-0.642096
23943		8.294243	-2.522759	4.685320	-0.054370	-0.051619	0.081951	-0.471436	0.417725	-0.193848	0.573564	-0.460000	-0.218555	-0.641606
23944		8.296019	-2.579048	4.588519	-0.045815	-0.048261	0.073445	-0.470947	0.416016	-0.196289	0.573709	-0.460675	-0.218210	-0.641109
23945		8.275003	-2.520385	4.620119	-0.038278	-0.036905	0.062639	-0.480225	0.414551	-0.198242	0.573857	-0.461193	-0.217908	-0.640707
23946		8.280156	-2.513797	4.644969	-0.031440	-0.027898	0.059222	-0.468262	0.428223	-0.203613	0.573963	-0.461604	-0.217680	-0.640393
23947		8.221902	-2.572344	4.740495	-0.022757	-0.029209	0.052069	-0.471924	0.419434	-0.194580	0.574247	-0.461948	-0.217369	-0.639997
23948		8.233595	-2.483783	4.683597	-0.031319	-0.042506	0.048741	-0.476318	0.424316	-0.185303	0.574329	-0.462458	-0.217180	-0.639619
23949		8.239054	-2.499591	4.630515	-0.032609	-0.046207	0.048718	-0.472656	0.422119	-0.191406	0.574330	-0.463124	-0.216999	-0.639197
