// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
23875		9.433380	-0.078668	-2.664564	0.006445	-0.009940	-0.008924	-0.697266	0.355225	0.441895	0.280621	-0.709031	-0.364888	-0.534213
23876		9.452006	-0.145047	-2.640517	-0.006619	-0.010711	-0.005280	-0.703369	0.357910	0.433594	0.280526	-0.709078	-0.364915	-0.534182
23877		9.484913	-0.204685	-2.584530	-0.004259	-0.012862	-0.005757	-0.699707	0.362305	0.431885	0.280445	-0.709119	-0.364960	-0.534139
23878		9.459851	-0.179530	-2.613375	-0.003659	-0.005749	-0.007400	-0.700928	0.356201	0.436523	0.280375	-0.709131	-0.365000	-0.534134
23879		9.427129	-0.261480	-2.642555	-0.001424	-0.008537	-0.009850	-0.696533	0.353760	0.435791	0.280301	-0.709142	-0.365068	-0.534111
23880		9.459616	-0.315760	-2.706676	0.003622	-0.007605	-0.011656	-0.690918	0.361328	0.435303	0.280256	-0.709133	-0.365164	-0.534081
23881		9.463752	-0.248749	-2.623529	0.007098	-0.007970	-0.015586	-0.702148	0.350830	0.434814	0.280221	-0.709109	-0.365294	-0.534042
23882		9.459903	-0.256339	-2.614624	0.013890	-0.010248	-0.018313	-0.697510	0.358154	0.443359	0.280214	-0.709072	-0.365470	-0.533974
23883		9.467698	-0.378221	-2.607102	0.023682	-0.013011	-0.025808	-0.695557	0.363525	0.438965	0.280233	-0.709003	-0.365733	-0.533876
23884		9.417785	-0.645867	-2.676892	0.038905	-0.023259	-0.045928	-0.697754	0.366211	0.437988	0.280237	-0.708885	-0.366194	-0.533714
23885		9.428621	-0.677215	-2.505089	0.055944	-0.040049	-0.060182	-0.697754	0.360596	0.438721	0.280259	-0.708771	-0.366830	-0.533417
23886		9.510930	-0.745604	-2.412436	0.069118	-0.056978	-0.094932	-0.703125	0.363037	0.436768	0.280193	-0.708601	-0.367739	-0.533053
23887		9.511009	-0.813518	-2.477363	0.108166	-0.066396	-0.126469	-0.701904	0.359863	0.441162	0.280239	-0.708286	-0.368990	-0.532582
23888		9.424734	-0.578212	-2.497367	0.107195	-0.083076	-0.158386	-0.697998	0.355469	0.438721	0.280141	-0.707954	-0.370422	-0.532080
23889		9.367649	-0.660475	-2.729898	0.109194	-0.095480	-0.187644	-0.701904	0.356201	0.442383	0.279919	-0.707582	-0.372037	-0.531565
23890		9.481320	-0.617622	-2.773030	0.146938	-0.096981	-0.216630	-0.693848	0.354004	0.441162	0.279836	-0.707056	-0.373960	-0.530959
23891		9.463736	-0.392434	-2.730790	0.159499	-0.088016	-0.231750	-0.702881	0.345459	0.433838	0.279788	-0.706424	-0.375998	-0.530386
23892		9.579396	-0.311244	-2.701514	0.166666	-0.085128	-0.253178	-0.700928	0.344727	0.430664	0.279726	-0.705699	-0.378132	-0.529866
23893		9.507623	-0.275757	-2.837585	0.117698	-0.085591	-0.276006	-0.705566	0.348633	0.433105	0.279263	-0.705017	-0.380175	-0.529557
23894		9.420035	-0.305489	-3.062231	0.052140	-0.065697	-0.298869	-0.699707	0.344727	0.442139	0.278448	-0.704345	-0.381988	-0.529576
23895		9.253460	-0.106993	-2.979767	-0.094776	-0.052111	-0.295589	-0.708252	0.332520	0.435059	0.276795	-0.703965	-0.383191	-0.530078
23896		9.400800	-0.657560	-2.932051	-0.099668	-0.035603	-0.312387	-0.714600	0.325195	0.439697	0.275073	-0.703483	-0.384349	-0.530775
23897		9.479027	0.175084	-2.782114	-0.027812	-0.018673	-0.327070	-0.714600	0.327148	0.439941	0.273877	-0.702737	-0.385828	-0.531309
23898		9.397923	0.516082	-2.740482	-0.060393	-0.015148	-0.303486	-0.718262	0.334229	0.440674	0.272598	-0.702129	-0.387030	-0.531896
23899		9.447250	-0.174108	-2.948012	0.000679	0.008778	-0.294936	-0.715576	0.324707	0.433350	0.271868	-0.701333	-0.388373	-0.532341
23900		9.392773	-0.174927	-2.880931	0.083187	0.027014	-0.313175	-0.715576	0.316406	0.436035	0.271379	-0.700189	-0.390140	-0.532803
23901		9.340834	0.209510	-2.697916	0.030603	0.018987	-0.325847	-0.725098	0.307373	0.440674	0.270474	-0.699122	-0.391848	-0.533411
23902		9.414202	-0.393625	-2.659386	-0.027086	-0.002876	-0.346508	-0.737061	0.319824	0.431641	0.269243	-0.698196	-0.393449	-0.534067
23903		9.455561	-0.098469	-2.591100	-0.031850	0.003958	-0.387783	-0.727051	0.308350	0.433594	0.268114	-0.697297	-0.394867	-0.534764
23904		9.354237	0.513303	-2.590750	-0.087627	-0.008053	-0.402925	-0.729736	0.299805	0.433105	0.266231	-0.696402	-0.396385	-0.535746
23905		9.252411	0.940137	-2.707144	-0.163500	-0.047831	-0.409820	-0.733154	0.285400	0.435547	0.263681	-0.695788	-0.397696	-0.536832
23906		9.191902	1.086445	-2.978539	-0.182514	-0.048356	-0.386197	-0.734619	0.284912	0.426025	0.261043	-0.695206	-0.398863	-0.538009
