// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
21292		5.047741	2.028060	8.102638	-0.001585	-0.007071	0.004033	-0.175049	-0.185059	-0.583740	0.947772	0.144316	-0.253058	0.129856
21293		5.012474	2.046858	8.106351	-0.003436	-0.005929	0.005260	-0.178955	-0.168945	-0.579102	0.947758	0.144284	-0.253115	0.129883
21294		5.049664	2.026547	8.101818	-0.001618	-0.004601	0.005229	-0.173828	-0.173340	-0.575684	0.947745	0.144247	-0.253169	0.129917
21295		5.045429	2.013585	8.117446	-0.001834	-0.002513	0.002509	-0.171387	-0.172852	-0.574951	0.947739	0.144230	-0.253194	0.129930
21296		5.020914	2.034234	8.112522	0.000017	-0.001235	-0.000598	-0.175781	-0.177734	-0.578613	0.947737	0.144233	-0.253202	0.129924
21297		5.051709	2.043254	8.128891	-0.002051	-0.002846	0.001670	-0.173096	-0.174316	-0.577637	0.947732	0.144216	-0.253228	0.129929
21298		5.032787	2.035225	8.103390	0.000450	0.001851	-0.000798	-0.163574	-0.175293	-0.578613	0.947737	0.144219	-0.253210	0.129926
21299		5.017465	2.038863	8.155791	-0.003651	-0.003841	0.002541	-0.168457	-0.180176	-0.581055	0.947731	0.144190	-0.253244	0.129933
21300		5.016576	2.041366	8.130455	-0.000450	-0.001851	0.000798	-0.166016	-0.174316	-0.589111	0.947729	0.144187	-0.253254	0.129935
21301		5.038979	2.026205	8.084781	-0.000234	-0.001519	0.001638	-0.170898	-0.176025	-0.574463	0.947726	0.144184	-0.253259	0.129945
21302		5.012320	2.028726	8.146020	0.000916	-0.002375	0.001564	-0.169922	-0.182373	-0.583008	0.947721	0.144191	-0.253270	0.129955
21303		5.047182	2.032768	8.118818	0.001617	-0.002661	0.000409	-0.167725	-0.172363	-0.572998	0.947717	0.144206	-0.253276	0.129957
21304		5.023237	2.033354	8.111304	0.002100	-0.003280	-0.001585	-0.166016	-0.170654	-0.575684	0.947713	0.144230	-0.253284	0.129943
21305		5.030697	2.060679	8.147876	-0.000650	-0.003419	-0.000640	-0.175293	-0.173096	-0.573486	0.947712	0.144231	-0.253294	0.129930
21306		5.018290	2.062110	8.131473	-0.000917	-0.002467	0.002194	-0.173584	-0.173828	-0.574707	0.947711	0.144224	-0.253297	0.129940
21307		5.032087	2.039772	8.144982	-0.000417	-0.004321	-0.000399	-0.167480	-0.175293	-0.578125	0.947709	0.144232	-0.253307	0.129926
21308		5.002119	2.030053	8.128286	-0.005717	-0.003031	0.002930	-0.177246	-0.177734	-0.579590	0.947714	0.144188	-0.253311	0.129929
21309		5.018936	2.042887	8.103354	-0.003667	-0.002606	0.003140	-0.170654	-0.175537	-0.574951	0.947718	0.144160	-0.253307	0.129938
21310		5.009173	2.037956	8.137442	-0.002983	-0.001657	0.002583	-0.169189	-0.173340	-0.584473	0.947724	0.144139	-0.253292	0.129944
21311		5.014178	2.049690	8.121640	-0.003016	0.000813	0.003780	-0.168945	-0.181396	-0.573730	0.947737	0.144110	-0.253250	0.129964
21312		5.020734	2.058248	8.130942	-0.004600	-0.003839	0.005932	-0.164551	-0.179688	-0.580322	0.947739	0.144076	-0.253252	0.129987
21313		5.004203	2.025724	8.128083	-0.006184	-0.003648	0.004326	-0.173584	-0.183350	-0.580322	0.947747	0.144033	-0.253242	0.129994
21314		5.004591	2.045473	8.130184	-0.000450	-0.006695	0.004555	-0.169434	-0.175293	-0.570068	0.947742	0.144041	-0.253250	0.130009
21315		5.012321	2.033598	8.136593	-0.003682	-0.006215	0.007495	-0.176025	-0.170410	-0.583740	0.947735	0.144010	-0.253272	0.130046
21316		5.011486	2.055985	8.113530	-0.004366	-0.004742	0.006173	-0.175293	-0.177246	-0.585449	0.947739	0.143968	-0.253265	0.130078
21317		5.008102	2.021761	8.126668	-0.005732	-0.006640	0.007286	-0.168945	-0.178711	-0.586426	0.947741	0.143926	-0.253268	0.130106
21318		5.010159	2.037931	8.153912	-0.006648	-0.006687	0.007601	-0.167969	-0.168945	-0.572510	0.947747	0.143875	-0.253262	0.130133
21319		5.009517	2.059903	8.130844	-0.006648	-0.006687	0.007600	-0.168945	-0.171631	-0.582764	0.947744	0.143811	-0.253289	0.130172
21320		5.016946	2.009028	8.107317	-0.007548	-0.007969	0.007317	-0.166992	-0.167969	-0.577881	0.947747	0.143747	-0.253299	0.130201
21321		5.007292	2.043968	8.145987	-0.011213	-0.008153	0.008578	-0.172607	-0.177979	-0.578857	0.947750	0.143643	-0.253328	0.130238
21322		5.043858	2.063416	8.146394	-0.010079	-0.005353	0.007225	-0.173828	-0.176514	-0.582031	0.947759	0.143571	-0.253329	0.130252
21323		5.009616	2.039411	8.145700	-0.014675	-0.006772	0.011278	-0.178711	-0.179688	-0.583252	0.947767	0.143455	-0.253346	0.130288
21324		5.020050	2.081727	8.116481	-0.016972	-0.005060	0.011428	-0.173584	-0.179688	-0.575928	0.947780	0.143327	-0.253354	0.130316
21325		4.999275	2.093053	8.162256	-0.020868	-0.006766	0.014325	-0.169189	-0.176758	-0.579102	0.947787	0.143173	-0.253397	0.130353
21326		5.062475	2.007338	8.157936	-0.020881	-0.005533	0.014924	-0.163818	-0.178467	-0.577637	0.947801	0.143010	-0.253409	0.130402
21327		5.086961	1.985926	8.137635	-0.016022	-0.005061	0.008035	-0.169922	-0.176514	-0.576660	0.947820	0.142903	-0.253397	0.130406
21328		5.047028	1.969894	8.155513	-0.013972	-0.002214	0.006368	-0.170166	-0.170166	-0.576416	0.947838	0.142805	-0.253385	0.130407
21329		5.038930	2.002464	8.126304	-0.013012	-0.001020	0.000502	-0.169922	-0.169922	-0.575928	0.947862	0.142699	-0.253365	0.130384
21330		5.037209	2.024567	8.103948	-0.010017	-0.000594	-0.002680	-0.171875	-0.173584	-0.575684	0.947887	0.142622	-0.253338	0.130343
21331		5.008725	2.049506	8.142937	-0.007748	-0.002266	0.000243	-0.173096	-0.177490	-0.577148	0.947900	0.142576	-0.253330	0.130316
21332		4.989812	2.040547	8.117667	-0.008475	0.000487	0.002600	-0.168701	-0.177979	-0.577148	0.947917	0.142537	-0.253296	0.130299
21333		5.009471	2.026102	8.140956	-0.010321	-0.000798	0.005705	-0.178955	-0.171143	-0.580811	0.947935	0.142480	-0.253259	0.130299
21334		5.017168	1.972157	8.143071	-0.009158	-0.000464	0.003155	-0.170166	-0.175537	-0.577637	0.947948	0.142407	-0.253253	0.130301
21335		5.009422	1.964774	8.108920	-0.003896	0.003145	-0.000851	-0.170166	-0.171875	-0.581299	0.947973	0.142398	-0.253177	0.130275
21336		5.020606	2.024241	8.132961	-0.005029	0.002768	-0.001376	-0.168701	-0.169434	-0.580566	0.948003	0.142357	-0.253097	0.130257
21337		5.002472	2.013283	8.132951	-0.002021	0.001962	-0.005158	-0.173584	-0.173096	-0.574219	0.948033	0.142335	-0.253015	0.130220
21338		4.985721	1.999730	8.157980	0.000916	0.002473	-0.002189	-0.170410	-0.166992	-0.578613	0.948043	0.142359	-0.252976	0.130197
21339		5.042599	2.027334	8.115452	0.000974	-0.002463	-0.004593	-0.175049	-0.167480	-0.584229	0.948056	0.142349	-0.252945	0.130170
21340		5.006996	2.065231	8.147456	0.003227	0.004378	-0.006689	-0.169678	-0.176025	-0.582031	0.948082	0.142352	-0.252862	0.130142
21341		5.005470	2.027795	8.117751	-0.000916	0.007233	-0.005305	-0.175781	-0.174072	-0.583252	0.948122	0.142375	-0.252728	0.130090
21342		4.997187	2.059512	8.114168	-0.003242	0.008988	-0.002078	-0.176025	-0.170654	-0.571777	0.948155	0.142359	-0.252624	0.130069
21343		4.984432	2.078442	8.126261	-0.004549	0.002152	-0.003373	-0.160889	-0.174316	-0.579834	0.948161	0.142339	-0.252631	0.130030
21344		4.901529	2.074338	8.139004	-0.008430	-0.005645	0.002668	-0.164795	-0.170898	-0.577148	0.948188	0.142294	-0.252567	0.130010
21345		4.944737	2.024533	8.113453	-0.009781	-0.011206	0.005049	-0.171143	-0.176025	-0.577881	0.948193	0.142223	-0.252589	0.130007
21346		4.956713	2.085300	8.111476	-0.016408	-0.011864	0.006415	-0.168701	-0.167969	-0.574951	0.948190	0.142140	-0.252659	0.129986
21347		4.948473	2.019385	8.112458	-0.015534	-0.012971	0.011648	-0.167480	-0.173584	-0.580322	0.948182	0.141996	-0.252747	0.130028
21348		4.959004	2.001571	8.143789	-0.020124	-0.016829	0.017570	-0.158203	-0.169678	-0.586182	0.948174	0.141846	-0.252831	0.130087
21349		5.051965	1.969167	8.134569	-0.018262	-0.016777	0.013863	-0.169434	-0.170166	-0.582520	0.948199	0.141667	-0.252810	0.130136
21350		5.043048	1.964460	8.142805	-0.014845	-0.014454	0.012963	-0.169189	-0.174316	-0.587646	0.948194	0.141533	-0.252877	0.130188
21351		5.019789	2.023657	8.142588	-0.014353	-0.013873	0.008493	-0.159912	-0.170166	-0.580811	0.948201	0.141436	-0.252903	0.130194
21352		5.024043	1.976887	8.162012	-0.012097	-0.011888	0.010144	-0.163818	-0.175537	-0.579102	0.948223	0.141325	-0.252869	0.130225
21353		5.043422	2.005863	8.164180	-0.012043	-0.014393	0.005863	-0.166016	-0.172607	-0.576172	0.948230	0.141281	-0.252883	0.130192
21354		5.032780	1.985120	8.144833	-0.010008	-0.010308	0.004804	-0.166748	-0.169922	-0.578369	0.948235	0.141232	-0.252901	0.130172
21355		5.015843	1.993469	8.146707	-0.005938	-0.004566	0.004557	-0.165039	-0.175537	-0.581055	0.948250	0.141179	-0.252868	0.130184
21356		5.009870	2.004325	8.139591	0.005260	-0.003676	0.001605	-0.166992	-0.170166	-0.576172	0.948265	0.141269	-0.252772	0.130168
21357		5.003604	2.016634	8.132295	0.014358	-0.000705	0.002725	-0.176758	-0.164795	-0.578369	0.948262	0.141382	-0.252698	0.130208
21358		5.020120	1.969156	8.193208	0.011612	0.001584	0.001803	-0.170654	-0.173828	-0.580566	0.948244	0.141416	-0.252710	0.130279
21359		5.011848	1.984942	8.161034	0.011857	0.001876	-0.000432	-0.168701	-0.171631	-0.573730	0.948248	0.141541	-0.252623	0.130282
21360		5.017102	1.978469	8.142266	0.010081	-0.003152	-0.002209	-0.170898	-0.177979	-0.585449	0.948242	0.141652	-0.252594	0.130262
21361		4.993323	1.980238	8.134484	0.008033	-0.006004	-0.000547	-0.170898	-0.174316	-0.574951	0.948239	0.141785	-0.252545	0.130235
21362		5.019391	1.998326	8.168602	0.006872	-0.003913	0.000133	-0.176758	-0.165283	-0.580078	0.948226	0.141891	-0.252544	0.130217
21363		4.987567	2.034227	8.131326	0.004169	-0.010183	0.001146	-0.171387	-0.176025	-0.586670	0.948195	0.141860	-0.252657	0.130256
21364		4.971087	2.043747	8.132645	-0.004077	-0.011796	0.006466	-0.175293	-0.173096	-0.580566	0.948188	0.141861	-0.252677	0.130267
21365		4.999777	1.997539	8.158896	-0.009551	-0.015739	0.009632	-0.165039	-0.169922	-0.572754	0.948154	0.141804	-0.252821	0.130296
21366		5.012118	1.999731	8.123834	-0.010710	-0.013648	0.010312	-0.169189	-0.171387	-0.580322	0.948152	0.141711	-0.252866	0.130324
21367		5.004526	1.972693	8.154718	-0.008649	-0.012031	0.008046	-0.168213	-0.171875	-0.578857	0.948150	0.141636	-0.252903	0.130347
21368		4.986693	2.004400	8.133530	-0.006816	-0.014369	0.009283	-0.161133	-0.170898	-0.576904	0.948141	0.141587	-0.252950	0.130375
21369		4.977801	1.981260	8.138985	-0.001107	-0.013763	0.008222	-0.164307	-0.174072	-0.578125	0.948153	0.141573	-0.252901	0.130400
21370		5.008827	2.013020	8.131624	-0.000873	-0.014668	0.008459	-0.166016	-0.174561	-0.573242	0.948151	0.141602	-0.252886	0.130413
21371		5.004256	2.043776	8.126145	-0.002236	-0.016571	0.009567	-0.171387	-0.167969	-0.583252	0.948130	0.141646	-0.252936	0.130421
21372		5.001872	2.029856	8.140832	-0.004343	-0.013255	0.014244	-0.166748	-0.175537	-0.575684	0.948114	0.141540	-0.253000	0.130530
21373		4.975284	1.995392	8.146152	-0.006844	-0.013102	0.012960	-0.172607	-0.179688	-0.583252	0.948103	0.141546	-0.253021	0.130556
21374		5.007248	1.984901	8.133796	-0.004557	-0.016019	0.015271	-0.170898	-0.176270	-0.585693	0.948069	0.141604	-0.253097	0.130597
21375		5.004732	2.011606	8.153373	-0.004761	-0.020015	0.015696	-0.161377	-0.177979	-0.577393	0.948040	0.141606	-0.253172	0.130663
21376		5.007776	2.030101	8.154368	-0.004766	-0.021215	0.018167	-0.169678	-0.176025	-0.578369	0.948030	0.141651	-0.253160	0.130710
21377		4.992211	2.020091	8.127316	-0.006145	-0.023084	0.022349	-0.172363	-0.178223	-0.577881	0.947982	0.141654	-0.253288	0.130804
21378		5.020534	1.996391	8.130180	-0.004125	-0.018965	0.024361	-0.170654	-0.169678	-0.581787	0.947926	0.141700	-0.253418	0.130906
21379		5.039429	2.007281	8.104352	-0.011454	-0.009599	0.019432	-0.168701	-0.174805	-0.574707	0.947924	0.141550	-0.253442	0.131039
21380		5.042910	2.000946	8.129068	-0.008975	-0.008491	0.024389	-0.169434	-0.162354	-0.571777	0.947908	0.141511	-0.253460	0.131158
21381		5.040003	2.006212	8.146790	-0.006175	-0.013325	0.017946	-0.163086	-0.178955	-0.575928	0.947887	0.141341	-0.253559	0.131307
21382		5.030154	1.985260	8.126959	-0.005669	-0.020074	0.016004	-0.166260	-0.174072	-0.581299	0.947876	0.141420	-0.253544	0.131325
21383		5.014668	2.054711	8.135447	-0.004981	-0.021559	0.017316	-0.166016	-0.170898	-0.573975	0.947860	0.141409	-0.253571	0.131406
21384		5.000568	2.041544	8.133594	-0.008638	-0.022943	0.021058	-0.168457	-0.172119	-0.580566	0.947831	0.141346	-0.253659	0.131508
21385		5.022906	1.987225	8.124572	-0.009815	-0.020786	0.027890	-0.173096	-0.172852	-0.584717	0.947802	0.141253	-0.253734	0.131673
21386		5.068953	1.973175	8.127776	-0.010031	-0.019916	0.024579	-0.172607	-0.170410	-0.582520	0.947765	0.141164	-0.253846	0.131818
21387		5.065651	1.981028	8.119801	-0.010034	-0.017482	0.022712	-0.172119	-0.171631	-0.577393	0.947736	0.141049	-0.253943	0.131963
21388		5.019609	1.999594	8.107446	-0.009805	-0.015955	0.021081	-0.168457	-0.163574	-0.578857	0.947705	0.140978	-0.254044	0.132069
21389		5.047105	1.995725	8.113254	-0.012295	-0.019465	0.021063	-0.171631	-0.174805	-0.574463	0.947693	0.140761	-0.254120	0.132237
21390		5.052503	1.948090	8.131911	-0.010923	-0.020003	0.021818	-0.174805	-0.166016	-0.575928	0.947650	0.140753	-0.254251	0.132300
21391		5.060590	1.936853	8.112338	-0.010476	-0.015709	0.019163	-0.170898	-0.170410	-0.572754	0.947613	0.140608	-0.254406	0.132427
21392		5.049675	1.956520	8.098167	-0.010028	-0.010211	0.014040	-0.166260	-0.172363	-0.578369	0.947603	0.140553	-0.254450	0.132473
