// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		8.193963	-3.426605	4.103060	-0.014688	0.036372	0.038282	-0.369141	0.419922	-0.129150	0.604326	-0.495632	-0.208649	-0.587882
18881		8.194521	-3.332574	4.047545	-0.021255	0.038070	0.011592	-0.376465	0.424072	-0.138672	0.604356	-0.495578	-0.208307	-0.588017
18882		8.224077	-3.352905	3.980539	-0.025120	0.040519	-0.004596	-0.376465	0.428711	-0.129639	0.604299	-0.495498	-0.208000	-0.588252
18883		8.237442	-3.428648	3.938619	-0.017289	0.035918	-0.023101	-0.375000	0.418457	-0.127930	0.604173	-0.495371	-0.207836	-0.588547
18884		8.191278	-3.531098	3.891222	-0.004536	0.028763	-0.021852	-0.376953	0.421143	-0.138672	0.604090	-0.495221	-0.207768	-0.588782
18885		8.147552	-3.657957	3.886926	0.017792	0.014774	-0.030037	-0.376465	0.419678	-0.138672	0.604031	-0.495023	-0.207916	-0.588956
18886		8.116759	-3.638833	3.898787	0.036903	0.001830	-0.027304	-0.369873	0.418213	-0.126221	0.604041	-0.494811	-0.208208	-0.589021
18887		8.166985	-3.576741	3.942228	0.049841	-0.006694	-0.031573	-0.369385	0.421387	-0.135010	0.604067	-0.494583	-0.208619	-0.589040
18888		8.205993	-3.484411	3.923922	0.051557	-0.010437	-0.040345	-0.371826	0.417969	-0.138672	0.604048	-0.494363	-0.209091	-0.589077
18889		8.260903	-3.467687	3.908250	0.052199	-0.008101	-0.055450	-0.372070	0.422607	-0.123535	0.603957	-0.494115	-0.209622	-0.589191
18890		8.162850	-3.473274	3.834066	0.052339	-0.014221	-0.070123	-0.366699	0.415771	-0.127930	0.603775	-0.493885	-0.210250	-0.589345
18891		8.198622	-3.602246	3.866936	0.054799	-0.027887	-0.080428	-0.371338	0.419434	-0.129883	0.603521	-0.493711	-0.211007	-0.589481
18892		8.202449	-3.696759	3.851187	0.059466	-0.029317	-0.084895	-0.376709	0.418701	-0.135498	0.603258	-0.493538	-0.211807	-0.589608
18893		8.239345	-3.656377	3.824707	0.064928	-0.032685	-0.090461	-0.368896	0.420898	-0.137451	0.602984	-0.493374	-0.212662	-0.589719
