// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
18880		7.433889	0.210321	6.276372	0.015169	-0.010819	-0.014401	-0.615967	-0.448730	-0.232178	-0.488139	-0.358435	0.217516	-0.765461
18881		7.461066	0.270075	6.289158	0.015778	-0.012574	-0.011346	-0.621826	-0.448975	-0.240479	-0.488140	-0.358609	0.217430	-0.765404
18882		7.499014	0.250049	6.296112	0.016581	-0.015087	-0.005952	-0.623291	-0.440918	-0.233643	-0.488101	-0.358785	0.217367	-0.765364
18883		7.483568	0.202952	6.310476	0.015463	-0.017428	-0.003879	-0.620850	-0.450684	-0.228516	-0.488049	-0.358970	0.217326	-0.765322
18884		7.468218	0.155896	6.324780	0.020511	-0.016511	-0.003191	-0.621338	-0.445312	-0.237305	-0.487979	-0.359169	0.217252	-0.765295
18885		7.446504	0.143819	6.333021	0.030053	-0.013116	0.005330	-0.622803	-0.447754	-0.237305	-0.487831	-0.359371	0.217129	-0.765329
18886		7.434316	0.129039	6.318453	0.035487	-0.009659	0.012808	-0.615234	-0.449951	-0.227295	-0.487625	-0.359558	0.216981	-0.765414
18887		7.467472	0.152731	6.337768	0.037884	-0.008369	0.019038	-0.612305	-0.447021	-0.237549	-0.487374	-0.359733	0.216834	-0.765534
18888		7.506372	0.183113	6.424022	0.039671	-0.001272	0.024317	-0.621094	-0.449707	-0.234375	-0.487095	-0.359860	0.216664	-0.765700
18889		7.498728	0.186256	6.412089	0.035285	0.012801	0.031131	-0.619385	-0.442383	-0.220703	-0.486812	-0.359865	0.216483	-0.765928
18890		7.472259	0.139900	6.418715	0.040157	0.029272	0.027769	-0.615967	-0.448975	-0.230469	-0.486566	-0.359788	0.216193	-0.766203
18891		7.448925	0.103964	6.409322	0.043272	0.038474	0.029357	-0.619629	-0.446533	-0.227051	-0.486317	-0.359656	0.215852	-0.766519
18892		7.444256	0.104775	6.414730	0.048353	0.049971	0.036469	-0.625732	-0.439453	-0.233154	-0.486026	-0.359451	0.215456	-0.766911
18893		7.449433	0.080463	6.409939	0.055316	0.053194	0.042732	-0.614258	-0.446045	-0.233887	-0.485678	-0.359234	0.215025	-0.767354
18894		7.444112	0.058558	6.429035	0.057039	0.060321	0.048065	-0.628662	-0.447510	-0.230225	-0.485303	-0.358962	0.214575	-0.767844
18895		7.427472	0.060940	6.459950	0.058754	0.065348	0.057473	-0.625244	-0.443848	-0.237061	-0.484864	-0.358636	0.214131	-0.768398
18896		7.427961	0.034697	6.492946	0.061041	0.068645	0.069968	-0.619873	-0.439697	-0.233643	-0.484343	-0.358263	0.213703	-0.769019
18897		7.429629	0.029490	6.479334	0.067060	0.086086	0.081203	-0.617676	-0.443604	-0.232178	-0.483760	-0.357776	0.213202	-0.769751
18898		7.458116	0.047099	6.439642	0.066294	0.095880	0.092724	-0.618896	-0.448730	-0.234375	-0.483123	-0.357194	0.212708	-0.770558
18899		7.489245	-0.015408	6.468365	0.075168	0.106897	0.105114	-0.617920	-0.444824	-0.240723	-0.482397	-0.356546	0.212162	-0.771463
18900		7.543966	0.010404	6.553522	0.091328	0.109920	0.124443	-0.623291	-0.444092	-0.229248	-0.481501	-0.355899	0.211576	-0.772482
18901		7.592776	0.209597	6.745137	0.086910	0.120224	0.134022	-0.622559	-0.447510	-0.235840	-0.480552	-0.355159	0.211002	-0.773569
18902		7.476411	0.455693	6.665022	0.058661	0.151460	0.129995	-0.618164	-0.431396	-0.237061	-0.479784	-0.354097	0.210471	-0.774677
18903		7.208918	0.520513	6.665166	0.034212	0.162831	0.109461	-0.625977	-0.439209	-0.244629	-0.479255	-0.352946	0.209933	-0.775676
18904		6.988145	0.430853	6.557535	0.013635	0.162059	0.070300	-0.622803	-0.439941	-0.242920	-0.479055	-0.351742	0.209397	-0.776490
18905		6.985361	0.257885	6.500703	0.009494	0.138001	0.047938	-0.621826	-0.443848	-0.243164	-0.478994	-0.350728	0.208865	-0.777129
18906		7.178764	0.159903	6.539459	0.004710	0.134897	0.039441	-0.620605	-0.435059	-0.238525	-0.479015	-0.349727	0.208333	-0.777710
18907		7.318448	0.133663	6.555070	-0.012034	0.149103	0.051669	-0.626221	-0.435303	-0.242920	-0.478998	-0.348580	0.207870	-0.778359
18908		7.370621	0.102819	6.533273	-0.012140	0.155015	0.058585	-0.630127	-0.434082	-0.246338	-0.478942	-0.347360	0.207419	-0.779059
18909		7.355396	0.137064	6.577587	-0.006107	0.180194	0.056298	-0.621338	-0.441650	-0.245117	-0.478919	-0.345999	0.206837	-0.779833
18910		7.283471	0.235865	6.581717	-0.012660	0.205387	0.041317	-0.628906	-0.437744	-0.246582	-0.479083	-0.344527	0.206156	-0.780564
18911		7.232974	0.305516	6.603241	-0.030336	0.220285	0.013731	-0.620361	-0.443848	-0.252197	-0.479479	-0.342929	0.205452	-0.781210
18912		7.205899	0.333944	6.671296	-0.045310	0.220279	-0.011484	-0.615967	-0.435791	-0.252441	-0.480129	-0.341342	0.204753	-0.781689
18913		7.202592	0.308237	6.816419	-0.063959	0.233933	-0.030013	-0.618896	-0.433838	-0.255615	-0.480937	-0.339658	0.204055	-0.782109
18914		7.176497	0.203944	6.841678	-0.092626	0.256858	-0.034222	-0.611328	-0.435059	-0.256348	-0.481884	-0.337705	0.203433	-0.782533
18915		7.153902	0.083908	6.863364	-0.115476	0.266431	-0.027640	-0.617676	-0.437988	-0.269531	-0.482866	-0.335614	0.202931	-0.782958
18916		7.230464	0.056134	6.923236	-0.133319	0.280760	-0.019544	-0.611572	-0.438721	-0.267578	-0.483914	-0.333276	0.202505	-0.783420
18917		7.209611	0.070464	6.941669	-0.157526	0.298144	-0.012035	-0.613281	-0.430664	-0.277344	-0.484986	-0.330753	0.202195	-0.783906
