// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		7.636981	0.048106	6.128023	-0.010908	0.004219	-0.005471	-0.488281	-0.379639	-0.675781	0.787769	0.212779	-0.376592	0.438547
20798		7.612317	0.043615	6.086665	-0.015478	0.004678	-0.007894	-0.489014	-0.377930	-0.670898	0.787840	0.212685	-0.376604	0.438455
20799		7.596866	0.028752	6.112542	-0.013128	0.002794	-0.004204	-0.487061	-0.393066	-0.668701	0.787885	0.212604	-0.376629	0.438392
20800		7.611071	0.014793	6.105764	-0.013352	0.002523	-0.001882	-0.487793	-0.388184	-0.682129	0.787923	0.212513	-0.376658	0.438342
20801		7.610927	0.002672	6.066120	-0.012160	0.001990	-0.001574	-0.489258	-0.384521	-0.673340	0.787957	0.212429	-0.376687	0.438298
20802		7.610667	0.006839	6.086360	-0.012204	0.002290	0.003443	-0.486816	-0.388184	-0.672852	0.787972	0.212329	-0.376725	0.438287
20803		7.635239	0.031113	6.090410	-0.011760	0.002832	-0.001199	-0.480957	-0.377930	-0.667969	0.788004	0.212242	-0.376750	0.438248
20804		7.596121	0.044934	6.076069	-0.010513	0.005059	-0.005093	-0.495361	-0.392578	-0.677002	0.788055	0.212169	-0.376751	0.438192
20805		7.610185	0.026261	6.049551	-0.006121	0.004028	-0.005364	-0.486328	-0.378906	-0.671387	0.788096	0.212129	-0.376743	0.438145
20806		7.619964	0.037814	6.078628	-0.004973	-0.004560	-0.005556	-0.485352	-0.386963	-0.673340	0.788106	0.212130	-0.376790	0.438085
20807		7.629827	0.011516	6.085280	-0.003760	-0.007330	-0.009135	-0.488281	-0.395752	-0.671387	0.788118	0.212161	-0.376846	0.438000
20808		7.611451	0.033322	6.067866	-0.001352	-0.006454	-0.009648	-0.489746	-0.394287	-0.670166	0.788129	0.212205	-0.376890	0.437922
20809		7.607613	0.053359	6.083073	-0.001766	-0.010356	-0.010837	-0.491943	-0.385254	-0.674561	0.788132	0.212265	-0.376961	0.437827
20810		7.598176	0.021225	6.091002	-0.004164	-0.008174	-0.009508	-0.483398	-0.391357	-0.674316	0.788141	0.212299	-0.377029	0.437736
20811		7.594599	0.035456	6.085972	-0.004979	-0.012919	-0.011070	-0.492676	-0.381104	-0.666992	0.788142	0.212348	-0.377128	0.437625
20812		7.595813	0.041888	6.104378	-0.008742	-0.011897	-0.014686	-0.493652	-0.391846	-0.674805	0.788165	0.212379	-0.377229	0.437481
20813		7.616611	0.054703	6.121154	-0.010531	-0.011662	-0.016118	-0.482910	-0.388672	-0.669922	0.788198	0.212401	-0.377331	0.437323
20814		7.646702	0.029637	6.105454	-0.012328	-0.010308	-0.015605	-0.489746	-0.389160	-0.678467	0.788240	0.212405	-0.377425	0.437163
20815		7.681713	0.018205	6.075534	-0.015300	-0.006484	-0.016527	-0.483887	-0.387695	-0.667480	0.788301	0.212375	-0.377508	0.436996
