// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
20797		5.104263	1.902675	8.116235	-0.002100	-0.005168	0.005615	-0.586182	0.176758	-0.582031	0.450366	-0.192864	-0.218251	-0.844003
20798		5.101814	1.882782	8.108557	-0.002850	-0.004543	0.005371	-0.586670	0.180420	-0.577393	0.450391	-0.192916	-0.218239	-0.843980
20799		5.114676	1.895174	8.097798	-0.003194	-0.004865	0.003632	-0.582764	0.167725	-0.572510	0.450404	-0.192976	-0.218227	-0.843963
20800		5.106686	1.900431	8.115236	-0.002789	-0.005812	0.002137	-0.584961	0.169189	-0.586426	0.450404	-0.193031	-0.218225	-0.843951
20801		5.097689	1.888650	8.089599	-0.001530	-0.003915	0.007938	-0.589600	0.173828	-0.574951	0.450450	-0.193079	-0.218217	-0.843918
20802		5.103352	1.893166	8.102006	-0.005207	-0.004204	0.005213	-0.584961	0.172852	-0.578613	0.450471	-0.193138	-0.218187	-0.843901
20803		5.104171	1.892150	8.101727	-0.004053	-0.005776	0.003963	-0.578613	0.178955	-0.572754	0.450482	-0.193202	-0.218174	-0.843884
20804		5.099478	1.870274	8.129736	-0.000838	-0.005201	0.003791	-0.591064	0.167236	-0.582764	0.450498	-0.193250	-0.218182	-0.843862
20805		5.093804	1.877679	8.111401	-0.003077	-0.005470	0.004790	-0.580078	0.180420	-0.576172	0.450517	-0.193309	-0.218171	-0.843841
20806		5.084259	1.896486	8.123520	-0.001814	-0.005505	0.002965	-0.583252	0.169434	-0.580566	0.450526	-0.193361	-0.218170	-0.843824
20807		5.085232	1.895845	8.123061	-0.003531	-0.007329	0.003626	-0.583496	0.163574	-0.577637	0.450534	-0.193431	-0.218163	-0.843806
20808		5.104813	1.900111	8.130146	-0.004803	-0.005149	0.003721	-0.587402	0.167969	-0.573975	0.450544	-0.193489	-0.218137	-0.843794
20809		5.100907	1.893702	8.117072	-0.002437	-0.007631	0.005610	-0.587646	0.176514	-0.578613	0.450567	-0.193558	-0.218134	-0.843767
20810		5.099744	1.890604	8.152365	-0.005662	-0.006060	0.004052	-0.578857	0.171143	-0.577637	0.450576	-0.193624	-0.218104	-0.843754
20811		5.101338	1.905084	8.111003	-0.007270	-0.006346	0.004139	-0.589111	0.175293	-0.573242	0.450584	-0.193696	-0.218061	-0.843745
20812		5.114207	1.870813	8.103518	-0.005209	-0.004200	0.005218	-0.593262	0.169922	-0.579590	0.450605	-0.193747	-0.218025	-0.843731
20813		5.095915	1.894854	8.133616	-0.007902	-0.006327	0.005054	-0.578613	0.171387	-0.576904	0.450617	-0.193822	-0.217978	-0.843720
20814		5.104035	1.901012	8.110262	-0.007675	-0.005397	0.005637	-0.586914	0.171875	-0.581299	0.450637	-0.193888	-0.217925	-0.843708
20815		5.115293	1.880226	8.097488	-0.005437	-0.005128	0.004637	-0.582275	0.174072	-0.573730	0.450653	-0.193939	-0.217890	-0.843696
20816		5.109068	1.871506	8.120246	-0.003938	-0.006378	0.005124	-0.588867	0.167480	-0.582764	0.450673	-0.194000	-0.217870	-0.843677
20817		5.114931	1.875965	8.132547	-0.005437	-0.005127	0.004638	-0.588623	0.175781	-0.582031	0.450687	-0.194049	-0.217837	-0.843667
20818		5.086884	1.889428	8.137219	-0.002904	-0.007342	0.002715	-0.578369	0.178223	-0.576904	0.450693	-0.194104	-0.217826	-0.843653
20819		5.098250	1.915353	8.121115	-0.003257	-0.003590	0.006874	-0.578125	0.168701	-0.572998	0.450739	-0.194142	-0.217787	-0.843630
20820		5.102044	1.887354	8.131517	-0.002862	-0.002393	0.003646	-0.573730	0.161865	-0.571289	0.450751	-0.194159	-0.217765	-0.843626
20821		5.097717	1.881079	8.118667	-0.002853	-0.004537	0.005378	-0.587891	0.172607	-0.577881	0.450765	-0.194187	-0.217754	-0.843615
20822		5.098427	1.880358	8.118388	-0.002340	-0.003947	0.003307	-0.584473	0.174805	-0.577881	0.450777	-0.194209	-0.217738	-0.843607
20823		5.111157	1.892889	8.107676	-0.001995	-0.003625	0.005047	-0.578857	0.168945	-0.573486	0.450808	-0.194231	-0.217714	-0.843592
20824		5.091171	1.884955	8.135575	-0.000606	-0.006412	0.006108	-0.579102	0.167236	-0.577148	0.450834	-0.194267	-0.217718	-0.843568
20825		5.082418	1.873248	8.109740	-0.002443	-0.007625	0.005614	-0.586670	0.174316	-0.578613	0.450852	-0.194304	-0.217715	-0.843552
20826		5.088696	1.878145	8.121688	0.000435	-0.009519	0.005430	-0.583008	0.175537	-0.583740	0.450878	-0.194353	-0.217731	-0.843522
20827		5.097333	1.885193	8.097788	-0.002781	-0.010088	0.005608	-0.579590	0.177490	-0.581055	0.450914	-0.194399	-0.217715	-0.843496
20828		5.108734	1.895248	8.122348	-0.003185	-0.009140	0.007105	-0.580322	0.168945	-0.572266	0.450969	-0.194450	-0.217686	-0.843463
20829		5.093234	1.875703	8.119408	-0.001056	-0.010409	0.006678	-0.582275	0.162598	-0.584229	0.450980	-0.194519	-0.217707	-0.843436
20830		5.098209	1.894012	8.125933	-0.000710	-0.010086	0.008419	-0.585449	0.166992	-0.573486	0.451001	-0.194529	-0.217731	-0.843415
20831		5.104763	1.898624	8.137779	-0.002437	-0.009763	0.007351	-0.591553	0.178467	-0.589111	0.451001	-0.194597	-0.217748	-0.843395
20832		5.111564	1.872765	8.111880	-0.001350	-0.007924	0.007602	-0.591553	0.168213	-0.581787	0.451071	-0.194606	-0.217732	-0.843360
20833		5.107733	1.897204	8.136246	0.001700	-0.011693	0.005338	-0.577881	0.174561	-0.578613	0.451068	-0.194640	-0.217788	-0.843339
20834		5.087366	1.872460	8.120545	-0.002439	-0.009760	0.007354	-0.583984	0.175049	-0.584473	0.451126	-0.194688	-0.217771	-0.843302
20835		5.093893	1.876948	8.132438	-0.002093	-0.009437	0.009095	-0.580811	0.173340	-0.581543	0.451201	-0.194712	-0.217754	-0.843261
20836		5.117793	1.869622	8.108677	-0.002211	-0.008830	0.007938	-0.580078	0.176758	-0.580566	0.451260	-0.194735	-0.217737	-0.843228
20837		5.096909	1.874887	8.131024	-0.003072	-0.009738	0.008272	-0.585205	0.175049	-0.574219	0.451338	-0.194780	-0.217706	-0.843184
20838		5.096757	1.887171	8.125148	-0.004971	-0.007539	0.009285	-0.576416	0.172119	-0.577148	0.451382	-0.194862	-0.217672	-0.843150
20839		5.084379	1.886155	8.129876	-0.003993	-0.007236	0.010111	-0.583008	0.170654	-0.576904	0.451447	-0.194892	-0.217634	-0.843118
20840		5.087404	1.871352	8.134531	-0.002096	-0.009433	0.009100	-0.588135	0.179199	-0.581787	0.451474	-0.194939	-0.217638	-0.843092
20841		5.104856	1.871852	8.092816	-0.005544	-0.010925	0.008700	-0.586914	0.174316	-0.583496	0.451552	-0.195008	-0.217593	-0.843046
20842		5.116528	1.881318	8.117363	-0.005315	-0.009996	0.009283	-0.586426	0.164307	-0.573975	0.451610	-0.195042	-0.217562	-0.843014
20843		5.090814	1.880651	8.127124	-0.005316	-0.009995	0.009284	-0.588623	0.178467	-0.582520	0.451556	-0.195119	-0.217588	-0.843019
20844		5.118317	1.891956	8.110654	-0.003820	-0.011245	0.009771	-0.586182	0.177002	-0.575195	0.451642	-0.195178	-0.217560	-0.842967
20845		5.094220	1.877868	8.125633	-0.004457	-0.009085	0.008953	-0.589355	0.176270	-0.571045	0.451693	-0.195268	-0.217532	-0.842926
20846		5.118194	1.870143	8.101844	-0.004570	-0.010617	0.009531	-0.578125	0.164062	-0.571777	0.451710	-0.195411	-0.217525	-0.842885
20847		5.111128	1.874729	8.118998	-0.003828	-0.009102	0.008039	-0.584717	0.170654	-0.575439	0.451663	-0.195449	-0.217555	-0.842894
20848		5.105971	1.881576	8.100500	-0.003249	-0.007853	0.010363	-0.582764	0.172852	-0.579590	0.451682	-0.195496	-0.217558	-0.842872
