// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52889		9.737958	0.041809	-1.636907	-0.052660	0.019652	0.023215	-0.750488	-0.183105	-0.117432	0.606662	0.237786	-0.731875	0.199444
52890		9.678857	-0.039069	-1.564039	-0.075463	0.016604	0.028250	-0.757812	-0.192139	-0.111816	0.606870	0.237198	-0.731970	0.199162
52891		9.680090	-0.276472	-1.585607	-0.070753	0.018011	0.020191	-0.758545	-0.190674	-0.119385	0.607089	0.236687	-0.732034	0.198869
52892		9.663619	-0.383572	-1.588136	-0.022958	0.012889	0.006152	-0.750244	-0.182129	-0.112793	0.607208	0.236506	-0.732015	0.198792
52893		9.671516	-0.312587	-1.605321	0.022121	0.008085	-0.013771	-0.757812	-0.180908	-0.122803	0.607244	0.236674	-0.731903	0.198891
52894		9.659147	-0.223061	-1.522361	0.047051	0.011009	-0.025818	-0.758301	-0.184570	-0.114014	0.607273	0.237028	-0.731709	0.199097
52895		9.714288	-0.222201	-1.519487	0.056954	0.011879	-0.033470	-0.759766	-0.187500	-0.118164	0.607308	0.237468	-0.731472	0.199337
52896		9.685518	-0.131056	-1.647487	0.073524	0.010751	-0.039516	-0.752441	-0.186523	-0.113281	0.607323	0.238021	-0.731192	0.199658
52897		9.696916	-0.042808	-1.604124	0.086248	0.010052	-0.047914	-0.754150	-0.194092	-0.118408	0.607327	0.238685	-0.730873	0.200018
52898		9.700621	0.217193	-1.583713	0.098308	0.010646	-0.043011	-0.744629	-0.191895	-0.117676	0.607313	0.239376	-0.730532	0.200482
52899		9.742236	0.367481	-1.567695	0.077202	0.004709	-0.033670	-0.751953	-0.190430	-0.119141	0.607306	0.239924	-0.730260	0.200839
52900		9.702506	0.271208	-1.564537	0.039121	0.003877	-0.017943	-0.753662	-0.191162	-0.122803	0.607365	0.240202	-0.730069	0.201021
52901		9.710102	0.080478	-1.582224	0.040335	0.005062	-0.013247	-0.756592	-0.188965	-0.118164	0.607442	0.240470	-0.729862	0.201219
52902		9.720098	0.141381	-1.549463	0.045277	0.002384	-0.013458	-0.748047	-0.190674	-0.117432	0.607507	0.240770	-0.729649	0.201440
52903		9.748956	0.297583	-1.461602	0.032880	0.000849	-0.002562	-0.755859	-0.194336	-0.108154	0.607577	0.240951	-0.729478	0.201629
52904		9.716768	0.349442	-1.502979	-0.025264	0.004102	0.013646	-0.750000	-0.193115	-0.112061	0.607795	0.240743	-0.729392	0.201531
52905		9.679622	-0.004291	-1.595211	-0.059111	0.007769	0.019435	-0.746826	-0.190918	-0.127441	0.608106	0.240343	-0.729344	0.201245
52906		9.699400	-0.189748	-1.611346	-0.034741	0.005472	0.013724	-0.750488	-0.188965	-0.122070	0.608371	0.240106	-0.729242	0.201096
52907		9.681937	-0.139974	-1.599705	0.000757	0.002113	0.003771	-0.753418	-0.188721	-0.116699	0.608565	0.240096	-0.729075	0.201125
52908		9.672772	-0.056424	-1.532508	0.007853	-0.000735	-0.003472	-0.749023	-0.196533	-0.122803	0.608746	0.240154	-0.728894	0.201165
52909		9.712335	-0.038756	-1.510418	0.003164	-0.001170	-0.002973	-0.752930	-0.194092	-0.117188	0.608938	0.240176	-0.728728	0.201162
