// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
52131		16.893966	-0.912890	7.865524	-0.026010	3.389116	1.902708	-0.670166	-0.397217	-0.151855	-0.467944	-0.390997	0.336544	-0.717557
52132		18.369365	-0.102574	7.651420	-0.339815	3.365092	1.748614	-0.654053	-0.377930	-0.178467	-0.467764	-0.364804	0.330913	-0.733901
52133		17.615490	-0.526292	6.009337	-0.584907	3.445604	1.665043	-0.633789	-0.346436	-0.229004	-0.469376	-0.340469	0.325538	-0.746854
52134		15.877625	0.047329	3.705039	-0.562647	3.299155	1.547178	-0.619873	-0.327148	-0.260742	-0.471204	-0.325314	0.322159	-0.753891
52135		14.867863	0.770434	1.019670	-0.442446	2.885260	1.460768	-0.602539	-0.291260	-0.289551	-0.472250	-0.325226	0.323209	-0.752824
52136		14.821903	2.026841	-1.852630	-0.316169	2.313245	1.317821	-0.582764	-0.277344	-0.316406	-0.472155	-0.342531	0.330436	-0.741994
52137		15.216398	3.951664	-4.922331	-0.344481	1.641642	1.084157	-0.572021	-0.261963	-0.341309	-0.471259	-0.376606	0.344019	-0.719537
52138		15.508775	5.689294	-7.735648	-0.514961	0.877147	0.803015	-0.551758	-0.253662	-0.339355	-0.469780	-0.425155	0.362199	-0.683639
52139		13.872266	4.529045	-8.720623	-0.502215	-0.040765	0.377744	-0.561035	-0.239990	-0.336670	-0.466674	-0.484873	0.381220	-0.633865
52140		13.037467	2.272564	-6.415946	-0.077690	-0.982514	-0.161498	-0.570801	-0.245850	-0.328613	-0.457839	-0.547040	0.398355	-0.576579
52141		14.254379	1.261061	-2.861832	0.240698	-1.519646	-0.457355	-0.580566	-0.268066	-0.319092	-0.443344	-0.599832	0.412288	-0.523132
52142		4.698407	-2.022786	5.282980	0.346368	-1.639217	-0.476635	-0.599854	-0.265137	-0.300781	-0.427694	-0.637984	0.422002	-0.481631
52143		-3.397890	-10.718039	22.376024	0.591544	-1.649236	-0.724991	-0.604736	-0.282959	-0.282471	-0.416070	-0.661313	0.424711	-0.457352
52144		-6.606249	-6.150019	4.074024	1.753069	-2.167977	-2.287045	-0.618652	-0.314697	-0.257080	-0.409525	-0.674420	0.411483	-0.456211
52145		6.160309	7.000105	8.689234	1.043036	-3.076612	-1.542612	-0.638428	-0.349365	-0.217041	-0.396509	-0.686710	0.408730	-0.451829
52146		10.545161	0.346592	9.835196	0.229824	-3.120188	-0.106873	-0.645752	-0.355713	-0.187012	-0.396877	-0.687876	0.414585	-0.444337
52147		11.417921	6.030381	11.257928	0.042793	-3.125052	-0.566960	-0.671143	-0.359863	-0.150635	-0.402867	-0.686157	0.418547	-0.437842
52148		23.321830	-11.982492	12.672486	0.719389	-2.404286	-0.934556	-0.682861	-0.369873	-0.109863	-0.416831	-0.681365	0.416346	-0.434338
52149		9.867027	-1.448151	5.757899	1.237115	-1.180143	-0.439933	-0.678223	-0.389893	-0.094727	-0.420956	-0.669535	0.409814	-0.454500
52150		9.011425	1.701696	8.758906	1.142755	-0.979948	-0.638787	-0.685303	-0.393799	-0.079834	-0.426835	-0.658157	0.403866	-0.470674
52151		7.805177	-0.713230	8.198848	0.853820	-0.555865	-0.564182	-0.686035	-0.420898	-0.073730	-0.435414	-0.645548	0.395694	-0.486938
52152		7.960527	-0.802198	8.257722	0.489693	-0.203502	-0.452071	-0.679199	-0.422363	-0.059082	-0.455760	-0.622438	0.401245	-0.493819
52153		7.877115	0.161505	7.399880	0.289174	-0.056820	-0.325126	-0.675537	-0.425293	-0.056641	-0.455551	-0.617203	0.381304	-0.515889
52154		7.343533	0.300905	7.577087	0.154902	-0.007488	-0.182253	-0.664551	-0.429932	-0.060547	-0.461839	-0.605221	0.372021	-0.531049
52155		6.511884	0.025246	7.733949	0.097281	-0.017211	-0.087109	-0.663818	-0.430664	-0.076660	-0.466855	-0.595102	0.363472	-0.543864
52156		6.413792	-0.474150	7.595215	0.070473	-0.023212	-0.043035	-0.654785	-0.431641	-0.083496	-0.473455	-0.583543	0.356146	-0.555408
52157		6.227896	-0.949117	7.607051	0.053940	-0.026709	-0.033526	-0.664551	-0.433350	-0.083008	-0.477877	-0.573362	0.348623	-0.566880
52158		6.431133	-1.077518	7.212420	0.051640	-0.008561	-0.054633	-0.655518	-0.438232	-0.097168	-0.484596	-0.560731	0.344639	-0.576170
52159		6.231069	-1.075487	7.458102	0.048609	0.006677	-0.077363	-0.651123	-0.451416	-0.110596	-0.490125	-0.549488	0.340290	-0.584845
52160		6.438273	-1.053215	7.343094	0.044329	0.006099	-0.103425	-0.655029	-0.458984	-0.123535	-0.495237	-0.538812	0.336067	-0.592858
52161		6.211288	-0.650657	7.577219	0.029125	-0.002075	-0.085424	-0.659912	-0.465332	-0.133789	-0.499995	-0.528476	0.332531	-0.600118
52162		6.170911	-0.449895	7.561708	0.016941	-0.027951	-0.064406	-0.665039	-0.474365	-0.143066	-0.504494	-0.518525	0.329681	-0.606571
52163		6.306177	-0.548433	7.567964	-0.004789	-0.044904	-0.047997	-0.679199	-0.490723	-0.156494	-0.508823	-0.508927	0.327397	-0.612294
52164		6.303660	-0.888094	7.422156	-0.011430	-0.054390	-0.042730	-0.681396	-0.494385	-0.168945	-0.512992	-0.499712	0.325520	-0.617384
