// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		6.737320	-4.398248	5.620384	-0.003550	0.000277	-0.002229	-1.503906	0.537354	-0.895752	-0.269389	-0.292006	0.358325	-0.844846
36943		6.760819	-4.404603	5.612591	-0.004182	0.001212	-0.002952	-1.506348	0.542236	-0.901367	-0.269424	-0.291996	0.358345	-0.844830
36944		6.733255	-4.373429	5.557819	-0.003550	0.000277	-0.002229	-1.508301	0.538574	-0.899658	-0.269447	-0.291988	0.358364	-0.844817
36945		6.755004	-4.403234	5.592568	-0.002492	0.002627	-0.005062	-1.509277	0.530273	-0.902344	-0.269497	-0.291979	0.358364	-0.844805
36946		6.744162	-4.393645	5.607421	-0.002459	0.000486	-0.003964	-1.510010	0.537842	-0.905029	-0.269532	-0.291983	0.358371	-0.844789
36947		6.752014	-4.376739	5.616925	-0.002459	0.000486	-0.003964	-1.507324	0.537842	-0.898193	-0.269568	-0.291988	0.358379	-0.844773
36948		6.739940	-4.379669	5.609406	-0.003831	-0.000882	-0.003127	-1.500244	0.545410	-0.895752	-0.269597	-0.291997	0.358400	-0.844751
36949		6.749751	-4.406924	5.604337	-0.003057	-0.000722	-0.003589	-1.501221	0.544922	-0.904541	-0.269628	-0.292009	0.358415	-0.844731
36950		6.768693	-4.399385	5.598862	-0.001827	-0.000449	-0.003241	-1.506836	0.537842	-0.898438	-0.269655	-0.292021	0.358422	-0.844715
36951		6.737924	-4.409685	5.596655	-0.002776	0.000437	-0.002692	-1.493896	0.542725	-0.894775	-0.269683	-0.292025	0.358436	-0.844699
36952		6.764422	-4.385628	5.600730	-0.005062	-0.001156	-0.003476	-1.508789	0.539307	-0.898682	-0.269716	-0.292038	0.358469	-0.844670
36953		6.750718	-4.406662	5.603379	-0.001721	0.001756	-0.002256	-1.504883	0.538574	-0.902832	-0.269742	-0.292036	0.358475	-0.844659
36954		6.761945	-4.415761	5.588442	-0.003372	0.000261	-0.005585	-1.497803	0.539551	-0.901123	-0.269791	-0.292052	0.358489	-0.844632
36955		6.751451	-4.400598	5.570806	-0.002601	-0.000610	-0.002779	-1.505859	0.541992	-0.894531	-0.269815	-0.292068	0.358510	-0.844610
36956		6.751556	-4.400566	5.570704	-0.003128	0.002529	-0.002517	-1.511475	0.532959	-0.897705	-0.269846	-0.292066	0.358532	-0.844592
36957		6.734267	-4.395520	5.598110	-0.003267	0.002465	-0.004600	-1.506348	0.539307	-0.890137	-0.269893	-0.292074	0.358548	-0.844567
36958		6.764147	-4.397096	5.578022	-0.000279	-0.000127	-0.004166	-1.504395	0.545166	-0.906006	-0.269920	-0.292102	0.358556	-0.844545
36959		6.747118	-4.391764	5.605338	-0.001685	0.000646	-0.004427	-1.502686	0.546143	-0.904541	-0.269955	-0.292116	0.358576	-0.844521
36960		6.758186	-4.400733	5.590693	-0.001158	0.005105	-0.003728	-1.500488	0.538818	-0.899658	-0.269997	-0.292095	0.358584	-0.844511
36961		6.722517	-4.397169	5.591212	-0.002141	0.000533	-0.005237	-1.509277	0.544189	-0.896240	-0.270043	-0.292114	0.358594	-0.844486
36962		6.766117	-4.383240	5.600553	-0.002176	0.002674	-0.006334	-1.501221	0.543945	-0.907959	-0.270093	-0.292136	0.358616	-0.844453
36963		6.741686	-4.388981	5.585960	-0.001194	-0.001384	-0.002519	-1.499268	0.538086	-0.902832	-0.270110	-0.292148	0.358638	-0.844434
36964		6.746482	-4.402513	5.583638	-0.002706	0.004782	-0.002804	-1.501953	0.540527	-0.896729	-0.270158	-0.292120	0.358640	-0.844428
36965		6.752531	-4.403592	5.603608	-0.000454	0.000919	-0.004078	-1.504639	0.540771	-0.895996	-0.270188	-0.292144	0.358650	-0.844405
36966		6.747948	-4.389640	5.606003	-0.002635	0.001530	-0.003877	-1.504150	0.538330	-0.903809	-0.270221	-0.292169	0.358679	-0.844374
36967		6.750312	-4.427682	5.559323	-0.001685	0.000645	-0.004427	-1.507568	0.541504	-0.901123	-0.270262	-0.292189	0.358681	-0.844353
36968		6.742267	-4.387617	5.586331	-0.000489	0.003060	-0.005175	-1.510986	0.538574	-0.898193	-0.270302	-0.292213	0.358693	-0.844327
36969		6.759368	-4.397485	5.591820	0.002711	0.005910	-0.006037	-1.501465	0.539551	-0.900879	-0.270348	-0.292258	0.358668	-0.844307
36970		6.734647	-4.402854	5.577881	0.002463	0.001579	-0.002570	-1.501465	0.542236	-0.896729	-0.270366	-0.292259	0.358654	-0.844307
36971		6.747042	-4.399268	5.585519	-0.001121	0.003993	-0.005899	-1.507080	0.539062	-0.898193	-0.270413	-0.292250	0.358679	-0.844284
36972		6.746807	-4.404213	5.618362	0.003344	0.004976	-0.005314	-1.497803	0.540771	-0.895264	-0.270448	-0.292285	0.358657	-0.844270
36973		6.740725	-4.402200	5.599174	-0.000032	0.003171	-0.004365	-1.498535	0.536377	-0.900879	-0.270486	-0.292258	0.358672	-0.844261
36974		6.770314	-4.403504	5.579661	0.001619	0.005699	-0.004303	-1.506348	0.540527	-0.897461	-0.270545	-0.292216	0.358624	-0.844277
36975		6.746822	-4.396578	5.587902	0.000883	0.004427	-0.006012	-1.511230	0.538818	-0.899414	-0.270580	-0.292252	0.358638	-0.844248
36976		6.760423	-4.380518	5.617865	0.000565	0.004378	-0.004740	-1.506104	0.537842	-0.897461	-0.270606	-0.292319	0.358646	-0.844213
36977		6.759134	-4.392387	5.596108	-0.000173	0.002076	-0.003181	-1.505371	0.547607	-0.900146	-0.270626	-0.292366	0.358656	-0.844186
36978		6.729498	-4.390424	5.616189	-0.003093	0.000384	-0.001421	-1.504639	0.541260	-0.899414	-0.270613	-0.292348	0.358777	-0.844145
36979		6.754628	-4.378740	5.598152	-0.005059	-0.001162	-0.003479	-1.498779	0.548828	-0.906006	-0.270633	-0.292367	0.358846	-0.844102
36980		6.743837	-4.369854	5.612376	-0.006610	-0.002516	0.000712	-1.504395	0.547363	-0.898682	-0.270634	-0.292244	0.358986	-0.844085
36981		6.730267	-4.391521	5.614410	-0.006116	-0.003513	-0.000648	-1.510986	0.544678	-0.896729	-0.270600	-0.292249	0.359127	-0.844035
36982		6.770173	-4.415699	5.556243	-0.011355	-0.004660	-0.000772	-1.510498	0.545410	-0.900635	-0.270551	-0.292339	0.359287	-0.843950
36983		6.760837	-4.394938	5.592046	-0.008120	-0.003950	-0.000536	-1.502930	0.541992	-0.897949	-0.270512	-0.292392	0.359422	-0.843887
