// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		6.227693	-0.682931	7.534256	-0.002289	-0.008812	0.004663	-1.414795	0.186523	-0.870850	0.069184	-0.339677	0.012078	-0.937916
36943		6.193138	-0.686223	7.538203	-0.004442	-0.007041	0.006822	-1.416016	0.190674	-0.874756	0.069226	-0.339734	0.012128	-0.937892
36944		6.190955	-0.692988	7.512876	-0.003081	-0.006808	0.006813	-1.418213	0.185791	-0.874512	0.069274	-0.339785	0.012171	-0.937870
36945		6.208653	-0.682636	7.507471	-0.002128	-0.008461	0.003610	-1.420166	0.178711	-0.875244	0.069297	-0.339851	0.012193	-0.937843
36946		6.197813	-0.660106	7.520318	-0.001756	-0.006227	0.003372	-1.417969	0.186035	-0.881836	0.069319	-0.339900	0.012213	-0.937824
36947		6.211413	-0.658167	7.526199	-0.000883	-0.007048	0.006527	-1.420166	0.183350	-0.871826	0.069368	-0.339955	0.012234	-0.937800
36948		6.205271	-0.673242	7.512043	-0.003443	-0.007162	0.005492	-1.411865	0.192383	-0.869141	0.069402	-0.340011	0.012270	-0.937777
36949		6.201026	-0.708653	7.502202	-0.003606	-0.007513	0.006547	-1.410645	0.195801	-0.879883	0.069442	-0.340069	0.012310	-0.937752
36950		6.209953	-0.669921	7.535015	-0.004444	-0.007041	0.006827	-1.418701	0.185791	-0.869873	0.069484	-0.340124	0.012359	-0.937729
36951		6.211817	-0.668118	7.498437	-0.004131	-0.008219	0.006280	-1.403564	0.187012	-0.869141	0.069521	-0.340186	0.012403	-0.937703
36952		6.179070	-0.691680	7.506813	-0.004283	-0.006690	0.005773	-1.419922	0.188232	-0.874512	0.069554	-0.340237	0.012445	-0.937681
36953		6.218422	-0.684990	7.525717	-0.002933	-0.008338	0.007326	-1.415527	0.184326	-0.874268	0.069603	-0.340297	0.012481	-0.937655
36954		6.214585	-0.671257	7.495864	-0.000259	-0.009405	0.005435	-1.406738	0.187988	-0.875488	0.069645	-0.340363	0.012489	-0.937628
36955		6.207650	-0.689097	7.517308	-0.004007	-0.007518	0.001794	-1.413818	0.188232	-0.868164	0.069647	-0.340418	0.012517	-0.937608
36956		6.193739	-0.672118	7.505691	-0.000036	-0.005642	0.004689	-1.420898	0.182861	-0.873047	0.069682	-0.340455	0.012522	-0.937592
36957		6.196409	-0.692897	7.509315	-0.001772	-0.008108	0.004939	-1.416748	0.190674	-0.863037	0.069712	-0.340509	0.012536	-0.937570
36958		6.181722	-0.679067	7.533290	-0.000573	-0.008228	0.005985	-1.415283	0.190674	-0.876709	0.069758	-0.340566	0.012550	-0.937545
36959		6.195345	-0.699907	7.482994	-0.002297	-0.008813	0.004672	-1.416992	0.194092	-0.879395	0.069790	-0.340612	0.012569	-0.937526
