// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
36942		4.224622	4.130947	7.722653	0.013947	-0.015021	0.010191	-0.586182	0.191650	-1.131104	0.637594	-0.018609	-0.320156	-0.700449
36943		4.235337	4.177821	7.797952	0.022797	-0.023952	0.001829	-0.589111	0.195557	-1.137695	0.637544	-0.018633	-0.320416	-0.700374
36944		4.305327	4.177589	7.839328	0.009729	-0.026519	-0.005930	-0.592529	0.190918	-1.135010	0.637442	-0.018722	-0.320611	-0.700376
36945		4.335454	4.095528	7.849486	-0.007359	-0.017767	-0.004761	-0.591309	0.183594	-1.141846	0.637366	-0.018853	-0.320663	-0.700418
36946		4.257429	3.972444	7.831279	-0.004455	-0.009724	-0.004053	-0.592529	0.190674	-1.141602	0.637316	-0.018925	-0.320688	-0.700449
36947		4.216704	4.033915	7.876845	0.016832	-0.003622	-0.004139	-0.595459	0.187988	-1.134766	0.637288	-0.018852	-0.320800	-0.700425
36948		4.221191	4.154993	7.866894	0.006369	-0.007382	0.003139	-0.585938	0.197754	-1.132568	0.637293	-0.018879	-0.320862	-0.700392
36949		4.245173	4.120262	7.903185	-0.013040	-0.007237	0.006856	-0.586426	0.196045	-1.141113	0.637318	-0.019016	-0.320806	-0.700391
36950		4.191394	4.020333	7.894037	-0.016791	-0.006953	0.000780	-0.594482	0.187988	-1.133301	0.637309	-0.019155	-0.320720	-0.700435
36951		4.189908	4.025263	7.907565	-0.009208	-0.003744	-0.007705	-0.578125	0.191162	-1.130859	0.637264	-0.019216	-0.320650	-0.700506
36952		4.209026	4.030912	7.908048	-0.010857	0.005595	-0.004670	-0.594971	0.193359	-1.134766	0.637265	-0.019240	-0.320507	-0.700570
36953		4.193872	4.005282	7.919346	-0.017969	0.012229	-0.002847	-0.591064	0.190430	-1.136719	0.637298	-0.019272	-0.320272	-0.700647
36954		4.164222	3.953779	7.892234	-0.013094	0.016820	-0.004462	-0.581543	0.192139	-1.138672	0.637338	-0.019250	-0.320025	-0.700723
36955		4.164368	3.977919	7.915243	-0.001476	0.020787	-0.004824	-0.590820	0.191895	-1.130615	0.637395	-0.019148	-0.319806	-0.700775
36956		4.163998	4.068583	7.922295	0.006231	0.023730	-0.003055	-0.594727	0.186523	-1.135742	0.637477	-0.018995	-0.319602	-0.700798
36957		4.211993	4.111957	7.926871	-0.007133	0.023385	0.004261	-0.589600	0.191895	-1.125732	0.637603	-0.018932	-0.319299	-0.700822
36958		4.245162	4.099384	7.907395	-0.006625	0.025304	-0.004924	-0.588135	0.195557	-1.141113	0.637672	-0.018828	-0.319007	-0.700895
36959		4.253312	4.159443	7.898810	-0.004974	0.029461	-0.022644	-0.586426	0.195801	-1.143555	0.637671	-0.018656	-0.318652	-0.701063
36960		4.240995	4.146167	7.857839	-0.013967	0.029861	-0.024476	-0.578613	0.189209	-1.138672	0.637659	-0.018523	-0.318235	-0.701266
36961		4.261866	4.099064	7.871657	-0.020022	0.030375	-0.028119	-0.588135	0.196533	-1.133301	0.637588	-0.018389	-0.317818	-0.701524
36962		4.231983	4.006668	7.833855	-0.013408	0.030647	-0.020830	-0.581299	0.194824	-1.145020	0.637586	-0.018259	-0.317473	-0.701685
36963		4.219691	3.963612	7.806835	-0.003580	0.023242	-0.013210	-0.577637	0.191162	-1.143066	0.637625	-0.018151	-0.317139	-0.701803
36964		4.261795	3.959646	7.817495	-0.001180	0.015251	-0.004907	-0.579346	0.190674	-1.136719	0.637669	-0.018094	-0.316877	-0.701883
36965		4.266211	3.972877	7.862700	-0.010856	0.014439	-0.004798	-0.582031	0.193604	-1.133789	0.637695	-0.018099	-0.316625	-0.701973
36966		4.335672	3.984787	7.869367	-0.030859	0.015145	-0.004399	-0.583496	0.185791	-1.143311	0.637736	-0.018230	-0.316277	-0.702089
36967		4.307309	3.894362	7.844840	-0.047349	0.015409	-0.002564	-0.584717	0.194824	-1.139160	0.637811	-0.018455	-0.315747	-0.702254
36968		4.299375	3.809799	7.820010	-0.036891	0.008312	0.005716	-0.587891	0.195312	-1.135010	0.637935	-0.018738	-0.315350	-0.702312
36969		4.275211	3.815048	7.945244	-0.010711	0.002821	0.017974	-0.575439	0.193848	-1.136719	0.638126	-0.018966	-0.315181	-0.702208
36970		4.273833	3.986211	8.107942	0.020011	0.014266	0.044067	-0.576660	0.195068	-1.134277	0.638443	-0.018997	-0.315090	-0.701960
36971		4.323128	4.264199	8.161338	0.028011	0.038729	0.061839	-0.580566	0.196289	-1.132812	0.638940	-0.018892	-0.314930	-0.701582
36972		4.310907	4.420772	8.101455	0.002957	0.070256	0.072052	-0.571045	0.192139	-1.133789	0.639598	-0.018771	-0.314483	-0.701187
36973		4.140643	4.350202	7.931983	-0.025035	0.086110	0.068737	-0.567627	0.191650	-1.137451	0.640203	-0.018598	-0.313805	-0.700943
36974		3.953423	4.263480	7.833872	-0.013492	0.074941	0.056121	-0.572998	0.201172	-1.133057	0.640703	-0.018366	-0.313232	-0.700749
