// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
01791		9.004075	-3.554701	-2.300375	-0.044541	-0.046564	0.033393	-0.782471	-0.036133	0.306152	-0.247677	-0.554029	0.555345	-0.568595
01792		9.124714	-3.439483	-2.163038	-0.030607	-0.047878	0.032202	-0.781250	-0.037354	0.294922	-0.247444	-0.554043	0.555737	-0.568299
01793		9.098361	-3.412178	-2.096691	-0.033952	-0.037991	0.034215	-0.776367	-0.026367	0.303711	-0.247273	-0.553987	0.556130	-0.568043
01794		9.038968	-3.486129	-2.109792	-0.030691	-0.044419	0.026478	-0.784424	-0.031982	0.299072	-0.247086	-0.554011	0.556487	-0.567752
01795		9.068193	-3.531400	-2.091111	-0.018489	-0.056081	0.016167	-0.778564	-0.039551	0.295898	-0.246841	-0.554162	0.556758	-0.567445
01796		9.079145	-3.450000	-2.082584	-0.012333	-0.066300	0.001897	-0.781006	-0.040039	0.308838	-0.246591	-0.554437	0.556951	-0.567096
01797		9.122966	-3.409952	-2.046735	-0.028753	-0.055996	-0.002694	-0.781494	-0.030518	0.305908	-0.246495	-0.554648	0.557172	-0.566714
01798		9.031018	-3.435561	-2.063762	-0.051079	-0.043990	-0.007018	-0.774414	-0.031006	0.309082	-0.246591	-0.554775	0.557441	-0.566284
01799		8.979131	-3.554724	-2.095183	-0.059215	-0.039031	-0.008888	-0.776123	-0.033203	0.308350	-0.246767	-0.554865	0.557719	-0.565844
01800		9.090101	-3.628145	-2.113621	-0.042831	-0.041498	-0.008187	-0.779541	-0.035156	0.307373	-0.246857	-0.554990	0.557921	-0.565483
01801		9.093584	-3.563047	-2.145435	-0.045013	-0.021015	-0.007088	-0.779785	-0.027588	0.303467	-0.247051	-0.554999	0.558089	-0.565225
01802		9.018570	-3.496974	-2.078003	-0.060362	0.007994	0.002292	-0.779785	-0.034424	0.310059	-0.247414	-0.554788	0.558304	-0.565061
01803		8.894613	-3.563657	-2.139561	-0.061549	0.032443	0.020353	-0.785400	-0.034424	0.310303	-0.247822	-0.554367	0.558545	-0.565057
01804		8.888585	-3.627900	-2.087400	-0.054487	0.049427	0.026773	-0.787842	-0.033936	0.310303	-0.248248	-0.553840	0.558742	-0.565192
01805		8.970668	-3.601529	-2.118000	-0.040768	0.058846	0.027106	-0.779785	-0.036133	0.314209	-0.248650	-0.553280	0.558853	-0.565454
