// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		9.771552	-0.104754	-1.052117	-0.007812	0.000211	-0.015983	-0.812988	-0.232666	-0.218994	0.631956	0.234011	-0.706231	0.217044
58938		9.814763	-0.052903	-1.052717	-0.008667	0.000367	-0.014055	-0.808838	-0.232666	-0.221436	0.632000	0.234047	-0.706218	0.216920
58939		9.762559	-0.039762	-1.040059	-0.029088	0.004938	-0.006825	-0.811035	-0.240234	-0.228271	0.632102	0.233925	-0.706228	0.216722
58940		9.789415	-0.088608	-1.089901	-0.040026	0.004443	-0.002248	-0.802734	-0.233887	-0.227295	0.632210	0.233720	-0.706272	0.216482
58941		9.810245	-0.106667	-1.106695	-0.042435	0.004297	0.007525	-0.813477	-0.234375	-0.219482	0.632305	0.233445	-0.706341	0.216279
58942		9.868513	-0.124323	-1.105752	-0.037646	0.006328	0.019771	-0.798584	-0.228516	-0.227295	0.632378	0.233120	-0.706415	0.216173
58943		9.811463	-0.147281	-1.103055	-0.044021	0.003671	0.030007	-0.798828	-0.233887	-0.224854	0.632428	0.232706	-0.706536	0.216078
58944		9.775117	-0.189904	-1.117807	-0.059480	0.007573	0.038790	-0.809326	-0.235596	-0.233398	0.632512	0.232151	-0.706684	0.215946
58945		9.779100	-0.207026	-1.123775	-0.051279	0.006784	0.033502	-0.804932	-0.228271	-0.224609	0.632581	0.231669	-0.706814	0.215836
58946		9.693390	-0.239693	-1.059609	-0.036005	0.001031	0.023103	-0.802002	-0.233398	-0.228027	0.632600	0.231336	-0.706931	0.215753
58947		9.695132	-0.131212	-1.101128	-0.038107	-0.002391	0.023700	-0.796875	-0.233398	-0.229980	0.632599	0.230989	-0.707074	0.215661
58948		9.683160	-0.124087	-1.126719	-0.054888	-0.006803	0.026104	-0.802734	-0.237549	-0.223877	0.632596	0.230548	-0.707278	0.215473
58949		9.661375	-0.282869	-1.112811	-0.041690	-0.003511	0.024926	-0.805908	-0.227051	-0.227051	0.632584	0.230180	-0.707442	0.215360
58950		9.719316	-0.249965	-1.143847	-0.023654	-0.005683	0.020191	-0.801514	-0.222412	-0.218018	0.632526	0.229931	-0.707584	0.215332
58951		9.756556	-0.198554	-1.157687	-0.015536	-0.009050	0.019663	-0.810059	-0.227295	-0.225830	0.632424	0.229730	-0.707735	0.215349
58952		9.737592	-0.228348	-1.092220	-0.015052	-0.010621	0.019429	-0.806396	-0.223389	-0.218750	0.632304	0.229532	-0.707902	0.215366
58953		9.713694	-0.184151	-1.097929	-0.006937	-0.013992	0.018897	-0.800537	-0.232178	-0.223633	0.632147	0.229385	-0.708071	0.215426
58954		9.765735	-0.119741	-1.096653	-0.004137	-0.010273	0.019715	-0.815918	-0.230713	-0.227295	0.632007	0.229243	-0.708215	0.215514
58955		9.774268	-0.183785	-1.110299	-0.000178	-0.007961	0.026578	-0.803223	-0.233154	-0.236572	0.631847	0.229072	-0.708367	0.215665
58956		9.774890	-0.223523	-1.110291	0.005991	-0.015143	0.020856	-0.805176	-0.226074	-0.221924	0.631660	0.228985	-0.708521	0.215798
58957		9.764623	-0.261253	-1.088098	0.022640	-0.017866	0.010853	-0.811035	-0.222168	-0.220459	0.631437	0.229051	-0.708643	0.215980
58958		9.763527	-0.200498	-1.047051	0.032188	-0.017929	0.001006	-0.802490	-0.227295	-0.223633	0.631203	0.229211	-0.708741	0.216175
58959		9.821636	-0.086302	-1.064406	0.017250	-0.015269	-0.002614	-0.798584	-0.230957	-0.226807	0.631041	0.229319	-0.708822	0.216264
58960		9.827515	-0.065472	-1.008333	0.004414	-0.009485	0.005380	-0.807861	-0.220947	-0.224121	0.630940	0.229317	-0.708897	0.216318
58961		9.833101	-0.098502	-1.043165	-0.005445	-0.008286	0.012136	-0.809326	-0.223145	-0.220459	0.630846	0.229200	-0.709010	0.216347
58962		9.825976	-0.164084	-0.998332	0.003084	-0.007872	0.012432	-0.810791	-0.227295	-0.218262	0.630736	0.229139	-0.709101	0.216432
58963		9.811907	-0.162628	-1.043706	0.009550	-0.008335	0.008523	-0.804932	-0.229492	-0.220215	0.630620	0.229148	-0.709168	0.216540
58964		9.807121	-0.141470	-0.964038	0.013632	-0.008663	0.002194	-0.815186	-0.235596	-0.223877	0.630528	0.229228	-0.709196	0.216631
58965		9.792289	-0.128814	-0.935880	0.005695	-0.013641	0.003129	-0.795410	-0.221191	-0.218018	0.630411	0.229266	-0.709275	0.216677
58966		9.796095	-0.089530	-0.974585	0.007586	-0.004349	0.004495	-0.810791	-0.229004	-0.221680	0.630403	0.229286	-0.709257	0.216738
58967		9.771283	-0.138694	-0.965767	0.004611	0.000180	0.008173	-0.806396	-0.225342	-0.224121	0.630396	0.229259	-0.709247	0.216818
58968		9.747490	-0.171829	-0.984404	0.004389	0.006051	0.010131	-0.803223	-0.233643	-0.220459	0.630446	0.229198	-0.709193	0.216912
58969		9.798014	-0.113491	-0.999484	0.006504	0.009415	0.011980	-0.799805	-0.230713	-0.227539	0.630509	0.229174	-0.709109	0.217031
58970		9.774395	-0.147130	-1.016354	0.007710	0.018417	0.011945	-0.807617	-0.226562	-0.217041	0.630653	0.229123	-0.708956	0.217165
58971		9.813130	-0.131168	-1.024331	0.014817	0.015700	0.014238	-0.802490	-0.225098	-0.228027	0.630718	0.229096	-0.708846	0.217364
58972		9.761823	-0.184369	-1.053172	0.012913	0.014262	0.011585	-0.811035	-0.226562	-0.234619	0.630829	0.229058	-0.708710	0.217527
58973		9.766939	-0.181910	-1.085938	0.028126	0.016183	0.004732	-0.806152	-0.224365	-0.226562	0.630954	0.229118	-0.708511	0.217749
58974		9.831569	-0.125831	-1.055616	0.034918	0.014705	-0.000952	-0.802979	-0.229248	-0.218018	0.631030	0.229266	-0.708323	0.217983
