// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		8.674724	-0.099771	-4.490965	-0.032334	-0.001453	0.004463	-0.481445	0.335938	0.681885	0.176624	-0.804531	-0.291213	-0.486547
58938		8.710026	-0.225876	-4.629758	-0.019677	-0.005281	0.000169	-0.477295	0.336670	0.678467	0.176483	-0.804576	-0.291142	-0.486567
58939		8.633741	-0.196343	-4.750496	0.003762	-0.001837	-0.008301	-0.479492	0.328125	0.675537	0.176472	-0.804559	-0.291214	-0.486556
58940		8.664850	-0.046669	-4.595816	-0.015160	0.002470	0.000907	-0.473633	0.332275	0.676514	0.176385	-0.804577	-0.291140	-0.486601
58941		8.723242	-0.089394	-4.566076	-0.046021	0.001644	0.009679	-0.481445	0.333984	0.686035	0.176125	-0.804667	-0.290883	-0.486701
58942		8.700008	-0.126717	-4.630194	-0.040472	0.000900	0.007024	-0.469727	0.334961	0.673828	0.175893	-0.804746	-0.290665	-0.486786
58943		8.640942	-0.154131	-4.716912	-0.039380	0.008265	0.007653	-0.466309	0.331543	0.679932	0.175692	-0.804797	-0.290434	-0.486911
58944		8.617443	-0.207619	-4.729766	-0.047358	0.009701	0.011692	-0.475586	0.328125	0.671387	0.175463	-0.804870	-0.290139	-0.487049
58945		8.686911	-0.165850	-4.484370	-0.055869	0.004972	0.011333	-0.472168	0.336426	0.681152	0.175171	-0.804983	-0.289814	-0.487161
58946		8.701818	-0.246990	-4.514841	-0.034614	0.005229	0.002453	-0.472656	0.330322	0.678711	0.174998	-0.805042	-0.289627	-0.487237
58947		8.652227	-0.135402	-4.556792	-0.016455	-0.001332	-0.000378	-0.465088	0.330811	0.678223	0.174936	-0.805095	-0.289533	-0.487227
58948		8.649344	-0.048649	-4.627902	-0.036578	-0.003780	0.004197	-0.468262	0.321045	0.683838	0.174760	-0.805202	-0.289324	-0.487238
58949		8.661605	-0.222075	-4.612857	-0.037053	-0.003319	0.001386	-0.472656	0.332764	0.682617	0.174570	-0.805304	-0.289133	-0.487251
58950		8.652179	-0.239202	-4.551600	-0.023937	-0.003019	-0.003289	-0.470215	0.332520	0.689209	0.174468	-0.805382	-0.289014	-0.487228
58951		8.691952	-0.126892	-4.566750	-0.009943	-0.003358	-0.008763	-0.474121	0.331787	0.680908	0.174454	-0.805433	-0.288981	-0.487169
58952		8.669190	-0.147397	-4.682044	-0.010414	-0.005198	-0.009963	-0.473389	0.334717	0.689941	0.174432	-0.805487	-0.288947	-0.487107
58953		8.647624	-0.158951	-4.683210	-0.000415	-0.002524	-0.015017	-0.465576	0.325684	0.684082	0.174480	-0.805517	-0.288985	-0.487017
58954		8.675389	-0.174939	-4.539606	-0.010574	-0.004279	-0.011434	-0.481934	0.327393	0.682617	0.174441	-0.805573	-0.288971	-0.486948
58955		8.687906	-0.221901	-4.581673	0.004051	-0.003692	-0.014240	-0.469971	0.325684	0.671631	0.174538	-0.805604	-0.288999	-0.486844
58956		8.674013	-0.058074	-4.602068	0.005445	-0.002810	-0.016318	-0.473633	0.330811	0.683105	0.174595	-0.805610	-0.289046	-0.486788
58957		8.670864	-0.159440	-4.615170	-0.012605	-0.003786	-0.013631	-0.477051	0.329590	0.684570	0.174587	-0.805674	-0.289006	-0.486707
58958		8.643630	-0.253498	-4.643758	0.001116	-0.004893	-0.022914	-0.470459	0.328857	0.684326	0.174651	-0.805705	-0.289079	-0.486590
58959		8.691581	-0.139763	-4.615825	0.021080	-0.003803	-0.027356	-0.465088	0.323242	0.681396	0.174814	-0.805693	-0.289273	-0.486437
58960		8.695189	0.039765	-4.545542	0.007207	-0.004077	-0.017941	-0.474365	0.334229	0.682129	0.174867	-0.805705	-0.289371	-0.486338
58961		8.691863	-0.121816	-4.612615	0.002714	-0.007186	-0.013043	-0.473877	0.332031	0.680908	0.174985	-0.805775	-0.289369	-0.486182
58962		8.655953	-0.155987	-4.685883	0.009660	-0.009342	-0.016154	-0.475098	0.330322	0.690430	0.175115	-0.805827	-0.289423	-0.486017
58963		8.647079	-0.095602	-4.676380	0.011316	-0.005379	-0.016032	-0.471924	0.324219	0.683350	0.175307	-0.805879	-0.289515	-0.485806
58964		8.658946	-0.037854	-4.615596	0.005718	-0.002020	-0.012529	-0.478271	0.320557	0.681885	0.175391	-0.805902	-0.289568	-0.485706
58965		8.674712	-0.049137	-4.534287	0.004805	-0.003361	-0.007646	-0.461914	0.332031	0.689453	0.175489	-0.805933	-0.289572	-0.485616
58966		8.654770	-0.091864	-4.634716	0.007719	-0.004489	-0.006259	-0.479004	0.325439	0.682129	0.175607	-0.806004	-0.289640	-0.485416
58967		8.676590	-0.125606	-4.629329	0.005065	-0.007216	-0.009520	-0.472900	0.329346	0.684814	0.175713	-0.806054	-0.289643	-0.485293
58968		8.653064	-0.228889	-4.638876	0.013275	-0.007524	-0.007295	-0.469971	0.322510	0.686035	0.175881	-0.806112	-0.289689	-0.485108
58969		8.678605	-0.085258	-4.562698	0.001890	-0.002232	-0.009037	-0.467773	0.322998	0.680664	0.175927	-0.806143	-0.289741	-0.485008
58970		8.644107	-0.166098	-4.683912	0.006457	0.000603	-0.007526	-0.472656	0.330078	0.687256	0.175973	-0.806146	-0.289771	-0.484969
58971		8.657172	-0.094807	-4.618059	0.001879	0.000065	-0.010643	-0.469482	0.330566	0.677246	0.176094	-0.806193	-0.289787	-0.484837
58972		8.664582	-0.166324	-4.633291	-0.000697	-0.002941	-0.007485	-0.475586	0.329346	0.675049	0.176128	-0.806238	-0.289730	-0.484785
58973		8.690428	-0.146477	-4.554694	0.006926	-0.004488	-0.010406	-0.471680	0.331543	0.683838	0.176219	-0.806259	-0.289697	-0.484736
58974		8.702848	-0.132534	-4.597958	0.012113	-0.005365	-0.011909	-0.468018	0.323975	0.688477	0.176378	-0.806301	-0.289757	-0.484573
58975		8.628023	-0.137459	-4.708610	0.016833	-0.008080	-0.014616	-0.467041	0.324463	0.683350	0.176486	-0.806327	-0.289938	-0.484382
58976		8.632098	-0.128763	-4.685954	-0.000183	-0.008356	-0.012839	-0.469482	0.321777	0.687988	0.176456	-0.806377	-0.290005	-0.484270
58977		8.678539	-0.291512	-4.662880	-0.001885	-0.003131	-0.019389	-0.465332	0.330322	0.683838	0.176413	-0.806397	-0.290135	-0.484174
58978		8.649554	-0.230420	-4.648875	0.031204	-0.003947	-0.026966	-0.476562	0.321533	0.685059	0.176602	-0.806377	-0.290385	-0.483988
58979		8.688347	0.063330	-4.558340	0.014611	-0.002069	-0.021512	-0.465820	0.329102	0.684570	0.176697	-0.806346	-0.290549	-0.483906
58980		8.689279	-0.042559	-4.606611	-0.004707	-0.004585	-0.012750	-0.467773	0.330078	0.688965	0.176684	-0.806410	-0.290575	-0.483789
58981		8.660768	-0.165950	-4.643782	0.009710	-0.002708	-0.014590	-0.474854	0.327881	0.682129	0.176803	-0.806448	-0.290692	-0.483613
58982		8.689868	-0.085585	-4.656314	0.023962	0.000090	-0.017907	-0.466309	0.330811	0.682617	0.176994	-0.806403	-0.290828	-0.483535
58983		8.643653	-0.046164	-4.623004	0.016381	0.001307	-0.017458	-0.464844	0.323730	0.681885	0.177118	-0.806395	-0.290944	-0.483434
58984		8.639012	-0.052585	-4.646750	0.005110	-0.000593	-0.007937	-0.466553	0.330566	0.690186	0.177108	-0.806415	-0.290988	-0.483377
58985		8.634789	-0.063813	-4.561058	-0.000079	0.000275	-0.006428	-0.476318	0.326416	0.689209	0.177185	-0.806482	-0.291024	-0.483215
58986		8.685927	-0.153913	-4.623848	-0.002035	0.000485	-0.002196	-0.467285	0.329102	0.683350	0.177266	-0.806513	-0.291026	-0.483133
58987		8.683494	-0.255195	-4.690765	0.018181	0.000088	-0.010177	-0.475830	0.339111	0.685059	0.177407	-0.806513	-0.291116	-0.483027
58988		8.638278	-0.064578	-4.651031	0.020244	0.001580	-0.012072	-0.470703	0.324219	0.677490	0.177722	-0.806503	-0.291177	-0.482890
58989		8.677374	-0.034251	-4.559687	-0.005102	0.000224	-0.003446	-0.477051	0.332520	0.683350	0.177659	-0.806514	-0.291103	-0.482941
58990		8.699673	-0.263545	-4.663334	0.007130	0.001220	-0.007355	-0.473633	0.330811	0.681641	0.177820	-0.806502	-0.291112	-0.482896
58991		8.646795	-0.060065	-4.662219	0.026064	0.001644	-0.010915	-0.473633	0.335938	0.681885	0.178053	-0.806456	-0.291219	-0.482822
58992		8.660923	-0.037957	-4.590596	0.003260	0.001319	-0.001367	-0.473877	0.324951	0.679443	0.178227	-0.806479	-0.291160	-0.482755
58993		8.680149	-0.128096	-4.601811	-0.004621	0.004408	0.005052	-0.471924	0.337402	0.680664	0.178229	-0.806481	-0.291048	-0.482818
58994		8.670008	-0.097234	-4.600072	0.000149	0.001379	-0.000137	-0.471436	0.327637	0.687744	0.178392	-0.806514	-0.290966	-0.482753
58995		8.671448	-0.065399	-4.700290	0.010739	0.003051	0.001522	-0.467041	0.326416	0.676758	0.178524	-0.806526	-0.291008	-0.482659
58996		8.663200	-0.147645	-4.636507	-0.003739	0.003775	0.004242	-0.475342	0.327148	0.679688	0.178495	-0.806554	-0.290885	-0.482696
58997		8.658387	-0.173844	-4.554735	-0.005294	0.003805	0.004856	-0.475830	0.333984	0.684570	0.178521	-0.806551	-0.290780	-0.482755
58998		8.663763	-0.148632	-4.635424	0.008302	0.003715	0.002946	-0.469971	0.328125	0.680664	0.178739	-0.806546	-0.290763	-0.482693
58999		8.658796	-0.035002	-4.606710	0.000734	0.002628	0.005013	-0.473389	0.326904	0.681396	0.178789	-0.806573	-0.290685	-0.482676
59000		8.670960	-0.176834	-4.600408	-0.012188	0.003323	0.007116	-0.474609	0.336914	0.683838	0.178758	-0.806601	-0.290554	-0.482721
59001		8.684278	-0.226281	-4.641224	0.006476	0.002959	-0.000254	-0.476074	0.322510	0.686035	0.178982	-0.806596	-0.290550	-0.482647
59002		8.638529	-0.052291	-4.551077	0.001286	0.003826	0.001256	-0.470459	0.326172	0.684814	0.178969	-0.806580	-0.290554	-0.482677
59003		8.696174	-0.107845	-4.580817	-0.017259	-0.001045	0.006892	-0.468506	0.329102	0.685547	0.178867	-0.806660	-0.290429	-0.482657
59004		8.668282	-0.235350	-4.562517	-0.002123	0.001128	0.002759	-0.465820	0.319824	0.684326	0.178894	-0.806716	-0.290384	-0.482581
59005		8.675474	-0.243956	-4.633439	0.009183	-0.001562	-0.003546	-0.466797	0.329346	0.689209	0.178806	-0.806757	-0.290418	-0.482524
59006		8.629836	-0.189263	-4.650544	0.019052	0.001750	-0.012600	-0.474121	0.331543	0.682861	0.178914	-0.806769	-0.290564	-0.482375
59007		8.664869	-0.150278	-4.633303	0.010977	-0.000856	-0.009256	-0.471436	0.333496	0.683350	0.179044	-0.806737	-0.290645	-0.482332
59008		8.663731	-0.101502	-4.639000	0.015777	0.002730	-0.012852	-0.470215	0.332031	0.685303	0.179216	-0.806698	-0.290759	-0.482265
59009		8.671744	-0.035188	-4.651792	-0.000914	0.000583	-0.008100	-0.471436	0.330566	0.680420	0.179256	-0.806718	-0.290788	-0.482199
59010		8.664967	-0.225754	-4.581067	-0.002993	0.001388	-0.007819	-0.467773	0.324463	0.684082	0.179264	-0.806710	-0.290784	-0.482211
59011		8.701780	-0.294074	-4.610760	0.009837	0.007907	-0.012286	-0.475586	0.333740	0.686035	0.179239	-0.806685	-0.290860	-0.482216
59012		8.663488	-0.187605	-4.644722	0.031814	0.001990	-0.016195	-0.473633	0.329346	0.686279	0.179523	-0.806594	-0.291096	-0.482122
59013		8.655129	0.009463	-4.632192	0.025515	0.007024	-0.014492	-0.475586	0.334229	0.680176	0.179696	-0.806510	-0.291285	-0.482083
59014		8.661954	-0.092845	-4.600199	0.001927	0.004379	-0.007467	-0.476318	0.326660	0.675049	0.179818	-0.806454	-0.291310	-0.482116
59015		8.668790	-0.196973	-4.513774	0.003858	0.002196	-0.007610	-0.473877	0.336426	0.687256	0.179822	-0.806378	-0.291318	-0.482237
59016		8.689331	-0.254444	-4.625658	0.031163	-0.000897	-0.014790	-0.471924	0.325928	0.673584	0.180123	-0.806320	-0.291561	-0.482074
59017		8.650972	-0.072934	-4.657390	0.045254	0.002850	-0.019621	-0.473145	0.331787	0.671387	0.180324	-0.806183	-0.291785	-0.482093
59018		8.668959	0.021322	-4.618314	0.012688	0.000505	-0.010031	-0.472900	0.332031	0.681152	0.180452	-0.806106	-0.291834	-0.482143
59019		8.710265	-0.120357	-4.517889	0.000028	0.001969	-0.004097	-0.470703	0.334229	0.686035	0.180502	-0.806099	-0.291841	-0.482133
