// Start Time: Unknown
// Update Rate: 60.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.6.0
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3
58937		9.681850	1.980366	-0.871070	0.016119	0.004927	-0.034409	-0.669922	-0.482910	-0.195068	0.634810	0.383603	-0.630640	0.228383
58938		9.680397	1.864399	-0.865257	-0.016603	-0.004335	-0.023662	-0.663330	-0.483154	-0.198975	0.634876	0.383646	-0.630627	0.228162
58939		9.651192	1.720773	-0.888254	-0.047357	0.003868	-0.010542	-0.667480	-0.488525	-0.203369	0.635068	0.383442	-0.630663	0.227871
58940		9.683482	1.664220	-0.916496	-0.033323	0.003087	-0.005259	-0.662598	-0.486084	-0.201416	0.635199	0.383283	-0.630696	0.227683
58941		9.705936	1.747060	-0.907328	-0.013482	0.008741	0.000119	-0.668945	-0.482666	-0.191162	0.635282	0.383184	-0.630683	0.227653
58942		9.762734	1.766834	-0.860589	-0.005586	0.014474	-0.000203	-0.658936	-0.482666	-0.208252	0.635368	0.383112	-0.630627	0.227689
58943		9.694181	1.716734	-0.792502	-0.012929	0.007972	0.002189	-0.653320	-0.485107	-0.200439	0.635436	0.382994	-0.630631	0.227686
58944		9.684073	1.665101	-0.908616	-0.043606	0.007948	0.003414	-0.663818	-0.486328	-0.208984	0.635600	0.382695	-0.630700	0.227541
58945		9.673033	1.596528	-0.844134	-0.020885	-0.005143	0.006679	-0.662354	-0.481445	-0.200195	0.635609	0.382514	-0.630814	0.227504
58946		9.688716	1.617690	-0.821191	-0.003650	-0.004694	0.009820	-0.661377	-0.485107	-0.204590	0.635554	0.382390	-0.630911	0.227596
58947		9.633920	1.624654	-0.783769	-0.009361	0.005378	0.016474	-0.653320	-0.485107	-0.205566	0.635554	0.382165	-0.630994	0.227745
58948		9.596821	1.577675	-0.815573	-0.019713	0.014859	0.023000	-0.658691	-0.489014	-0.200439	0.635623	0.381815	-0.631072	0.227923
58949		9.565997	1.501756	-0.842901	-0.029546	0.002437	0.026997	-0.663086	-0.478271	-0.199707	0.635644	0.381396	-0.631256	0.228056
